Cycle,0.804349063765
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07930851889,0.0,0.0,0.0,0.0,16.4381276358,0.0,0.0,9.184071911,10.3471369012,8.47353374087,0,8.6429518616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(10.4525886633 135),(11.3033936846 300),(12.0333502989 459),(12.5795618503 629),(14.1221681079 792),(13.1261302395 957),(13.0513574943 1126),(13.8583274419 1293),(14.5339129217 1457),(15.0176126107 1623),(14.804143996 1791),(14.8129757067 1904),(13.422608186 2117),(16.2155141663 2266),(14.4779420368 2452),(8.3705206632 2525),(12.5109341976 2615),(14.8628335142 2789),(11.9192005552 2949),(15.3460843063 3110),(13.7454735269 3273),(13.3911908377 3442),(13.6188716782 3602),(13.6190936531 3766),(14.62608801 3937),(13.3166195794 4102),(16.1641760336 4279),(12.2164731744 4454),(14.2593635998 4602),(12.2826013339 4804),(12.4452754298 4962),(11.8817041652 5111),(14.4315233417 5318),(13.4153051138 5468),(10.682072389 5655),(12.6355870251 5828),(14.3373254757 5981),(11.9149594229 6164),(11.8766867247 6341),(11.5393522983 6513),
Point0,H2,,,,(-1.33226762955e-14 664),(-5.3290705182e-15 831),,,,,,,(12.8347415991 1933),,(1.95399252334e-14 2321),,(6.40817305705 2543),(5.3290705182e-15 2649),,,,,(7.1054273576e-15 3475),,,(1.7763568394e-15 3973),,,(-8.881784197e-15 4482),(12.6709752252 4618),(-1.68753899743e-14 4834),,,(-0.00235467440188 5357),,(-1.95399252334e-14 5699),,(13.797554323 5994),,,
Point0,H3,,,,(6.17878769408 705),(2.11098480011 846),,,,,,,(13.9994554253 1952),,(10.4807030859 2369),,(9.91775755024 2589),(10.4989362577 2734),,,,,(8.56981501225 3530),,,(11.3297743122 4048),,,(0.904342025555 4494),(13.078216092 4627),(6.26270731416 4880),,,(8.5062240083 5395),,(9.37416619619 5759),,(13.8550183595 5999),,,
Point0,H4,,(3.5527136788e-15 338),(1.06581410364e-14 497),,(1.6341538987 856),(4.4408920985e-15 994),(-0.0059797734017 1168),(-7.1054273576e-15 1327),(1.7763568394e-14 1491),(1.24344978758e-14 1663),,(2.48689957516e-14 1987),,(10.0232206497 2381),,,(10.3714639669 2743),(2.6645352591e-15 2820),,(1.42108547152e-14 3154),(-5.3290705182e-15 3312),(8.53728035764 3535),(-7.1054273576e-15 3639),(-8.881784197e-15 3809),(11.2396613757 4055),(-1.24344978758e-14 4143),,,(-2.13162820728e-14 4657),(6.26032444598 4882),,,,,(9.37409397029 5760),(-2.57571741713e-14 5859),(-1.59872115546e-14 6034),(-0.00543914454674 6211),,
Point0,H5,,(7.67612158053 388),(6.32185658528 542),,(11.5640157938 911),(9.55116422793 1070),(11.5105743136 1231),(14.4581912965 1423),(14.338599123 1593),(12.942442816 1742),,(10.2599359716 2065),,(13.2453691448 2421),,,(12.7213089433 2768),(11.2654475455 2924),,(11.7853619779 3231),(12.9029076945 3418),(13.4112239633 3576),(11.6887445685 3733),(7.86904875125 3850),(12.6533029861 4076),(13.1880604144 4251),,,(11.8395805569 4777),(11.1812659472 4912),,,,,(11.9966622639 5805),(12.4202288074 5952),(6.89993716025 6080),(10.774718184 6313),,
Point0,H6,(-0.0429578192792 2),(-0.00195855470019 168),(3.5527136788e-15 338),(1.06581410364e-14 497),(-1.33226762955e-14 664),(-5.3290705182e-15 831),(4.4408920985e-15 994),(-0.0059797734017 1168),(-7.1054273576e-15 1327),(1.7763568394e-14 1491),(1.24344978758e-14 1663),(7.1054273576e-15 1823),(2.48689957516e-14 1987),(3.73034936274e-14 2156),(1.95399252334e-14 2321),(1.86517468137e-14 2483),(5.3290705182e-15 2649),(2.6645352591e-15 2820),(1.24344978758e-14 2983),(1.42108547152e-14 3154),(-5.3290705182e-15 3312),(7.1054273576e-15 3475),(-7.1054273576e-15 3639),(-8.881784197e-15 3809),(1.7763568394e-15 3973),(-1.24344978758e-14 4143),(-0.00452710856237 4315),(-8.881784197e-15 4482),(-2.13162820728e-14 4657),(-1.68753899743e-14 4834),(-0.00368738311142 5009),(-3.28626015289e-14 5182),(-0.00235467440188 5357),(-3.73034936274e-14 5520),(-1.95399252334e-14 5699),(-2.57571741713e-14 5859),(-1.59872115546e-14 6034),(-0.00543914454674 6211),(-7.1054273576e-15 6373),
Point1,H1,(10.6945162092 90),(10.4372145175 254),(10.582880019 423),(11.9984718648 579),(12.0240967795 750),(13.4804994676 914),(13.3948809413 1079),(12.9198810123 1245),(13.6536911396 1415),(14.2492387274 1545),(14.8255204906 1743),(14.5747212525 1911),(13.8028031274 2027),(12.6071411473 2237),(16.6038202985 2386),(14.9591575635 2571),(12.538165495 2736),(13.8527297334 2910),(11.741301172 3068),(15.5997166382 3232),(13.3639647853 3388),(12.6516012058 3563),(13.1057424241 3723),(14.0396448841 3887),(14.7546049002 4058),(12.966449038 4221),(15.6544173435 4399),(12.3656128658 4573),(13.8264654793 4721),(12.2632662727 4925),(12.4278862858 5094),(11.5625363917 5263),(14.1850318985 5439),(13.205718622 5609),(11.2444293556 5777),(12.1886437976 5947),(14.2225518949 6120),(11.4434809089 6285),(10.293137936 6460),
Point1,H2,,,,,,(3.5527136788e-15 952),,,,(13.5646344395 1567),,,(12.1444199717 2055),,(-1.06581410364e-14 2441),(-2.39808173319e-14 2604),,,,,,(0.0 3595),,,(-1.33226762955e-14 4093),,,(3.5527136788e-15 4603),(12.4866535346 4737),,(-0.000220235463367 5129),,(-0.00220366550738 5478),,,,,,,
Point1,H3,,,,,,(1.58345188745 970),,,,(13.8449870882 1576),,,(13.0583768559 2073),,(9.12797519496 2489),(7.57389869507 2645),,,,,,(7.06871233884 3642),,,(10.2731960846 4168),,,(0.511769135356 4613),(13.3390562521 4748),,(7.53932658897 5179),,(7.04362939812 5512),,,,,,,
Point1,H4,,,(-0.0103130608886 456),(-5.3290705182e-15 618),(-3.5527136788e-15 783),(1.58135113909 972),,(-0.00845149245155 1289),,(0.0 1612),(-2.30926389122e-14 1785),,(-1.42108547152e-14 2107),,(8.79678582399 2500),(6.23357697312 2662),(1.06581410364e-14 2771),,,(-1.06581410364e-14 3277),(-4.4408920985e-15 3433),(6.86392211142 3651),(-0.000166037306544 3764),(-7.9936057773e-15 3929),(10.2004206589 4174),(-1.06581410364e-14 4263),(-0.00673101503573 4436),,(-0.00520464156626 4778),,(7.43375751032 5188),,(6.7595319445 5521),,(-4.4408920985e-15 5818),(6.2172489379e-15 5983),,(4.4408920985e-15 6333),,
Point1,H5,,,(6.9054926206 504),(5.67462530341 664),(4.3693800896 823),(10.8199181674 1036),,(10.1281360491 1354),,(14.2080690639 1712),(12.2398612279 1861),,(0.635062905173 2121),,(12.7948038835 2540),(9.85720494463 2709),(11.9421979651 2885),,,(10.9287090227 3352),(12.2545641786 3536),(12.8692657028 3697),(11.8083903333 3855),(6.46143934864 3971),(12.1304936389 4199),(13.2478101068 4372),(8.02292784025 4475),,(11.9612025975 4895),,(10.9388134993 5234),,(12.9188840776 5592),,(8.70573213011 5877),(14.1278103603 6105),,(6.78063334441 6387),,
