Cycle,0.740208333333
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(8.31669585729 28),(8.45908863151 169),(8.30107994739 316),(11.9895617777 470),(14.3002535963 633),(13.3027534981 791),(11.730781468 942),(9.48040007864 1080),(9.54766076906 1221),(7.9508958265 1370),(8.44504143578 1513),(7.51775877369 1657),(7.85685940022 1817),(9.42921978584 1989),(7.21105119831 2180),(6.64979670405 2327),(8.93196964338 2477),(8.41207701351 2633),(5.8000757191 2797),(6.30292915311 2938),(5.58710179275 3091),(7.15794496908 3242),(5.20587118026 3384),(6.00642440343 3576),(6.39333748796 3722),
Point0,H2,(7.78923502659 40),,(7.73023734914 329),,,,,(6.59492306237 1100),,,(5.81044318186 1531),,(6.39894679495 1834),(7.11043324474 2015),,(5.00175406666 2344),(3.16882043852 2553),,,(5.04027975635 2957),,,(1.61485423943 3436),(5.72861845905 3591),,
Point0,H3,(7.94897401642 49),,(7.78816112148 335),,,,,(6.90517283872 1109),,,(6.20913535723 1543),,(6.59940865464 1843),(7.25170010483 2025),,(5.99108759658 2362),(3.62328558467 2565),,,(5.04985958192 2961),,,(1.73792114005 3460),(5.7757612276 3599),,
Point0,H4,(1.3902832975 121),,,(1.44040915585 563),,(1.28500197908 885),(7.81620599659 982),(2.29523873959 1157),(0.906418396264 1303),(1.48099769332 1444),(1.52660436314 1606),,(5.38926530509 1862),(-8.881784197e-16 2127),(3.08682636738 2233),(1.61150353447 2421),(2.55643479668 2584),(6.77119285824 2649),(5.06508291639 2815),(1.49557688259 3020),(1.59269046982 3188),(3.95545731503 3288),(-0.0133412329711 3512),,,
Point0,H5,(1.39996004247 125),,,(1.54435957258 573),,(1.84824767546 897),(7.92317059318 989),(2.55241210057 1167),(0.92893800022 1309),(2.29088852681 1466),(1.66163607545 1615),,(5.6303774866 1873),(6.14837898423 2159),(3.27684871098 2246),(1.82883086128 2431),(2.58255941743 2589),(7.21861115454 2661),(5.75473424634 2834),(1.69867265802 3035),(1.62009870089 3194),(3.99103596209 3294),(5.89802412667 3546),,,
Point0,H6,(-0.0242434474239 1),(8.881784197e-16 143),(-4.4408920985e-15 290),(8.881784197e-15 434),(-3.5527136788e-15 603),(-3.99680288865e-15 723),(-3.5527136788e-15 912),(1.7763568394e-15 1051),(1.7763568394e-15 1189),(4.4408920985e-15 1333),(6.2172489379e-15 1487),(3.99680288865e-15 1632),(-3.99680288865e-15 1789),(-6.2172489379e-15 1952),(-8.881784197e-16 2127),(-6.2172489379e-15 2293),(-6.2172489379e-15 2448),(-1.7763568394e-15 2609),(2.22044604925e-15 2760),(3.99680288865e-15 2911),(3.99680288865e-15 3057),(-0.00796529139064 3216),(-0.00829543869552 3360),(-0.0133412329711 3512),(-0.0142088006132 3685),
