Cycle,0.678333333333
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(11.093380362 29),(12.0659491604 180),(8.02787308522 337),(6.92488466064 459),(8.39588222478 605),(10.5176534121 742),(8.26462248687 878),(10.6304537917 1021),(9.39737683024 1169),(10.4785768937 1308),(9.89513574397 1447),(9.7697244693 1584),(7.89184668085 1728),(7.43868877658 1864),(9.25500452546 2004),(11.1017418611 2143),(9.19576749179 2286),(8.2530823704 2429),(8.60250095228 2572),(8.72540778505 2720),(10.1645966115 2860),(8.78285428771 3005),(7.95401303759 3149),(8.6310492047 3292),(10.4763459073 3436),
Point0,H2,,,(4.10916395873 365),(0.0 504),,,(7.5341037003 891),,,,,,,,,(4.59315891204 2178),(2.75075825886 2317),(2.27117033854 2469),(3.0125820363 2617),,(3.70058369588 2897),(3.15394856809 3038),(1.29349378187 3183),,,
Point0,H3,,,(4.2788323267 375),(2.34076386758 532),,,(7.70299691421 899),,,,,,,,,(4.81035995034 2188),(3.34351281527 2332),(2.65079963994 2482),(3.01427651365 2620),,(3.83344950122 2906),(3.25265972614 3046),(1.5943936375 3194),,,
Point0,H4,,(-0.0153389662563 281),,(0.369849124294 557),(-0.666898209294 648),(0.808457249145 823),(-5.3290705182e-15 954),(2.48082377556 1097),(0.78890823661 1247),,(4.13902645072 1497),(2.38908390875 1632),(0.416032990418 1795),,,(1.44710272843 2220),(4.4408920985e-15 2362),(-8.881784197e-16 2511),,(1.68825885653 2789),(1.17878968317 2939),,(0.482220830282 3219),(0.843842900113 3369),,
Point0,H5,,(7.86792350345 322),,(0.466691056289 564),(0.849705719925 670),(1.12591335129 835),(0.83300637583 971),(2.62222708881 1106),(0.790515084288 1249),,(4.31514443074 1508),(2.41317421079 1637),(1.7204412047 1813),,,(1.65949277711 2231),(0.66891158673 2378),(0.454382005642 2530),,(1.78453970024 2799),(1.25303843917 2947),,(1.27370499033 3237),(1.07274587276 3380),,
Point0,H6,(-0.000551275044261 1),(-0.019374712958 119),(-0.0153389662563 281),(2.22044604925e-15 433),(0.0 504),(-1.7763568394e-15 576),(-0.666898209294 648),(-3.99680288865e-15 850),(-5.3290705182e-15 954),(3.5527136788e-15 1128),(-5.3290705182e-15 1266),(8.881784197e-16 1410),(-0.00254451385185 1556),(-2.22044604925e-15 1693),(-1.33226762955e-15 1831),(8.881784197e-16 1965),(3.5527136788e-15 2108),(2.6645352591e-15 2253),(4.4408920985e-15 2362),(-8.881784197e-16 2511),(-2.22044604925e-15 2688),(2.6645352591e-15 2822),(1.7763568394e-15 2966),(5.77315972805e-15 3108),(-0.00669618081634 3255),(0.0 3396),
