Cycle,0.843614703065
Average Width,0.0
Width,,0.0,11.5800741503,15.0397306096,0.0,0.0,0.0,9.55357152175,11.8520815034,36.5862654897,27.2395341935,14.8129875472,13.623899879,15.88585078,0.0,15.2138801705,0.0,15.6024603909,0.0,0.0,0.0,14.421857764,11.0894039299,30.1634581966,14.6803189143,122.144307082,27.0465823957,40.579304837,9.83934773176
Point0,H1,(11.0163899491 77),(7.12932304773 322),(10.7488781621 499),(3.65638618442 573),(6.04235659734 679),(12.8216114543 793),(7.45473293085 1017),(10.1896116246 1220),(8.20237369065 1393),(8.87537677881 1571),(8.97322851836 1749),(8.64567570663 1917),(10.4157056614 2073),(9.75420043106 2261),(8.79731291337 2469),(9.01920903283 2614),(8.62107999945 2822),(10.2047142166 2999),(10.457798865 3174),(8.76637030203 3343),(8.07922510583 3530),(9.43615011143 3713),(9.67667086312 3890),(9.19927160695 4070),(9.35992522884 4241),(8.32698845657 4412),(10.3194114818 4601),(9.61234329182 4772),(10.0414714319 4961),(5.32276107882 5037),
Point0,H2,,(-0.153983169126 356),,,,(-0.0101000533711 895),,(-0.00295221307544 1261),,,,(8.61104032085 1925),(9.80902135702 2099),,(-1.06581410364e-14 2516),,,(1.33226762955e-14 3042),,,,(-1.7763568394e-15 3763),(1.42108547152e-14 3939),,,(1.06581410364e-14 4464),,(-0.00370103374522 4817),,
Point0,H3,,(6.8696529362 400),,,,(5.31162453499 940),,(5.99634135062 1295),,,,(8.62910443241 1931),(9.85343712782 2106),,(5.60739650329 2543),,,(8.9552788956 3118),,,,(7.92857897477 3824),(5.75347960247 3969),,,(7.01028108667 4513),,(6.13214159808 4859),,
Point0,H4,,(6.72446523196 407),,,,(5.00392990496 951),,(5.77824503126 1304),,(6.2172489379e-15 1618),(1.7763568394e-15 1793),,(-3.5527136788e-15 2145),,,,(8.881784197e-15 2867),(8.88364165474 3125),(-4.4408920985e-15 3220),(0.0 3392),,(7.91883519088 3828),(5.63878654249 3976),(4.4408920985e-15 4117),(9.7699626167e-15 4289),(7.00468558134 4516),(2.6645352591e-15 4641),(5.23051048666 4873),,
Point0,H5,,(10.1942573112 472),,,,(6.72794189418 977),,(6.6535442344 1324),,(8.82961674309 1722),(8.0021334499 1866),,(8.01472575722 2193),,,,(8.91949379252 2968),(9.73342948281 3147),(7.56271813296 3293),(7.4772828914 3474),,(8.08147522274 3842),(7.70259753617 4037),(8.31131522057 4194),(8.05129127251 4378),(8.17277302278 4541),(8.78790048291 4729),(9.83922533625 4938),,
Point0,H6,(-0.036846022457 178),(-0.153983169126 356),(-0.0820906256826 549),(-0.0169096694928 633),(-0.151546860752 713),(-0.0101000533711 895),(7.9936057773e-15 1071),(-0.00295221307544 1261),(7.1054273576e-15 1441),(6.2172489379e-15 1618),(1.7763568394e-15 1793),(-6.2172489379e-15 1967),(-3.5527136788e-15 2145),(-7.9936057773e-15 2340),(-1.06581410364e-14 2516),(-1.86517468137e-14 2688),(8.881784197e-15 2867),(1.33226762955e-14 3042),(-4.4408920985e-15 3220),(0.0 3392),(-7.9936057773e-15 3568),(-1.7763568394e-15 3763),(1.42108547152e-14 3939),(4.4408920985e-15 4117),(9.7699626167e-15 4289),(1.06581410364e-14 4464),(2.6645352591e-15 4641),(-0.00370103374522 4817),(-0.0129540379489 5014),
Point1,H1,(11.9134108987 130),(9.02196375947 321),(12.8758704385 500),(3.1580944631 577),(6.20868849096 680),(12.6053167422 818),(10.077897489 1040),(11.6445498374 1220),(9.29602179487 1395),(10.4687704666 1572),(10.6332033495 1747),(10.1453424427 1912),(10.7279428961 2074),(9.9280160315 2262),(10.1315623031 2469),(9.87985223888 2642),(10.2417196346 2822),(10.7049208214 3000),(10.6990259117 3173),(9.23053119728 3347),(10.1773342619 3532),(10.8771474443 3715),(10.2558481548 3892),(10.4338533433 4071),(10.1872716782 4242),(9.15753400292 4391),(11.5615203299 4600),(11.7130567996 4777),(9.17528892972 4962),
Point1,H2,,(-0.00296271321532 370),,,,(11.997049235 839),(4.4408920985e-15 1072),,,,,(9.92577763879 1926),(10.2225967769 2096),,(8.881784197e-15 2517),,,,,(-1.7763568394e-15 3391),,,,,,,,,
Point1,H3,,(6.67797453301 401),,,,(12.2583697869 850),(7.23470510192 1120),,,,,(9.99322429774 1933),(10.4794430556 2109),,(5.1934617361 2543),,,,,(8.53155700807 3469),,,,,,,,,
Point1,H4,(-0.0140870275955 177),(6.65119657224 405),,,,(-0.0108491781189 898),(7.20985381103 1125),,(2.6645352591e-15 1443),,(6.2172489379e-15 1795),,(-0.00136663322727 2148),,(5.06676025736 2551),(-1.7763568394e-15 2687),(-5.3290705182e-15 2867),(7.9936057773e-15 3041),(3.5527136788e-15 3219),(8.32969721628 3480),,(0.0 3759),,,,(-6.2172489379e-15 4463),(2.6645352591e-15 4642),,
Point1,H5,(4.94774018763 222),(11.4606875262 471),,,,(6.04921617265 940),(10.804381593 1194),,(5.57952948251 1471),,(8.5147352458 1862),,(8.80112047341 2221),,(9.54557822357 2615),(9.13067947762 2791),(9.39838538895 2967),(8.27445716229 3116),(7.57668018236 3293),(8.71664010162 3496),,(8.53765756805 3837),,,,(8.69595882271 4538),(9.89779514769 4732),,
Point1,H6,(-0.0140870275955 177),(-0.00296271321532 370),(-0.151803491704 550),(6.27276008913e-15 631),(-0.154743750296 716),(-0.0108491781189 898),(4.4408920985e-15 1072),(3.5527136788e-15 1266),(2.6645352591e-15 1443),(7.1054273576e-15 1619),(6.2172489379e-15 1795),(-3.5527136788e-15 1967),(-0.00136663322727 2148),(6.2172489379e-15 2341),(8.881784197e-15 2517),(-1.7763568394e-15 2687),(-5.3290705182e-15 2867),(7.9936057773e-15 3041),(3.5527136788e-15 3219),(-1.7763568394e-15 3391),(-1.7763568394e-15 3569),(0.0 3759),(6.2172489379e-15 3940),(2.6645352591e-15 4117),(-1.7763568394e-14 4289),(-6.2172489379e-15 4463),(2.6645352591e-15 4642),(0.0 4818),
Point2,H1,(10.7419169999 138),(10.3517075263 269),(11.2074253584 498),(9.16459643971 675),(10.9787703821 854),(9.83088048559 1041),(11.1882456513 1219),(9.5318605521 1396),(10.7944282705 1573),(10.9108325252 1748),(10.5034396701 1923),(10.3239122519 2107),(10.5053070614 2287),(10.1794320282 2468),(9.75041319033 2641),(10.2705383831 2823),(11.2403643801 2998),(9.89988378527 3174),(10.032431269 3349),(10.8581774727 3533),(10.8630778424 3715),(10.0544158965 3891),(10.9902731939 4070),(11.5253335214 4242),(9.51116684383 4422),(11.488230363 4600),(11.9034384364 4779),(9.39922943303 4959),
Point2,H2,,(9.65870072183 308),(1.24344978758e-14 546),,(1.24344978758e-14 899),,(-8.881784197e-15 1268),,,,,(6.2172489379e-15 2145),,(3.5527136788e-15 2516),(0.0 2690),,(4.4408920985e-15 3043),,(-7.9936057773e-15 3393),(-1.24344978758e-14 3568),,,,(-0.00136102565564 4288),,,(-1.42108547152e-14 4815),,
Point2,H3,,(10.0540308023 320),(5.16804991918 578),,(9.35689527622 995),,(4.64253810029 1294),,,,,(7.2706319364 2192),,(4.8247227635 2544),(7.45919123921 2755),,(5.71036854812 3091),,(6.28588953427 3437),(5.71723544617 3615),,,,(6.76230448115 4336),,,(0.649963486438 4825),,
Point2,H4,,,(5.14797503582 583),(9.7699626167e-15 721),(9.28922829762 1005),(8.881784197e-16 1073),,(-0.00462232524786 1434),(-1.7763568394e-15 1622),,(8.881784197e-15 1969),(7.22447710695 2198),,(4.77466640271 2549),(7.45674533106 2758),(5.3290705182e-15 2866),(5.70983544283 3092),,(6.16772495897 3445),(5.63998144381 3622),(-1.59872115546e-14 3764),,,(6.73607841604 4342),,(-2.13162820728e-14 4642),(-0.0624046243506 4837),,
Point2,H5,,,(6.80660011909 614),(10.3112538806 824),(9.34257753177 1014),(10.0136507398 1191),,(10.0033029177 1544),(8.16078410811 1694),,(10.3046044381 2095),(8.6644160963 2221),,(8.49804701685 2600),(9.17850114201 2791),(10.1911642791 2972),(9.47009691109 3146),,(8.50267998023 3471),(10.666555381 3689),(7.9160846458 3839),,,(8.98353028513 4389),,(9.83889454944 4718),(4.61649179447 4859),,
