Cycle,0.693225806452
Average Width,7.97032878572
Width,,0,0,0,0,0,0,0,0,6.0944626155,0,0,0,0,0,0,0,6.00132484456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(12.3022505861 36),(13.3436259338 181),(14.2598557211 329),(12.8882425688 473),(14.4420123735 626),(14.8024923838 772),(14.9662621195 918),(14.2204927087 1065),(14.3231513933 1208),(13.5706826186 1355),(15.2494776538 1505),(13.0789117079 1647),(14.2352154283 1784),(14.0993438532 1927),(13.6930550444 2069),(15.0452128896 2210),(15.0835202185 2355),(14.2731473259 2498),(14.20326581 2641),(13.659715215 2788),(13.6108791454 2929),(14.1002078102 3074),(13.7555456729 3214),(14.0334343677 3354),(14.3536860763 3494),(13.0645734567 3637),(14.1897687881 3777),(14.352214576 3914),(12.682180068 4053),(13.7982334053 4197),(12.9487319481 4339),(13.6468790419 4480),
Point0,H2,,,,(4.95341948355 518),,,(6.65807309306 965),,(5.75392838641 1250),,,(6.30371736635 1679),,,,,(5.45745784837 2405),,,,(6.52279673469 2958),,(6.3097629889 3252),(7.11738595252 3394),,,(6.92894668782 3807),,,,,
Point0,H3,,,,(5.05014454181 526),,,(6.65882392696 967),,(6.0810918122 1261),,,(6.75872732746 1692),,,,,(5.77295345107 2415),,,,(6.5617336855 2963),,(6.31607968891 3255),(7.16714022712 3400),,,(6.94699185138 3810),,,,,
Point0,H4,,(0.842990884889 276),(6.46733178468 375),(1.64921762957 561),(7.21850200801 653),,(1.79315086909 1010),(2.85987810622 1155),(1.50995049414 1299),(5.99380579376 1397),(2.71249281585 1584),(1.75574201377 1732),(5.49579072208 1828),,(5.84497886229 2106),(3.91334811546 2260),(3.91266912315 2434),(6.42767149091 2546),(3.18419085977 2724),(2.13144841439 2867),,(1.54229966357 3156),(2.55133088894 3297),(1.83684863781 3443),,,(2.92205470969 3859),(1.30696589761 4009),,(7.43489552697 4242),,
Point0,H5,,(1.108032147 285),(6.47776982274 379),(1.89203643708 571),(8.15315668339 672),,(2.57331720901 1022),(2.97431733114 1162),(1.8459900435 1309),(6.10637436474 1406),(2.77609988361 1591),(1.93394167582 1740),(5.57742445752 1836),,(5.9127904977 2115),(4.42192606894 2271),(4.2694031185 2443),(6.96800911391 2558),(3.19614649148 2727),(2.26076536916 2875),,(1.73068283462 3164),(2.55590757998 3300),(2.11397637312 3452),,,(3.00038951101 3865),(1.30761100687 4010),,(7.43502582507 4243),,
Point0,H6,(-0.00350793867488 136),(2.6645352591e-15 299),(0.0 445),(3.5527136788e-15 592),(8.881784197e-16 732),(8.881784197e-16 889),(6.2172489379e-15 1038),(-3.5527136788e-15 1181),(7.1054273576e-15 1325),(7.9936057773e-15 1467),(1.06581410364e-14 1614),(0.0 1756),(2.6645352591e-15 1899),(6.2172489379e-15 2040),(3.5527136788e-15 2173),(9.7699626167e-15 2317),(1.33226762955e-14 2464),(8.881784197e-15 2606),(-5.3290705182e-15 2753),(-0.000381993775554 2895),(2.6645352591e-15 3037),(-6.2172489379e-15 3181),(6.2172489379e-15 3324),(1.24344978758e-14 3468),(2.6645352591e-15 3607),(4.4408920985e-15 3741),(4.4408920985e-15 3885),(-7.9936057773e-15 4026),(-2.6645352591e-15 4163),(0.0 4299),(1.15463194561e-14 4447),
Point1,H1,(10.6050480853 37),(10.871858268 180),(12.0726951807 328),(10.6610593866 473),(12.9212515046 626),(12.7970919244 772),(12.2686672661 917),(12.6556395234 1064),(13.0360195131 1206),(11.7000729453 1356),(13.2620265149 1504),(11.0611367299 1646),(11.7958381964 1783),(11.4847759035 1926),(10.9690370359 2068),(12.5763493326 2209),(13.477497319 2354),(12.4492512142 2498),(11.6035357683 2641),(11.4941923907 2789),(11.5335237291 2928),(12.1617343446 3074),(12.0007250631 3214),(11.5143118089 3356),(12.3446101903 3494),(10.209052373 3637),(11.9475556966 3777),(11.816246533 3914),(10.0459184933 4053),(10.921977669 4197),(10.6286969941 4338),(10.4237140637 4479),
Point1,H2,,(2.24195847666 246),,(4.33648515006 515),(6.50440484048 651),(7.59137033624 806),(6.04876953358 964),(4.91441791409 1128),(5.43213225389 1249),,,(5.769934655 1675),,,(4.80047464912 2109),(5.51850799915 2234),(5.2063425331 2403),,,,(5.27415133809 2956),(3.85688299983 3124),,,,(3.73710202348 3674),(4.32927058978 3827),,,(6.68389850066 4238),,
Point1,H3,,(2.41064258746 254),,(5.01329212364 528),(8.03269670716 674),(7.73794426423 817),(6.08104793362 970),(4.96053587076 1134),(5.98347772462 1262),,,(6.12373191292 1686),,,(4.80160216848 2111),(5.5878043259 2239),(5.70029010177 2414),,,,(5.50282835246 2965),(3.9247646909 3130),,,,(3.94368911088 3686),(4.67344154945 3837),,,(6.79328001369 4247),,
Point1,H4,,(0.375507841813 275),(5.77909977837 373),(1.61305041785 562),,,(1.42232579495 1010),(3.46035891708 1155),(1.76470131315 1298),,(1.8880482147 1582),(1.51486884193 1729),(4.43306140732 1827),(0.360696221812 2020),,(3.40129154544 2259),(3.13745961952 2434),(5.23706564964 2544),(2.88356336964 2719),(1.56959867745 2866),(2.10035669909 3006),(1.25249654091 3156),,(1.57059465018 3442),(3.61581829675 3560),,(2.10455674908 3858),(1.34980762928 4004),(-0.00360610023026 4152),,,
