Cycle,0.734635416667
Average Width,5.51261813559
Width,,0,0,0,0,0,7.42338751429,7.09835569571,7.13223453785,6.36315151106,5.55223909436,5.23307021386,5.29957289316,5.61436532187,4.52416875798,5.12623395973,5.10890042031,5.08077429324,5.17549277458,5.28397522829,5.07322386888,5.06282410267,4.92443936152,5.15500280454,5.56855750695,5.00895094541
Point1,H5,(4.35577065391 128),(2.57248931305 265),(3.73261748951 431),(4.15781350424 587),(4.03098094238 737),(5.67362201863 896),(5.67912872329 1054),(2.58056936645 1200),(3.67392598337 1360),(5.21510886564 1520),(6.54900755176 1680),(2.23967473088 1819),(5.70524184855 1985),(3.47419838654 2123),(6.26317338564 2286),(2.97271297958 2431),(5.08258483194 2590),,(4.90366580634 2897),(2.35068635068 3039),(3.68547374118 3201),(3.72539977354 3341),(6.5456345444 3506),,
Point1,H6,(-1.42108547152e-14 145),(-6.2172489379e-15 298),(5.3290705182e-15 449),(1.95399252334e-14 607),(-0.0139135538734 753),(1.7763568394e-15 913),(-7.1054273576e-15 1073),(-0.00332307299771 1223),(7.1054273576e-15 1379),(1.95399252334e-14 1540),(3.19744231092e-14 1698),(3.5527136788e-15 1851),(3.5527136788e-15 2001),(3.5527136788e-15 2156),(-3.5527136788e-15 2304),(0.0 2457),(8.881784197e-15 2607),(-1.24344978758e-14 2767),(-1.59872115546e-14 2912),(-1.7763568394e-14 3060),(-5.3290705182e-15 3216),(5.3290705182e-15 3366),(1.06581410364e-14 3522),(5.3290705182e-15 3680),
Point2,H1,(13.0753782669 27),(11.0866063991 176),(13.758991944 327),(12.2835412278 482),(12.1540686452 633),(15.4278151215 788),(15.4718036998 939),(15.3481391961 1101),(14.4201233349 1253),(20.3486989605 1413),(21.8810174175 1573),(20.6227620232 1729),(24.3262574818 1878),(25.2640211085 2025),(24.8243341515 2182),(23.4612119948 2329),(25.7503995011 2485),(24.4961963324 2634),(26.49819304 2791),(23.7743071282 2937),(25.1463371722 3093),(24.6337019177 3245),(21.9176683941 3397),(28.0118999188 3552),(22.9028962899 3705),
Point2,H2,(6.98093847925 62),,,,(5.23091504338 670),,(9.00515868653 979),,(5.18753341148 1280),(10.0690065936 1439),(10.5047914709 1598),(6.89110813449 1755),(12.6957098146 1903),,(11.1373220534 2205),(9.34849826254 2362),(13.2863381082 2511),,(11.3746063778 2826),,(10.4347133362 3121),,(8.17427949824 3423),(15.4450787668 3587),,
Point2,H3,(7.3467980185 73),,,,(5.28424999569 676),,(9.09529645069 987),,(6.74353630532 1301),(11.1577594013 1455),(11.731705092 1615),(10.2480877128 1774),(12.8251862071 1909),,(12.0333903425 2217),(11.2553067209 2378),(14.1115559693 2525),,(11.9656255374 2838),,(11.5511220827 3140),,(12.1694375835 3443),(15.7415179668 3597),,
Point2,H4,(1.80411063299 113),(6.97089885404 213),(1.7916786349 413),(1.49326147306 577),(0.63961330217 720),(2.77796081066 880),(3.12077297565 1025),(8.0229616708 1133),(6.2172489379e-15 1341),(2.61754541587 1501),(3.24191379659 1662),(0.325482659079 1808),(4.35017138982 1969),,(2.66244136586 2274),(0.889917505794 2418),(4.93943978615 2577),,(2.76164105473 2879),(0.450072714271 3025),(1.33286064798 3184),(1.8701886266 3327),(1.90887891385 3487),(5.0653505044 3649),,
Point2,H5,(2.33771766127 126),(7.11942415212 221),(3.340743746 431),(2.40810643969 591),(2.67605740415 737),(3.22955136412 892),(3.79166065984 1047),(8.54803827504 1145),(2.33621134162 1361),(3.46714105299 1516),(4.21442691159 1677),(1.02355201421 1822),(5.44014176079 1982),,(4.24757155733 2287),(2.08156471766 2433),(5.54522742763 2588),,(4.97430397627 2895),(1.62416130745 3041),(3.04154714184 3200),(2.54739268963 3339),(5.79830187213 3504),(6.75601885358 3662),,
Point2,H6,(1.7763568394e-15 144),(-0.00466905622282 297),(3.5527136788e-15 449),(1.33226762955e-15 607),(-2.6645352591e-15 753),(5.3290705182e-15 911),(3.5527136788e-15 1071),(-0.00247947443587 1214),(6.2172489379e-15 1341),(1.95399252334e-14 1540),(1.24344978758e-14 1696),(7.1054273576e-15 1848),(0.0 1999),(-0.00344696008273 2156),(-1.7763568394e-15 2303),(-5.3290705182e-15 2452),(-3.5527136788e-15 2607),(-2.13162820728e-14 2765),(-5.3290705182e-15 2911),(1.06581410364e-14 3058),(1.42108547152e-14 3214),(8.881784197e-15 3366),(1.06581410364e-14 3521),(1.95399252334e-14 3680),(2.39808173319e-14 3779),
Point3,H1,(7.12294054795 33),(6.51171220914 195),(7.22186326397 332),(7.54238478048 491),(5.6234261871 637),(8.86005747719 794),(8.63644449453 943),(9.20081086428 1106),(7.91597977496 1254),(12.8135021584 1416),(14.5090123556 1575),(14.5235628901 1731),(18.7621996629 1880),(16.5205695802 2026),(18.3361802553 2183),(17.0228707456 2331),(18.9133625993 2488),(17.9774372048 2636),(20.5352915861 2793),(17.6968042803 2938),(18.3934168833 3094),(17.7366981544 3248),(16.727963263 3399),(22.5818199548 3556),(16.9904910001 3706),
Point3,H2,,,(4.72749274624 360),,,,(5.85243749267 983),(6.25387293316 1131),(3.1680236189 1283),(8.07464394312 1442),(8.76856552865 1598),(6.21659253083 1758),,,(9.33777401274 2207),(7.13280212941 2365),,(8.62222855918 2672),,,(6.60424912753 3125),,(6.83085645287 3425),(12.7632856902 3592),,
Point3,H3,,,(4.88024257022 371),,,,(5.85894494356 987),(6.66209411485 1143),(4.40718781649 1306),(8.59866121254 1458),(9.60431663167 1616),(7.43801938599 1773),,,(9.46782201355 2213),(8.12826209981 2380),,(11.2891163236 2691),,,(8.30194623553 3145),,(10.1569024934 3445),(12.8404936 3599),,
Point3,H4,(3.21869932815 69),,(0.855887005566 417),(1.03399895589 581),(1.15420503938 723),(1.25232175987 880),(2.15439209872 1039),,(-0.00165416643807 1340),(2.32953160918 1504),(2.60351055372 1664),(0.439804663615 1809),(10.1645768173 1927),,(1.60902730876 2275),(0.669140928817 2419),(12.0642591828 2515),(1.82005279539 2743),(1.91754778623 2871),,(-0.00249441751205 3187),(1.30673036962 3329),(1.16744325863 3479),(3.2469045922 3650),,
Point3,H5,(3.27960521853 78),,(1.91037890096 433),(1.06685771131 588),(1.63037800442 736),(1.41849536145 891),(2.17114435619 1046),,(1.68776441929 1363),(2.89076311427 1518),(3.07174783832 1677),(1.29387770609 1825),(10.195360237 1931),,(2.69250136754 2288),(1.37569411725 2433),(12.5824253101 2530),(2.11444214256 2752),(3.93677071576 2894),,(0.219911293365 3200),(1.72044282705 3342),(5.19776758963 3504),(5.21398029966 3664),,
Point3,H6,(-1.06581410364e-14 143),(-6.66133814775e-15 300),(8.881784197e-16 451),(-1.99840144433e-15 608),(-0.0100279028239 754),(-0.0175488970865 911),(4.4408920985e-16 1072),(-0.00608602999073 1210),(-0.00165416643807 1340),(-0.00677642303986 1543),(1.24344978758e-14 1698),(-0.00446346724325 1848),(3.5527136788e-15 2000),(-0.00436637598414 2158),(-1.7763568394e-15 2304),(-0.00115858289004 2451),(1.7763568394e-15 2608),(8.881784197e-15 2766),(2.6645352591e-15 2912),(-8.881784197e-15 3031),(-0.00249441751205 3187),(-0.00828406318177 3367),(-1.59872115546e-14 3522),(-1.06581410364e-14 3681),(-8.881784197e-15 3772),
