Cycle,0.803475783476
Average Width,5.61862017504
Width,,5.6820433388,5.73122769795,5.80458009427,5.70670345832,5.77539524859,5.96078460926,5.97860143007,5.68110958726,5.88120909806,5.83395736657,5.53072990539,5.81215642808,5.60075448098,5.57353861542,5.76064485181,5.47794449893,5.59796512656,5.64916907271,5.50034434259,5.50836368365,5.51442850607,5.45916617359,5.3045072862,5.39912204121,5.45295627893,5.49889805883,5.28775087176
Point1,H6,(0.0 158),(6.2172489379e-15 329),(4.4408920985e-15 505),(-8.881784197e-15 670),(-1.7763568394e-14 845),(-6.2172489379e-15 1018),(-6.2172489379e-15 1181),(-8.881784197e-15 1356),(-7.1054273576e-15 1516),(-1.7763568394e-15 1681),(-4.4408920985e-15 1857),(-1.7763568394e-15 2025),(-8.881784197e-16 2203),(-2.6645352591e-15 2375),(-6.2172489379e-15 2540),(-8.881784197e-16 2712),(1.7763568394e-15 2875),(7.1054273576e-15 3007),(1.06581410364e-14 3197),(7.1054273576e-15 3353),(5.3290705182e-15 3517),(-0.00393256207896 3680),(4.4408920985e-15 3840),(7.9936057773e-15 4010),(6.2172489379e-15 4176),(2.6645352591e-15 4337),
Point2,H1,(16.5023668027 35),(15.5788148525 193),(17.1533023858 359),(17.0637355317 535),(17.0055489926 704),(17.031179299 879),(16.3213657583 1047),(16.8468479478 1215),(17.29353097 1385),(16.0332560699 1546),(18.039358957 1716),(17.1766353656 1891),(16.3972149556 2056),(18.1885049572 2233),(17.0269355884 2406),(17.2655019695 2573),(17.549696733 2742),(16.7841964571 2902),(16.6011839275 3062),(16.576986002 3228),(16.3667490112 3382),(17.2626564204 3546),(17.2028172985 3714),(18.0436593483 3875),(18.3355572267 4039),(17.0360840511 4210),(18.0660491893 4371),
Point2,H2,(8.08125185736 60),,,(8.64898417841 567),(8.92469763711 731),,(7.6209974816 1075),,(9.65211153366 1416),(7.59216948156 1574),(9.68342071975 1740),(8.03842680697 1918),,,(7.42955673851 2431),,(8.81021740026 2769),(6.25680703975 2931),,(6.59149727875 3257),(7.78415740368 3409),(9.8749791401 3576),(7.22412136949 3739),(8.02375726021 3901),(9.14965395276 4066),,
Point2,H3,(9.68080181742 79),,,(9.05721567276 582),(10.096393601 746),,(9.35867717686 1094),,(10.8039021699 1434),(9.44926989635 1591),(11.2306971492 1758),(10.3037877491 1937),,,(10.7724469261 2453),,(9.92507126567 2789),(8.1699068562 2951),,(8.64534677535 3275),(9.36611333496 3430),(10.5325225692 3590),(8.95869700802 3757),(10.7010661904 3920),(10.9530905926 4088),,
Point2,H4,(2.30411058933 130),(8.40046359464 220),(9.40005598742 392),(2.78838979959 640),(2.68102932742 819),(9.49211491525 906),(1.96025602837 1154),(8.8561015141 1241),(2.67081653122 1492),(2.47708842023 1648),(4.59179666199 1799),(1.27607521953 2005),(8.91699398357 2085),(10.3412317142 2265),(2.73643567965 2517),(8.74552332323 2601),(1.71346697421 2852),(-5.3290705182e-15 3010),,(0.75118123088 3334),(2.38486469408 3490),(1.94237975719 3649),(1.92634520672 3810),(1.56814843403 3986),(3.40382196094 4146),,
Point2,H5,(2.8021365035 141),(9.39675567992 235),(9.71864246699 406),(2.94562868928 649),(2.70712974987 824),(11.2415182956 924),(2.27947274792 1165),(11.0433738148 1260),(2.77234289681 1499),(2.58120900071 1656),(4.63598392399 1805),(1.34628316786 2012),(9.56530560111 2101),(10.652465259 2276),(2.74083876446 2519),(10.8807706596 2620),(1.84449629054 2860),(0.876940563474 3026),,(0.787096155651 3340),(2.84439858325 3501),(2.27482149525 3660),(2.25571686564 3820),(1.77107730741 3996),(3.41227447506 4150),,
Point2,H6,(-0.00180523895315 159),(-1.15463194561e-14 329),(-2.6645352591e-15 505),(-0.00353693691424 670),(-5.3290705182e-15 846),(-1.06581410364e-14 1019),(-1.42108547152e-14 1182),(-1.06581410364e-14 1356),(-1.15463194561e-14 1517),(-0.00169317330444 1681),(8.881784197e-16 1857),(6.2172489379e-15 2027),(-1.7763568394e-15 2203),(9.7699626167e-15 2377),(8.881784197e-16 2541),(-8.881784197e-16 2713),(-0.00295549140226 2876),(-5.3290705182e-15 3010),(-7.9936057773e-15 3198),(-9.7699626167e-15 3353),(-4.4408920985e-15 3518),(4.4408920985e-15 3680),(-0.0017442365504 3840),(-3.5527136788e-15 4011),(-1.33226762955e-14 4176),(-4.4408920985e-15 4338),
Point3,H1,(10.999842007 34),(11.5892680685 192),(12.4814905555 358),(12.2652912389 533),(12.4896097271 703),(12.7197394959 879),(11.7342857213 1045),(12.4859604348 1214),(12.6173299965 1384),(11.2894302933 1545),(13.1636742432 1714),(12.4390356688 1890),(11.8114979161 2054),(13.4491488525 2231),(12.4541884271 2404),(12.2413398815 2573),(12.803212851 2741),(12.5051334648 2900),(11.7761034768 3060),(11.6775184191 3228),(12.0453593257 3381),(12.678107328 3545),(13.2597881469 3712),(13.7592111939 3873),(13.8714926257 4038),(12.5402203486 4208),(12.8365463586 4370),
Point3,H2,(5.64063662977 59),(6.49246421365 218),(6.8841797323 392),(5.81404978437 563),(6.15488716657 729),(7.31458069527 904),(5.97264535853 1073),,(7.58045436889 1419),(5.56203057615 1572),,(6.1923398888 1917),(6.37584909704 2087),,,(6.53461778439 2599),(6.69773023065 2770),(4.77607960871 2931),,(4.15294826522 3258),(6.17676924088 3410),(7.73655366883 3576),(4.93070455674 3736),(5.9757374311 3899),,,
Point3,H3,(6.56466389263 78),(6.887885739 231),(7.17956615289 406),(6.42645551707 579),(7.12845692236 745),(8.46914647192 921),(6.93857864281 1092),,(8.43973888581 1435),(6.79311777648 1588),,(7.87983701181 1936),(6.86331609457 2103),,,(8.11455099728 2618),(7.1789151831 2789),(5.83419581671 2951),,(5.53164964639 3276),(7.10599540235 3428),(7.98627085595 3586),(6.49191110727 3756),(7.84651149369 3919),,,
Point3,H4,(1.3957156967 131),(2.36314856506 289),(1.11319427914 480),(2.55370063041 639),(2.8525258008 786),(1.70682234522 991),(1.60166696638 1153),,(1.53987101558 1490),(1.77363530471 1645),(7.13747597782 1737),(1.62448622585 2000),(2.94467887233 2152),(8.09548008469 2273),(6.00140004498 2429),(1.22067115703 2693),(1.32154328539 2849),(-0.00135137326221 3010),,(0.0484165901338 3323),(2.14007705326 3487),(1.05018209343 3651),(1.36048275444 3807),(1.33274792846 3980),(6.35654233869 4064),,
Point3,H5,(1.41769523729 136),(2.57639953656 302),(1.1302533366 485),(2.70475503181 648),(3.04557464876 797),(1.91113707621 1001),(1.87226742829 1163),,(1.65500364745 1498),(1.79028958658 1650),(8.19655375175 1754),(1.72156560763 2009),(3.03203194152 2161),(8.10472171574 2276),(7.967444549 2449),(1.22142337865 2695),(1.72528554371 2860),(0.213897607164 3021),,(0.672887667292 3340),(2.44125622851 3498),(1.0537951975 3654),(1.65624267123 3818),(1.89843704377 3994),(8.74912022496 4085),,
Point3,H6,(8.881784197e-16 157),(8.881784197e-15 328),(2.6645352591e-15 504),(1.7763568394e-15 670),(-6.2172489379e-15 843),(8.881784197e-16 1019),(3.5527136788e-15 1181),(8.881784197e-15 1355),(4.4408920985e-15 1515),(-4.4408920985e-15 1680),(-6.2172489379e-15 1855),(-1.7763568394e-15 2027),(-8.881784197e-16 2202),(-3.5527136788e-15 2375),(-8.881784197e-15 2538),(2.6645352591e-15 2713),(-4.4408920985e-15 2875),(-0.00135137326221 3010),(1.7763568394e-15 3195),(-2.6645352591e-15 3352),(2.6645352591e-15 3516),(-0.00932729525085 3677),(-0.00494722487938 3839),(-8.881784197e-16 4010),(-8.881784197e-16 4175),(-1.7763568394e-15 4337),
Point4,H1,(5.99467204662 36),(5.89683620125 197),(6.88223783436 358),(6.61375597469 523),(7.22677154195 698),(7.20194289943 868),(8.34843739621 1044),(6.32715676044 1211),(7.04603444863 1379),(7.2672304933 1550),(6.40039490753 1710),(8.2547388563 1878),(7.07049674797 2055),(6.92702693089 2218),(8.16830979986 2397),(6.78580617959 2569),(7.10938008239 2738),(7.63091458662 2904),(7.59939169362 3065),(6.94333570055 3223),(6.44675366284 3393),(7.70727099462 3545),(6.93862823469 3710),(7.18941488505 3876),(7.91652280998 4036),(7.92554193854 4202),(6.79152495822 4373),(7.55321977174 4534),
Point4,H2,,(2.71306500387 220),,,(3.10307888462 731),,,(3.28952667519 1239),,(4.9252871894 1577),(2.83772956538 1742),(4.77274993774 1901),(4.68184902826 2077),(4.60203782675 2251),(4.96709748005 2434),,,(4.62058775528 2945),(3.1869807922 3094),(2.45556504236 3260),(1.50511095716 3420),,(4.08670814026 3744),(2.34031212859 3898),,(4.56488259293 4238),(2.89528627116 4398),,
Point4,H3,,(3.71130684384 241),,,(3.51137999411 748),,,(3.71260210179 1255),,(5.34290284535 1592),(3.74824498469 1761),(5.1992433377 1914),(5.17016938682 2094),(4.68983148745 2262),(5.39653606815 2446),,,(4.92719199655 2958),(4.12623225068 3113),(3.31686062517 3279),(3.10395761585 3442),,(4.51488163604 3757),(3.04007011484 3911),,(5.35743393891 4255),(4.2390904906 4420),,
Point4,H4,,(1.31969722214 292),(1.17791326357 466),,(1.68930556604 788),(1.37271951773 965),(5.40101419641 1070),(1.11977876203 1310),,(1.52703061502 1641),(1.78276884117 1794),,(1.57749336814 2162),(1.9451174478 2314),(0.894925037836 2502),,(3.61445344037 2763),(0.26045535248 3008),(0.714781766813 3168),(0.688465660053 3310),(-0.000422983155906 3470),,(-0.0108730995886 3815),(0.284568189339 3971),,(2.95482075013 4282),(0.746131639553 4458),,
Point4,H5,,(1.38884805935 301),(1.22196317538 473),,(1.69096814076 792),(1.44311616609 976),(6.21404587038 1089),(1.31960546814 1324),,(1.74328259054 1654),(1.95044977275 1811),,(1.70332498723 2172),(2.37786649333 2331),(1.22704064163 2520),,(4.88755403772 2784),(1.29824317505 3024),(0.832103481891 3181),(0.930566426726 3333),(1.72292906022 3504),,(0.00945939995337 3822),(0.756408167726 3986),,(3.0083622756 4289),(1.26924394222 4477),,
Point4,H6,(-0.0360211964813 3),(-0.0135502042716 169),(-0.00234101940282 324),(4.88498130835e-15 494),(-3.99680288865e-15 667),(0.0 832),(6.66133814775e-15 1003),(1.7763568394e-15 1183),(4.4408920985e-15 1345),(-4.4408920985e-16 1519),(1.7763568394e-15 1679),(-2.6645352591e-15 1845),(4.4408920985e-15 2021),(1.7763568394e-15 2191),(-1.33226762955e-15 2366),(0.0 2541),(8.881784197e-16 2703),(3.10862446895e-15 2877),(-5.77315972805e-15 3039),(-5.3290705182e-15 3197),(4.4408920985e-16 3357),(-0.000422983155906 3470),(-0.00453080820393 3682),(-0.122863541051 3837),(-2.22044604925e-15 4003),(8.881784197e-16 4175),(-0.00647138596849 4342),(2.88657986403e-15 4504),
