Cycle,0.796053652467
Average Width,7.86078802663
Width,,4.36029213098,4.20925928137,3.67368328679,5.51537037249,4.60632121661,5.3415668597,6.82194333067,4.33205471532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56206819103,35.4978363587,0,33.5794236565,5.4160340079,4.2805529012,3.97820310383
Point0,H1,(17.0742820979 28),(20.2116512788 183),(14.9090122692 324),(12.5722436597 454),(12.4150010358 584),(11.4702989062 725),(10.6008226271 873),(11.6639123293 1030),(10.6800868137 1711),(15.0009500897 1796),(13.8814051526 1939),(12.0939209281 2245),(59.2493909657 2455),(14.3363158938 2560),(15.0546617522 2698),(11.5939209002 2828),(13.7158774804 2967),(14.5296644716 3110),(14.0356022534 3255),(15.9843327429 3401),(15.2419037733 3557),(12.7148461901 3833),(11.0739190845 3974),
Point0,H2,,(11.1271149063 207),(4.05125710678 348),(5.18162605604 478),,,,,(10.2557930312 1727),(0.98945190151 1827),,(7.83983074637 2273),,(7.63494894209 2582),,,(7.20370160373 2989),,(9.82382541342 3277),,,,,
Point0,H3,,(11.6755073919 217),(6.17945716825 363),(6.19288684152 491),,,,,(10.2565794656 1729),(2.72830172543 1846),,(7.84018076449 2274),,(12.3643766528 2602),,,(7.48144541562 2996),,(10.2398774907 3289),,,,,
Point0,H4,(2.15685000815 111),(3.71653641597 258),(-0.00452579898275 399),(1.26192422567 530),(0.381592845396 659),,,,(9.49123063919 1748),(-0.00591587400506 1871),,,,(2.26332379374 2638),(1.35481749641 2771),(5.65562626087 2863),(0.60990321484 3044),(1.08701680431 3184),(3.05455030688 3348),,,(-0.0745786349854 3905),,
Point0,H5,(2.23581160204 118),(3.79165223752 264),(1.07128723053 417),(1.85140738085 543),(0.818019110796 672),,,,(10.0426848486 1761),(0.358124615468 1883),,,,(4.3168036381 2656),(2.03474231598 2784),(6.01688259711 2874),(0.897173192597 3055),(1.22422399618 3192),(3.59214836206 3359),,,(-0.0104567687701 3911),,
Point0,H6,(-0.00517065829441 1),(1.06581410364e-14 147),(7.1054273576e-15 294),(-0.00452579898275 399),(3.5527136788e-15 558),(-0.00216034565572 691),(-5.3290705182e-15 798),(-1.06581410364e-14 960),(-2.22044604925e-15 1108),(-3.5527136788e-15 1324),(-3.10862446895e-15 1486),(-0.00773106377448 1598),(-0.470531942404 1900),(-0.0468662116876 2038),(-0.078637428231 2209),(-0.129952090989 2346),(-0.0311953727412 2530),(2.26332379374 2638),(2.44249065418e-15 2800),(-0.0180641148295 2938),(-0.0150879567615 3071),(-0.00504222009962 3214),(1.68753899743e-14 3376),(-0.012052561501 3523),(5.3290705182e-15 3664),(7.1054273576e-15 3808),(-1.69908915106 3944),
Point1,H1,(25.0030986962 28),(26.3595211173 182),(20.9040499588 324),(17.986981628 454),(19.7317784484 584),(18.411693277 724),(16.8490694663 874),(17.8661806497 1029),(14.514468434 1192),(13.6948020175 1353),(13.7393383021 1511),(14.4111840424 1655),(19.9728325162 1796),(18.593587947 1939),(15.194358011 2087),(19.2577168322 2244),(62.7062616874 2456),(25.6947942095 2559),(26.4100503823 2696),(25.7115478963 2830),(28.7296184321 2967),(28.1798798648 3109),(30.4684443116 3254),(30.7016253189 3401),(28.2119950456 3557),(23.6543536758 3698),(26.603108788 3832),(24.3637550967 3974),
Point1,H2,,(10.9608726967 207),(4.3341810404 347),(5.70356854281 477),,,,,(-0.000494719764475 1269),,(1.08411069975 1540),,(3.89163932213 1826),,,(9.59111179466 2271),,(9.83208180405 2584),(11.641933022 2721),(12.4080465339 2860),(14.42505475 2990),(15.9746871997 3136),(17.8621001951 3277),,(11.25794254 3580),(8.79129805553 3721),(11.409343849 3859),,
Point1,H3,,(11.5311980505 216),(7.58016910635 362),(7.48089879036 491),,,,,(0.279053857704 1289),,(3.69739634969 1558),,(5.17360064012 1843),,,(9.87803363396 2279),,(15.6372677658 2603),(13.5497544234 2738),(13.680825999 2872),(15.0044660105 2998),(16.3103963497 3144),(18.744327551 3288),,(15.2008372882 3597),(14.1506880835 3739),(11.4735329123 3864),,
Point1,H4,(2.27487736543 107),(2.61315039931 257),(1.50990331349e-14 399),(1.31275501393 528),(-1.7763568394e-15 658),,(-0.00326798998017 955),,(0.225411219141 1296),,(0.127003180348 1580),,(1.7763568394e-15 1873),,(0.185355198324 2162),,,(-0.132474542041 2639),(1.89394204823 2771),,(2.42821545277 3043),(3.67295720831 3186),(5.26151923761 3347),(4.0262677025 3489),(3.04512895183 3634),(2.2812024219 3778),,,
Point1,H5,(2.78492065471 119),(2.90830208159 265),(1.56968371579 416),(2.39459650317 542),(1.10940796579 674),,(0.775567442051 974),,(0.70939401014 1312),,(0.544092668589 1590),,(0.83425717401 1888),,(2.342715234 2186),,,(2.47087753405 2655),(3.05979928444 2784),,(3.3041484273 3055),(4.03005505906 3195),(6.25088852031 3359),(4.28610722689 3498),(3.80392166604 3645),(4.50108955915 3792),,,
Point1,H6,(-0.00399576828074 149),(0.0 293),(1.50990331349e-14 399),(-4.4408920985e-15 557),(-1.7763568394e-15 658),(-8.881784197e-15 795),(-0.00326798998017 955),(-0.00574898586011 1110),(0.0298813879209 1167),(-0.000494719764475 1269),(-6.2172489379e-15 1324),(5.3290705182e-15 1460),(-0.00880767111529 1601),(-0.0721773405845 1902),(-0.986466742648 2036),(-0.104978750592 2207),(-0.0938476548746 2347),(1.42108547152e-14 2529),(-1.49179294678 2670),(-0.00988015910169 2799),(8.881784197e-15 2938),(1.59872115546e-14 3074),(5.3290705182e-15 3218),(1.7763568394e-14 3376),(2.13162820728e-14 3525),(-5.3290705182e-15 3665),(1.59872115546e-14 3807),(2.48689957516e-14 3945),
Point2,H1,(22.2773748325 27),(20.6047622919 182),(14.5068168713 323),(18.4428372874 583),(19.3184278344 724),(19.7601148952 872),(19.682103346 1029),(16.3045254215 1190),(20.639600834 1793),(18.1110870102 1936),(14.3736424971 2085),(20.1055333653 2244),(83.3545172768 2458),(26.5269550724 2560),(31.4309669486 2696),(29.0278717605 2831),(34.4285979276 2967),(36.1634849982 3109),(39.676137741 3254),(34.7804205185 3401),(33.1707036942 3558),(30.119163472 3698),(32.7313651603 3832),(25.0549400354 3974),
Point2,H2,,(5.15137760572 207),,,,,,,(-0.0206909464818 1826),,(-0.437234555664 2112),,,(7.39207857677 2585),(11.7004332051 2721),(9.96543691838 2861),(13.2797558009 2991),(16.7323042829 3134),,,(9.57586125267 3580),(8.07282687933 3722),(10.0276249727 3861),,
Point2,H3,,(5.76550557467 216),,,,,,,(3.71597526554 1855),,(0.214418592458 2125),,,(14.896398629 2604),(14.1267989782 2738),(12.2343282663 2874),(14.4008597349 3000),(18.5085874571 3146),,,(15.0269880247 3596),(15.8283582859 3741),(10.1415568187 3867),,
Point2,H4,(-0.0506032337737 104),(1.1990408666e-14 252),,,,,,,(3.56173968351 1864),,(-2.97183433468 2153),(7.91117533993 2271),,(-0.107592251614 2641),(1.18553437538 2771),(1.27706397191 2917),(2.06352363966 3043),(1.79512321292 3184),,(3.35782612154 3488),(1.97637267134 3634),(2.35299697973 3777),(-0.0767628162111 3907),,
Point2,H5,(1.67259530818 124),(1.59001774003 269),,,,,,,(4.461042506 1883),,(0.899702879412 2191),(8.75733899261 2282),,(4.05015838034 2658),(3.51401616129 2786),(1.36236685439 2926),(3.09610661996 3054),(3.68662387871 3199),,(3.80529008177 3498),(3.88704022768 3647),(5.45333158788 3793),(0.403827441168 3917),,
Point2,H6,(-0.059535446509 1),(-0.0506032337737 104),(1.1990408666e-14 252),(-0.00447479126949 390),(-7.1054273576e-15 523),(-1.33226762955e-14 654),(1.06581410364e-14 792),(-1.7763568394e-15 951),(-6.2172489379e-15 1095),(-0.0136363516162 1251),(-0.00431498652265 1418),(-1.42108547152e-14 1577),(-0.00502986293815 1675),(-0.0206909464818 1826),(3.31096932193 1900),(2.24466397284 2038),(-2.97183433468 2153),(-0.251179650533 2345),(-0.0689522569312 2531),(-0.352234729362 2672),(-4.70734562441e-14 2801),(-1.95399252334e-14 2939),(-5.3290705182e-15 3073),(-1.06581410364e-14 3219),(3.5527136788e-15 3376),(-0.00962542488063 3526),(-2.84217094304e-14 3665),(1.42108547152e-14 3808),(-2.19726454063 3948),(-1.08961828461 4045),
