Cycle,0.831339285714
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Point0,H1,(9.10989270102 34),(8.88076205801 208),(11.0452114188 388),(9.25331140542 548),(10.7406499759 722),(6.1420522924 900),(8.85087106281 1055),(9.79499956474 1218),(10.8956797784 1391),(11.6852545068 1569),(9.30396929857 1731),(9.80940735341 1908),(12.4923115665 2065),(8.67687234678 2227),(10.3574616766 2400),(9.93191478726 2578),(9.60406636241 2752),(8.95294553229 2926),(10.2712933936 3107),(11.7531512138 3293),(12.4788566178 3466),(11.7155299117 3636),(12.0524953132 3817),(13.1810016873 3996),(11.7134645488 4175),(10.9477691276 4337),(11.0741933545 4512),(11.0838790727 4688),(10.1289659662 4864),
Point0,H2,(3.93223678529 85),(7.69286594003 224),,(8.78059141516 562),,,(6.6431913498 1086),,(8.35125152256 1413),,,(6.23918829211 1936),,(7.34468810626 2247),,,(5.68296533805 2790),,,,,(6.51705236665 3680),,,,(9.68601153293 4350),,,,
Point0,H3,(3.95012089156 90),(8.00462545801 234),,(8.78414632603 564),,,(6.71023201168 1094),,(8.56231218219 1424),,,(6.82810274835 1950),,(7.35090400302 2251),,,(6.11972930577 2807),,,,,(6.61158505897 3689),,,,(10.4888275341 4361),,,,
Point0,H4,(1.00461563973 140),(5.64702528735 260),(6.73321476091 434),(6.4590813868 595),(5.85501227493 770),(4.68913472963 926),(0.351983599364 1169),(1.76437207529 1322),,(1.41231825981 1663),(-0.120047168322 1839),(1.60713754199 1993),,,,,(2.10842712999 2845),(5.01247690391 2974),(1.39774490322 3226),(6.65831835066 3342),(6.33594834299 3503),(1.15588011938 3754),,(8.10800197949 4045),(5.35635872329 4208),(6.45525373632 4383),,(1.73792350428 4797),,
Point0,H5,(1.41237864113 153),(5.69268811758 267),(6.74808734647 439),(6.4785530567 601),(5.86818459034 775),(5.79071478963 950),(0.427061806659 1176),(1.92584027235 1332),,(1.58703626195 1672),(0.0647807503495 1850),(1.93654964122 2005),,,,,(2.37523060285 2859),(5.6917716025 2988),(1.84806900603 3239),(6.98105118067 3353),(6.84998058563 3524),(1.36311820109 3765),,(8.13929297552 4051),(5.92503434861 4224),(7.38660865217 4396),,(1.89239636762 4806),,
Point0,H6,(-0.0198061979469 1),(4.4408920985e-16 174),(0.0 348),(-1.7763568394e-15 519),(-1.06581410364e-14 679),(-5.77315972805e-15 856),(2.6645352591e-15 1017),(1.7763568394e-15 1187),(-0.00242315846947 1356),(8.881784197e-16 1529),(-0.0101190230945 1690),(-0.120047168322 1839),(7.9936057773e-15 2027),(4.4408920985e-15 2198),(6.2172489379e-15 2368),(8.881784197e-15 2547),(0.0 2711),(5.3290705182e-15 2886),(-0.00108088292022 3070),(-1.7763568394e-15 3257),(-1.7763568394e-15 3431),(-0.000466961055332 3605),(-2.6645352591e-15 3782),(-2.6645352591e-15 3956),(-0.00684487378473 4122),(-3.5527136788e-15 4310),(-2.6645352591e-15 4475),(-8.881784197e-16 4651),(-3.5527136788e-15 4827),
Point1,H1,(14.9013732658 32),(14.0656725683 206),(14.3399990049 381),(13.1354591753 550),(15.3637447483 718),(12.5856621494 891),(14.3172056682 1050),(14.336770158 1217),(15.014504865 1389),(13.8828761019 1564),(12.7789395322 1727),(12.8749926695 1900),(10.0844587908 2061),(12.5452220135 2222),(12.7651547479 2398),(13.6995244412 2574),(13.8845058312 2747),(14.3262385833 2925),(13.3432982121 3102),(12.7353758917 3290),(11.2430702097 3467),(13.1844657744 3635),(12.6017638091 3819),(13.0348833881 3996),(12.7372273801 4174),(11.2261074602 4335),(10.6871652969 4512),(12.1076871959 4685),(11.7931646325 4861),
Point1,H2,,,,,(7.93841565491 765),,,,(7.09827117503 1437),(6.0190019737 1610),,,,(10.8948366545 2239),,,,,,,(5.8482841844 3516),,,,,(5.37036283011 4395),,,
Point1,H3,,,,,(8.15882040779 774),,,,(7.32232446806 1447),(6.0503002381 1616),,,,(10.9483441922 2244),,,,,,,(5.93876390209 3524),,,,,(5.61463611423 4405),,,
Point1,H4,(0.621410038723 158),(7.23422125319 250),(7.36911390644 427),,(2.95276209648 824),(7.92181707175 932),,,(2.81801192172 1489),(1.47405138523 1659),,(6.33052361376 1947),(6.26957688034 2108),(7.42568726846 2268),(0.958354871386 2521),(6.38251202296 2620),(1.71685879866 2858),(6.81172150127 2976),,(1.71299455212 3399),(1.01280554189 3576),(2.31432183725 3753),(1.77178670048 3934),(0.0220336708321 4111),(6.21295571555 4220),(2.15269109249 4433),(6.5967183327 4554),,
