Cycle,0.904083333333
Average Width,0
Width,,131.097347665,0,1018.32216809,109.127987082,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(57.35533382 42),(69.2524269881 257),(62.3464473974 441),(65.7382277992 650),(64.451470759 865),(59.737541199 1049),(69.9801935029 1258),(59.4205247074 1471),(64.9704755377 1657),(66.1393811324 1866),(62.8379304969 2078),(68.7490055171 2270),(59.1238952591 2460),(66.3437629878 2667),(63.3438018626 2874),
Point0,H2,,,(55.865741917 455),(3.60073519644 789),,(51.9010960017 1064),(11.5770936212 1397),,,,,,,(63.3425209867 2677),,
Point0,H3,,,(56.9373074457 463),(4.26084762886 798),,(52.5143605668 1070),(11.6837298794 1402),,,,,,,(66.2496067435 2688),,
Point0,H4,,,(8.57386079457 579),(4.61852778244e-14 812),,(3.74188415309 1183),(1.7763568394e-14 1423),(5.37427281537 1584),,(11.3367482182 2004),(7.53892396462 2194),,,(11.9160355307 2804),,
Point0,H5,,,(8.66618416689 584),(63.2619236504 842),,(5.11802926602 1197),(58.0166192422 1455),(5.73547555567 1593),,(12.0911386542 2013),(9.11501241355 2206),,,(12.0236500096 2809),,
Point0,H6,(-0.0390871335019 1),(2.13162820728e-14 205),(3.5527136788e-15 410),(1.42108547152e-14 608),(4.61852778244e-14 812),(-7.1054273576e-15 1016),(0.0 1216),(1.7763568394e-14 1423),(0.0 1620),(0.0 1824),(-2.48689957516e-14 2031),(-0.0232360189553 2223),(-1.7763568394e-14 2431),(-2.13162820728e-14 2635),(-7.1054273576e-15 2833),
Point1,H1,(46.8159642283 43),(56.5109784884 257),(51.4850507475 441),(55.3519828748 650),(55.0970383551 842),(53.1491480638 1049),(64.8948900771 1258),(55.0957371142 1471),(61.7060543155 1658),(61.5278321604 1866),(57.9385219385 2079),(62.5072162016 2270),(51.606684318 2460),(59.8684304561 2688),(57.1619665309 2875),
Point1,H2,,,(45.6504258417 455),,,(46.2918898439 1064),(10.6308915852 1397),,,,,,,,
Point1,H3,,,(46.6112600934 463),,,(46.8455853974 1070),(10.8036672405 1403),,,,,,,,
Point1,H4,,,(7.28438600601 579),(2.44092674404 789),(50.8469919179 853),(4.55217730165 1184),(-1.7763568394e-14 1423),(4.92700302093 1586),,(10.3431355233 2005),(6.75451172859 2194),(10.2667536878 2406),,,
Point1,H5,,,(7.35700139237 584),(3.26487911805 799),(54.3412853774 865),(5.18848049986 1195),(53.3045300318 1454),(5.20507295515 1594),,(10.7982560443 2012),(8.57850882199 2206),(10.3222797928 2410),,,
Point1,H6,(4.26325641456e-14 205),(-1.06581410364e-14 410),(0.0 608),(-7.1054273576e-15 812),(1.42108547152e-14 1016),(-0.000915812598741 1215),(-1.7763568394e-14 1423),(3.5527136788e-15 1619),(-3.5527136788e-14 1824),(-7.1054273576e-15 2031),(2.48689957516e-14 2224),(2.13162820728e-14 2431),(-0.00493044316643 2634),(0.0 2833),
Point2,H1,(14.5970572339 41),(17.8483790808 256),(15.3950850473 441),(15.7778894441 650),(18.2488104153 843),(16.6791555518 1048),(22.680436633 1258),(20.1996417114 1472),(22.5418423082 1658),(22.0786196055 1865),(20.8250506694 2080),(21.1990831455 2271),(17.0459326979 2480),(20.9734734757 2666),(19.3585877209 2875),
Point2,H2,(1.88754753804 152),,(13.5856013796 455),(8.48867859825 695),(17.1832677075 853),,,,,,,(8.00521467265 2349),(1.79036314282 2585),,
Point2,H3,(2.29007869068 167),,(13.9837218974 464),(9.18652307954 707),(18.2220569455 865),,,,,,,(8.04273130852 2355),(2.17871883493 2597),,
Point2,H4,(-0.00291653352495 202),,,(2.78662598061 762),,,,(3.62096698913 1552),,,(2.53569978232 2196),(-7.1054273576e-15 2431),(1.24710817941 2615),,
Point2,H5,(17.2981134705 239),,,(3.2918261155 776),,,,(4.05793928275 1567),,,(2.79709657781 2205),(16.4414900952 2462),(1.28577328603 2621),,
Point2,H6,(-0.00291653352495 202),(-0.00498774583764 411),(8.881784197e-15 607),(1.7763568394e-15 813),(1.50990331349e-14 1013),(1.42108547152e-14 1218),(-0.000503792740812 1424),(1.42108547152e-14 1620),(1.24344978758e-14 1825),(3.5527136788e-15 2031),(3.5527136788e-15 2223),(-7.1054273576e-15 2431),(-1.24344978758e-14 2635),(1.7763568394e-15 2832),
Point3,H1,(4.62456279584 144),(5.0394583269 273),(4.6156376133 535),(6.16824436345 751),(6.23783693378 868),(6.053649534 933),(5.45111989526 1164),(6.61674557325 1317),(5.39443095532 1563),(5.120303764 1724),(4.45738635225 1855),(5.41123621021 1967),(4.95916172558 2116),(5.76876210502 2327),(5.24086927853 2574),(5.44677174021 2707),
Point3,H2,(-0.0570192975122 167),,,,,,,,,,(3.77379110177 1881),(-2.22044604925e-15 2017),(4.07434673298 2159),,,
Point3,H3,(0.646182924452 180),,,,,,,,,,(4.33684708642 1907),(3.79476096052 2055),(4.52980136699 2173),,,
Point3,H4,(-9.32587340685e-15 194),,,,,,(-0.00156729926767 1192),,(-8.43769498715e-15 1599),(4.28179414484 1748),(4.18355149902 1921),(3.66433874355 2065),(-5.3290705182e-15 2203),,,
Point3,H5,(4.05478073227 240),,,,,,(6.33206416615 1286),,(4.70376437791 1660),(4.58870564869 1764),(4.72527650212 1942),(4.6763594198 2092),(5.28944740657 2292),,,
Point3,H6,(-0.0570192975122 167),(-0.00222646581485 402),(3.82674538741 512),(-8.43769498715e-15 582),(-7.9936057773e-15 794),(5.3290705182e-15 981),(-0.00156729926767 1192),(-2.6645352591e-15 1399),(-8.43769498715e-15 1599),(-4.4408920985e-15 1800),(-2.22044604925e-15 2017),(-5.3290705182e-15 2203),(-7.1054273576e-15 2409),(-3.10862446895e-15 2602),(-1.33226762955e-15 2828),
