Cycle,0.972962962963
Average Width,5.48641690094
Width,,5.69906853169,5.60956799785,5.87155651688,5.69941454395,5.77309737575,5.46798243331,6.03458352291,5.67781888613,5.79866866185,5.7012479283,5.77778183311,5.79401653518,5.66934380178,5.558307118,5.57899536089,5.61869106643,5.51588647434,5.3556406816,5.36817790609,5.32006913298,5.32666929453,5.20803244217,5.23868247017,5.15321623914,5.19950048913,4.98314139323,5.15256804542,4.87079424575
Point2,H1,(47.6123999136 40),(48.5116685525 249),(47.1933599768 456),(45.0335063881 651),(47.5599020753 857),(48.3146240505 1063),(44.2151634676 1270),(45.6997051285 1465),(47.3903078021 1673),(44.403364008 1878),(43.6376805981 2074),(47.218931994 2279),(46.2194771299 2490),(45.3505645808 2681),(48.030851478 2888),(45.1273936151 3082),(49.8114366545 3289),(47.4607463031 3497),(43.1419063036 3690),(49.2384052607 3896),(46.2493410863 4105),(46.0891895493 4296),(44.7209883185 4491),(47.7707718713 4696),(47.6047200743 4904),(44.578832973 5096),(46.0713271541 5306),(40.9129775859 5497),
Point2,H2,(5.12089064423 149),,,,,(9.82557444153 1151),,,(7.7035169148 1783),(19.9185120269 1914),(19.1171513006 2120),(22.9125017583 2313),,(21.5113183033 2728),,(21.6366998808 3130),(22.2515442909 3336),,(20.0671350538 3736),,,,(43.8595723586 4501),(23.3094787321 4743),,(21.1398259022 5144),,
Point2,H3,(5.82748300151 162),,,,,(9.84235723081 1155),,,(7.81325799644 1789),(19.9913712528 1918),(19.4254508658 2127),(23.3175738677 2321),,(21.9777766157 2735),,(21.7341843687 3134),(22.6134763219 3343),,(20.4818817473 3743),,,,(43.9066041646 4504),(23.7192308098 4751),,(21.3397136801 5150),,
Point2,H4,(4.78365187213 176),(4.87985197665 384),(2.7152873078 593),(3.43419079407 784),(3.1637905511 990),(3.80937407238 1198),,(4.38761279838 1602),(5.01558129222 1809),(2.25132465924 2023),(5.12518419537 2210),(3.92583167776 2418),,,(2.00428000668 3027),(4.63335850189 3218),(5.55508561292 3426),,(4.91197091171 3825),(4.7733141169 4033),(5.280869514 4227),,(21.8010042237 4537),(5.19212079275 4829),,(4.24823925322 5237),,
Point2,H5,(5.28801835053 186),(5.20601756109 393),(3.50523266875 604),(4.0738590151 796),(4.27755675685 1004),(5.27429636536 1212),,(4.94122454969 1612),(6.08697230846 1820),(2.25835340392 2025),(5.29650243032 2217),(4.19619625774 2426),,,(2.53168437898 3037),(4.85232577321 3226),(5.8172931466 3434),,(5.01644602659 3831),(5.33071005543 4043),(5.34076560979 4232),,(22.2121738895 4544),(5.85054093419 4840),,(4.27373091197 5241),,
Point2,H6,(-7.1054273576e-15 205),(-1.7763568394e-14 412),(-3.19744231092e-14 618),(-2.84217094304e-14 814),(-5.3290705182e-14 1021),(-3.90798504668e-14 1228),(-0.00257480503479 1425),(-2.13162820728e-14 1629),(-1.42108547152e-14 1837),(-1.24344978758e-14 2041),(3.5527136788e-15 2236),(1.06581410364e-14 2443),(-0.00076411453448 2649),(-2.84217094304e-14 2845),(0.0 3050),(3.19744231092e-14 3248),(2.84217094304e-14 3453),(2.13162820728e-14 3655),(-3.5527136788e-15 3854),(7.1054273576e-15 4060),(7.1054273576e-15 4255),(1.06581410364e-14 4457),(1.7763568394e-14 4655),(-1.42108547152e-14 4862),(3.5527136788e-15 5057),(0.0 5260),(-1.7763568394e-15 5463),
Point3,H1,(45.0488401437 41),(44.1756687581 252),(44.3675022833 459),(42.1023742203 653),(45.9292204404 858),(43.1862416725 1065),(44.4072489556 1274),(42.9970821931 1466),(44.0427964087 1675),(42.6124409641 1879),(42.4295141651 2075),(45.4524661371 2283),(43.7324948175 2492),(43.4807253968 2683),(43.3389873921 2892),(42.8246642701 3083),(45.7250719413 3292),(42.8858484053 3499),(39.9182483055 3692),(43.9500228278 3898),(41.2234602667 4106),(40.7655680523 4299),(39.5979212053 4495),(41.7002274202 4698),(41.5904835185 4908),(37.0973481716 5098),(39.5557779202 5309),(33.6087448232 5499),
Point3,H2,(5.85096372186 156),,,(20.5049990503 697),,(6.61840836212 1178),(22.1544948739 1309),,(7.15695490698 1786),(19.0231677166 1915),,(24.1188300923 2316),,(19.9362387377 2729),,,,,(19.2774031113 3741),,,,(21.3506701409 4538),(22.4142571405 4745),,(18.9783689537 5145),,
Point3,H3,(5.85400788717 158),,,(20.9898324531 705),,(6.67231651211 1183),(22.1936389687 1312),,(7.1950012942 1791),(19.2351361981 1922),,(24.2007988841 2321),,(20.3877610244 2737),,,,,(19.315845215 3744),,,,(21.6260306794 4545),(22.7562477711 4753),,(19.23241995 5152),,
Point3,H4,(4.40481957315 179),(4.49494370824 387),(2.55091515139 595),(4.46456673026 786),(2.45049149376 994),(3.30256173841 1204),,(4.45763055096 1602),(4.28236945009 1813),(5.13833483357 1995),(5.07542290894 2211),(3.12782721488 2420),,,,,(5.95070571206 3427),,(4.09702371382 3831),(5.06846779971 4036),(4.67574861184 4228),,,(4.5604105143 4829),,(3.80573210465 5237),,
Point3,H5,(4.64491177032 188),(5.46300719904 398),(3.12871015395 606),(5.38089086041 798),(4.31743179171 1008),(4.16647063229 1215),,(5.09940319343 1613),(4.4589135507 1820),(5.16738497005 2000),(5.75171601267 2221),(4.2483897898 2431),,,,,(6.40342136472 3436),,(4.09706163527 3832),(5.12286404344 4041),(5.00009031458 4237),,,(5.32566427686 4842),,(4.02617261438 5245),,
Point3,H6,(-1.7763568394e-14 207),(-3.5527136788e-15 415),(-1.06581410364e-14 620),(1.42108547152e-14 816),(0.0 1024),(0.0 1230),(1.7763568394e-15 1425),(3.5527136788e-15 1631),(1.7763568394e-15 1838),(-1.7763568394e-15 2042),(7.1054273576e-15 2239),(-1.06581410364e-14 2446),(-1.42108547152e-14 2650),(0.0 2847),(7.1054273576e-15 3051),(1.42108547152e-14 3249),(3.5527136788e-15 3456),(1.06581410364e-14 3657),(7.1054273576e-15 3856),(2.13162820728e-14 4062),(2.13162820728e-14 4258),(-1.06581410364e-14 4459),(-1.06581410364e-14 4657),(-7.1054273576e-15 4864),(-1.7763568394e-15 5059),(1.7763568394e-14 5262),(-0.0191845998208 5465),
Point4,H1,(33.9987169687 44),(30.6439054735 256),(32.6921522514 464),(31.1963736062 656),(33.863406829 862),(31.3497979424 1069),(34.8617678251 1278),(32.5129706743 1469),(33.0347210198 1679),(32.6597540487 1883),(32.1769835914 2078),(34.5266292289 2287),(32.6499113911 2496),(30.893498824 2686),(32.2500044705 2896),(30.3700063097 3087),(32.7708724149 3295),(29.2870456392 3502),(26.9346326386 3696),(30.0237784647 3902),(28.1161888375 4109),(27.1032065836 4303),(25.3543392499 4511),(25.6540704985 4700),(25.7786249679 4911),(21.388606776 5100),(24.4382250759 5314),(18.2564765442 5501),
Point4,H2,,,(8.53518165304 545),(17.1988960027 700),,(4.93370025584 1182),,(16.6067466891 1517),(5.59129562333 1787),,,(5.53337971151 2397),,(15.3195486142 2734),,(28.6245270272 3100),,,(26.2505577552 3707),,,,(15.208042799 4541),(16.0467701842 4747),,,,
Point4,H3,,,(8.53708048967 547),(17.4387702743 708),,(4.9379740019 1184),,(16.6315357406 1521),(5.8121731996 1795),,,(5.60619093755 2402),,(15.3573469007 2739),,(28.6319566965 3103),,,(26.2640063059 3710),,,,(15.3351733082 4547),(16.2775630431 4755),,,,
Point4,H4,(4.11811921789 153),(3.19128924806 390),(2.17751810371 599),(3.4859425736 789),(1.56403793852 996),(2.25700964579 1207),,(3.92459637368 1606),(3.23698819551 1816),(4.41001008522 1993),(4.74901873844 2214),(2.2696339934 2424),(1.64038462767 2619),,(2.24943031739 3034),(17.4059791148 3135),(4.8800155673 3430),,(14.2007905673 3744),,,(3.5527136788e-15 4462),,(1.93199934611 4828),(5.63591086717 4995),,,
Point4,H5,(4.59983099559 167),(4.18278181755 402),(2.80594830587 609),(3.83546631345 799),(3.29944342216 1011),(3.04707592061 1218),,(4.20629368924 1615),(3.53822309097 1825),(4.58470774444 2004),(4.83310899625 2220),(3.15514208324 2434),(1.75357393286 2634),,(2.33491834636 3040),(17.4127629105 3137),(5.00540642177 3437),,(14.2154428752 3747),,,(25.1074444707 4499),,(3.60214152178 4846),(6.17347029535 5009),,,
Point4,H6,(2.6645352591e-14 210),(2.6645352591e-14 418),(2.84217094304e-14 624),(1.95399252334e-14 819),(3.01980662698e-14 1027),(3.37507799486e-14 1233),(2.30926389122e-14 1427),(3.90798504668e-14 1634),(1.24344978758e-14 1842),(1.24344978758e-14 2045),(3.5527136788e-15 2242),(8.881784197e-15 2449),(1.7763568394e-14 2653),(7.1054273576e-15 2850),(8.881784197e-15 3055),(-0.0013943880333 3252),(1.24344978758e-14 3459),(1.24344978758e-14 3660),(0.0 3859),(-0.0038336849239 4066),(-3.5527136788e-15 4261),(3.5527136788e-15 4462),(-1.7763568394e-15 4658),(1.7763568394e-15 4867),(-7.1054273576e-15 5063),(3.5527136788e-15 5265),(-0.0126835144635 5470),
