Cycle,0.889094090909
Average Width,4.80642880261
Width,,4.91214910393,4.74141657758,4.69353639865,4.88847369081,4.81187310336,4.84736425738,4.91491000987,5.03310661156,4.96035809986,5.01099852494,5.48286360049,4.94816443006,5.22740459725,4.99467916368,4.93669774376,4.82622943041,4.74829126069,4.61267930785,4.90883930639,4.90143212951,5.07920642868,5.00154977102,4.98120069813
Point2,H6,(-8.881784197e-15 192),(-1.42108547152e-14 396),(-7.1054273576e-15 586),(-1.06581410364e-14 779),(0.0 974),(-3.37507799486e-14 1169),(-1.59872115546e-14 1369),(0.0 1564),(3.5527136788e-15 1758),(1.59872115546e-14 1944),(0.0 2141),(-1.24344978758e-14 2345),(-1.59872115546e-14 2540),(-1.06581410364e-14 2734),(-1.06581410364e-14 2917),(-2.48689957516e-14 3102),(-7.1054273576e-15 3309),(-3.5527136788e-15 3515),(-5.3290705182e-15 3718),(-1.7763568394e-15 3912),(-1.7763568394e-15 4111),(-3.5527136788e-15 4315),
Point3,H1,(4.71569438399 32),(9.38211200267 272),(8.69434561528 479),(9.01232952055 615),(10.0614579515 808),(11.7579931494 1011),(10.5117560024 1204),(9.79866928825 1399),(11.9778494654 1592),(11.255770251 1794),(12.6962454922 1975),(15.1808215019 2196),(15.6374572686 2376),(16.2861569751 2571),(18.1506751521 2778),(17.8156050252 2953),(19.0434162598 3145),(19.6489072901 3344),(18.8263593446 3548),(21.0815707252 3752),(19.3955642703 3946),(20.9250083786 4153),(20.4185761976 4348),
Point3,H2,,(-1.24344978758e-14 397),,(7.23472425117 631),,(10.6914129801 1034),(8.2023627847 1221),,(10.3296657599 1606),,,,(12.8851625774 2394),(15.6367952902 2581),,,,(19.5152991633 3353),(18.3230351874 3557),,(18.2765950186 3959),,
Point3,H3,,(7.71347223122 426),,(7.96033344349 644),,(10.8009001505 1043),(9.67509435239 1238),,(11.1971690069 1620),,,,(12.9883539751 2400),(16.124788722 2593),,,,(19.5160101194 3354),(18.5927096143 3566),,(18.3958948253 3966),,
Point3,H4,,(7.39224170625 436),,,,,(8.74392634566 1255),,,,,,,,,,(3.36885358703 3284),,,,,,
Point3,H5,,(8.42852799303 454),,,,,(8.79258780246 1262),,,,,,,,,,(3.39682288798 3289),,,,,,
Point3,H6,(-4.4408920985e-15 191),(-1.24344978758e-14 397),(0.0 587),(-2.6645352591e-15 779),(-7.1054273576e-15 976),(2.6645352591e-15 1169),(-7.9936057773e-15 1367),(-0.00151772215718 1563),(2.30926389122e-14 1758),(2.04281036531e-14 1943),(1.24344978758e-14 2143),(-0.00272897045542 2345),(5.3290705182e-15 2539),(1.59872115546e-14 2735),(5.3290705182e-15 2917),(-1.06581410364e-14 3102),(-2.13162820728e-14 3309),(-1.06581410364e-14 3516),(-1.7763568394e-15 3716),(-1.59872115546e-14 3911),(-1.06581410364e-14 4111),(0.0 4316),
Point4,H1,(14.9004834961 140),(14.8132446196 353),(13.1868665017 486),(13.4730844419 544),(13.5345113096 735),(14.1428032426 887),(14.7418793983 1081),(14.8903772836 1285),(16.0483592302 1520),(15.717520714 1715),(15.6808290139 1879),(14.9073907097 2095),(16.0487077205 2218),(14.7486393734 2301),(14.6314939486 2439),(12.9002112809 2631),(13.2743457372 2812),(11.8201282565 3021),(13.9764968012 3185),(12.4692688128 3421),(12.8725702669 3588),(13.2327713741 3872),(12.3668716577 3992),(15.8711915312 4248),(6.38688494599 4352),
Point4,H2,,,(12.5847647106 504),,,,(13.7455932651 1107),,(-3.5527136788e-15 1569),,,,(15.0848375416 2235),,(14.3804217759 2458),(11.0664190101 2676),(12.1809674049 2849),,,,,,,
Point4,H3,,,(12.8600171343 516),,,,(14.3205342615 1125),,(13.1590361025 1635),,,,(15.1762162942 2242),,(14.4472745894 2467),(11.8065719691 2691),(12.195941855 2855),,,,,,,
Point4,H4,,(-1.7763568394e-15 396),,(1.06581410364e-14 591),,(12.7565765227 917),(-1.06581410364e-14 1171),,(12.8848919776 1651),(-7.1054273576e-15 1759),,(-1.42108547152e-14 2141),(13.5624660952 2265),,(14.0881473314 2483),(-1.7763568394e-15 2737),(-1.7763568394e-15 2927),(10.9118053012 3043),(10.3837799684 3249),(11.4748440805 3455),,,,
Point4,H5,,(12.3223299351 452),,(13.1868060337 704),,(12.9110083314 926),(14.3393046263 1256),,(14.7131788928 1683),(14.6082320626 1835),,(11.8820752752 2189),(14.1811142164 2281),,(14.3869782583 2493),(11.5139561063 2782),(10.9233460115 2986),(11.7062110347 3061),(11.0440478363 3264),(12.0239146535 3470),,,,
Point4,H6,(-0.0262335618474 2),(-8.881784197e-15 189),(-1.7763568394e-15 396),(1.06581410364e-14 591),(-1.06581410364e-14 783),(5.3290705182e-15 974),(-1.06581410364e-14 1171),(3.5527136788e-15 1372),(-3.5527136788e-15 1569),(-7.1054273576e-15 1759),(-2.48689957516e-14 1947),(-1.42108547152e-14 2141),(-5.3290705182e-15 2353),(-5.3290705182e-15 2544),(-1.7763568394e-15 2737),(-1.7763568394e-15 2927),(0.0 3104),(-3.5527136788e-15 3310),(-1.7763568394e-15 3520),(8.881784197e-16 3729),(-8.881784197e-15 3920),(-1.06581410364e-14 4107),(-0.108370314482 4322),
