Cycle,0.761730769231
Average Width,16.2156197435
Width,,0.0,0.0,15.6995908392,14.841951373,13.7344168556,14.1810083675,17.7357687085,0,0,15.5289529081,15.4225149051,14.7519221151,13.926700129,15.6556078942,0,0,0,0.0,138.510988204,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.1837330269,18.5382140647,14.76927718,14.9047274299,17.0102330277,14.851874346,13.2345581843,12.4770912684,12.1328641841,16.2851332396,61.7488410056,14.7559859759,12.8994217793,12.2691953936,10.650787915,10.4685786962,9.26979198853,10.7922299843,11.1925564362,10.4522275297,12.8102918381,11.1763961138,12.7735141593,12.4110963626
Point1,H5,(5.50232015325 155),(3.40798490117 330),(2.86793526585 506),,(4.28525231619 843),(5.31372495501 1003),(5.91889693947 1160),,,(5.25219858781 1642),(5.74733839037 1800),,(4.65933023563 2140),(4.24466971236 2300),(3.80233072866 2431),(8.65660729173 2604),(3.86468222596 2748),,,(6.20182301991 3147),(5.43854936583 3277),(6.26421467799 3418),(7.61561021052 3557),,,(3.86082017758 4026),(3.55661157258 4171),,(4.88481967048 4461),(5.58759743577 4604),(1.98959124559 4766),,,(4.3947988758 5228),(3.91966037911 5388),(6.1094465035 5530),(7.04183719343 5675),(5.46762395457 5820),(4.78065283309 5949),(3.91125952606 6088),(6.8684196233 6251),,(6.2206646188 6587),(10.0840638618 6720),,(6.27241929326 7083),,,(6.33606875971 7578),(3.51566811599 7754),(3.93425652596 7916),,
Point1,H6,(7.1054273576e-15 173),(1.7763568394e-15 347),(3.19744231092e-14 522),(1.59872115546e-14 696),(2.6645352591e-14 860),(4.26325641456e-14 1022),(1.42108547152e-14 1182),(2.30926389122e-14 1338),(1.7763568394e-14 1498),(3.5527136788e-15 1662),(1.7763568394e-14 1822),(1.06581410364e-14 1986),(1.95399252334e-14 2157),(1.7763568394e-15 2316),(3.5527136788e-15 2470),(-3.5527136788e-15 2623),(-7.1054273576e-15 2764),(-5.3290705182e-15 2902),(-4.4408920985e-15 3028),(0.0 3165),(-1.42108547152e-14 3294),(-7.1054273576e-15 3437),(-8.881784197e-15 3585),(-0.0248861633653 3727),(1.7763568394e-15 3887),(-1.06581410364e-14 4043),(-1.59872115546e-14 4187),(-1.7763568394e-15 4328),(2.84217094304e-14 4476),(-1.06581410364e-14 4621),(-5.3290705182e-15 4778),(1.59872115546e-14 4936),(7.1054273576e-15 5095),(2.48689957516e-14 5244),(1.42108547152e-14 5403),(0.0 5550),(1.95399252334e-14 5695),(-7.1054273576e-15 5837),(1.50990331349e-14 5968),(-0.00615140671917 6112),(1.7763568394e-14 6271),(3.01980662698e-14 6430),(1.59872115546e-14 6606),(1.06581410364e-14 6767),(1.42108547152e-14 6931),(5.3290705182e-15 7102),(-1.06581410364e-14 7272),(-5.3290705182e-15 7436),(5.3290705182e-15 7598),(-3.19744231092e-14 7771),(1.7763568394e-14 7932),(7.1054273576e-15 8094),
Point2,H1,(17.7861886522 32),(18.664455144 204),(20.9416081938 375),(21.643425176 550),(19.5376140247 724),(23.379581383 887),(20.5081534492 1052),(18.3808458455 1215),(20.2889135541 1366),(21.7834169223 1526),(21.1160022836 1693),(19.1471633338 1854),(21.693198293 2020),(21.0459491001 2188),(19.4012135287 2343),(19.7477357961 2501),(18.5707993349 2653),(15.9049525905 2791),(16.441449236 2932),(13.9824338635 3061),(15.8926835501 3194),(13.9495598325 3323),(18.1315998636 3467),(15.7455486058 3620),(16.0016775346 3766),(19.6720032438 3921),(20.8068430284 4070),(20.474249618 4213),(19.6023778165 4356),(23.4673589303 4502),(21.1709072135 4651),(23.5243329084 4804),(24.2460323083 4964),(22.6809137521 5124),(21.8041212209 5273),(25.9221650232 5430),(23.075089074 5582),(19.2271666489 5725),(18.8561312017 5862),(17.2154840113 6003),(23.4760264343 6148),(23.1515294076 6305),(25.7939498774 6466),(26.6405266016 6635),(25.8568513748 6799),(30.0299376013 6964),(28.1678622836 7133),(25.3858452956 7300),(26.8075730551 7462),(24.3476159211 7628),(24.6193227427 7797),(25.1263162961 7960),(25.5166298992 8124),
Point2,H2,,(12.1724835758 241),,,(10.7047963502 749),,(10.9067319353 1090),(10.9733676892 1241),,,,(10.9107119444 1887),(5.91208821718 2101),,,,(8.56594892797 2686),(8.12680523581 2818),(8.16133755124 2960),(9.07918216201 3086),,,,,(11.6811782997 3788),,,,(9.27261204942 4380),,(10.4046619444 4682),(12.1912544029 4828),(12.4933210622 4990),,(13.4991824093 5305),,,(12.2028563072 5759),,(13.8581631257 6021),(14.9863709079 6176),(14.6073958764 6334),(15.2219373667 6495),(15.4241163372 6670),(14.0940956883 6828),(15.7152685305 6992),,,,(15.0741054162 7666),,,
Point2,H3,,(12.1926370015 245),,,(11.4929417483 765),,(11.2892774342 1101),(11.8020556591 1253),,,,(11.252367292 1897),(6.14919288193 2110),,,,(8.85061527908 2695),(9.60202706985 2835),(8.1674419339 2962),(9.22729872593 3093),,,,,(12.6178116435 3805),,,,(9.96048855729 4397),,(10.943298131 4693),(12.3716352657 4835),(12.5562071589 4995),,(13.8842103515 5315),,,(12.4106626022 5767),,(14.8990240794 6034),(15.0639497924 6182),(14.9723591449 6345),(15.5976918167 6505),(15.8773117699 6681),(14.6012012168 6838),(15.7188114234 6994),,,,(15.4553162315 7676),,,
Point2,H4,,,,,(3.18286638559 835),,(4.68319449748 1153),,,(4.27781545187 1635),(4.04921990745 1795),,(3.93437172607 2130),(2.08478584895 2292),,(4.99018286887 2590),(2.38170665606 2740),,,(3.20557698064 3136),(2.98558769317 3270),(3.37744941907 3410),(4.59006111363 3551),(1.00732105395 3692),(4.35689995298 3859),,,(0.746606562935 4312),(3.45041481797 4446),(4.32970905897 4592),,,,,(3.72333021368 5379),(5.75471801464 5522),(5.87339894838 5665),(4.29384665861 5809),(1.3712533117 5934),(4.2410768795 6077),(4.94390855586 6243),,(4.59584542363 6576),,,(5.07830323111 7072),,,(5.60801564556 7569),,(4.24619571051 7908),,
Point2,H5,,,,,(3.41391825628 843),,(5.07450054921 1163),,,(4.44874694877 1642),(4.41177271182 1804),,(4.22825731799 2139),(2.36405265863 2301),,(6.12490101206 2604),(2.41235597424 2745),,,(4.12867063429 3148),(2.9906830279 3272),(3.62993167265 3419),(5.23462118302 3563),(1.21790462843 3702),(4.44843634939 3865),,,(0.753286879003 4315),(4.20502224187 4459),(4.94777012918 4603),,,,,(3.92994398896 5387),(5.96188458514 5529),(6.36708798623 5675),(4.57710124299 5818),(2.54590652944 5949),(5.1914468742 6090),(5.32726231441 6251),,(5.89133161575 6589),,,(5.84989997698 7083),,,(5.87018787524 7577),,(4.25289028545 7911),,
Point2,H6,(-8.881784197e-15 173),(-1.24344978758e-14 346),(7.1054273576e-15 521),(3.5527136788e-15 694),(5.3290705182e-15 860),(-1.7763568394e-15 1021),(1.24344978758e-14 1183),(1.24344978758e-14 1338),(-0.00278070718933 1498),(5.3290705182e-15 1662),(-0.00645861427206 1823),(-7.9936057773e-15 1986),(-0.00247230961371 2157),(-0.00982168268674 2316),(-1.59872115546e-14 2470),(-2.13162820728e-14 2623),(-1.42108547152e-14 2763),(-1.42108547152e-14 2903),(-2.30926389122e-14 3029),(-1.59872115546e-14 3166),(-8.881784197e-16 3293),(1.7763568394e-15 3437),(-0.00964569128125 3586),(-0.00322795043198 3730),(5.3290705182e-15 3886),(2.48689957516e-14 4042),(1.59872115546e-14 4186),(0.0 4327),(8.881784197e-15 4476),(-1.7763568394e-14 4622),(-1.7763568394e-15 4777),(7.1054273576e-15 4937),(-2.6645352591e-15 5095),(-7.1054273576e-15 5245),(-1.7763568394e-15 5404),(-3.01980662698e-14 5550),(-2.13162820728e-14 5695),(-0.0251439093557 5837),(-1.59872115546e-14 5967),(-3.01980662698e-14 6115),(-7.1054273576e-15 6271),(-3.5527136788e-14 6431),(-4.79616346638e-14 6606),(3.5527136788e-15 6766),(3.5527136788e-15 6934),(0.0 7102),(1.7763568394e-15 7272),(-3.5527136788e-15 7436),(-7.1054273576e-15 7598),(2.13162820728e-14 7768),(1.06581410364e-14 7932),(-0.000820896898233 8093),
Point3,H1,(12.7337640745 30),(13.5226336514 203),(15.022350674 374),(15.0180190612 549),(13.6751377325 723),(15.202659111 887),(15.577886122 1050),(14.0115446318 1213),(13.9168700101 1365),(15.2195486498 1525),(15.1881953467 1692),(14.3031900386 1852),(15.9328885438 2019),(15.837232594 2186),(15.067815674 2342),(15.3619288547 2500),(14.1314023831 2650),(12.7816931877 2790),(13.2028964115 2931),(10.0444285465 3061),(12.4096257156 3193),(11.0884933698 3321),(13.5978723099 3464),(12.1220312199 3618),(12.6660037602 3765),(14.7038100594 3917),(15.434849392 4069),(15.0544939902 4213),(13.0165204035 4356),(15.8094994187 4502),(14.4558288403 4650),(16.0635137304 4804),(16.9852957914 4964),(15.7376797009 5124),(14.6058458115 5272),(15.5593070352 5429),(13.2247941306 5581),(9.83106726595 5726),(10.6316827116 5862),(10.0477748172 6005),(12.7162083852 6149),(12.4744022955 6305),(14.4552174177 6467),(15.0573353378 6635),(13.9585933323 6799),(16.6618725517 6965),(16.0837744805 7133),(13.7484074346 7301),(13.0373775126 7463),(12.2139089774 7629),(13.4460107782 7798),(13.6732200815 7959),(12.8909732447 8123),
Point3,H2,(7.7566920302 60),,,(9.2128598706 574),,,(8.4675887816 1089),(8.57838137076 1242),,,(9.81882373859 1730),(7.79367209626 1887),(4.32778152457 2104),,,(9.09106901426 2527),(5.75339654312 2685),(6.08221811615 2817),,(6.03463925404 3084),,,,,(9.10622789365 3787),(8.4485961495 3958),,,(6.30240351987 4381),,(7.67051156624 4684),(8.51860558219 4826),(8.72014889936 4988),(5.03066963749 5154),(8.74655334479 5302),,,(6.55405060768 5759),,(8.9942689061 6022),,(8.05394207041 6335),(8.74151024583 6500),(9.32521477052 6671),(8.34716880058 6827),,,,,(8.22564059325 7665),,,
