Cycle,0.761730769231
Average Width,16.2156197435
Width,,0.0,0.0,15.6995908392,14.841951373,13.7344168556,14.1810083675,17.7357687085,0,0,15.5289529081,15.4225149051,14.7519221151,13.926700129,15.6556078942,0,0,0,0.0,138.510988204,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.1837330269,18.5382140647,14.76927718,14.9047274299,17.0102330277,14.851874346,13.2345581843,12.4770912684,12.1328641841,16.2851332396,61.7488410056,14.7559859759,12.8994217793,12.2691953936,10.650787915,10.4685786962,9.26979198853,10.7922299843,11.1925564362,10.4522275297,12.8102918381,11.1763961138,12.7735141593,12.4110963626
Point3,H3,(8.02957718578 70),,,(9.22882977728 577),,,(8.95425402758 1102),(8.86418383661 1252),,,(9.84120163927 1736),(8.5103391851 1901),(4.38865938877 2110),,,(9.09124424759 2528),(6.87275982782 2700),(7.18418532803 2834),,(6.45799733625 3096),,,,,(9.33374808581 3797),(8.45094463157 3960),,,(6.62414076587 4395),,(7.73234690128 4690),(9.04069450155 4837),(9.03983430496 4997),(5.8115783784 5171),(9.2518551075 5315),,,(6.75044221019 5768),,(9.38489018308 6035),,(8.25085402 6346),(8.76780207566 6505),(9.39096202136 6678),(8.66175896619 6838),,,,,(8.92396383235 7678),,,
Point3,H4,(2.36461309943 145),,,,,(4.31482639051 970),(3.60703476646 1154),(3.1420599547 1291),(3.68314943588 1446),,(3.47778079084 1794),(3.95751683415 1932),(3.13484623227 2131),(1.87260919488 2292),,(4.17318963405 2590),(1.98406078324 2736),(2.87656939447 2865),,(2.20264718113 3134),(1.57622648262 3267),(2.5867071189 3412),(2.92526259509 3552),(0.269002661396 3689),(3.9009275466 3859),,,,(1.87293157276 4447),(2.97457458613 4593),,,,(0.680929454083 5218),(1.70032797234 5380),(3.36291236874 5522),(3.35617553519 5664),(2.32896185474 5806),(-7.54951656745e-15 5936),(3.55924388473 6079),,(4.11536136256 6403),(2.92663162375 6577),,,(1.971491177 7075),,,(2.40661167029 7568),,(5.19001096043 7864),,
Point3,H5,(2.62104869018 155),,,,,(4.3414364828 975),(3.98214646063 1164),(3.23806222862 1298),(3.90912536745 1456),,(3.76059472448 1803),(3.96375511692 1936),(3.1814288352 2137),(2.00907240298 2300),,(5.25304185057 2604),(2.29216184872 2746),(2.8840745118 2868),,(2.84348095983 3147),(1.9829361038 3277),(2.65244235446 3418),(3.3364432072 3563),(0.895996743136 3705),(3.97785682909 3865),,,,(2.21976406938 4459),(3.48233322653 4604),,,,(1.43753655175 5230),(1.88438187401 5388),(3.61894860912 5531),(4.18071979844 5677),(3.00850165463 5819),(0.891097281156 5954),(3.79530570227 6089),,(4.12434961335 6406),(3.33604581546 6587),,,(2.3064357013 7085),,,(2.58509469448 7578),,(5.20732551736 7869),,
Point3,H6,(-0.0301567373182 173),(8.43769498715e-15 346),(-0.00469729703532 520),(-0.00415431380465 692),(-9.7699626167e-15 860),(-7.9936057773e-15 1020),(-8.881784197e-16 1183),(-2.6645352591e-15 1337),(-6.2172489379e-15 1497),(1.33226762955e-14 1661),(9.7699626167e-15 1823),(8.881784197e-15 1983),(4.4408920985e-15 2157),(-0.0020337845562 2316),(-0.00238008776628 2465),(-8.881784197e-16 2623),(4.4408920985e-15 2764),(-0.00460085035938 2901),(-2.22044604925e-15 3028),(-0.0115776983455 3165),(-1.24344978758e-14 3293),(-7.1054273576e-15 3437),(-8.881784197e-16 3585),(-0.00616231215963 3727),(1.7763568394e-15 3886),(6.2172489379e-15 4042),(-6.2172489379e-15 4185),(-3.5527136788e-15 4325),(-1.33226762955e-14 4475),(3.5527136788e-15 4622),(7.9936057773e-15 4775),(-2.6645352591e-15 4935),(-0.000782721776586 5092),(-0.00255545102576 5243),(-8.881784197e-16 5403),(8.881784197e-16 5550),(8.881784197e-16 5696),(-9.7699626167e-15 5837),(-7.54951656745e-15 5936),(-3.5527136788e-15 6116),(-2.6645352591e-15 6271),(8.881784197e-16 6432),(-1.33226762955e-14 6606),(-6.2172489379e-15 6766),(3.5527136788e-15 6933),(-8.881784197e-16 7101),(7.1054273576e-15 7269),(8.881784197e-16 7437),(0.0 7598),(-0.0022504783942 7767),(-4.4408920985e-15 7931),(-3.5527136788e-15 8093),
Point4,H1,(16.7232950851 30),(17.8340579252 201),(18.0387908753 374),(17.9133841868 549),(15.9775785609 724),(18.5363750329 886),(19.5493255804 1050),(16.2310723494 1213),(17.8910446619 1365),(18.9161391364 1525),(18.3353335762 1692),(17.0671931498 1851),(18.478223563 2020),(19.1969646624 2186),(19.3041431483 2342),(19.6310110967 2500),(16.9323811705 2650),(16.4841869023 2790),(16.9753976794 2932),(15.4844879582 3061),(17.7449877511 3193),(17.4155221712 3321),(20.0799818459 3465),(16.9849136961 3618),(19.1890886899 3765),(19.3914633447 3916),(18.7912619058 4069),(17.8012098616 4213),(16.1204026357 4356),(18.6939752278 4501),(17.4777814514 4649),(19.4161522844 4804),(19.5262206924 4964),(19.4584536338 5124),(18.1542956363 5272),(18.8604930319 5429),(15.6966906385 5580),(12.0721165496 5724),(14.0593267397 5862),(15.1958467261 6001),(17.1648228959 6148),(15.1267292496 6302),(17.2227487625 6465),(16.6618337088 6634),(14.7188956969 6798),(17.2974616257 6964),(17.118176912 7131),(15.3007681017 7300),(15.4649924774 7462),(15.0686032936 7628),(15.4037222965 7797),(16.9915053785 7960),(15.2052235421 8123),
Point4,H2,(9.28385691939 60),,,(9.10903897388 572),,(5.49083291927 967),(9.21347668451 1092),(8.4768945015 1241),,(10.6815148054 1548),,(7.86139334794 1891),,,,(10.4089988478 2524),(6.20491914103 2685),(6.4823283211 2816),(6.57130200708 2959),(7.41554548283 3086),,,,,,,(9.42176618089 4094),(8.15936103282 4239),,(9.47910106429 4526),(7.88859226492 4684),(8.20136526076 4829),(8.35215357359 4989),(6.67327136918 5150),,(8.5269692168 5454),,(6.75377842334 5758),,(10.582113343 6024),,(7.99072024118 6339),(9.41559070593 6496),(9.63435732803 6666),(8.59102242077 6829),,,,,,(8.56751800576 7821),,
Point4,H3,(9.79853712971 72),,,(9.38028130002 580),,(5.5757084618 974),(9.31271016505 1101),(9.30284888095 1254),,(10.9285661643 1555),,(8.19379832256 1902),,,,(10.5892099948 2531),(7.2223390965 2699),(8.80903503803 2835),(7.00127043135 2970),(7.64995288947 3094),,,,,,,(9.42414073337 4096),(8.21420279033 4244),,(9.60545501799 4533),(8.09355937057 4692),(8.80132993431 4841),(8.91018999759 4999),(7.20770690822 5167),,(8.63759338798 5460),,(7.08732939946 5768),,(11.2566472867 6035),,(8.05492594165 6347),(9.56713285107 6504),(9.97581334287 6678),(9.05952913145 6841),,,,,,(8.72521319975 7828),,
Point4,H4,(3.78734064503 146),(2.15581697716 325),(2.20723527582 476),(4.50266852095 627),,(3.50725382642 996),(4.4314206304 1155),(3.32756415184 1292),,(3.47673047053 1635),(3.61808353792 1794),(2.59327443419 1955),,(2.21150074904 2293),(2.47896687344 2433),(4.69403079411 2591),(1.97885267599 2736),(2.96449091185 2863),,(2.26385944615 3136),(2.84804578991 3267),(3.25202548538 3412),(3.97624436625 3551),(0.524180861267 3691),,,(2.96686132139 4148),(2.19199636786 4292),,(3.11011967831 4593),,,,(2.40647323648 5220),,(2.61354945303 5521),(3.37432751496 5664),(1.96731196321 5809),(0.0 5937),,(5.1137043322 6217),(3.88584676162 6402),(2.83358071295 6579),(3.43638621726 6743),,,,,,(4.83193731186 7708),(3.88064508974 7877),,
Point4,H5,(4.02731706973 155),(2.21467047446 331),(2.22829472079 481),(4.77974722484 638),,(3.65010599753 1003),(4.48564611638 1161),(3.49741858214 1300),,(3.58731035064 1642),(4.17410966806 1805),(2.65931142934 1961),,(2.49115558171 2301),(2.49484740422 2437),(5.60055015387 2604),(2.74793472772 2749),(3.44847348159 2874),,(3.44700765182 3149),(3.61038108572 3278),(3.54126407823 3421),(4.4945174178 3563),(1.21022319055 3705),,,(2.9732563724 4151),(2.25257087274 4298),,(4.2074866964 4606),,,,(2.64923331295 5229),,(3.90531499752 5535),(4.00537235927 5676),(2.47509074202 5821),(1.3613240429 5953),,(5.23001506394 6225),(4.05131303214 6410),(3.10689671118 6588),(3.4381648053 6745),,,,,,(4.85194506026 7720),(4.44605886699 7890),,
Point4,H6,(-0.0379417766348 174),(1.59872115546e-14 347),(1.24344978758e-14 521),(-0.0017701917159 694),(2.6645352591e-14 860),(2.13162820728e-14 1022),(3.5527136788e-15 1183),(1.68753899743e-14 1338),(-1.7763568394e-15 1498),(8.881784197e-15 1662),(2.04281036531e-14 1823),(7.1054273576e-15 1986),(2.93098878501e-14 2158),(1.24344978758e-14 2316),(3.5527136788e-15 2467),(0.0 2624),(-1.24344978758e-14 2765),(1.24344978758e-14 2901),(1.33226762955e-14 3029),(1.24344978758e-14 3166),(-7.9936057773e-15 3294),(-0.000456045557511 3437),(-0.0163541035137 3585),(-0.00293669511747 3727),(-1.24344978758e-14 3887),(-7.9936057773e-15 4043),(-0.000964403797792 4185),(-0.00329956154282 4326),(-1.06581410364e-14 4476),(-1.24344978758e-14 4623),(7.1054273576e-15 4776),(-1.42108547152e-14 4934),(-1.15463194561e-14 5091),(-1.42108547152e-14 5245),(3.5527136788e-15 5403),(-1.42108547152e-14 5552),(1.24344978758e-14 5696),(1.7763568394e-15 5837),(0.0 5937),(-1.42108547152e-14 6113),(-2.57571741713e-14 6270),(-1.24344978758e-14 6432),(0.0 6606),(2.6645352591e-15 6767),(7.1054273576e-15 6931),(-1.06581410364e-14 7102),(7.9936057773e-15 7270),(-7.1054273576e-15 7436),(-7.1054273576e-15 7599),(-1.86517468137e-14 7770),(5.3290705182e-15 7932),(-0.00327647131108 8095),
Point5,H1,(14.2682796206 30),(17.027408101 201),(16.111842732 373),(15.9753516122 549),(13.6500234653 724),(18.367107073 886),(17.7365407826 1049),(13.734238091 1213),(15.5507950564 1365),(15.8230431989 1525),(15.2645967079 1692),(14.2731135895 1850),(14.3849715247 2020),(14.8929041546 2186),(15.4934494856 2342),(15.3730375992 2500),(12.7670294514 2650),(13.6163882574 2791),(12.9750550329 2932),(12.5757716193 3061),(15.1938869677 3192),(15.0621783946 3322),(16.6623174956 3465),(13.7855583435 3618),(16.9453408464 3764),(15.8275240559 3916),(15.8524840284 4069),(16.0418783774 4213),(15.3064564614 4355),(17.8013457105 4501),(18.6341450146 4648),(19.0138822397 4804),(19.2449141928 4964),(18.8156116338 5123),(19.9351283852 5271),(21.4172341722 5429),(18.5765488027 5580),(16.1110852259 5723),(17.8770291671 5862),(19.4871685051 5999),(22.0038004264 6147),(20.0762113286 6301),(22.7521777285 6465),(22.166197337 6633),(20.1108837079 6797),(22.460566073 6964),(22.4630419788 7130),(21.332820435 7300),(22.6711684638 7462),(22.5251430087 7626),(22.118895307 7797),(23.7297794092 7960),(22.0232646294 8122),
Point5,H2,,(9.13112098238 242),,,(6.49006903305 747),,(8.41770251531 1094),(7.3249094183 1241),,(8.44292850235 1547),,(6.29869578812 1891),,,,(7.99054700663 2524),(3.55605201369 2684),(5.84957723728 2818),(4.55440617722 2961),(6.18847441662 3085),,,,,,,(7.84752867777 4093),(6.95090327752 4238),,(8.96834052155 4525),(8.4799926881 4682),(7.81151167597 4828),(7.68103240676 4988),(5.38358704852 5149),(3.84448554294 5351),(9.57280660313 5455),,(7.74914590513 5758),(6.90621473522 5891),(12.6836671999 6023),,(10.0068776944 6337),,(12.2927266718 6667),(10.3258003638 6831),(12.0371471252 6989),,,,,,,
Point5,H3,,(9.14073802426 246),,,(7.54356313547 763),,(8.41953463204 1096),(8.20338125512 1254),,(8.92684462792 1556),,(6.568457894 1901),,,,(8.09598627549 2531),(5.3730018802 2701),(7.29186975804 2836),(4.88855244664 2972),(6.50797108487 3094),,,,,,,(7.85922201334 4096),(7.09859769453 4245),,(9.2823758133 4534),(8.79820738903 4692),(8.71671620347 4840),(8.40431503827 4999),(6.39375846963 5172),(4.28835004533 5362),(9.64497190365 5460),,(8.30225347629 5770),(6.93120573698 5895),(13.9095844113 6035),,(10.1983419762 6347),,(12.7591143289 6680),(10.995128685 6844),(12.2673310598 6996),,,,,,,
Point5,H4,,,(3.0841884702 452),,(2.72456848468 839),(2.983107839 994),(4.12892453916 1155),(2.67946084595 1291),,(2.83704118327 1634),(3.13894255438 1794),(1.82668578459 1956),,,,(2.52247597432 2591),(0.812569887659 2735),(3.42107675731 2864),,(1.83192216019 3135),(2.60058770283 3268),(2.42869863081 3413),(2.7887315048 3548),(-0.0839118189268 3690),,(4.00419958095 3995),(2.86620224767 4146),(2.16633552664 4289),,(3.42331070053 4594),(2.4673732734 4736),,,(1.66694511452 5219),(1.72984056399 5384),(2.34695509638 5520),(3.56733257946 5664),(2.55557697459 5808),(0.953009330183 5937),,,(3.90386302318 6402),,(4.12001670582 6740),,(2.32274210536 7074),,,,,,,
Point5,H5,,,(3.19436078445 460),,(2.72609842481 841),(3.48300652505 1005),(4.18431089088 1161),(2.87961454901 1300),,(2.98803197003 1643),(3.61693402614 1805),(1.87946650485 1962),,,,(3.98948155855 2606),(1.77467022642 2750),(3.52440752142 2871),,(3.0815820266 3150),(3.00309019992 3277),(2.60006387069 3421),(3.72523270328 3564),(0.727575792548 3707),,(4.05009245999 4001),(2.86834090704 4148),(2.21406554008 4295),,(4.54142082829 4606),(2.48338742777 4740),,,(2.17421008427 5230),(1.78071505639 5389),(3.55191679752 5534),(4.22909201569 5676),(3.10615315937 5820),(1.99329759009 5950),,,(4.35075214007 6412),,(4.46852307946 6749),,(3.48991722338 7086),,,,,,,
Point5,H6,(2.13162820728e-14 174),(1.42108547152e-14 347),(-0.00249206923469 519),(7.1054273576e-15 694),(1.24344978758e-14 860),(3.5527136788e-15 1022),(-2.6645352591e-15 1183),(3.5527136788e-15 1338),(-9.7699626167e-15 1498),(1.24344978758e-14 1662),(7.1054273576e-15 1823),(-1.06581410364e-14 1987),(4.4408920985e-15 2158),(-2.6645352591e-15 2317),(1.33226762955e-14 2463),(7.9936057773e-15 2624),(1.24344978758e-14 2764),(3.5527136788e-15 2901),(-3.10862446895e-15 3029),(6.2172489379e-15 3166),(1.06581410364e-14 3294),(1.7763568394e-15 3437),(8.881784197e-15 3585),(-0.0839118189268 3690),(-9.7699626167e-15 3887),(-2.6645352591e-15 4043),(-1.7763568394e-15 4185),(0.0 4326),(8.881784197e-16 4476),(-1.42108547152e-14 4623),(-1.68753899743e-14 4776),(-0.00228202996783 4933),(1.06581410364e-14 5091),(1.42108547152e-14 5244),(3.5527136788e-15 5403),(-0.00039172021122 5550),(6.2172489379e-15 5695),(-0.00101289415443 5837),(2.6645352591e-14 5966),(1.06581410364e-14 6112),(1.06581410364e-14 6270),(-0.00355478329351 6431),(2.48689957516e-14 6606),(1.7763568394e-14 6767),(7.1054273576e-15 6929),(7.9936057773e-15 7102),(-0.000685199861477 7270),(-1.06581410364e-14 7436),(-1.06581410364e-14 7599),(-4.59966367199e-05 7770),(-0.0112227476283 7932),(1.06581410364e-14 8094),
