Cycle,0.678333333333
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(5.04756599211 77),(5.32271289566 216),(9.59869998746 364),(6.06389132376 520),(11.469034406 674),(14.0911966251 806),(7.8588396519 948),(5.70326359375 1081),(7.43285976254 1219),(7.02211643438 1355),(7.05174910316 1493),(7.13742665274 1635),(7.68789491405 1787),(7.95165733208 1918),(8.86287500542 2061),(7.49280926689 2204),(6.23213097004 2352),(7.89485319335 2492),(8.76039482274 2659),(9.96483857011 2780),(8.68597163459 2983),(3.87839596271 3065),
Point0,H2,(3.33706211354 104),,(5.71916293995 399),,,,,(2.82417638433 1110),(3.2842541631 1246),(1.60049411672 1403),(1.93429553509 1547),,(1.62837317228 1817),,,(3.39905922629 2241),(3.16879790451 2396),,,,,,
Point0,H3,(3.3373122923 105),,(7.12993288576 417),,,,,(2.89290866084 1117),(3.48086484343 1255),(1.81190127878 1413),(2.20290647278 1557),,(3.09822849659 1833),,,(3.96429916192 2256),(3.21471911145 2402),,,,,,
Point0,H4,(-3.10862446895e-15 144),,(-1.06581410364e-14 443),(0.262175570559 567),(5.32867703154 719),(5.09482470746 870),(1.33151943994 996),(-9.32587340685e-15 1146),(0.66411281566 1285),(0.800760051872 1433),(0.961559167919 1574),(0.765354070361 1717),(1.73905629769 1851),,,(-1.33226762955e-15 2284),(2.25273089156 2420),,(2.606136279 2690),,,,
Point0,H5,(2.54191670349 168),,(2.79727431489 464),(1.15054178976 584),(5.35135994558 724),(5.41060395261 883),(3.37563504699 1021),(3.2739917438 1173),(0.788882623017 1298),(0.933637557042 1442),(2.29878613086 1589),(1.0922928216 1731),(1.93357003657 1861),,,(0.934106906993 2302),(3.58319256624 2437),,(3.39376304263 2706),,,,
Point0,H6,(-0.503996981846 42),(-3.10862446895e-15 144),(-6.2172489379e-15 314),(-1.06581410364e-14 443),(-0.0977479520909 611),(-0.00806012146955 760),(-0.0335248104709 915),(-8.881784197e-15 1050),(-9.32587340685e-15 1146),(4.4408920985e-15 1324),(-4.4408920985e-16 1459),(1.7763568394e-15 1606),(2.6645352591e-15 1748),(1.62837317228 1817),(-8.881784197e-16 1885),(1.33226762955e-15 2029),(2.6645352591e-15 2177),(-1.33226762955e-15 2284),(-3.99680288865e-15 2461),(-0.00935911621076 2609),(-3.5527136788e-15 2729),(-0.0101005210353 2898),(2.22044604925e-15 3027),
Point1,H1,(19.8616541766 34),(15.7975221528 179),(18.7340498847 328),(17.2597886729 485),(17.557881747 625),(14.7827056053 768),(18.0682646814 909),(15.7218084017 1046),(17.397962198 1181),(17.1358214839 1319),(17.4999086871 1455),(18.1250844701 1597),(19.8078715473 1742),(17.1341835223 1882),(17.3055191811 2025),(15.8707108503 2169),(16.2603215483 2314),(16.3191413286 2457),(14.44041108 2604),(15.9381675262 2749),(13.8909169968 2890),(13.0720290514 3028),
Point1,H2,,,(8.61988275998 363),,,(7.31699756617 807),,,,,,,,,,,,,,(8.62979335305 2786),,,
Point1,H3,,,(9.15259601837 377),,,(7.32805304585 811),,,,,,,,,,,,,,(9.23233816064 2799),,,
Point1,H4,(3.92250684333 117),,(2.01899975987 412),,(0.658167537934 712),(3.29291679988 848),,(2.40475474152 1124),,(3.19688571798 1400),(2.72213638492 1540),(3.47767765156 1685),(6.36178975417 1788),,,,,(1.42772465237 2552),(0.454000303206 2692),(0.765169211383 2839),(10.2976921155 2910),,
Point1,H5,(4.04136166131 124),,(3.21312217585 429),,(0.721380968126 719),(3.54375140898 858),,(2.78201666304 1134),,(3.22590881075 1404),(3.24487083557 1551),(3.57022234674 1692),(6.37773491214 1793),,,,,(1.46195742726 2558),(1.63409175744 2706),(1.22521636632 2849),(11.7980804461 2933),,
Point1,H6,(-0.000262033485564 1),(-1.59872115546e-14 146),(-1.59872115546e-14 281),(-1.68753899743e-14 449),(-0.00422621567818 593),(-1.42108547152e-14 733),(-3.5527136788e-15 879),(-0.00675505578841 1012),(-7.9936057773e-15 1152),(-1.24344978758e-14 1287),(-1.33226762955e-14 1424),(-1.7763568394e-15 1568),(-1.59872115546e-14 1712),(-2.75335310107e-14 1853),(-7.9936057773e-15 1996),(-6.2172489379e-15 2141),(7.1054273576e-15 2281),(7.9936057773e-15 2425),(5.3290705182e-15 2574),(-0.00619037605702 2719),(1.7763568394e-15 2862),(0.0 2996),
