Cycle,0.779054320988
Average Width,6.76671651391
Width,,5.81310781489,0.0,0.0,0,4.15003146976,4.03203289573,5.00837424319,4.66601221686,4.12522662458,4.25239786536,3.79027888502,5.15257779853,5.20003716467,4.0081772003,5.04329597533,4.94577582743,9.8136573237,5.37464888054,4.38239436229,5.52378793751,7.36375873924,7.0631243345,4.98797525452,10.4648406187,8.44543453433,5.72637229876
Point0,H1,(14.7514793441 492),(22.9521384477 646),(23.1197897518 804),(22.5470844771 962),(18.4924779779 1112),(18.9920610431 1266),(18.0754548194 1416),(18.1166482259 1575),(15.5200476825 1734),(14.8573735437 1893),(12.9358370912 2051),(12.4786397367 2214),(11.7125994866 2375),(11.666391146 2536),(10.4137789679 2697),(8.53221359211 2852),(9.59790526666 3011),(10.0493800873 3173),(7.24175505703 3327),(7.8606845827 3487),(6.82541874838 3657),(8.14650172444 3808),(6.5300625591 3970),(8.68207069418 4132),(6.82530475288 4292),(4.5779233676 4592),
Point0,H2,(4.36367108604 532),,(8.08422463728 851),(8.67064780416 1012),,(7.09280035485 1314),,(7.60878600658 1622),,,,,,,,(2.95657073151 2898),(3.30507950816 3058),(4.89736543135 3206),,(4.44208330678 3523),(5.15933227867 3679),(5.63512062408 3830),(3.3567037118 3999),,,,
Point0,H3,(4.77365870438 547),,(8.43318304915 860),(8.68772604721 1016),,(7.48081449179 1324),,(7.70612503748 1628),,,,,,,,(3.67808543031 2913),(3.68149517781 3070),(5.06424586358 3215),,(4.78723535477 3536),(6.64101002046 3695),(6.16803069111 3847),(4.85104294784 4017),,,,
Point0,H4,(1.53519211712 591),(8.85703876229 692),(2.19247027391 894),(2.56780908398 1058),(7.69753832508 1155),(2.03534344147 1360),,(-1.06581410364e-14 1684),(0.814942054585 1840),(4.83753580344 1938),(1.27248602548 2145),(5.88693235601 2258),,(1.62723782867 2618),(3.87599569406 2736),(1.253652379 2943),(1.15964886328 3099),(0.0814540531021 3266),(1.6124632121 3421),(1.76210089611 3569),(2.66921618259 3720),(6.2172489379e-15 3905),(0.253708102233 4065),,,,
Point0,H5,(2.16927246941 603),(9.30302479423 702),(2.45641611032 904),(2.69965340209 1066),(7.89146606225 1164),(2.2433121874 1370),,(0.440971397853 1696),(1.11631105758 1851),(4.95682614671 1946),(1.50259803943 2158),(6.69715918034 2272),,(1.88163129085 2631),(4.34708995389 2750),(1.611953322 2956),(1.53981884367 3114),(0.786718881764 3279),(1.9946634014 3435),(2.4094357669 3585),(2.89141081059 3730),(1.32851934919 3921),(0.794901804664 4078),,,,
Point0,H6,(7.54951656745e-15 148),(4.4408920985e-16 299),(-0.552821131121 426),(-3.5527136788e-15 618),(-5.3290705182e-15 767),(-3.5527136788e-15 925),(-7.1054273576e-15 1083),(-7.9936057773e-15 1229),(-7.9936057773e-15 1387),(-0.000171877333832 1541),(-1.06581410364e-14 1684),(8.881784197e-16 1865),(8.881784197e-15 2006),(1.06581410364e-14 2181),(4.4408920985e-15 2347),(8.881784197e-16 2510),(-8.881784197e-16 2661),(1.7763568394e-15 2811),(1.7763568394e-15 2976),(3.5527136788e-15 3136),(4.4408920985e-15 3293),(2.6645352591e-15 3454),(7.9936057773e-15 3611),(7.1054273576e-15 3771),(6.2172489379e-15 3905),(8.881784197e-16 4092),(-0.00082228579427 4244),(-0.00533430352239 4402),(-0.00386633319921 4557),
Point1,H1,(21.8327376604 39),(7.85607371174 189),(9.65873137404 342),(18.7887549836 498),(22.9802640062 655),(23.554084507 814),(21.4813986181 964),(23.1317265763 1118),(23.6009024211 1267),(24.3112772452 1425),(24.0856159545 1584),(22.1332367428 1744),(22.2547434115 1903),(22.5056461064 2065),(20.4544942974 2226),(20.2793919412 2387),(19.254151002 2545),(20.4099672405 2703),(19.4484731601 2862),(18.6242249945 3022),(17.6769542425 3179),(17.9429811483 3335),(17.7661714774 3496),(16.4080947738 3661),(16.1010455573 3820),(16.7146405204 3972),(15.1507619037 4131),(15.9682209886 4287),(15.0480164435 4445),
Point1,H2,,(-1.06581410364e-14 232),(2.27409794824 379),,(8.25799392401 702),,(9.01950395271 1006),,,,(8.00877702098 1632),(7.16458441656 1788),,(9.07732369243 2108),(9.14732436458 2271),,,,(6.22124845332 2914),(6.60897684765 3073),,,(9.39405120905 3537),,(6.81901779711 3857),(7.27337529258 4015),(5.69477577612 4177),(6.17081188827 4335),,
Point1,H3,,(3.27968226319 256),(3.4502022229 407),,(8.6625028599 712),,(9.16295644336 1014),,,,(8.26995981749 1641),(7.4795561921 1798),,(10.7284894899 2123),(9.41623682121 2280),,,,(6.28252494067 2920),(6.62241369171 3076),,,(9.42122619162 3541),,(7.05815030846 3870),(7.59680541074 4024),(5.82069858542 4184),(6.20424256812 4340),,
Point1,H4,,(2.7363533686 271),(0.982592835618 443),,(2.34561591699 748),(2.56560984554 907),(2.48313612897 1052),(2.68455696384 1212),(9.13499340827 1315),(8.97521166383 1472),(0.446436502791 1693),(2.10313078437 1832),(8.74785329884 1953),(2.74695658464 2173),(2.63637742672 2330),,(7.49230943436 2586),,(1.73231382066 2954),(2.28760439741 3113),(2.57299436232 3274),(2.07133113385 3435),(1.25126694277 3597),(2.043057299 3752),(2.38908451543 3914),(3.09295567183 4054),(1.55658859017 4217),(3.03235593477 4371),,
Point1,H5,,(4.14856065793 293),(1.34491429726 455),,(2.52831646435 757),(3.35994710626 919),(2.79731943861 1062),(2.93523927973 1221),(9.27065044805 1322),(9.42066635996 1481),(0.97201712405 1704),(2.33724949077 1842),(8.75156378318 1955),(2.77275147095 2178),(3.55664190898 2343),,(8.46800493421 2599),,(1.9895012061 2965),(2.49613884764 3123),(3.22139614026 3286),(2.30967534864 3445),(1.87342785129 3609),(2.28185950687 3763),(2.46707574724 3921),(3.09911908665 4057),(1.78320297783 4228),(3.24855358524 4382),,
Point1,H6,(-0.505542783919 159),(-1.06581410364e-14 232),(-0.044019429102 314),(-1.7763568394e-15 468),(-0.00601739214167 618),(0.0 776),(-2.6645352591e-14 935),(-1.24344978758e-14 1082),(3.5527136788e-15 1238),(3.5527136788e-15 1393),(-0.00630898201825 1553),(1.86517468137e-14 1715),(-1.95399252334e-14 1869),(-3.5527136788e-15 2032),(-1.24344978758e-14 2197),(3.37507799486e-14 2359),(7.9936057773e-15 2514),(1.50990331349e-14 2660),(1.50990331349e-14 2824),(-1.50990331349e-14 2987),(-0.00671310566431 3143),(5.3290705182e-15 3303),(2.93098878501e-14 3462),(2.6645352591e-14 3624),(1.7763568394e-14 3784),(1.59872115546e-14 3942),(-8.881784197e-16 4097),(-6.2172489379e-15 4254),(1.7763568394e-15 4408),
Point2,H1,(23.351778726 31),(26.0622797153 190),(10.2844524515 498),(14.3741834766 655),(16.7777103972 814),(16.4923847839 964),(18.0362541767 1118),(19.6346186395 1267),(20.4591348063 1424),(22.7020804914 1583),(21.4562856528 1743),(24.3949733096 1903),(25.3016170993 2063),(21.6130277891 2227),(23.1845683452 2387),(24.1334283318 2543),(26.236152407 2702),(24.0950929278 2861),(22.2937732157 3021),(23.2427571834 3179),(24.4937180251 3335),(23.6735488891 3494),(21.9386725848 3660),(22.1179150316 3819),(22.4185036371 3971),(23.0032183659 4127),(24.0372186455 4286),(23.3167679391 4445),
Point2,H2,(7.64897462639 77),,,,,,,,(7.99730950747 1471),(8.87970809108 1633),,,,(10.5515386569 2271),,(9.97354277276 2587),,,(8.70072517928 3069),,,,,(9.5470365594 3865),,(8.63296842549 4174),,,
Point2,H3,(8.0527828215 87),,,,,,,,(8.26457351502 1480),(8.91298237701 1637),,,,(10.7536573955 2280),,(10.6067836804 2598),,,(8.89232564155 3077),,,,,(9.76213494803 3874),,(8.86414176086 4182),,,
