Cycle,0.862428571429
Average Width,0.0
Width,,10.4289017689,11.5113468719,11.546890114,12.8782981578,13.8193306237,14.2122929782,18.5975617281,31.9755796728,137.23796174,19.6900744254,32.392129858,0,0,0,0,0,0,0,76.5414368856,0,0,0
Point2,H4,(0.217062053856 148),(3.75608012815 327),(-0.00429003013382 500),(-1.03028696685e-13 676),(0.80784813103 849),(1.63159050248 1044),(1.27241024756 1221),(-0.0479615928463 1409),(1.13856109041 1585),(1.7606303966 1763),(-0.195385744543 1934),(1.97552207636 2135),(1.56680589516 2294),(3.18054013789 2485),(1.21220330175 2657),(1.98011609122 2853),(3.53397592479 3027),(-0.00865227572949 3195),(1.71948156267 3394),(1.10480383881 3590),(0.792857401567 3763),,
Point2,H5,(1.81716839895 161),(4.10695847262 335),(0.681471012356 513),(0.611684345462 690),(1.19781510505 861),(2.34558452594 1056),(1.472722498 1230),(1.28044150428 1424),(3.91003709066 1605),(3.5033972692 1777),(1.6633402921 1954),(2.14906140978 2143),(3.2553930944 2319),(3.43171036071 2494),(2.27682062576 2672),(2.57857298021 2864),(3.91486381977 3037),(2.77201103426 3219),(2.8882871851 3408),(1.23551687083 3599),(1.4369768044 3777),,
Point2,H6,(-4.97379915032e-14 172),(-8.17124146124e-14 350),(-0.00429003013382 500),(-1.03028696685e-13 676),(-6.03961325396e-14 879),(-2.30926389122e-14 1069),(-0.00036840423469 1246),(-1.25073521424 1438),(-0.0324282128295 1558),(-0.0201348044307 1731),(-2.48689957516e-14 1791),(-0.195385744543 1934),(-0.00885955423495 2086),(8.34887714518e-14 2158),(3.01980662698e-14 2335),(3.19744231092e-14 2511),(1.95399252334e-14 2690),(-1.7763568394e-15 2878),(1.06581410364e-14 3056),(-0.00865227572949 3195),(7.1054273576e-15 3423),(-0.00852046240275 3554),(-1.7763568394e-15 3611),(-7.1054273576e-15 3791),
Point3,H1,(62.952199595 40),(67.4436632105 222),(61.0136550871 395),(70.5996657655 571),(68.2126684609 747),(67.1597796704 924),(64.9776621507 1103),(73.5062697141 1293),(55.5889639936 1472),(54.2153339784 1642),(53.570914458 1827),(54.5571256748 2010),(57.559609709 2198),(56.3757563177 2370),(56.9892230449 2552),(61.7776829976 2731),(60.7956322934 2922),(59.365631261 3097),(70.699835606 3276),(63.3013819563 3466),(59.0527259278 3646),(62.1124997641 3835),
Point3,H2,(-1.42108547152e-14 147),,,,,,,,,(-0.133539163654 1728),,,,,,,,,(3.96951660518 3372),(1.58387835005 3560),,,
Point3,H3,(2.90364876489 162),,,,,,,,,(4.44414484997 1750),,,,,,,,,(4.20280006862 3380),(2.77466265836 3575),,,
Point3,H4,(0.774840086907 172),(5.92787647463 328),(0.535678795061 497),(1.27489890963 675),(0.679105404457 849),,(1.09535023719 1220),(-0.0462020471967 1408),(-0.089372852845 1563),(2.22183027748 1764),(1.48643414223 1936),,(3.26186368213 2304),(5.04539210172 2485),(2.17067791418 2657),(4.01182941959 2852),(4.12912563103 3027),(-1.42108547152e-14 3195),(3.14127244403 3394),(1.74265332585 3589),(1.50500989833 3762),,
Point3,H5,(67.2865004035 207),(6.06452663289 333),(1.26617522669 510),(1.83958495313 686),(0.935119753563 858),,(2.09829323292 1233),(2.78815901412 1425),(3.08242283362 1601),(4.54805541128 1777),(3.78299379463 1953),,(5.09921338659 2319),(5.48389554894 2494),(4.02392130187 2672),(5.05308964817 2863),(5.87565748299 3040),(2.67729836477 3216),(4.90859281749 3408),(2.46671000145 3600),(3.3548656769 3777),,
Point3,H6,(-1.42108547152e-14 147),(4.61852778244e-14 350),(3.5527136788e-14 524),(5.68434188608e-14 702),(-0.0129512127879 876),(7.1054273576e-15 1069),(-0.0106788036955 1247),(-0.249976882306 1437),(-0.089372852845 1563),(-0.133539163654 1728),(-3.19744231092e-14 1791),(-1.06581410364e-14 1969),(3.37507799486e-14 2159),(4.26325641456e-14 2334),(4.61852778244e-14 2511),(-0.00795920076246 2690),(-1.06581410364e-14 2879),(-1.42108547152e-14 3056),(-1.42108547152e-14 3195),(1.42108547152e-14 3423),(1.7763568394e-14 3612),(3.19744231092e-14 3792),
Point4,H1,(53.8782033658 39),(60.8748104896 221),(55.546670889 394),(64.1933075907 570),(63.4930656447 746),(63.3263891402 922),(62.3015106423 1102),(71.5653261529 1291),(54.232360917 1470),(51.1553055872 1641),(52.9188092063 1825),(54.2443839282 2008),(59.2830731929 2196),(56.6386506091 2368),(57.4341661946 2551),(62.6038610653 2730),(60.8094124161 2921),(59.3218233537 3096),(70.3813149941 3275),(63.9831038219 3465),(61.0288435014 3644),(63.7446738119 3834),
Point4,H2,(-2.13162820728e-14 145),,,,,(21.3489474685 972),,,(-0.0787047166844 1562),(-0.462151947768 1725),,(4.11215809294 2090),,,,,,,,(2.84780246584 3560),,,
Point4,H3,(3.81420027479 161),,,,,(21.3933213201 975),,,(0.679782412235 1577),(4.1496827456 1749),,(4.60570236657 2112),,,,,,,,(3.81637113517 3573),,,
Point4,H4,(1.7328215575 172),(6.08594849827 326),(0.841494061027 498),(2.05330025754 675),(0.825963964614 850),(1.68583126329 1043),(1.21283381008 1218),(-0.064736308643 1408),(0.456524917747 1585),(2.27851251033 1762),(2.29573427987 1936),(3.31852106538 2129),(3.93838029484 2304),(5.55711033607 2483),(1.89972504512 2656),(4.55970892887 2851),(4.87050963302 3026),(-0.22562929829 3197),(3.21913845338 3393),(2.21595392076 3588),(2.05260058185 3761),,
Point4,H5,(60.8507080911 206),(6.45245911035 333),(1.24998688457 508),(2.24640515191 682),(0.963451578883 858),(3.79831404889 1056),(2.21311486494 1231),(2.98881563084 1424),(1.41105681273 1599),(4.68901805877 1776),(4.24603107911 1951),(5.06647017698 2143),(6.05793899449 2318),(6.27631310329 2493),(4.12425563466 2672),(5.81411218481 2862),(6.71283385729 3039),(1.97028376826 3215),(5.73894763343 3407),(2.97169423518 3599),(3.8918948224 3776),,
Point4,H6,(-2.13162820728e-14 145),(-4.26325641456e-14 350),(-6.75015598972e-14 523),(-0.00497105509889 702),(-0.0250547370761 877),(1.06581410364e-14 1069),(-2.48689957516e-14 1247),(-0.478092627303 1437),(-0.108780267866 1610),(-0.462151947768 1725),(-3.19744231092e-14 1790),(-1.42108547152e-14 1968),(0.0 2158),(-3.5527136788e-15 2334),(-0.00309607858665 2511),(-3.19744231092e-14 2690),(0.0 2878),(-0.00496447683035 3056),(-0.22562929829 3197),(-3.5527136788e-15 3422),(1.06581410364e-14 3611),(3.5527136788e-15 3791),
