Cycle,0.796478937729
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(9.33869334685 36),(8.97255509712 184),(9.70164480699 353),(8.96544773068 508),(9.78145344941 662),(8.95886431808 825),(10.0091163603 996),(9.85079377946 1163),(8.66509517397 1325),(10.3395099986 1490),(10.3233917498 1664),(9.7679748291 1839),(9.33649660613 2005),(10.9997073205 2166),(11.2908894665 2341),(10.6078766691 2513),(9.50179109337 2677),(10.1578804229 2847),(10.3255681917 3021),(10.0981031834 3198),(9.04631695702 3375),(9.53201646219 3541),(11.7790381616 3703),(10.5793786852 3876),(10.6716763619 4043),(11.7868689756 4212),(11.190763832 4386),(11.3520887932 4561),(11.1309173217 4729),(10.9501279879 4904),(10.4106616839 5079),(10.4265368859 5251),(11.0032493735 5411),(12.0158143004 5574),(8.6195106363 5745),(9.80466612779 5910),(10.7143287947 6086),(11.7120168932 6261),(9.62725854149 6433),(10.0824248619 6598),(8.77085012416 6772),(10.1224761826 6933),(10.0657126189 7100),(8.91586796151 7258),(9.10522911887 7422),(7.2241942715 7587),(10.4464901203 7751),(8.52978596388 7908),(9.82182512637 8068),(8.75710451322 8227),(10.399493741 8390),(9.10232656323 8554),(10.8240923587 8724),
Point0,H2,(3.0886310576 83),(3.84854609652 231),(4.46362303046 403),(3.54765105904 555),(3.04097247861 711),(3.5030048347 877),(3.61281948686 1045),(4.25701683565 1206),(3.28221500047 1368),,(5.19882938276 1715),,(3.56930407087 2052),,(5.01032256495 2389),,(3.19652746183 2725),(3.96115089971 2895),(3.50314866742 3077),(3.85660797761 3253),,,(4.5614233538 3750),(4.25988942479 3924),,(5.17739985591 4263),(4.84920082973 4434),(5.93506619195 4612),(4.47219611373 4799),(4.31747364387 4951),(3.75827734479 5122),,,(7.4754685364 5597),(2.70846425573 5794),(2.92995815423 5958),,,(2.38279432214 6498),,,(4.23935376425 6982),,(1.4404396 7336),(3.03643753638 7481),,(4.11830435455 7794),(2.36361826747 7956),,,,,,
Point0,H3,(3.39873340196 96),(4.19159876764 245),(4.53311785414 411),(3.54767641077 556),(3.80106502041 729),(4.45313467648 896),(4.75826612475 1062),(4.84224202139 1224),(3.72538392319 1388),,(6.07033933386 1730),,(4.49728423826 2069),,(5.67939640333 2403),,(3.85574729243 2739),(4.94145118853 2914),(3.93976414027 3091),(4.62753692616 3270),,,(5.45951931792 3765),(5.3966722389 3939),,(5.37963950329 4272),(5.870165197 4450),(6.1382822881 4622),(4.60981241189 4809),(4.81309797253 4966),(5.5508182868 5141),,,(7.48276205615 5599),(3.35583681558 5813),(3.58055194657 5971),,,(2.68946127764 6512),,,(4.84111657141 6994),,(1.46042501819 7341),(3.05455739116 7487),,(5.06251096572 7810),(2.8895531672 7971),,,,,,
Point0,H4,(1.06601858895 131),(1.34989581487 289),,,(0.991967240833 771),(1.22751319112 924),(1.13524656185 1106),,(1.22654980939 1426),,(1.84057818845 1779),(4.13357540952 1890),(0.768765299938 2113),,(0.837476506902 2449),(3.63643946174 2563),(0.586014047537 2785),(1.17802414234 2962),(0.637391211141 3136),(0.959402943301 3313),(2.54542364265 3428),(2.6413161385 3585),(1.84161794706 3811),(1.10042552135 3985),(5.48721719746 4103),(1.31181312546 4323),(3.29580651983 4475),(1.24627245889 4676),(1.21683373112 4851),(1.28507786292 5024),(2.00163423693 5186),(4.10965589976 5299),,,(1.03660543382 5862),(0.5215681394 6016),,,(0.779543992276 6547),,(4.2906233488 6818),(0.830249907684 7043),(0.256550361125 7203),(0.616498362844 7363),(0.684647725656 7520),,,(1.5910455147 8002),(4.04364865908 8117),,,(0.921319480804 8659),,
Point0,H5,(1.38018479569 142),(1.59703511907 300),,,(1.25463932782 782),(1.4481519434 934),(1.42076660374 1117),,(1.35247243558 1435),,(1.95718036461 1787),(4.83904430482 1907),(1.55446819389 2127),,(1.36344567807 2462),(4.02208259113 2577),(1.4519820203 2800),(1.5320283275 2973),(1.69849687599 3151),(1.35813448129 3325),(3.45318852524 3444),(4.5830900079 3605),(1.90248738902 3818),(1.68700829943 3998),(5.53973355757 4113),(1.611614291 4333),(3.35160288809 4481),(1.58036093602 4686),(1.72361288674 4862),(1.70616731897 5037),(2.09030369507 5193),(4.81592175994 5316),,,(1.04182701942 5866),(1.24428210525 6033),,,(0.892214354455 6557),,(4.91008322648 6836),(1.37583537445 7055),(0.874753888003 7216),(0.866043662233 7374),(0.99600161559 7535),,,(1.60838908975 8007),(4.67560047156 8131),,,(1.07243924154 8669),,
Point0,H6,(-0.0254832746513 1),(-0.000836035868792 157),(-7.1054273576e-15 319),(-1.95399252334e-14 477),(-1.59872115546e-14 634),(-1.11022302463e-14 797),(-0.000540787977452 960),(-7.1054273576e-15 1133),(-1.24344978758e-14 1294),(-8.881784197e-15 1455),(8.881784197e-16 1628),(4.4408920985e-15 1806),(-0.000798886417894 1973),(1.15463194561e-14 2141),(-2.6645352591e-15 2306),(1.06581410364e-14 2479),(-4.4408920985e-15 2649),(-6.2172489379e-15 2815),(8.881784197e-16 2990),(-4.4408920985e-15 3167),(7.9936057773e-15 3342),(-0.00429165729439 3510),(2.6413161385 3585),(-2.6645352591e-15 3675),(-3.5527136788e-15 3842),(-2.6645352591e-15 4014),(-3.5527136788e-15 4175),(-8.881784197e-15 4351),(-7.9936057773e-15 4526),(8.881784197e-16 4701),(-0.000746213393797 4878),(5.3290705182e-15 5053),(6.2172489379e-15 5217),(-0.00132578897364 5375),(0.0 5549),(-0.00446262225206 5706),(-4.4408920985e-16 5883),(4.88498130835e-15 6052),(4.4408920985e-15 6235),(2.6645352591e-15 6399),(-2.6645352591e-15 6571),(-2.6645352591e-15 6740),(-1.7763568394e-15 6899),(-2.6645352591e-15 7070),(4.88498130835e-15 7229),(4.4408920985e-15 7389),(-0.0127197858638 7558),(3.5527136788e-15 7635),(-0.00608490270245 7724),(-0.00194862713901 7877),(-1.7763568394e-15 8033),(-2.22044604925e-15 8186),(-0.00479497265791 8360),(-4.4408920985e-15 8527),(5.3290705182e-15 8690),
Point1,H1,(6.84754793945 37),(6.27444047551 186),(6.51103357004 355),(6.48717210362 510),(6.63124608072 665),(6.09993044675 827),(6.90885487041 997),(7.0876368769 1165),(5.68498707067 1327),(7.61712242712 1491),(7.64967358468 1665),(6.92393281608 1839),(7.07753259123 2006),(7.47717911259 2168),(8.61121212045 2342),(7.64248275689 2515),(6.98423065945 2678),(7.44117365468 2849),(7.44507063123 3025),(6.99215010194 3200),(6.21147228221 3378),(6.97626278314 3542),(8.94835393715 3704),(8.25610407011 3877),(7.8511240434 4046),(8.41424063547 4213),(8.79456407479 4388),(8.55158058303 4563),(8.0726818597 4730),(7.82502092801 4905),(7.34335399678 5079),(7.2840186455 5254),(8.14421005249 5412),(8.76597834082 5575),(6.39851864472 5746),(6.63888194404 5912),(8.20492105943 6087),(8.55993710661 6262),(6.6144444967 6435),(7.23037051556 6597),(6.08107980842 6774),(8.21014459861 6934),(7.12194946781 7100),(6.06446651025 7261),(6.61439397292 7422),(5.27725190767 7587),(6.68168193409 7751),(5.01176383954 7910),(7.2491409325 8069),(5.4723510766 8227),(7.243455158 8390),(6.71702086577 8554),(8.49503766072 8724),
Point1,H2,(2.82988207371 85),(2.702712239 233),(3.51056540466 390),(2.5608876214 552),(2.66580915263 714),(2.69680488633 882),,(3.20529698109 1213),(2.25308114336 1368),(4.55333916212 1518),(5.36755715121 1689),,(3.56665777456 2053),(5.78880172837 2187),(3.89396724405 2388),,(2.52978756734 2726),(2.84888386921 2898),(2.58862827617 3083),(2.44176916165 3255),,(2.07867685131 3585),(4.00970459659 3750),,,(4.287519172 4261),(3.5011039739 4436),,(3.37574883408 4798),(3.31256032226 4952),(3.46463821014 5123),,,(6.05064953776 5594),(1.59337570998 5792),(2.22947972754 5958),(2.54289411217 6134),(5.60715477279 6282),(1.34661506128 6500),,,(3.85628685312 6985),,(0.476306118562 7335),(3.80182663742 7451),,,(1.73266595139 7952),,,,,,
Point1,H3,(2.97973187386 98),(2.90833972151 245),(3.56820237177 403),(2.67711012582 561),(2.86317813378 728),(2.96448870062 895),,(3.43535628231 1228),(2.72690333957 1387),(4.57001250889 1523),(5.49489615224 1698),,(3.74477695613 2065),(5.85218620489 2194),(4.43732420517 2403),,(2.83307904714 2738),(3.79960634291 2915),(2.59499068248 3087),(2.83889017947 3269),,(3.59209198317 3611),(4.70224744189 3767),,,(4.74610555199 4275),(4.26914622527 4451),,(3.71614326296 4814),(4.01627680589 4980),(4.13950615721 5139),,,(6.19122022466 5601),(2.94552375941 5812),(2.69396718074 5972),(4.06166739719 6159),(5.65154916702 6287),(1.96091640176 6516),,,(3.93148361263 6992),,(0.539935913983 7347),(3.88516664326 7460),,,(2.74934861049 7972),,,,,,
Point1,H4,(0.903442912387 136),(4.4408920985e-16 286),(0.796049761921 454),(1.51012215987 589),(0.84116030937 769),(0.857298788523 924),,(1.39549398862 1265),(0.919422065202 1425),,(4.43115878972 1720),(3.75715392965 1894),(0.784835610653 2114),,(0.809584467114 2449),(2.54268325438 2566),(0.463015820713 2785),(1.11523429296 2963),(0.76050920258 3132),(0.394730104626 3313),(1.65332537205 3426),(1.07384340527 3655),(2.06307679966 3810),,,(1.39251661442 4323),(2.77101756526 4472),(0.947936561624 4672),(1.20225566062 4851),(1.66223264849 5022),(0.672532185991 5192),(3.12456080122 5303),,(2.53809684242 5641),(1.69656535253 5834),(1.15659759479 6017),(1.61122947675 6185),(3.71002858503 6308),(1.09519321675 6549),,(2.20496168523 6866),(0.798830454133 7043),(3.10862446895e-15 7202),(0.449818669531 7359),(1.2474796874 7519),,(2.81335600625 7794),(1.07720567897 8001),(3.70014371971 8118),,,,,
