Cycle,0.87325
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point2,H6,(-0.5846834182 40),(-0.000195648531683 160),(-3.10862446895e-14 228),(-3.37507799486e-14 405),(-7.1054273576e-15 580),(-0.00795276054041 762),(8.881784197e-15 948),(-3.5527136788e-15 1126),(-0.00386071807164 1269),(-1.59872115546e-14 1493),(-1.7763568394e-15 1632),(0.0 1862),(0.0 2047),(-0.0197053242701 2192),(-0.00969375347374 2421),(8.881784197e-16 2610),(-0.00195726469198 2789),(-0.0566527553912 2943),(-0.0265054703357 3105),(-0.00434923493805 3170),(-0.0360510038255 3297),(-0.637424708857 3513),(-1.04260216815 3675),
Point3,H1,(27.9954794945 94),(32.3272064113 286),(31.3029743933 463),(30.4003791113 638),(31.4823117955 815),(32.397587149 1009),(31.4884011849 1184),(36.3604230683 1362),(33.3825097421 1552),(32.3857531396 1744),(33.5741508792 1922),(33.3926963444 2108),(39.4836708559 2292),(33.249732719 2480),(32.0252718486 2665),(34.4051842375 2848),(39.5387038201 3040),(31.1554762873 3232),(30.816563172 3409),(31.3738832265 3596),(34.9344063943 3779),
Point3,H2,,,,(6.44019043973 687),,,,,(0.966051929283 1644),,,,,,,,(-0.0106520444814 3122),,(-0.0129935570731 3485),,,
Point3,H3,,,,(6.69267734286 695),,,,,(1.38946793269 1657),,,,,,,,(2.08225285237 3149),,(0.562023405399 3508),,,
Point3,H4,,(2.36922835719 389),(2.36274291503 569),(0.711483570074 743),(2.06274506421 936),(2.71575312642 1111),(-0.0102247428913 1280),(1.28652581569 1479),(0.638097287735 1672),(2.15498031807 1832),(0.27481840216 2038),,,(0.544348331853 2594),(0.348706621059 2773),,(1.8123372617 3161),(-0.0188254266598 3316),(0.227413500781 3524),(0.147079871743 3689),,
Point3,H5,,(2.96846788588 402),(2.62366437939 578),(1.17823141129 756),(2.59273060226 948),(2.99578530312 1121),(1.09932906716 1301),(1.92873151059 1492),(1.46045201076 1685),(2.68699011408 1848),(0.613605188147 2052),,,(1.33210241418 2611),(1.91941510336 2789),,(1.83778542471 3167),(3.12339260596 3351),(1.4618789311 3541),(1.57051512576 3708),,
Point3,H6,(-0.396086365633 20),(-0.00158923326864 178),(-0.0246826445909 242),(-2.84217094304e-14 419),(-0.00471359528291 596),(-0.0108734483474 778),(1.24344978758e-14 963),(-1.7763568394e-15 1140),(-0.0102247428913 1280),(-1.42108547152e-14 1507),(0.0 1697),(2.30926389122e-14 1875),(3.19744231092e-14 2062),(-0.0250640460166 2208),(-0.011270434573 2435),(8.881784197e-15 2624),(8.881784197e-15 2804),(-0.0870784266927 2959),(-0.0106520444814 3122),(-0.00802329998862 3186),(-0.0188254266598 3316),(-0.0129935570731 3485),(-1.7763568394e-15 3553),(-0.00841863091955 3730),
Point4,H1,(33.3819852173 93),(49.3089270609 283),(41.6991243264 462),(41.4423883625 636),(41.4863870081 814),(42.958579975 1007),(42.0268983996 1182),(50.0791691584 1360),(44.6690322481 1550),(42.6039092108 1742),(44.7090414214 1918),(46.1002477598 2106),(55.5662227928 2292),(48.0803839079 2479),(45.6549669712 2665),(47.3648592797 2845),(54.9536139962 3037),(44.1626929943 3231),(41.9556210023 3408),(45.6056898199 3594),(46.9960000361 3775),
Point4,H2,(2.73124868506 142),,,(8.73010436694 686),(39.5872537998 826),(14.5967055334 1052),,,(1.08282101327 1642),,,,,,,,(-0.00132401667848 3119),,(-0.0206709283122 3488),,,
Point4,H3,(3.16957191634 150),,,(9.02457574939 694),(39.8742111241 832),(14.9258104597 1060),,,(2.25814731006 1660),,,,,,,,(3.22393569194 3148),,(0.0540386698364 3495),,,
Point4,H4,(-0.16394086795 173),(3.96210941527 388),,(0.737447320995 738),(2.14517603056 935),(3.41422014549 1108),,(1.56025553201 1478),(2.06026681547 1668),(1.12905928568 1846),(6.2172489379e-14 2037),,,(-0.0788478544647 2585),(-0.0479041415282 2773),(-0.127966640667 2954),(2.95421918864 3159),(-0.0043840107601 3313),(-0.10962851126 3506),,,
Point4,H5,(6.42119256151 228),(5.60451960955 402),,(1.80947610722 754),(3.1489780034 947),(4.05085346649 1120),,(2.34580993251 1490),(2.72013539273 1681),(1.51616427911 1858),(1.7244963365 2053),,,(1.51332332772 2610),(2.89426893322 2790),(3.00220538186 2982),(3.00979942269 3165),(3.39728987928 3347),(2.63938707945 3538),,,
Point4,H6,(-3.97969188255 54),(-0.16394086795 173),(-0.00796835399616 419),(1.95399252334e-14 592),(-1.7763568394e-15 777),(-0.00176378860196 962),(-5.3290705182e-15 1139),(-0.00403764806511 1280),(-7.1054273576e-15 1505),(8.881784197e-15 1696),(3.01980662698e-14 1876),(6.2172489379e-14 2037),(-0.0522905568421 2205),(-0.0466085185234 2433),(-0.0788478544647 2585),(-0.0479041415282 2773),(-0.127966640667 2954),(-0.00132401667848 3119),(-0.00153609580165 3184),(-0.0043840107601 3313),(-0.10962851126 3506),(-1.7763568394e-14 3734),
