Cycle,0.619479166667
Average Width,5.91856191267
Width,,6.10160812958,5.18695674882,7.75339316748,8.15586012393,5.50870169202,6.81055267881,5.42803404604,5.72699892346,5.40761597756,5.22063809806,8.197568387,6.08875150606,4.94083520032,5.45374574368,5.66602776712,5.97649758678,5.81140008715,6.66956789928,7.04697246905,6.1834917501,5.97258837356,5.39844949073,5.18040391079,5.67913426967,5.65699716172
Point2,H1,(26.0023258492 100),(22.4691072793 231),(27.8925469393 344),(36.9807486358 431),(22.1763222673 613),(19.7456978883 737),(22.4442431183 846),(18.6859518461 988),(21.708730255 1090),(22.4836148484 1254),(15.6836356698 1361),(21.92237031 1526),(18.0256997078 1650),(20.5658559185 1767),(19.3977552771 1877),(17.598437883 1992),(20.5194193185 2103),(20.0164560927 2231),(17.3369993627 2377),(19.1512363694 2517),(17.9772883076 2646),(16.3700784808 2777),(20.2551911884 2918),(19.441046103 3062),(20.1611819093 3204),
Point2,H2,(1.7763568394e-14 126),,(27.1328126314 359),,(-0.00533978526588 642),(-1.7763568394e-14 764),(-2.13162820728e-14 891),,(-0.000964841548614 1148),,,(-3.5527136788e-15 1551),(0.0 1676),,,,,(1.7763568394e-15 2265),(7.1054273576e-15 2410),(-1.7763568394e-15 2543),,(-0.0147707021732 2809),(8.881784197e-15 2943),(3.5527136788e-15 3088),,
Point2,H3,(15.7026604756 171),,(27.2284517469 365),,(10.756735473 669),(13.3364316099 787),(11.1733078415 916),,(9.25709207249 1169),,,(9.50808669682 1575),(11.8807511194 1701),,,,,(8.4623765939 2287),(10.1172900307 2433),(9.22875078843 2569),,(11.4472294248 2835),(10.6718784228 2974),(8.694340081 3114),,
Point2,H4,(14.857613249 182),,,,(8.06067282697 688),,(9.78125463522 930),(-1.42108547152e-14 1020),(6.62949398833 1186),(3.5527136788e-15 1281),,,,(-5.3290705182e-15 1795),(0.0 1914),(-1.42108547152e-14 2022),(-0.00732535619687 2136),(6.13835417792 2302),(7.56964594067 2449),(8.50773326762 2589),(0.0 2673),(10.2706439586 2848),(8.84803893503 2993),(6.80753902054 3132),,
Point2,H5,(19.4091175667 202),,,,(19.4469586569 722),,(14.7363704803 957),(8.49004534146 1045),(18.7222279146 1232),(7.14729547831 1322),,,,(13.057470203 1825),(7.76345789803 1938),(9.46991333404 2053),(11.0339789769 2164),(16.3537634755 2346),(17.052460827 2488),(15.0196183174 2619),(9.10918756643 2699),(17.9253904755 2889),(16.6834226102 3025),(18.0602109446 3176),,
Point2,H6,(1.7763568394e-14 126),(-8.881784197e-15 258),(0.0 400),(-2.30926389122e-14 521),(-0.00533978526588 642),(-1.7763568394e-14 764),(-2.13162820728e-14 891),(-1.42108547152e-14 1020),(-0.000964841548614 1148),(3.5527136788e-15 1281),(-3.5527136788e-15 1420),(-3.5527136788e-15 1551),(0.0 1676),(-5.3290705182e-15 1795),(0.0 1914),(-1.42108547152e-14 2022),(-0.00732535619687 2136),(1.7763568394e-15 2265),(7.1054273576e-15 2410),(-1.7763568394e-15 2543),(0.0 2673),(-0.0147707021732 2809),(8.881784197e-15 2943),(3.5527136788e-15 3088),(-5.3290705182e-15 3229),
Point3,H1,(21.4641032139 99),(16.3610076692 231),(26.66501332 364),(36.2957829594 430),(17.7044270682 612),(18.1349293435 737),(17.7560230174 845),(14.9610448693 966),(15.810845122 1090),(15.4980786028 1251),(14.5613947268 1391),(18.4703751041 1523),(11.8451477515 1651),(15.0203073399 1766),(15.5713882272 1877),(14.328547735 1990),(16.6464719106 2102),(17.5370149598 2231),(15.8396947908 2375),(16.0456451617 2516),(15.0939620994 2646),(13.6066873532 2776),(15.0096084632 2917),(15.5276421889 3061),(14.6339554978 3203),
Point3,H2,,,,,,,,,,(1.33226762955e-14 1279),(-0.00819679627187 1418),(1.7763568394e-15 1550),,,,,,(7.1054273576e-15 2264),(5.3290705182e-15 2409),(1.42108547152e-14 2543),(1.06581410364e-14 2672),(5.3290705182e-15 2808),(5.3290705182e-15 2942),(-7.9936057773e-15 3086),,
Point3,H3,,,,,,,,,,(2.82713130267 1295),(11.8144084026 1445),(7.38155711708 1574),,,,,,(7.61810225404 2290),(9.88471579287 2432),(8.70387652448 2572),(6.86505477532 2697),(7.5036033448 2832),(9.29590200486 2973),(8.04099190004 3112),,
Point3,H4,,,,,(3.5527136788e-15 640),(0.0 764),(8.881784197e-15 891),(2.30926389122e-14 1019),(8.881784197e-15 1147),(2.57621126727 1303),(9.64938317336 1464),(4.40788422465 1599),(-1.06581410364e-14 1676),(-0.00637155560815 1792),(3.5527136788e-15 1913),(-0.00488016809965 2019),(7.1054273576e-15 2136),(6.93936143043 2301),(7.16985013954 2448),(8.32278708354 2588),(3.88238453197 2718),(5.33271808233 2848),(6.54266270403 2995),(6.57151949039 3133),,
Point3,H5,,,,,(8.41918541186 671),(10.8124936434 789),(10.3628299791 916),(8.09635431839 1043),(6.66070912252 1171),(11.3396682716 1355),(15.2431919846 1500),(10.3054687973 1631),(7.6566984597 1701),(9.44620693138 1826),(7.06092983605 1937),(9.12431038417 2054),(7.56090887313 2163),(14.7448864198 2345),(14.4415205633 2486),(14.8339792897 2617),(11.192465378 2750),(13.2723620597 2889),(12.0600582868 3028),(14.4076292507 3173),,
Point3,H6,(-0.0114352604474 125),(-0.0410865435654 257),(1.06581410364e-14 401),(-0.0631220861314 520),(3.5527136788e-15 640),(0.0 764),(8.881784197e-15 891),(2.30926389122e-14 1019),(8.881784197e-15 1147),(1.33226762955e-14 1279),(-0.00819679627187 1418),(1.7763568394e-15 1550),(-1.06581410364e-14 1676),(-0.00637155560815 1792),(3.5527136788e-15 1913),(-0.00488016809965 2019),(7.1054273576e-15 2136),(7.1054273576e-15 2264),(5.3290705182e-15 2409),(1.42108547152e-14 2543),(1.06581410364e-14 2672),(5.3290705182e-15 2808),(5.3290705182e-15 2942),(-7.9936057773e-15 3086),(3.5527136788e-15 3227),
