Cycle,0.693522988214
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(10.1340330594 33),(7.91495720498 175),(10.7387133887 325),(10.8811499924 485),(9.90522167461 619),(10.4617652309 768),(9.98382726438 908),(11.1603364628 1053),(11.1732869685 1198),(11.3603253978 1343),(11.899563283 1506),(12.171394848 1651),(14.0938473243 1798),(14.1581192324 1935),(13.2105463461 2079),(13.8098656718 2222),(14.0199508755 2366),(13.1877959854 2511),(11.8841680632 2653),(13.7390995447 2798),(13.036722922 2944),(13.1691208374 3108),(13.8006528996 3245),(12.153678288 3390),(14.1821722515 3534),(13.9236156648 3684),(13.7459865233 3840),(15.8386243758 3983),(11.9663124168 4126),(13.6415425653 4271),(12.4606606454 4417),(12.04700655 4563),(14.6115758198 4717),(15.0466840872 4862),(13.0926527762 5025),(15.3607214977 5167),
Point0,H2,,(7.10175054962 190),(10.6833855493 331),,,,(3.22023749974 956),,(10.1348618663 1211),(10.4985638739 1354),(6.40024355419 1533),,,,,,,,(10.1844209703 2666),(12.2882553146 2811),,,,,,(13.7753126872 3691),,,,(12.0216278957 4286),(11.8784309258 4430),,,,,,
Point0,H3,,(7.14855735761 195),(10.692572748 335),,,,(3.55885551336 966),,(10.606725137 1221),(11.1146310798 1366),(6.74873734219 1543),,,,,,,,(11.4298799005 2678),(13.0127837994 2822),,,,,,(13.8285235187 3697),,,,(12.0491204379 4290),(11.8804277673 4431),,,,,,
Point0,H4,,(1.92975888635 265),,,,,(0.938232978002 990),,(5.67420738383 1245),(-1.7763568394e-15 1460),(-8.881784197e-16 1604),,(2.72766019517 1865),(6.2642596735 1983),,(6.28505600261 2268),,(1.02974476733 2601),(6.11349325203 2698),(8.05011656764 2847),,,(1.64941679438 3323),,,(2.70640516109 3766),,,,,(5.7942856869 4464),(1.62068504796 4648),(1.11893773576 4815),,,,
Point0,H5,,(2.3594507781 276),,,,,(0.99532373981 997),,(6.00013950676 1255),(11.6474586458 1491),(12.1203498874 1634),,(3.24689121534 1876),(6.30065163205 1988),,(6.60718459523 2277),,(1.38402158617 2613),(7.57967028827 2711),(8.08762433611 2851),,,(1.743957328 3331),,,(3.14388110523 3778),,,,,(5.85056811264 4471),(2.03994250255 4660),(1.11925251623 4816),,,,
Point0,H6,(-0.00426375817673 1),(9.7699626167e-15 146),(4.4408920985e-15 293),(8.881784197e-16 438),(-0.00202657319906 581),(0.0 726),(-0.000170853641063 866),(2.6645352591e-15 1018),(-6.2172489379e-15 1166),(-1.42108547152e-14 1315),(-1.7763568394e-15 1460),(-8.881784197e-16 1604),(-0.0028470500293 1748),(-7.1054273576e-15 1895),(-5.3290705182e-15 2039),(-8.881784197e-16 2185),(-6.2172489379e-15 2338),(-0.00576955820166 2479),(1.50990331349e-14 2627),(-1.15463194561e-14 2769),(7.9936057773e-15 2915),(-6.2172489379e-15 3061),(-1.7763568394e-15 3206),(5.3290705182e-15 3352),(5.3290705182e-15 3500),(4.4408920985e-15 3652),(7.1054273576e-15 3798),(-1.7763568394e-15 3943),(4.4408920985e-15 4093),(8.881784197e-16 4241),(8.881784197e-16 4387),(-5.3290705182e-15 4533),(-3.5527136788e-15 4680),(2.6645352591e-15 4833),(-3.5527136788e-15 4981),(-0.00126127518503 5125),
Point1,H1,(5.41689051413 34),(3.59538759503 223),(6.44868486429 329),(6.56035389658 491),(6.18689313067 612),(5.5388864918 772),(5.2596295834 911),(5.91194720605 1055),(6.24757962703 1201),(5.75988124565 1372),(6.50976682766 1491),(5.88695797355 1656),(8.50624741802 1805),(8.46491888446 1938),(7.39964438594 2082),(7.75094319999 2226),(7.2516589785 2370),(6.84367627391 2513),(6.18969600665 2656),(7.63606429886 2827),(6.90214000474 2946),(7.0382771278 3116),(7.50263604987 3246),(6.08148429904 3392),(8.18494675345 3536),(8.02347267617 3700),(7.73573881105 3844),(9.62598268529 3985),(7.16595258527 4128),(7.65199137645 4274),(6.36657351128 4419),(6.44604534152 4566),(7.97488251356 4720),(9.35180094818 4865),(7.45115457409 5031),(9.31994826034 5169),
Point1,H2,(2.91876272137 76),,,,,,,(4.40180460257 1072),,,,,(4.01945706184 1841),,,,(6.1451999615 2387),(6.03470552046 2528),,,(3.2250213534 2990),,,,,,,,(5.80881717325 4146),(7.00063718131 4287),,,(2.82302214833 4768),,,,
Point1,H3,(3.01515756996 86),,,,,,,(4.68962709521 1082),,,,,(4.15230984479 1848),,,,(6.14907172865 2390),(6.1257927201 2535),,,(3.61977042771 3003),,,,,,,,(5.87361786227 4152),(7.14918276971 4295),,,(2.93703321343 4775),,,,
Point1,H4,(-0.00648631935644 147),(1.56331289233 266),,(2.39860916066 557),,,(0.298424164672 989),(3.1575830857 1103),,(1.92133096971 1431),,,(2.19262094314 1868),(5.36157794331 1985),(2.59637856626 2158),(4.44104017258 2270),,(0.260398558327 2603),,,(1.18523149828 3035),,,(2.16973498355 3438),,(1.32775060074 3771),,,,(4.55572513469 4320),,(0.967589779015 4653),(0.727662703889 4809),,(0.0872715818352 5094),,
