Cycle,0.748630952381
Average Width,4.01306200815
Width,,3.99003920053,4.02599083682,3.85797532736,3.97704383053,3.97691127917,3.99239600756,4.10113006543,3.99278537063,4.05486783157,3.93806780082,3.70194166587,3.91715797071,3.85836992425,3.91153175968,3.89572504326,3.93610284241,4.03445866017,4.03752898405,4.1136018839,4.1217590988,4.22378778748,4.16223283023,4.09517964616,4.06272127031,3.97184502873,4.12363849444,4.04700561705,4.00524082629,3.96351316716,3.83185478425,3.95892355626,4.04328717609,4.030078577,4.08483285804,4.01042881018,3.98012060684,4.04510789743,4.08507378427,4.16389691957,4.12490156744,4.07585663629,4.16735604186,4.01204934901
Point1,H5,(9.13148545881 89),(3.10883950852 267),(3.65664191396 412),(3.69775779648 557),(4.20574387862 702),,(3.35266819721 974),(1.79999312189 1101),(4.26992908848 1244),(1.81810784638 1378),,(5.50232473441 1661),(3.33150696541 1805),(3.88662046678 1950),(3.43019469914 2110),,,(3.99054924475 2590),,,,(2.67256234271 3245),,(1.86892510277 3566),(4.00168955465 3727),,,(3.32700817362 4222),(12.5656531901 4311),,,(3.13141600344 4807),(2.38088253522 4953),(4.01112592194 5118),(4.25383164994 5263),(3.69487469912 5422),(10.7234359714 5518),(4.09392001834 5759),,,,,
Point1,H6,(-1.15463194561e-14 155),(-1.42108547152e-14 292),(-1.42108547152e-14 434),(1.06581410364e-14 578),(8.881784197e-15 720),(-2.48689957516e-14 859),(-7.9936057773e-15 992),(-0.0189351239075 1124),(0.0 1263),(-0.00757699444401 1362),(3.5527136788e-15 1536),(-1.7763568394e-15 1681),(1.24344978758e-14 1823),(-1.7763568394e-15 1967),(0.0 2127),(-0.00175368491768 2283),(2.13162820728e-14 2441),(1.42108547152e-14 2608),(-0.00301062541933 2772),(-1.59872115546e-14 2930),(-9.7699626167e-15 3094),(-1.59872115546e-14 3262),(-7.9936057773e-15 3419),(5.3290705182e-15 3581),(-1.24344978758e-14 3744),(-0.00528108884157 3909),(1.7763568394e-15 4076),(8.881784197e-15 4239),(8.881784197e-16 4387),(-0.00209379141778 4544),(-2.6645352591e-15 4699),(0.0 4842),(-0.0108401879336 4987),(0.0 5136),(8.881784197e-15 5280),(-7.1054273576e-15 5440),(0.0 5602),(-3.5527136788e-15 5776),(0.0 5946),(-3.5527136788e-15 6111),(-0.00184525211336 6274),(1.42108547152e-14 6444),
Point2,H1,(21.6250286542 28),(20.9727550288 183),(17.5756733636 326),(19.4134905293 469),(18.6292391414 611),(18.5895546229 748),(19.0783572811 887),(16.3666908568 1021),(19.7651889567 1158),(17.4149091867 1289),(17.8442298495 1417),(22.7797515104 1564),(20.1131147837 1711),(21.210251902 1850),(21.5270627977 1996),(22.0499610054 2154),(20.678876685 2311),(21.9085850774 2472),(21.5572098326 2638),(21.0962555972 2806),(19.9455614442 2965),(21.5006417308 3127),(21.586855165 3289),(19.5751930471 3447),(22.7485619004 3608),(22.0370814229 3773),(21.4864720579 3942),(22.0283078691 4104),(21.4299982839 4265),(18.9029900942 4421),(20.2583126351 4577),(21.0576263279 4727),(20.8553039341 4871),(22.9506344959 5015),(22.8678732468 5162),(21.9860183872 5310),(23.6023382285 5468),(22.88855961 5637),(21.6906787551 5805),(22.6988633912 5975),(22.8296372836 6138),(22.0156400181 6309),(22.5083512999 6471),
Point2,H2,,,(7.28951228819 353),(8.58736813086 497),(8.29726871938 635),(7.59103760576 781),(7.22679447831 913),(5.88333136741 1052),(9.38275511822 1185),,,,(9.42030715405 1753),,,,,,,,(8.75002378631 2992),(10.5246090845 3155),,(8.3088544528 3473),(5.88038732019 3692),,(11.1571847789 3965),,,,(10.0149535882 4604),(8.93837706708 4753),(8.3215061064 4898),,,(13.1450063258 5341),,(10.8738691007 5665),,,,,
Point2,H3,,,(8.07735247163 366),(8.95778656484 507),(10.1687123994 649),(8.01220444353 791),(7.75748126366 925),(6.51357263479 1063),(9.66284605746 1194),,,,(9.42038976157 1754),,,,,,,,(9.15982016001 3002),(10.5532052283 3160),,(9.08887019626 3488),(5.88266806092 3694),,(11.7084893591 3974),,,,(11.2039680439 4617),(9.00763290336 4758),(8.64746645396 4909),,,(13.5602809131 5352),,(11.3266675368 5675),,,,,
Point2,H4,(10.4368270766 72),,(2.77832530726 398),(2.7118548935 546),(3.01317701626 690),(1.17905521262 841),(2.18494366229 960),(1.44119047086 1092),(4.0421753411 1236),(-0.0146259167293 1362),,(4.97207859942 1651),(3.27346975826 1797),(3.23819162556 1941),(3.31193274798 2101),,,(3.120448038 2580),,,,(2.33289018912 3240),,(1.96425239754 3559),(3.3410815372 3717),,,(3.59866797961 4213),(11.0386473627 4291),,,(3.8504795594 4802),(2.89039716918 4945),(3.80863294642 5108),(3.56457711365 5251),(3.34667276215 5414),(11.0153543218 5513),(3.16604654181 5748),(10.4883964192 5845),,,,
Point2,H5,(11.1500699681 86),,(3.60413489536 411),(3.07656397896 556),(4.24172560866 703),(1.1798184564 843),(3.20093769126 974),(1.81831503601 1104),(4.16591890147 1243),(1.68752805309 1378),,(5.50338682242 1662),(3.57201360678 1806),(3.73090421999 1951),(3.57884246705 2110),,,(3.721690299 2591),,,,(2.47173753206 3247),,(2.07581801081 3566),(3.91848416559 3727),,,(3.78958122197 4221),(13.5234756813 4312),,,(3.9406675829 4808),(3.00485869478 4952),(4.48967522239 5119),(4.39362012782 5263),(3.91508105906 5424),(11.0196119066 5516),(3.89668829253 5759),(10.6297532925 5853),,,,
Point2,H6,(-0.0131919100935 155),(-2.75335310107e-14 292),(-5.3290705182e-15 435),(8.881784197e-16 578),(3.5527136788e-15 720),(3.46389583683e-14 859),(4.26325641456e-14 992),(3.5527136788e-15 1125),(1.59872115546e-14 1263),(-0.0146259167293 1362),(1.06581410364e-14 1536),(1.7763568394e-14 1681),(5.3290705182e-15 1823),(-1.7763568394e-15 1967),(-1.24344978758e-14 2127),(-1.42108547152e-14 2283),(-4.4408920985e-15 2441),(-3.5527136788e-15 2608),(-3.5527136788e-15 2771),(-1.50990331349e-14 2929),(-4.4408920985e-15 3094),(1.24344978758e-14 3262),(6.2172489379e-15 3419),(-7.1054273576e-15 3581),(-7.1054273576e-15 3744),(6.2172489379e-15 3908),(-7.1054273576e-15 4076),(7.1054273576e-15 4239),(-8.881784197e-15 4387),(-7.1054273576e-15 4545),(-7.9936057773e-15 4699),(-7.9936057773e-15 4842),(-3.5527136788e-15 4988),(1.06581410364e-14 5136),(3.5527136788e-15 5280),(-1.42108547152e-14 5440),(-2.48689957516e-14 5602),(-2.48689957516e-14 5776),(-8.881784197e-16 5946),(0.0 6111),(-0.00191241617602 6274),(7.1054273576e-15 6444),
Point3,H1,(11.7650726765 29),(10.2038523205 183),(6.03775074526 327),(6.95398694636 470),(7.05401054972 613),(7.44757867252 749),(8.10484733375 888),(6.2606298015 1024),(7.72049627281 1159),(5.67043368894 1290),(5.14076561412 1421),(7.55189756134 1565),(6.76919826436 1712),(7.49112356722 1852),(7.15136354546 1998),(7.74519290401 2155),(8.00749823568 2312),(8.77915405809 2473),(8.47135715784 2641),(8.7059599893 2807),(8.66507316509 2965),(8.74613283273 3129),(8.72421642556 3290),(8.33250097921 3448),(8.682513579 3609),(9.33241019869 3776),(8.46633327856 3943),(9.24220998543 4104),(8.43606574354 4266),(6.91963264091 4422),(8.88267289683 4578),(9.11306954343 4727),(8.89728038054 4871),(10.3845047014 5016),(9.96270305537 5163),(9.00986997274 5313),(10.2090757045 5468),(10.0205076711 5638),(9.85688321523 5806),(10.1313403923 5976),(10.2832519887 6140),(10.4442695775 6310),(10.0342905621 6472),
Point3,H2,(4.73186361132 74),(5.42945516112 207),(3.46857100005 353),(3.14155899652 500),(3.26608467346 636),(3.70614782945 784),(4.31163549098 914),(2.71406124627 1050),(4.2227968653 1188),,,(5.12793471597 1605),(4.49604900013 1745),,(1.80383871454 2081),,,,,(4.40735882543 2839),(4.17063691163 2994),,,(4.88233533459 3472),(6.68395455399 3631),,,,(4.85744809088 4292),,(5.14544934489 4607),(5.09308627594 4750),(4.22275739139 4897),,,(5.8940003127 5350),,(2.10588514258 5720),(5.13670204551 5846),(4.92177069914 6003),(6.20084214004 6182),,
Point3,H3,(5.14968378055 89),(5.44416322011 210),(3.52636348038 360),(3.20734886402 510),(3.81015811412 648),(3.71701339589 788),(4.45283793443 925),(3.01763628135 1061),(4.22371035101 1190),,,(5.13339479896 1608),(4.57392878683 1753),,(1.82551630462 2088),,,,,(4.44597053612 2847),(4.19081304389 2999),,,(5.08856801743 3489),(6.68483062747 3633),,,,(5.88853481422 4311),,(5.47680990315 4621),(5.22149261557 4758),(4.37830195677 4911),,,(6.01679825834 5367),,(2.20602888669 5730),(5.2121099485 5854),(5.53319563906 6021),(6.32724084826 6190),,
Point3,H4,(-0.0241845388857 137),(3.74036331151 233),(1.09443992549 396),(0.583022488432 548),(0.489494141456 689),(0.33681247334 833),,,(1.33950924324 1239),,,(2.21527529837 1653),(1.45895059921 1794),,(1.72029564049 2101),,,,,,,(0.936196252885 3240),(0.478504246763 3404),,,(1.65373869044 3869),,(1.42446260095 4213),,,,,,(1.82305547577 5110),(1.42029933126 5254),(1.79092155711 5416),,(1.49641939001 5748),,(1.43855396652 6086),,,
Point3,H5,(0.133953156167 147),(3.77660323854 238),(1.3457436482 409),(0.888551825922 561),(1.3015364601 705),(0.417076932697 845),,,(1.34633945071 1243),,,(2.27344106647 1660),(1.60021556114 1804),,(1.72225452012 2103),,,,,,,(0.975987058658 3246),(0.483685311315 3407),,,(1.69386299798 3876),,(1.48008651252 4221),,,,,,(1.9876184624 5119),(1.5029458287 5262),(1.89602446634 5423),,(1.83989269218 5759),,(1.56481640119 6095),,,
Point3,H6,(-0.0241845388857 137),(6.2172489379e-15 294),(8.881784197e-15 435),(-1.15463194561e-14 581),(-8.881784197e-16 720),(8.881784197e-16 858),(-2.22044604925e-15 991),(-0.00124558432293 1121),(8.881784197e-15 1263),(2.44249065418e-15 1391),(3.5527136788e-15 1537),(-4.88498130835e-15 1682),(1.15463194561e-14 1824),(-6.2172489379e-15 1966),(4.88498130835e-15 2127),(3.99680288865e-15 2280),(-5.3290705182e-15 2442),(2.6645352591e-15 2608),(1.33226762955e-15 2770),(-1.15463194561e-14 2928),(3.99680288865e-15 3095),(8.881784197e-16 3262),(-4.4408920985e-15 3420),(-7.9936057773e-15 3581),(-1.7763568394e-15 3744),(-0.00604501994123 3909),(-6.66133814775e-15 4078),(-8.881784197e-15 4239),(-6.66133814775e-16 4388),(-0.00250382993775 4545),(-8.881784197e-15 4699),(-5.3290705182e-15 4843),(-0.000668227746341 4987),(-4.4408920985e-15 5136),(-1.7763568394e-15 5280),(-5.3290705182e-15 5440),(7.9936057773e-15 5603),(4.4408920985e-15 5776),(0.0 5947),(-8.881784197e-16 6112),(0.0 6274),(-1.33226762955e-15 6445),
