Cycle,0.648073322511
Average Width,8.50171883397
Width,,8.35114973212,9.2940740775,0.0,7.82758028748,5.54551373038,5.35666071347,5.86384672725,6.78935016778,11.9456101076,14.0500679574,11.9684251148,7.51110613445,7.37133814096,8.44135952622,6.69416475532,8.32417546068,8.10303134194,8.46409853879,7.99855687954,7.87706605175,6.95303257029
Point0,H1,(10.7476622259 67),(8.23343440406 191),(9.69033843695 387),(4.04787117133 456),(3.77687258698 553),(3.95868751687 714),(7.755395244 825),(11.5893149996 1023),(10.0780043118 1148),(8.1607767855 1314),(5.9087514202 1459),(7.23763600154 1607),(9.37734056255 1757),(9.88857529248 1916),(8.05632477415 2068),(3.00011907258 2146),(4.71959999125 2233),(8.85518015978 2383),(9.09275009595 2521),(7.49266919205 2711),(6.80268941388 2877),
Point0,H2,,,,,(-0.00259026385439 576),,(5.86173633637 853),,,,,,(0.479804577629 1801),,,,,,(7.41404345296 2540),,,
Point0,H3,,,,,(0.633413222844 589),,(6.64629366151 868),,,,,,(0.485383138897 1805),,,,,,(7.56915558021 2548),,,
Point0,H4,(-6.2172489379e-15 96),,,(-0.00360905018688 491),(0.162076207372 602),,(-0.00263655905967 896),,,(5.3290705182e-15 1351),(-1.1990408666e-14 1491),(-0.00779685340757 1642),(-8.881784197e-15 1827),(8.881784197e-16 1954),(-0.0200134862939 2102),,(-0.0235922396282 2258),,(7.9936057773e-15 2581),(-3.10862446895e-15 2754),,
Point0,H5,(4.3628070851 131),,,(2.46710582654 520),(1.83139725769 628),,(6.83446133929 965),,,(5.72981092354 1413),(2.16065363068 1517),(3.02003949681 1670),(8.96382560409 1889),(4.32939470602 1995),(0.053682866674 2110),,(8.79168003697 2356),,(4.10904362912 2607),(6.32603879726 2831),,
Point0,H6,(-6.2172489379e-15 96),(-3.5527136788e-15 256),(-0.00454996545887 315),(-0.000815782417293 417),(-0.00360905018688 491),(-0.00259026385439 576),(-0.00160188907826 663),(-0.048846316337 741),(-0.00263655905967 896),(1.7763568394e-15 1057),(-4.4408920985e-15 1206),(5.3290705182e-15 1351),(-1.1990408666e-14 1491),(-0.00779685340757 1642),(-8.881784197e-15 1827),(8.881784197e-16 1954),(-0.0200134862939 2102),(-4.88498130835e-15 2189),(-0.0235922396282 2258),(-6.2172489379e-15 2425),(7.9936057773e-15 2581),(-3.10862446895e-15 2754),(-0.00795623351358 2910),
Point1,H1,(11.6610822553 120),(9.17111499511 283),(8.85007074363 443),(6.98942089102 606),(6.14154518739 685),(6.92720856309 767),(10.8692602928 923),(13.6487088249 1077),(10.757579053 1230),(8.75282503471 1341),(7.69283362273 1517),(10.527366015 1665),(12.0138341735 1816),(12.243235036 1967),(11.3985348527 2123),(3.49819815152 2207),(6.71780815908 2290),(11.0655665172 2417),(10.1304032638 2603),(9.79199749745 2763),(9.89587265154 2926),
Point1,H2,(1.06581410364e-14 153),,(-0.00351981475444 474),,(4.74829234936 712),,,,,(8.2891775577 1357),,,,,,,,,,,
Point1,H3,(3.89046717362 185),,(4.85324129195 517),,(4.76666360778 717),,,,,(8.71498478556 1370),,,,,,,,,,,
Point1,H4,(3.58998348412 199),,(2.85100854448 543),,,,(-7.1054273576e-15 954),(-1.06581410364e-14 1112),,(-1.7763568394e-15 1406),(-0.00182425981601 1549),,,,,,(-0.0562324620514 2317),,(-1.7763568394e-15 2636),,
