Cycle,0.648073322511
Average Width,8.50171883397
Width,,8.35114973212,9.2940740775,0.0,7.82758028748,5.54551373038,5.35666071347,5.86384672725,6.78935016778,11.9456101076,14.0500679574,11.9684251148,7.51110613445,7.37133814096,8.44135952622,6.69416475532,8.32417546068,8.10303134194,8.46409853879,7.99855687954,7.87706605175,6.95303257029
Point1,H5,(8.87824434497 254),,(6.17325251018 577),,,,(10.193039305 1028),(10.7298460529 1199),,(7.02004577448 1469),(8.87502518768 1641),,,,,,(10.3339500392 2392),,(4.99536346563 2670),,
Point1,H6,(1.06581410364e-14 153),(-5.3290705182e-15 312),(-0.00351981475444 474),(-0.00227945318433 635),(-0.0159128643975 803),(-7.1054273576e-15 954),(-1.06581410364e-14 1112),(0.0 1261),(-1.7763568394e-15 1406),(-0.00182425981601 1549),(-0.0051775143615 1699),(3.5527136788e-15 1854),(7.1054273576e-15 2009),(-0.0614380717894 2162),(-0.000496557120544 2246),(-0.0562324620514 2317),(-1.15463194561e-14 2476),(-1.7763568394e-15 2636),(-8.881784197e-16 2805),(-0.00225628324196 2965),
Point2,H1,(10.9122842905 105),(8.46663623378 282),(7.83846493207 441),(5.01006176521 516),(6.43628683701 604),(6.03388340363 684),(6.47938355062 766),(10.4963500774 922),(12.4327161398 1077),(10.2916701427 1196),(7.69775461674 1339),(7.26810719467 1517),(9.57198520438 1666),(10.8088497346 1818),(11.7836600037 1966),(9.3114606203 2122),(3.62635342329 2212),(5.80538052586 2290),(9.88099381397 2444),(8.86715369638 2575),(9.33686570212 2763),(9.02550942841 2927),(5.93808447908 3050),
Point2,H2,,(4.4408920985e-15 314),,,,(4.24516905796 709),,(-8.881784197e-15 953),,(8.75697927351 1216),,(-8.881784197e-15 1551),,,,,,(-0.0581266460241 2318),,,
Point2,H3,,(1.93649903612 348),,,,(4.50094956093 721),,(7.95404462551 994),,(10.0226269967 1231),,(4.00481523867 1590),,,,,,(9.11473639534 2390),,,
Point2,H4,,(1.54166696134 364),,,,,,(7.80092055838 1004),(-1.50990331349e-14 1113),,,(3.95337703938 1599),,(0.0 1854),,,,(8.8468930443 2401),(-1.7763568394e-15 2476),,
Point2,H5,,(5.69137521332 404),,,,,,(9.540068724 1029),(5.07456590255 1157),,,(8.62246284857 1636),,(2.80963932439 1880),,,,(9.76397100589 2420),(5.40054678788 2515),,
Point2,H6,(-3.5527136788e-15 153),(4.4408920985e-15 314),(-2.6645352591e-15 476),(-3.5527136788e-15 635),(-0.0172415593268 800),(-8.881784197e-15 953),(-1.50990331349e-14 1113),(-0.0021530035671 1267),(-6.2172489379e-15 1405),(-8.881784197e-15 1551),(-4.4408920985e-15 1699),(0.0 1854),(7.9936057773e-15 2008),(-0.0171433621332 2161),(-0.00524897462774 2248),(-0.0581266460241 2318),(-1.7763568394e-15 2476),(-5.3290705182e-15 2636),(-1.06581410364e-14 2804),(-6.66133814775e-15 2964),
Point3,H1,(9.1723762939 54),(7.74637662245 213),(8.55710559882 375),(6.32075415707 452),(5.37815253145 539),(5.24477641779 615),(5.28088161531 703),(8.12544927569 859),(11.7649793271 1012),(10.0565642113 1137),(8.54152551293 1307),(7.98772522397 1448),(8.95817530565 1601),(10.5383756973 1747),(10.8284778933 1901),(7.82358937444 2042),(4.30957875219 2141),(5.89163021754 2224),(8.37076829141 2375),(8.71330737047 2509),(9.13757867671 2701),(7.96858365679 2863),
Point3,H2,(-3.5527136788e-15 88),,,,,,,(8.881784197e-15 887),,(8.66394224481 1154),(1.15463194561e-14 1339),(1.06581410364e-14 1485),,,,(7.79907307098 2049),,(-0.0138991693689 2250),,,
Point3,H3,(4.12940099772 116),,,,,,,(7.07162702107 935),,(9.11475983593 1165),(7.08051195762 1381),(4.13871782817 1527),,,,(7.80605767513 2053),,(7.67337821707 2324),,,
Point3,H4,(2.76817160332 137),(4.88498130835e-15 248),,(3.68290156527 477),,,(4.4408920985e-16 733),(7.04536380195 940),,(-0.00095940943138 1201),(6.85539380916 1392),(4.1378111138 1529),(1.24344978758e-14 1635),,(6.2172489379e-15 1942),,,(7.46840673761 2336),(0.0 2413),,
Point3,H5,(7.52939922554 182),(1.93131974709 293),,(4.53233550575 501),,,(7.5651019941 838),(8.23224270377 963),,(7.30881899851 1269),(7.19820099656 1405),(7.81544028327 1570),(3.448056259 1660),,(6.41634186925 2004),,,(8.20872937205 2360),(6.1002373713 2450),,
Point3,H6,(-3.5527136788e-15 88),(4.88498130835e-15 248),(1.06581410364e-14 408),(4.4408920985e-15 568),(4.4408920985e-16 733),(8.881784197e-15 887),(1.59872115546e-14 1048),(-0.00095940943138 1201),(1.15463194561e-14 1339),(1.06581410364e-14 1485),(1.24344978758e-14 1635),(1.15463194561e-14 1791),(6.2172489379e-15 1942),(-0.0170691085333 2097),(-0.0041699722899 2191),(-0.0138991693689 2250),(0.0 2413),(1.7763568394e-15 2572),(-8.881784197e-16 2741),(-0.0179790863314 2902),
