Cycle,0.7611
Average Width,0
Width,,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(4.19947940261 25),(7.56743918817 192),(6.40552471581 349),(6.14009749012 513),(6.32193207147 669),(8.99793613042 831),(7.42272353897 989),(6.47804050536 1148),(5.81195419742 1311),(6.28857220811 1469),(6.55125387887 1627),(7.78247489709 1793),(5.19148907361 1955),(7.48957974579 2107),(7.9420567771 2266),(7.54094410319 2429),(9.01086448176 2582),(8.40196537622 2753),(5.28494103586 2898),(7.75190386782 3058),(7.48748846758 3210),(8.11944192024 3376),(8.96655546237 3530),(8.7717418008 3691),(7.62636202164 3852),(6.47458612299 3998),
Point0,H2,(2.3217453604 47),(1.73982250518 268),(6.03866787296 361),,,,(7.19314927228 999),,(3.74677412763 1337),,,,,(5.18485521705 2137),,,,,,,(5.97138636819 3229),,,(4.69028321628 3731),,
Point0,H3,(2.33635774104 52),(1.78971535574 274),(6.11789901701 369),,,,(7.30661746455 1008),,(4.0227495012 1350),,,,,(5.49245469055 2150),,,,,,,(6.30931691167 3242),,,(4.69179214854 3733),,
Point0,H4,(-0.714320928262 105),(0.548124231016 295),(4.57221617646 393),(0.527684893053 610),(-2.22044604925e-15 758),(-0.00370308281146 919),(-0.00749726942205 1075),(1.24726961895 1240),(0.318613883958 1388),,(2.78396410191 1702),,,,(1.80291108034 2356),(2.33045942763 2509),(2.19879745172 2660),(1.39021284117 2836),(2.90323867578 2933),(0.226095494368 3159),(0.811441776593 3302),,(0.674892693099 3621),(0.374122328178 3779),,
Point0,H5,(0.152235083302 142),(0.951120949413 307),(4.64057903161 401),(0.589484369762 620),(0.42522784346 778),(0.522632850266 937),(0.81748337336 1106),(1.36642772407 1249),(0.477232825758 1399),,(3.10291768711 1717),,,,(2.12085335397 2368),(2.33637337342 2514),(2.20929396903 2665),(2.0180056341 2850),(3.90408928618 2953),(0.321461988738 3169),(1.29328451837 3317),,(0.932817310866 3633),(1.64009036239 3796),,
Point0,H6,(-0.714320928262 105),(8.881784197e-15 321),(8.881784197e-16 478),(-8.881784197e-16 638),(-2.22044604925e-15 758),(-0.00370308281146 919),(-0.00749726942205 1075),(-3.99680288865e-15 1269),(2.6645352591e-15 1417),(-0.000333578042859 1584),(-0.00801670205158 1747),(-0.0159533993494 1903),(-3.77475828373e-15 2064),(-2.6645352591e-15 2227),(-1.33226762955e-15 2389),(1.7763568394e-15 2545),(-0.00298447378291 2706),(0.0 2868),(4.88498130835e-15 3021),(8.881784197e-16 3181),(-0.00253429881457 3339),(-0.00537077684541 3471),(-0.00621334565341 3650),(7.1054273576e-15 3812),(1.33226762955e-15 3968),
Point1,H1,(2.42390279061 68),(7.03821576874 232),(5.07612195423 410),(6.41421029767 548),(5.71667411235 708),(8.37303641313 868),(7.62210122278 1047),(6.18126784199 1187),(5.2692091048 1346),(5.89993037898 1508),(6.46054348842 1666),(6.70675375316 1828),(3.86860535515 1993),(7.50101252276 2147),(7.14682133726 2307),(6.53198438615 2465),(7.99289049076 2620),(7.42126374464 2790),(4.41060940421 2933),(6.83673102722 3092),(6.17812471539 3250),(7.0352194425 3412),(8.2907178188 3569),(8.19887820464 3730),(6.25007629079 3889),(5.02477213973 4037),
Point1,H2,(1.97988111285 82),(1.43338010816 305),(4.25668345793 429),,(2.13902859815 752),,,,,,,,(2.96236109774 2016),(4.87843098737 2179),(3.40543796125 2354),,,(4.41490902749 2825),,,(4.95386289191 3266),,(4.17292418762 3600),,,,
Point1,H3,(2.11785194598 93),(1.61612586808 315),(4.65536271194 444),,(2.2866656594 763),,,,,,,,(3.03886048371 2025),(4.97208097656 2188),(3.42038886888 2359),,,(4.41527978907 2826),,,(5.48992958264 3280),,(4.28766024033 3609),,,,
Point1,H4,(-0.560155839825 151),(0.135081694854 335),(1.22275868885 477),(1.58770602794 642),(-0.00825519982287 801),,(-0.0243806476996 1122),(0.889957436577 1279),(0.491939548291 1433),,(3.47694316597 1729),(-0.024308360964 1924),,,,,(1.3998198751 2713),(1.77804743553 2877),(2.17808167292 2972),,,,(0.467026683197 3661),(0.234198202709 3815),,,
Point1,H5,(0.468440079694 181),(0.706786211075 349),(1.95509194943 493),(1.64331056019 650),(0.554240279021 828),,(0.394852260244 1146),(1.00266014043 1289),(0.498515049773 1437),,(3.74333038108 1742),(-0.012239015712 1930),,,,,(1.5717886535 2726),(1.96354594856 2888),(3.39544767095 2996),,,,(1.01404685877 3675),(0.705497020157 3833),,,
Point1,H6,(-1.32392378475 42),(-0.560155839825 151),(4.4408920985e-16 362),(-0.00718059986218 516),(-0.0101745164521 676),(-0.00825519982287 801),(-0.0150707890729 956),(-0.0243806476996 1122),(0.0 1311),(-3.4500151171e-05 1464),(-0.00020792251515 1626),(-0.00784216236787 1787),(-0.336087960432 1948),(-0.00309832117723 2101),(3.5527136788e-15 2267),(-0.00747947483219 2428),(-2.22044604925e-15 2584),(-8.881784197e-16 2746),(-4.4408920985e-15 2908),(1.7763568394e-15 3061),(-0.00135227518431 3221),(-1.7763568394e-15 3382),(-0.00381468196108 3506),(-1.7763568394e-15 3692),(-3.99680288865e-15 3850),(-0.00604169383864 4008),
