Cycle,0.7925
Average Width,6.37079494681
Width,,5.94089127295,5.83900970124,5.85958758618,5.77517762437,6.0461470124,5.97711161106,6.29899471671,6.89997231519,6.41416937126,6.33747953844,6.30237035772,5.54161956906,5.94359084859,6.57362114413,6.72003332686,6.27211000537,6.42915150695,6.49191618334,6.8240301729,6.98504108776,6.61291745055,6.57394364971,7.48427665302,6.89523406951,6.23512422783,6.25397094078,6.61478074968
Point2,H4,,(1.21168527874 291),,(1.79403245773 609),,,(4.51482964698 1018),,(0.822710474125 1425),,,(1.96485343175 1922),,(2.34836570613 2215),(0.37734630981 2416),(1.44260130148 2572),,(-0.00220021205245 2934),,,,,,(1.56312351876 3907),(6.14983201011 4010),,,
Point2,H5,,(1.79061747245 303),,(2.03065741084 620),,,(4.52927646141 1022),,(1.58899065845 1439),,,(2.39870787013 1933),,(2.51517802307 2225),(0.828744907078 2431),(1.50407144925 2579),,(0.094369239715 2945),,,,,,(1.64779008775 3916),(6.17311321054 4014),,,
Point2,H6,(-0.0258548718834 1),(-0.00122766320553 143),(1.24344978758e-14 319),(-6.2172489379e-15 448),(8.881784197e-16 639),(8.881784197e-16 814),(-8.881784197e-15 941),(-0.00207109075006 1105),(8.881784197e-15 1293),(6.2172489379e-15 1456),(-0.00280287731276 1622),(1.24344978758e-14 1776),(2.6645352591e-15 1950),(7.9936057773e-15 2087),(5.3290705182e-15 2270),(4.4408920985e-15 2454),(-4.4408920985e-15 2614),(-4.4408920985e-15 2750),(-0.00220021205245 2934),(-1.7763568394e-15 3133),(-5.3290705182e-15 3295),(-1.7763568394e-15 3464),(-5.3290705182e-15 3626),(-9.7699626167e-15 3779),(-1.24344978758e-14 3933),(-3.5527136788e-15 4061),(-4.4408920985e-15 4268),
Point3,H1,(11.6164044834 37),(11.928040294 183),(11.8836001151 350),(11.4510410969 493),(14.0036730481 678),(11.787042962 847),(11.7591306399 973),(16.8031426736 1159),(14.2452589515 1333),(14.6809686928 1495),(14.3909035771 1656),(12.5744880776 1814),(13.8853908822 1982),(13.8683310152 2119),(17.0861033075 2311),(14.4132236059 2487),(15.5826141119 2648),(14.5651203412 2794),(17.5135417536 2984),(18.7552841038 3160),(16.7826289629 3336),(18.3447684974 3495),(18.9563657062 3670),(18.0516077329 3816),(15.661474589 3962),(14.8089675689 4093),(18.2823003248 4298),
Point3,H2,,,,(2.22101334177 583),,,(6.09195485717 1019),,,,(6.12684941779 1706),,,(6.86311490299 2169),,,,,(2.23278974126 3083),,,,,,,(7.5112112671 4138),,
Point3,H3,,,,(2.37188672126 592),,,(6.09264520785 1020),,,,(6.17261880121 1713),,,(6.89775312635 2174),,,,,(2.41219161569 3092),,,,,,,(7.57391879216 4144),,
Point3,H4,,(1.85137055042 290),,(1.49093410069 610),(2.12642304507 787),,(-0.00153754419952 1088),,(1.17851104116 1427),,,(1.73023212809 1922),,,(0.483257648791 2417),,(2.75616652009 2728),(0.12927043406 2913),(1.80970412996 3108),(2.65284283412 3260),(0.763712828082 3446),(0.460293706343 3599),,(1.92159918021 3907),,(0.575489316531 4241),,
Point3,H5,,(2.58455797323 302),,(1.95659890103 622),(2.37717330162 796),,(0.296783203278 1105),,(1.66125729078 1439),,,(1.93229163799 1932),,,(0.631894036584 2427),,(2.75963872752 2730),(0.566891476584 2930),(1.96911525163 3116),(3.03368088356 3273),(0.821624062045 3453),(0.722018198288 3611),,(2.06193943567 3916),,(1.43097188746 4255),,
Point3,H6,(-0.00463484139844 1),(-7.1054273576e-15 142),(-1.33226762955e-14 319),(-1.24344978758e-14 448),(1.06581410364e-14 639),(-0.00517478841617 815),(-1.06581410364e-14 942),(-0.00153754419952 1088),(-9.7699626167e-15 1295),(-6.2172489379e-15 1455),(-0.00866544774339 1623),(7.9936057773e-15 1777),(-8.881784197e-16 1949),(2.6645352591e-15 2087),(2.6645352591e-15 2269),(6.2172489379e-15 2450),(-2.6645352591e-15 2617),(7.1054273576e-15 2750),(3.5527136788e-15 2949),(-8.881784197e-16 3132),(-3.5527136788e-15 3296),(6.2172489379e-15 3465),(4.4408920985e-15 3627),(-1.7763568394e-15 3781),(-6.2172489379e-15 3933),(-2.6645352591e-15 4062),(4.4408920985e-15 4268),
Point4,H1,(6.45587236976 34),(6.63780121494 179),(6.37074722174 348),(6.07062893464 502),(8.06326443735 675),(6.99703137734 846),(7.44261291601 970),(11.4312193497 1158),(9.7047486741 1331),(9.27933641337 1491),(9.26115099926 1655),(6.93105491013 1812),(8.61039182889 1979),(9.85195910723 2118),(11.9325258566 2309),(9.72184704378 2485),(10.1377842051 2647),(9.48006957313 2782),(12.3194689194 2983),(14.2217875574 3160),(12.0009701334 3337),(13.425425874 3495),(14.5264881667 3669),(13.6983017525 3814),(10.9199603093 3961),(10.2799315427 4091),(13.6760446383 4298),
Point4,H2,,,,(3.76534009799 534),(6.37968111358 701),,(6.93797429707 982),,,,,(3.70257501732 1865),(8.13728977982 1992),(7.17989485036 2138),,(7.15232871483 2505),,,,,,,,,,,
Point4,H3,,,,(3.96074943017 545),(6.41028972803 707),,(6.97539347281 988),,,,,(3.731341235 1872),(8.14327816399 1996),(7.23323165144 2143),,(7.28089654475 2512),,,,,,,,,,,
Point4,H4,(2.66513476532 85),,,(1.02676514753 583),,(3.75281107313 888),(3.62801658922 1013),,(0.501051775513 1426),(4.83953385945 1545),(4.42917599563 1715),(0.793789426183 1923),,(5.05683111896 2166),(1.7763568394e-15 2417),(2.33305239518 2567),(1.75846091326 2727),(-0.00323281153616 2914),,(2.47533923014 3251),(0.80959300126 3420),(-0.00767534996526 3598),,(1.24420122311 3907),(2.17554927565 4040),,
Point4,H5,(2.76154520287 95),,,(1.54072655976 614),,(3.79196921427 894),(4.31430110292 1026),,(1.16769199031 1440),(4.93488158836 1554),(4.43296197102 1719),(1.08922412888 1934),,(5.46486196313 2179),(0.981444487847 2444),(2.50827343922 2577),(1.77408468164 2731),(0.363427693719 2934),,(3.24533834294 3269),(1.14234067511 3435),(0.349212840509 3614),,(1.51005104487 3917),(2.17898154028 4042),,
Point4,H6,(6.2172489379e-15 139),(8.881784197e-16 319),(1.7763568394e-15 447),(-0.00153683588001 638),(2.22044604925e-15 813),(-2.6645352591e-15 941),(-0.00293124449964 1089),(0.0 1294),(-4.88498130835e-15 1455),(5.3290705182e-15 1623),(1.7763568394e-15 1777),(-0.00734997414855 1949),(7.1054273576e-15 2086),(-3.5527136788e-15 2268),(1.7763568394e-15 2417),(4.4408920985e-15 2617),(-8.881784197e-16 2750),(-0.00323281153616 2914),(3.5527136788e-15 3133),(-2.6645352591e-15 3296),(-4.4408920985e-15 3465),(-0.00767534996526 3598),(0.0 3779),(0.0 3933),(-3.5527136788e-15 4062),(-3.5527136788e-15 4268),
