Cycle,0.715675230567
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(9.71707773368 97),(8.22435187934 259),(8.46374684712 419),(8.50622470266 593),(10.2029505471 766),(8.36799309313 870),(8.44247621739 931),(8.60036944265 1090),(9.63131043428 1251),(8.3624418986 1420),(8.82386102349 1573),(9.00179064357 1743),(8.2197775621 1878),(8.507322176 2048),(8.88356119935 2195),(8.97833428188 2336),(8.06874824239 2468),(7.73978520625 2609),(8.51071494809 2751),(7.69174010168 2881),(9.25951921596 3024),(10.7251754954 3158),(9.32942785093 3312),(9.1135941208 3458),
Point0,H2,(-0.00206193149585 121),,,,,,(9.7699626167e-15 962),(3.5527136788e-15 1119),(2.6645352591e-15 1283),(-1.7763568394e-15 1447),(8.881784197e-16 1606),,,(-1.24344978758e-14 2073),(-8.881784197e-15 2227),(-1.7763568394e-15 2363),(1.7763568394e-15 2500),(-0.00751420740323 2639),(-2.6645352591e-15 2778),(8.881784197e-16 2910),(3.5527136788e-15 3049),,,
Point0,H3,(5.90804256089 147),,,,,,(5.52722834533 987),(6.08656812649 1145),(4.20197764509 1308),(6.03079967026 1470),(6.22399894952 1629),,,(5.37488122232 2100),(6.36230016642 2254),(6.00826695441 2390),(5.69447188085 2525),(6.25317536638 2666),(6.28297692962 2804),(6.19540922013 2939),(7.46643244445 3076),,,
Point0,H4,(4.99202635463 172),,,,(3.5527136788e-15 793),,(3.50167792827 1008),(3.43541507057 1166),(3.22521804373 1324),(3.6536810997 1494),(4.07616813826 1650),(-2.6645352591e-15 1769),,(3.96322230576 2123),(5.17835544972 2271),(4.02036038033 2412),(3.41844510093 2549),(4.05970818953 2685),(4.08635992523 2827),(4.30288260453 2958),(6.69583562014 3093),,,
Point0,H5,(7.08034510663 228),,,,(6.27971809489 818),,(6.52925653119 1062),(7.50725141839 1222),(7.29339759381 1370),(7.77349522909 1534),(7.69172223665 1703),(5.7408093177 1792),,(7.64875913577 2164),(8.52738038418 2309),(6.92927999555 2439),(6.39114418481 2585),(8.25883948962 2726),(6.39407923048 2855),(8.09428407396 3000),(9.63562372963 3120),,,
Point0,H6,(-0.00206193149585 121),(3.5527136788e-15 291),(-3.5527136788e-15 451),(7.1054273576e-15 617),(3.5527136788e-15 793),(9.7699626167e-15 962),(3.5527136788e-15 1119),(2.6645352591e-15 1283),(-1.7763568394e-15 1447),(8.881784197e-16 1606),(-2.6645352591e-15 1769),(-8.881784197e-16 1928),(-1.24344978758e-14 2073),(-8.881784197e-15 2227),(-1.7763568394e-15 2363),(1.7763568394e-15 2500),(-0.00751420740323 2639),(-2.6645352591e-15 2778),(8.881784197e-16 2910),(3.5527136788e-15 3049),(4.4408920985e-15 3190),(-8.881784197e-16 3336),(2.6645352591e-15 3484),
Point1,H1,(11.9137570264 26),(9.77574203674 196),(10.6009533917 356),(11.2863294811 522),(11.2478202733 697),(9.35310037154 867),(9.83738715279 1023),(9.14220817614 1189),(8.81607889456 1352),(8.83616095826 1511),(9.53807986569 1674),(8.30074943874 1833),(8.03812028395 1978),(8.27512087999 2131),(8.33017641282 2269),(7.35397857859 2405),(7.9969431372 2543),(7.53757333978 2682),(7.5617323584 2814),(8.89783405557 2953),(8.00093938763 3094),(9.05496326539 3241),(7.18852754187 3389),
Point1,H2,(5.16212191545 51),(3.7029299593 219),,,,(3.88181300229 891),(4.09562947382 1050),,(3.61942270225 1373),(3.88275060578 1534),,(2.61970875745 1859),(3.57678436245 2005),(3.64849975651 2157),,(2.09939607743 2429),(2.21438304042 2569),(2.22501488762 2708),(2.12259181953 2842),,(2.26418321045 3116),(3.89051321196 3266),,
Point1,H3,(6.74157135395 75),(6.19641024583 241),,,,(6.78806756131 914),(6.40583504162 1071),,(6.18107312563 1399),(6.05549901726 1557),,(3.92459730468 1884),(4.98769391504 2027),(4.78671951132 2173),,(4.72193721283 2453),(4.72961778169 2587),(4.49312373452 2729),(4.79372408368 2865),,(4.16928361282 3137),(5.54299195928 3288),,
Point1,H4,(2.29842054954 131),(1.76662365708 294),(4.69351259957 380),,(4.17609377096 721),(2.31721295898 965),(1.66750579708 1119),(4.64249015988 1213),(1.55004445823 1439),(1.41678420199 1607),(3.80275959098 1702),(1.27719643416 1927),(1.96755579534 2066),(1.11639216542 2213),(3.2959571801 2298),(1.71795125291 2487),(0.52748058713 2631),(1.0349960016 2758),(0.719711786722 2902),(2.91636583863 2978),(0.849730204947 3184),(1.40881313971 3333),,
Point1,H5,(2.47904842354 141),(1.99567070628 304),(7.19105894514 401),,(6.30936378861 746),(2.95352287267 978),(2.02780867418 1135),(6.65829173392 1235),(1.89906848179 1453),(1.62315601677 1627),(4.2318418034 1723),(1.35993751756 1935),(2.34227988965 2079),(1.5255078945 2225),(4.50614830619 2318),(1.86706178102 2495),(1.00059170389 2643),(1.43013195587 2770),(1.02172841954 2913),(4.58468270055 3000),(1.16568886589 3200),(1.97080679437 3346),,
