Cycle,0.840524691358
Average Width,0
Width,,4.99416069625,4.77514442448,4.88617045032,4.95613394732,4.50084035028,5.05771935615,4.86980229612,5.29728769013,5.32562566349,5.4894879622,5.6274743355,5.3397265737,5.32135054066,5.23561991811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9021891786,0,0,0,0,364.245751699,0,199.573958935,0,0,0,0,0,0,56.9293493218
Point0,H1,(19.618397422 30),(19.4220091598 203),(19.9292014396 383),(19.6428571607 555),(17.8479592948 725),(19.0585796717 893),(19.5410316566 1061),(19.7312032074 1232),(18.6608197178 1396),(19.2061935436 1574),(18.755297058 1744),(16.8672412294 1909),(16.2510560038 2060),(19.9517235488 2232),(21.5173271876 2409),(22.9852601475 2598),(22.2583487652 2789),(20.1938068319 2965),(25.2321079164 3151),(25.448737731 3347),(23.8232933834 3520),(24.8428163148 3694),(25.2626897001 3871),(22.3566032284 4033),(24.4440100222 4206),(24.4530868699 4383),(21.5281427186 4548),(23.9086684641 4721),(24.4361577994 4908),(23.6677346064 5073),(23.486416023 5257),(23.1156591862 5424),(23.6750648874 5597),(22.9230524636 5761),(25.0848049401 5935),(22.2943963385 6100),(23.9973726881 6282),(20.7012855529 6445),(22.4762936718 6617),(20.6698798863 6781),(24.2403393679 6956),(22.386348373 7131),(23.7980647092 7307),(23.0346420358 7481),(23.1884255944 7643),(21.9535223027 7807),(21.8572372971 7968),(23.377587241 8141),(21.3778270847 8306),(21.9044914657 8470),(23.4969627889 8642),(22.04826524 8805),(20.8736407073 8963),(21.6526126266 9125),(22.6400207464 9280),
Point0,H2,(9.05954257639 76),,(8.69454608052 428),(9.68027612461 585),(7.64694369123 765),,,(9.60600978091 1275),(9.78009173441 1434),,(9.2082748667 1788),(7.8305295157 1944),(7.98439614472 2086),,(11.6219596367 2458),(12.6989330861 2634),(10.8420847038 2827),(9.25429925625 3000),,(11.6832083423 3384),(8.6494725213 3561),(9.26694178488 3739),(9.60627438066 3913),,(10.3380472083 4249),(10.4785652757 4427),(9.93005146619 4584),(10.5700319622 4764),(10.2443992574 4935),(10.8563449529 5114),(11.812513081 5288),(9.07386219945 5464),,,(12.60814665 5980),(10.9330088413 6138),,(9.42924620037 6478),(11.7218563642 6650),(9.48557618617 6806),(10.6179495395 7005),(10.9275102966 7158),,(11.1216909909 7511),(10.103309427 7672),,(10.3136883292 8011),(12.1795222287 8170),(10.4545297004 8344),,(12.5397779728 8684),(10.9046576888 8845),(10.9883651431 9004),,
Point0,H3,(9.45654872482 86),,(9.0971104123 439),(9.92330701239 602),(8.18842069944 778),,,(9.80192598909 1284),(10.6173803276 1448),,(9.60172288812 1798),(8.74256487266 1959),(8.35480693157 2098),,(11.7245344766 2467),(12.9304212712 2646),(11.7559893174 2841),(10.4798950573 3017),,(12.6892580153 3399),(11.3228956263 3578),(10.3740251627 3752),(10.7248478441 3927),,(11.6416226704 4263),(11.5334866699 4441),(11.5605027973 4601),(11.4600465841 4777),(10.5613107136 4944),(12.0591084245 5129),(11.9755282334 5296),(10.9242594111 5480),,,(13.5671795262 5991),(11.3410059977 6149),,(10.1486126517 6500),(11.8928299984 6661),(9.61516803697 6812),(10.7982784114 7013),(11.6635731867 7172),,(11.8570643469 7527),(10.1493788803 7676),,(10.9332567666 8023),(12.1848002044 8172),(11.8542682745 8360),,(13.0315323529 8697),(11.647926809 8859),(11.1570705254 9014),,
Point0,H4,(2.93593400907 136),,(3.182191753 490),(3.38904078189 664),,(2.05507131401 1000),,(3.52104893655 1335),(3.27746149985 1511),(3.0771743989 1676),(1.44812234883 1850),,(1.89031708279 2164),(3.93150476908 2345),(7.39781275062 2510),(3.75103419778 2731),(3.80998512205 2907),(4.53939471605 3076),,(3.51644033914 3466),(3.55729763302 3626),(1.73007257975 3816),(2.09369128342 3978),(8.63928651644 4073),(4.34043838046 4329),(3.84668569421 4490),(3.41985845436 4663),(3.04279307151 4840),(2.59971747883 5018),(3.30735658149 5192),(3.59334136493 5369),(2.04468474831 5550),,(10.149281909 5803),(3.85650980156 6041),(3.77152556541 6215),,(4.23299626987 6553),,(9.04322216446 6825),(3.21798896365 7068),(3.41559422958 7241),(3.16833573533 7412),(3.47915189691 7579),(2.61258015407 7731),(2.310853222 7916),(3.6812643063 8073),(2.93383117448 8250),(4.13189506005 8412),,(3.30627808861 8747),(2.47784663974 8907),(3.83148363572 9067),,
Point0,H5,(3.28780390542 147),,(3.31072922738 498),(3.9712847266 676),,(2.80501122064 1013),,(4.0228061073 1347),(3.86908247157 1523),(3.07869845299 1678),(2.37954010091 1863),,(3.31138617428 2181),(4.19587613531 2354),(7.46700181471 2517),(3.92756858254 2739),(3.97315938246 2914),(4.55830005798 3080),,(4.11967887749 3476),(3.56508686904 3629),(2.83161192888 3830),(3.50171284041 3991),(10.0409478847 4089),(4.46037011915 4337),(4.09594584635 4499),(5.10112567382 4678),(3.55732970429 4851),(3.49273134107 5030),(4.15239861047 5204),(3.91952372405 5379),(2.06073540708 5554),,(11.5211365302 5817),(4.76844542676 6053),(4.11052137795 6225),,(4.57504819562 6563),,(9.57484853708 6837),(3.22000889146 7070),(3.7267476758 7250),(4.14792099807 7427),(3.79214729511 7588),(2.7522947335 7740),(2.50033795912 7924),(3.74733815462 8079),(3.94112695075 8262),(4.41942058514 8420),,(4.32020801283 8758),(3.56678792935 8919),(4.30038984572 9077),,
Point0,H6,(-7.1054273576e-15 169),(-1.86517468137e-14 354),(-3.5527136788e-15 521),(-8.881784197e-15 695),(4.4408920985e-15 861),(-1.7763568394e-15 1030),(1.24344978758e-14 1204),(1.7763568394e-15 1366),(-3.5527136788e-15 1542),(3.5527136788e-15 1715),(-2.48689957516e-14 1878),(-1.15463194561e-14 2025),(-8.881784197e-15 2199),(8.881784197e-15 2375),(7.1054273576e-15 2566),(-1.7763568394e-15 2758),(1.24344978758e-14 2934),(3.01980662698e-14 3123),(1.59872115546e-14 3318),(7.1054273576e-15 3493),(3.5527136788e-15 3666),(7.1054273576e-15 3844),(1.59872115546e-14 4006),(1.95399252334e-14 4176),(-3.5527136788e-15 4357),(7.1054273576e-15 4518),(1.7763568394e-15 4694),(-1.7763568394e-15 4875),(-1.42108547152e-14 5046),(5.3290705182e-15 5223),(8.881784197e-15 5397),(-6.2172489379e-15 5570),(-2.6645352591e-14 5733),(-0.00540513387578 5907),(0.0 6071),(-2.30926389122e-14 6247),(-1.50990331349e-14 6413),(-1.7763568394e-14 6583),(-0.00649087132076 6750),(-5.3290705182e-15 6921),(-7.1054273576e-15 7095),(-1.7763568394e-14 7271),(-1.06581410364e-14 7447),(-5.3290705182e-15 7609),(-3.5527136788e-15 7777),(-3.5527136788e-15 7940),(-2.6645352591e-14 8107),(-3.37507799486e-14 8278),(-2.6645352591e-14 8439),(-3.37507799486e-14 8614),(-1.95399252334e-14 8775),(-7.1054273576e-15 8934),(-1.42108547152e-14 9095),(-2.6645352591e-14 9254),
Point1,H1,(19.3306633863 31),(19.515735662 205),(20.5593192401 384),(19.4799416922 556),(18.1777701811 726),(19.3425626329 894),(20.4328492035 1062),(19.8328201085 1233),(18.6107249198 1398),(18.1118211031 1575),(18.4362478793 1745),(16.1623212957 1910),(15.977652823 2061),(19.5023467497 2233),(18.0321136361 2409),(19.1512567537 2601),(19.2887612328 2790),(17.112329041 2966),(21.2271871073 3153),(20.8436827623 3348),(19.7547689211 3522),(20.7578608565 3695),(20.9306444039 3872),(18.5402621556 4034),(19.0825707274 4207),(18.6487394606 4384),(16.5690568485 4550),(18.4026352169 4723),(18.786199845 4909),(17.6244270589 5075),(17.5719998557 5259),(16.9114129725 5426),(17.6405943426 5598),(16.6951593919 5762),(18.7799633364 5936),(15.2240562252 6102),(17.0836827427 6283),(13.9265076245 6447),(15.7444985756 6619),(14.5236996642 6782),(16.3024251842 6958),(15.5019663408 7132),(16.3697060941 7309),(16.4491017414 7483),(15.940509729 7644),(14.5619838514 7808),(15.0134136175 7970),(16.0637744358 8142),(14.9243542825 8308),(15.168664548 8472),(15.7863247811 8644),(15.0442484003 8808),(13.8141886754 8967),(14.9660162585 9128),(14.7051154472 9283),
Point1,H2,(9.11354454356 77),,(8.80233213965 429),(8.99306163171 586),(8.17562474496 766),(9.11708582048 939),(11.2539070361 1099),,(9.52085495001 1435),(9.48622930271 1613),(9.51868314907 1791),(7.42097862116 1946),(7.96123563859 2089),,(9.43956160559 2461),(11.6506668914 2632),(9.65884010845 2829),(8.22680627633 3003),(9.84080939589 3194),(9.87169688419 3386),(7.39971597433 3561),(7.73398361717 3740),(8.60816901022 3914),(7.55574973878 4075),(8.58304241182 4249),,(7.7959094097 4585),,(8.53539211829 4935),(8.9112951965 5115),(9.16936114329 5290),(7.14101796524 5463),,(8.35184429272 5805),(10.3662396575 5980),(8.14355314833 6139),(8.64325494071 6313),(6.60946333366 6485),(9.07556290002 6650),,(8.38559063339 7006),(8.26294902478 7158),(8.20462416139 7342),(8.38241266898 7513),(7.45779448268 7673),,(7.96525570256 8012),,(7.72513840733 8345),,,(8.09993839465 8845),(8.23709498212 9008),,
Point1,H3,(9.46692228569 87),,(9.209319635 439),(9.54725717388 609),(8.35810948857 776),(9.51843596882 951),(12.1927572662 1113),,(10.3411436245 1449),(9.74265339935 1624),(9.63778975187 1798),(8.66224499845 1962),(8.39993417852 2103),,(9.59915331808 2470),(11.8128097825 2641),(10.1655964439 2841),(9.33710479287 3020),(11.790294183 3212),(10.4987071262 3400),(9.67826102695 3578),(8.92859136169 3754),(9.49964751028 3928),(8.48956179935 4089),(9.23412314059 4263),,(9.41625840722 4603),,(8.73355815924 4942),(9.89226955268 5130),(9.17022462764 5291),(8.69349358615 5481),,(9.01444750968 5818),(10.9440408998 5992),(8.42374449237 6149),(8.64481015524 6314),(7.0908690184 6502),(10.0108205596 6669),,(8.399375663 7010),(8.99721576127 7173),(8.80190945767 7356),(9.13884785503 7534),(7.4803549048 7677),,(8.74121229417 8026),,(9.10948981986 8362),,,(9.04746125021 8860),(8.44673135476 9021),,
Point1,H4,(3.39455157484 137),,,(3.4722154179 666),,(2.78058877985 1002),,(3.15242394881 1338),(3.15377633564 1510),,(1.93496883332 1851),,(2.09631242776 2167),(3.24653697599 2346),(6.5508796122 2512),(3.62014363875 2732),(3.83683787892 2905),,(3.12138903446 3291),(2.68617538767 3467),(3.12913729117 3626),(1.27998861849 3817),(1.42780418113 3979),,(2.93749283161 4331),(8.89848777676 4427),(2.68495992274 4664),,(1.85337118622 5020),(2.4296622465 5190),(2.47243635385 5371),,,,(3.23045310739 6042),(2.83960900103 6214),,(3.02744388022 6553),,,(2.27684047634 7068),(2.51152424376 7242),(2.23922300838 7415),(2.9110190334 7579),(1.7030042453 7732),,(3.42615386835 8075),(2.68039157895 8251),(3.56763788108 8415),,(2.28266688137 8748),(1.64508586063 8909),(3.35580929685 9067),,
