Cycle,0.781814393939
Average Width,6.60148769855
Width,,7.77927298142,6.16256624243,6.05601337603,6.14659591337,6.77143014014,6.42444044902,7.53342765436,8.23589480325,7.45341189152,7.11195859544,8.16580654709,6.97100409008,6.40618771326,6.13320415746,6.41007704813,6.48404315973,5.92120810298,6.26033101595,6.41079982174,6.33308856901,6.43973685507,5.82953372764,6.31376183189,6.33005007477,6.30445212236,6.13752284086,6.74508138017,12.0479417727,6.80059954399,5.57042765204,5.65457827282,5.93755267204,5.8839442489
Point0,H1,(15.5682764337 80),(7.8865179772 236),(10.5396708919 393),(10.7896096629 555),(12.3412612742 708),(12.9062204834 867),(17.3352270936 1034),(19.5344652813 1204),(17.29097656 1363),(13.9193618466 1513),(18.3020924673 1669),(15.1490753167 1847),(12.3200641949 2006),(9.33372720553 2163),(10.22540033 2328),(11.0601533144 2475),(9.19070861972 2658),(11.4334876604 2805),(12.0416586782 2970),(10.0105051025 3125),(10.6099826042 3281),(7.69145808373 3438),(9.96340918192 3627),(10.5806687199 3784),(11.6330636699 3948),(8.98176136847 4099),(9.55832258082 4262),(32.8370592657 4428),(13.2784947068 4586),(7.21963435003 4754),(7.25424684299 4914),(8.41670647825 5064),(9.05323685119 5224),
Point0,H2,,(3.57924959474 292),(7.89318149921 431),(2.75141971606 611),,(3.69770222144 949),(8.37442460048 1080),(9.04337604966 1241),,,,,,,(2.50820026384 2376),(0.967716408976 2574),,(8.82636085347 2821),(7.19819652908 3003),,,(5.62331643974 3466),,,,(3.41413638073 4161),(8.62207062358 4279),,,(4.67464903832 4785),(0.011950343822 4953),(7.19157517307 5084),,
Point0,H3,,(3.64585608347 299),(7.92133563008 437),(3.02266032346 621),,(3.75466353557 954),(8.41963021883 1085),(9.08903110026 1246),,,,,,,(3.10740173008 2396),(1.79022724248 2589),,(10.4464447688 2839),(7.90516830061 3018),,,(5.69828937795 3474),,,,(3.46048656203 4168),(8.67841173741 4285),,,(5.04581622077 4800),(0.441658928374 4970),(7.85051095735 5103),,
Point0,H4,(8.15425906817 152),(0.55780069145 335),(0.791512741065 495),(0.588468306668 642),(1.95761093595 799),(0.017902617129 977),(3.70093996268 1136),,(0.824176018355 1459),(-0.00507639814429 1612),(2.76113633351 1776),(3.70694151518 1931),(3.68839426136 2086),,(1.43668914677 2416),(5.3290705182e-15 2605),(8.881784197e-16 2752),(0.750559042272 2914),,,(1.08119931052 3375),(0.63944210723 3542),,(1.01800776677 3866),,(-0.126613367404 4197),,,(-0.0886586584184 4690),(0.585654410605 4848),(-0.279553137923 5008),,,
Point0,H5,(8.29162582403 162),(0.622484874158 345),(1.26296672498 508),(1.26538989816 655),(2.98288610325 813),(1.76767490768 991),(3.73920282011 1141),,(1.33881964796 1470),(0.98479915146 1629),(2.77965623493 1781),(3.7505192676 1937),(3.73940096925 2094),,(2.55455964594 2430),(8.32467021451 2634),(1.48861660489 2767),(0.877951008253 2923),,,(1.94359167532 3390),(2.45613031784 3565),,(1.31451295184 3879),,(0.274934539416 4210),,,(0.236720529332 4702),(0.700054498935 4859),(0.00132183187783 5023),,,
Point0,H6,(-0.000761294810911 1),(1.68753899743e-14 194),(1.68753899743e-14 360),(2.13162820728e-14 523),(1.42108547152e-14 671),(8.881784197e-16 831),(3.5527136788e-15 1004),(-0.000540034178282 1165),(1.86517468137e-14 1325),(3.5527136788e-15 1483),(-0.00507639814429 1612),(1.7763568394e-15 1805),(3.5527136788e-15 1969),(6.2172489379e-15 2138),(-4.4408920985e-15 2286),(8.881784197e-16 2446),(5.3290705182e-15 2605),(8.881784197e-16 2752),(-7.1054273576e-15 2938),(8.881784197e-16 3089),(-1.7763568394e-15 3243),(6.66133814775e-15 3407),(-8.881784197e-16 3582),(-0.00669387241569 3739),(-0.0162960770049 3912),(-0.0037013940997 4056),(-0.126613367404 4197),(3.5527136788e-15 4340),(-0.00884759526033 4534),(-0.546401368263 4717),(1.33226762955e-15 4878),(-0.279553137923 5008),(-0.0041517458912 5173),(-3.10862446895e-15 5359),(-0.145745930458 5436),
Point1,H1,(22.5361085673 46),(17.5057315321 196),(19.7927762817 365),(19.980481375 527),(19.3497037829 679),(20.8511646335 837),(24.0157655408 1006),(24.0525672357 1173),(22.8893915599 1335),(19.3436340117 1484),(22.8984075965 1642),(22.8456938763 1816),(21.9023386689 1977),(19.4196687685 2136),(19.8048274065 2296),(20.8273884609 2448),(19.0813319591 2608),(20.2867325948 2780),(20.9394157252 2945),(18.4110315508 3095),(20.167564691 3255),(17.7593816192 3417),(19.0392357401 3589),(20.3539493974 3752),(21.2889500869 3914),(18.2705037105 4070),(16.7484975131 4229),(34.6392391219 4398),(22.1081701265 4556),(17.6517908873 4724),(16.0825458033 4886),(15.6653151836 5036),(17.7406677006 5194),(12.3847632509 5361),
Point1,H2,,,,,,,,(10.9466063929 1212),,(4.51250599857 1545),,,,,,,(11.7126504726 2645),,,,,,,,,,(8.75622553327 4263),,,(8.49187299802 4759),,,(8.16780837304 5243),,
Point1,H3,,,,,,,,(11.0017678737 1218),,(4.53163913182 1549),,,,,,,(12.6902846939 2657),,,,,,,,,,(8.92982401332 4271),,,(9.38034893872 4771),,,(8.2064902822 5248),,
Point1,H4,(5.92466563945 128),(0.946800652167 308),(1.62257968665 467),(0.388831761758 615),(2.3230807283 772),(0.117937392116 949),(4.65190251903 1109),(2.56731517174 1269),,(0.0580571121979 1585),(3.28516214689 1748),,,(4.34608043139 2227),(3.1418372042 2385),(1.9626881346 2547),(1.62652025237 2727),(2.30733069363 2882),,(2.23638206649 3191),(2.80852401009 3351),(2.56982696906 3526),(2.61396461384 3683),(0.396060143281 3861),(2.89739028701 4004),(1.2788517497 4168),(-0.00225217219274 4326),(1.58815814945 4501),,,(0.785319210197 4981),(-1.7763568394e-15 5148),(1.1181427014 5299),,
Point1,H5,(6.4328124005 140),(1.31010578604 319),(2.5976559434 480),(0.902020767841 627),(3.36998109172 784),(1.81438200751 962),(4.66514650453 1112),(3.17630664813 1280),,(0.408612153131 1600),(3.49931446899 1757),,,(4.47110884551 2235),(3.92152974027 2398),(2.66058115311 2560),(1.80181743972 2735),(3.22816856087 2895),,(2.40309988357 3199),(2.89168982228 3357),(2.81279600745 3535),(2.69421714065 3690),(1.55705060432 3874),(3.01443279747 4011),(1.35275334903 4175),(6.36884157523 4357),(1.69339909544 4509),,,(1.37265552475 4993),(0.0302242081383 5153),(3.26803477051 5315),,
Point1,H6,(-0.0161839527804 1),(-3.5527136788e-15 163),(-2.13162820728e-14 333),(-1.33226762955e-14 496),(-8.881784197e-16 640),(8.881784197e-15 801),(8.881784197e-15 975),(-7.1054273576e-15 1137),(-5.3290705182e-15 1299),(-3.5527136788e-15 1453),(-0.008959365215 1609),(-1.24344978758e-14 1777),(-1.06581410364e-14 1940),(1.33226762955e-14 2107),(-1.7763568394e-15 2258),(1.7763568394e-15 2416),(-2.48689957516e-14 2576),(-1.06581410364e-14 2750),(-3.5527136788e-15 2912),(5.3290705182e-15 3061),(1.7763568394e-14 3217),(1.59872115546e-14 3377),(-3.5527136788e-15 3552),(-1.15463194561e-14 3717),(1.24344978758e-14 3886),(1.7763568394e-15 4036),(0.0 4191),(-0.00225217219274 4326),(-5.3290705182e-15 4525),(-0.0233749473491 4688),(-1.7763568394e-15 4849),(-0.0104637829238 5006),(-0.0237935911341 5159),(7.1054273576e-15 5331),(-1.01855515204 5431),
Point2,H1,(22.3678528565 46),(19.0066207143 197),(20.791910833 365),(20.7926263905 527),(19.4223003912 679),(20.7505050318 837),(23.742821368 1006),(23.0902689609 1173),(20.785746447 1335),(18.1185111433 1484),(21.4101640898 1643),(23.1403629876 1815),(23.3250131299 1977),(21.4241112632 2137),(20.5606580996 2295),(21.0002075586 2448),(22.0435895671 2609),(21.7447037034 2780),(20.7775502254 2945),(19.3622532135 3095),(21.0320433679 3255),(19.3060938028 3418),(20.8054524916 3588),(21.457454487 3752),(22.0272763245 3915),(19.2517387072 4070),(19.4937511956 4228),(34.2647687955 4399),(24.7950085841 4556),(18.9249295936 4723),(17.7126684327 4887),(16.8600501359 5037),(19.1898719523 5194),(14.897192163 5363),
Point2,H2,,,,(4.40500243319 585),,(3.88732992043 921),,(10.4231188634 1214),,(4.66326289324 1541),,,,,,,(12.1564836106 2645),,,,,,,,(6.94627237139 3961),,(9.06519760599 4265),,,(8.73861034803 4758),,,,,
Point2,H3,,,,(4.4833380612 591),,(4.11163354538 928),,(10.4452668023 1218),,(4.94688358516 1551),,,,,,,(13.3017686556 2658),,,,,,,,(7.0781286838 3969),,(9.06563608315 4267),,,(9.9215958051 4771),,,,,
Point2,H4,(4.57162084176 131),(1.58017503406 308),(1.31844828697 467),(0.734433884042 617),(2.21719703033 772),(-0.00188978238608 949),(5.31124318135 1104),(1.81039437568 1271),,(0.00204545277219 1582),(2.81583638705 1745),,,(4.62318464384 2226),(2.64254675967 2385),(2.98460909486 2547),,(2.33092101373 2880),,(2.52102122458 3190),,(2.76705206278 3525),(3.10101359188 3685),(0.395652739774 3861),(2.82857187874 4003),,(-0.00579438325554 4323),(1.8725736591 4495),,,(1.30346659023 4982),(0.101417911581 5145),,,
Point2,H5,(4.91782563352 140),(1.86492131358 318),(2.45749656759 481),(0.913960900023 625),(3.56929293429 785),(1.66819122251 963),(5.49189471761 1113),(2.24580530576 1281),,(0.79798379097 1599),(3.5258977024 1758),,,(4.82399875249 2235),(3.38209242499 2398),(3.7255911293 2559),,(3.66852576928 2895),,(2.76630781642 3199),,(3.13037651459 3535),(3.1340211277 3690),(1.74017073309 3874),(3.31393313805 4014),,(5.00858567139 4354),(2.14938815938 4508),,,(1.63905050015 4992),(0.287391037521 5153),,,
Point2,H6,(-0.0218235942121 1),(-1.06581410364e-14 162),(-1.7763568394e-15 334),(-0.00620349220016 496),(-9.7699626167e-15 640),(-7.1054273576e-15 802),(-0.00188978238608 949),(1.7763568394e-15 1137),(-1.06581410364e-14 1299),(4.4408920985e-15 1453),(-2.6645352591e-15 1611),(3.19744231092e-14 1777),(7.1054273576e-15 1940),(-0.00639837747421 2106),(1.95399252334e-14 2258),(0.0 2416),(2.30926389122e-14 2576),(-5.3290705182e-15 2750),(1.06581410364e-14 2913),(6.2172489379e-15 3062),(3.5527136788e-15 3217),(1.95399252334e-14 3377),(-5.3290705182e-15 3552),(0.0 3717),(3.5527136788e-15 3886),(1.7763568394e-15 4036),(-0.00256340918321 4192),(-0.00579438325554 4323),(2.30926389122e-14 4525),(-0.01002313453 4688),(-8.881784197e-16 4850),(-1.24344978758e-14 5006),(2.6645352591e-15 5162),(-1.50990331349e-14 5331),(-0.288660424407 5432),
Point3,H1,(21.3823990699 48),(17.6119287657 199),(18.0373625222 365),(18.5423056861 529),(17.6213772785 679),(17.6334317752 838),(21.3078071284 1007),(20.8753042102 1175),(18.1688802829 1335),(15.2649952153 1484),(19.2749296065 1642),(21.1910631457 1816),(20.4841157358 1977),(19.0731988792 2137),(18.853119807 2295),(18.500398823 2449),(18.8462418956 2607),(19.1461062758 2779),(17.736104749 2944),(16.8909957294 3098),(18.4133352459 3254),(16.6110920933 3415),(18.5157111329 3590),(18.6856660643 3753),(19.0504363437 3917),(17.338813187 4071),(19.0518990634 4230),(33.1862608527 4400),(21.305509727 4557),(14.6524420534 4723),(13.7651811794 4888),(14.5624630006 5035),(15.3072972906 5195),(12.3294213446 5363),
Point3,H2,,(5.82159071627 265),(9.33397167526 411),,,(3.63606828421 918),,,(5.10312612584 1398),,,,,,,,(10.5268108024 2650),,,,,,,,,(8.13351089087 4110),,,,(8.57390762763 4758),(3.7081211991 4926),,,
Point3,H3,,(5.87102704296 272),(9.33430323561 412),,,(3.91255964055 927),,,(5.25443670336 1408),,,,,,,,(10.7423917432 2659),,,,,,,,,(8.14185154135 4114),,,,(8.57872160378 4761),(4.14022710388 4939),,,
Point3,H4,(4.47948974773 133),(0.780197000706 309),(1.4114150769 462),(3.92519084079 588),(1.43604869162 768),(-0.00645317133435 949),(4.27438162461 1107),,(2.04123778319 1433),(-0.00258065456859 1586),(2.77453139893 1744),,,(3.8109834913 2225),(1.4851306631 2388),(2.75761385069 2548),(0.731186325348 2725),(2.53402602704 2881),,,(1.85458268708 3346),(3.30609378692 3522),,,(2.73278912955 3995),(1.76818080399 4166),(-0.0140406897423 4313),(3.5527136788e-15 4502),(2.16768700467 4662),,(1.12296352772 4979),,,
Point3,H5,(4.6227802204 140),(1.52167017464 321),(2.28452396897 478),(3.9304554829 591),(2.64249608523 784),(1.61430742966 963),(4.36162238439 1113),,(2.0991502166 1439),(1.11224827612 1603),(3.406807779 1757),,,(3.81152069606 2227),(2.53847337754 2401),(3.39975534969 2559),(1.9392919883 2738),(3.0003385525 2893),,,(1.98910836179 3355),(3.37782647301 3529),,,(2.87476241099 4003),(2.23725319067 4177),(7.19714585425 4354),(1.04467948914 4516),(3.03834294813 4673),,(1.35062485725 4990),,,
Point3,H6,(1.7763568394e-15 162),(9.7699626167e-15 334),(6.2172489379e-15 495),(-1.33226762955e-14 640),(-1.24344978758e-14 802),(-0.00645317133435 949),(3.5527136788e-15 1137),(-0.00164968617812 1297),(1.42108547152e-14 1455),(-0.00258065456859 1586),(1.7763568394e-15 1777),(2.6645352591e-15 1940),(2.6645352591e-15 2107),(-8.881784197e-16 2257),(-2.6645352591e-15 2416),(-7.1054273576e-15 2576),(-1.42108547152e-14 2751),(-6.2172489379e-15 2912),(7.9936057773e-15 3061),(5.3290705182e-15 3216),(1.42108547152e-14 3377),(-0.000278017221202 3553),(-0.00121494370674 3713),(-1.7763568394e-15 3885),(-0.01056637309 4029),(1.7763568394e-15 4193),(-0.0140406897423 4313),(3.5527136788e-15 4502),(1.50990331349e-14 4690),(2.6645352591e-15 4850),(8.881784197e-16 5005),(-6.2172489379e-15 5162),(2.6645352591e-15 5331),
Point4,H1,(18.0884894669 52),(14.2469783369 201),(13.0920439821 366),(13.5220857416 530),(13.4131558701 680),(12.7814913457 840),(17.1652434212 1009),(16.225992165 1177),(13.0078093176 1336),(11.1673599987 1486),(14.8631139632 1642),(16.3911582831 1819),(16.1908651034 1978),(15.2285083329 2137),(15.2463566948 2296),(15.3048360373 2451),(14.4130455107 2609),(14.3858778659 2778),(13.6652096419 2945),(13.3621754842 3100),(15.336874499 3254),(12.7352122673 3415),(14.9013696964 3592),(15.2604543967 3754),(14.8697368294 3919),(13.4202425749 4072),(15.5992590668 4231),(28.6110453484 4401),(18.5026446847 4558),(10.9555482828 4725),(10.1830238175 4889),(10.0758567897 5036),(11.3697334869 5196),(7.86733491523 5362),
Point4,H2,,(4.10389054065 264),(7.79576067953 404),,,(2.9202262362 914),,,(3.61214421131 1384),(3.50089346739 1533),(5.67826085224 1691),,,,,(8.99295829483 2491),,(12.4657439969 2794),(8.73821506052 2979),(7.0669419204 3135),,,,,,,,(2.243745277 4476),,,(2.77208622436 4924),,(7.02079294701 5240),,
Point4,H3,,(4.46362682588 276),(8.03041763652 414),,,(3.72178544451 929),,,(4.65062094358 1409),(3.53065362393 1539),(5.68750043773 1695),,,,,(9.02248574338 2496),,(12.8551441235 2805),(8.86447343745 2987),(7.07188903533 3138),,,,,,,,(2.36475491296 4482),,,(3.26068310496 4937),,(7.12808356806 5248),,
