Cycle,0.785294117647
Average Width,0.0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.50636995423 33),(10.2009843413 208),(8.19948723032 373),(10.256907425 543),(11.2230982515 710),(11.3017909284 881),(11.3659659986 1051),(11.2168154904 1203),(9.59354621637 1376),(9.8508099674 1536),(10.8365253641 1698),(11.1193876678 1871),(9.80088319874 2034),(10.9931014436 2209),(11.687711791 2371),(11.5959629872 2546),(11.2645588276 2709),(7.20624582693 2869),
Point0,H2,,,(5.31182735736 415),(6.20586330462 595),,,,,,,(5.89516667273 1743),,,,,,,
Point0,H3,,,(5.45964890305 425),(6.20687468568 597),,,,,,,(6.13285629433 1753),,,,,,,
Point0,H4,,(2.66056386625 315),(0.699684567819 478),(4.4408920985e-15 649),(6.3773989469 751),(0.873632609314 988),(2.4552309535 1137),,(6.23283189409 1410),(4.94061973603 1584),(1.72960190724 1802),(0.676764262958 1979),(4.65778061164 2085),(1.96057917757 2313),(1.0799817633 2477),(2.02751359394 2649),,
Point0,H5,,(2.6884980152 320),(0.713386947136 484),(1.38851543714 665),(6.80473348394 762),(1.05693220766 997),(2.62919275875 1149),,(6.24619374882 1415),(4.9511370429 1588),(2.28318478194 1814),(0.703012959264 1986),(4.65822502149 2086),(2.03167978593 2321),(1.13522720121 2485),(2.21230403363 2659),,
Point0,H6,(-4.4408920985e-15 165),(-8.881784197e-15 343),(-0.00109466023861 508),(4.4408920985e-15 649),(2.6645352591e-15 847),(3.5527136788e-15 1013),(0.0 1173),(3.5527136788e-15 1333),(4.4408920985e-15 1502),(-0.00128022014181 1665),(1.7763568394e-15 1831),(3.5527136788e-15 2002),(-0.0028124494903 2171),(-3.5527136788e-15 2341),(-1.7763568394e-15 2503),(8.881784197e-16 2678),(-0.0075894888032 2838),
Point1,H1,(4.41350440631 55),(3.92932221679 205),(3.99180753394 424),(5.56252471494 566),(6.19067020624 723),(6.24170257426 899),(5.95474410477 1058),(4.83341106616 1217),(4.26978595333 1379),(4.30489067027 1558),(5.35153016788 1716),(5.68838935416 1879),(4.6783364792 2053),(5.5522696456 2227),(5.65178198239 2389),(6.29228955005 2565),(5.68263555738 2708),(3.51958472982 2884),
Point1,H2,,,(0.9850646463 473),(3.97840656447 586),(4.556982071 747),,(2.93240675936 1097),(3.60208441519 1243),(0.59259369711 1481),(0.611552939771 1636),(4.04556848438 1738),(0.530148121746 1971),,(1.5688200354 2304),(4.15862663609 2412),,,,
Point1,H3,,,(1.07555453735 487),(4.34871372632 598),(4.69639041739 759),,(3.14669016291 1108),(3.66935679936 1253),(0.636167723827 1488),(0.96468795876 1649),(4.18540351973 1748),(0.667386270073 1984),,(1.66640465754 2314),(4.17748093857 2418),,,,
Point1,H4,,,(-0.000236779093601 511),(4.4408920985e-16 644),(1.21290839299 826),(1.20242549051 980),(1.7763568394e-15 1170),,(-1.7763568394e-15 1504),(-0.00442969543417 1665),(1.4691188921 1798),(8.881784197e-16 2000),,(0.0 2337),,(1.60890132418 2641),(3.94431592006 2757),,
Point1,H5,,,(4.55936455648 538),(1.35132474747 663),(1.2168921342 829),(1.28792341977 989),(4.68459766395 1201),,(4.21313321933 1531),(5.06850300197 1693),(1.64816817538 1808),(4.02629700652 2031),,(5.37486584995 2365),,(1.89756357068 2654),(4.25533250737 2771),,
Point1,H6,(-0.00769119343373 1),(1.7763568394e-15 154),(1.7763568394e-15 341),(-0.000236779093601 511),(4.4408920985e-16 644),(5.77315972805e-15 849),(6.66133814775e-15 1011),(1.7763568394e-15 1170),(-1.7763568394e-15 1332),(-1.7763568394e-15 1504),(-0.00442969543417 1665),(1.33226762955e-15 1828),(8.881784197e-16 2000),(-0.00428794853906 2173),(0.0 2337),(1.7763568394e-15 2499),(3.10862446895e-15 2675),(-0.0114016586909 2839),
