Cycle,0.693817283951
Average Width,5.97127363316
Width,,4.66432848321,7.57465594245,9.55732136866,7.12069658696,5.87051453043,4.74113035986,0.0,4.39917223717,6.17177577915,6.84348666679,8.23300239225,6.52133333178,7.18350199158,6.17206558898,5.97028782862,6.57729802843,5.70792953516,5.9511642617,6.20625123862,5.22211909745,4.89023537676,6.94875432551,6.43712715951,6.94108081078,7.51904572452,5.74374630708
Point0,H1,(19.3993448058 101),(11.3950398063 251),(16.5271991328 396),(11.8666561644 539),(11.7612873187 682),(11.6177282316 828),(14.8399221722 974),(15.1662158662 1121),(18.584356949 1260),(21.3060667438 1404),(23.4940053569 1550),(20.783169033 1697),(14.9743834748 1833),(16.5525474291 1966),(15.6042597514 2109),(15.110680865 2254),(13.7675361484 2399),(12.0637659704 2538),(11.8005087129 2683),(9.37855256476 2829),(7.35016507971 2977),(8.03154012286 3120),(12.6525693075 3268),(11.9077231406 3420),(9.6549689854 3567),(11.5609714959 3713),(15.2292905169 3864),(4.81260677379 4014),
Point0,H2,(-0.0982633311575 138),,(2.59151108249 425),(-0.00671112983615 572),,,,,,,,,(-0.0101335770565 1863),(-0.00385830110645 2000),(-6.2172489379e-15 2146),(-0.035001221709 2290),(-0.0443779164407 2437),(-0.0210879484416 2563),,(0.0 2857),,(0.883944892917 3160),(1.33226762955e-14 3299),,,,,,
Point0,H3,(1.03367246826 168),,(2.95966405536 435),(3.71621705129 608),,,,,,,,,(1.03446013116 1877),(2.57811155433 2022),(1.33690744029 2164),(1.71543829408 2312),(1.06766482862 2461),(4.65633737186 2584),,(1.59034114442 2888),,(1.8479206946 3178),(2.44523109544 3318),,,,,,
Point0,H4,(0.0117545510472 189),,(-0.0162437171614 468),(3.6158826982 616),,(-0.0133861406869 855),(-9.7699626167e-15 1007),(-1.24344978758e-14 1154),(-1.99338778195e-05 1310),,(-0.00650371592573 1591),,,(2.35395933308 2031),(0.71141493082 2179),(0.840338175896 2330),(1.06087277633 2464),(2.60171897666 2618),(-8.881784197e-16 2708),(1.02140518266e-14 2927),(-0.00797451062208 3009),(-0.0115293691775 3197),(2.05319212652 3330),,(-0.0702974512012 3606),(-0.0086359506625 3743),,,
Point0,H5,(0.214841638692 200),,(2.06957922415 491),(5.07979904842 636),,(7.20036860187 923),(9.07073184222 1075),(2.15742831481 1172),(6.13406667894 1355),,(0.648747336776 1602),,,(4.5373933689 2056),(1.48684500701 2197),(1.15215074398 2343),(2.48657830324 2489),(3.03438123159 2629),(5.36241278756 2741),(0.503765858595 2941),(1.88415670745 3032),(3.94094027029 3227),(5.19008417845 3372),,(7.89616740572 3665),(8.92030001455 3813),,,
Point0,H6,(-0.0982633311575 138),(-0.106014396673 213),(-0.0878294378264 278),(-0.0162437171614 468),(-0.00671112983615 572),(-0.0191696972031 708),(-3.5527136788e-14 794),(-0.0133861406869 855),(3.92441701653 944),(-9.7699626167e-15 1007),(-0.0983473857516 1192),(-1.99338778195e-05 1310),(-0.0129318748935 1452),(-0.199613678551 1617),(-0.0136202427001 1769),(-0.0101335770565 1863),(-0.00385830110645 2000),(-6.2172489379e-15 2146),(-0.035001221709 2290),(-0.00857232503523 2365),(-0.0443779164407 2437),(-0.0210879484416 2563),(-3.10862446895e-15 2652),(-8.881784197e-16 2708),(-0.0147216064125 2796),(0.0 2857),(1.02140518266e-14 2927),(-0.00797451062208 3009),(-0.0231592838333 3061),(-0.0115293691775 3197),(1.33226762955e-14 3299),(-1.11022302463e-15 3446),(-2.88657986403e-15 3501),(-0.0702974512012 3606),(-0.0086359506625 3743),(-0.085624507845 3943),(-6.31385352444 4050),
Point1,H1,(22.5272957789 101),(13.9113001081 250),(16.0231921155 395),(13.1172495097 538),(13.5521283626 680),(14.0731554842 827),(14.9998874782 974),(19.9385383745 1119),(21.9593696923 1259),(26.2003360532 1402),(27.9677595331 1549),(24.9828183244 1696),(19.8563162795 1832),(21.2988536736 1966),(21.1441304871 2109),(20.4622639255 2253),(18.1542982808 2398),(16.8126340074 2537),(15.5392655346 2682),(13.6512434305 2828),(11.1349810264 2976),(10.8392731053 3118),(15.9998969617 3267),(15.868662919 3418),(13.5326742564 3566),(15.6874864606 3711),
Point1,H2,(-0.131603544201 136),,(-0.00587277500732 425),(-0.0169339437608 568),,(1.06581410364e-14 855),,,,,,(2.52842484543 1732),(-0.144392531278 1862),(8.881784197e-15 2000),(5.3290705182e-15 2147),(-0.0479411656391 2289),(-0.0869839122986 2437),,,(-0.00847927724711 2857),(-1.7763568394e-15 3007),(-0.510821061948 3153),,,,,
Point1,H3,(1.08165064927 153),,(0.529443872404 436),(3.3821355307 603),,(2.69895492578 891),,,,,,(3.34097998151 1744),(1.1327684497 1874),(2.52868443083 2020),(1.73228676967 2168),(2.07509896285 2310),(1.15674215816 2458),,,(1.3263195096 2886),(3.01878513601 3031),(0.915041322659 3175),,,,,
Point1,H4,(0.192879702398 185),(-0.0343570721058 278),(-0.395788696787 469),(3.2606728089 612),,(2.47455155891 902),(-0.0390706198588 1005),(1.68540560855 1154),(3.5527136788e-15 1313),,(-0.00956136740602 1590),(0.349224972844 1772),,(2.17136578783 2030),(1.51889393124 2178),(0.900231313801 2329),(1.01543938995 2467),,(1.06581410364e-14 2708),(-8.43769498715e-15 2927),(0.733619945647 3066),(-0.045155246066 3192),,,(-0.0531405404889 3601),,
Point1,H5,(0.62473761923 198),(4.42677843039 347),(1.36833472599 491),(5.39537013022 635),,(3.19589784935 917),(11.0329416777 1074),(2.96461635853 1170),(5.33254718315 1354),,(0.669907021017 1601),(0.350457722973 1774),,(4.53423324749 2052),(2.43023118871 2197),(1.11629209703 2339),(3.30863490331 2490),,(4.98093433567 2744),(0.381838873868 2941),(2.05546538583 3086),(3.43151512688 3228),,,(7.03229083829 3666),,
Point1,H6,(-0.131603544201 136),(-0.0436528038063 212),(-0.0343570721058 278),(-0.395788696787 469),(-0.0169339437608 568),(2.6645352591e-15 707),(-0.00476904966968 793),(1.06581410364e-14 855),(-0.00827321216724 942),(-0.0390706198588 1005),(-0.0118263363097 1193),(3.5527136788e-15 1313),(-0.00767898034223 1458),(-0.529791811797 1618),(-6.2172489379e-15 1789),(-0.144392531278 1862),(8.881784197e-15 2000),(5.3290705182e-15 2147),(-0.0479411656391 2289),(-0.00078476008395 2361),(-0.0869839122986 2437),(1.15463194561e-14 2562),(1.15463194561e-14 2650),(1.06581410364e-14 2708),(-0.00823292494477 2792),(-0.00847927724711 2857),(-8.43769498715e-15 2927),(-1.7763568394e-15 3007),(0.733619945647 3066),(-0.510821061948 3153),(-0.00754101140102 3299),(-0.391877500101 3500),(-0.0531405404889 3601),(8.881784197e-15 3743),
Point2,H1,(17.3483384086 101),(14.4094013352 249),(14.0702216925 395),(12.2964772038 538),(12.1953309096 680),(11.5198823585 827),(15.8886874847 973),(16.4582423335 1118),(20.6971089582 1258),(26.4941716884 1403),(29.0098262388 1549),(24.4177019715 1695),(21.4176311485 1832),(21.4364416058 1966),(21.726327709 2109),(21.7755954668 2253),(17.9651581244 2398),(17.5517138808 2536),(15.9194126651 2683),(13.7512190772 2829),(11.0472583825 2976),(11.7069279295 3118),(16.1646547468 3266),(17.0038656579 3418),(15.2410444219 3566),(15.8674517076 3711),
Point2,H2,(1.06581410364e-14 133),(-1.24344978758e-14 278),(-0.00246849453668 424),(-1.7763568394e-15 568),,,,,(3.91143735315 1289),,,(0.336493874057 1732),(7.9936057773e-15 1862),(-2.6645352591e-15 2001),(4.4408920985e-15 2147),(-0.0320500113392 2291),,,,(1.7763568394e-15 2856),(4.4408920985e-15 3006),(-0.00760927302923 3152),,,,,
Point2,H3,(4.27309989812 175),(1.0172669467 293),(1.0996844655 442),(3.25049957456 606),,,,,(3.92004942919 1292),,,(1.86633202506 1748),(1.98442062809 1878),(2.34828298212 2022),(1.92512317103 2170),(1.79353444931 2312),,,,(2.05288420095 2884),(3.59141480735 3030),(1.84393363239 3178),,,,,
Point2,H4,(3.85037704448 186),(0.80940835173 304),(0.567939465502 466),(3.07372547921 615),,(-0.0098810918392 854),(8.881784197e-16 1007),(0.639601338367 1153),(-0.00517678399852 1316),,(0.807871915522 1591),(0.307803751722 1769),,(2.14669865185 2030),(1.90010905127 2175),(1.127796417 2328),(-0.0818791257727 2437),,(4.4408920985e-15 2708),(-0.0118122937399 2927),(1.90290921551 3068),(1.67777189106 3187),,,(-0.0156494214908 3604),,
