Cycle,0.889784722222
Average Width,53.2620214789
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23557291402,7.19603886819
Point0,H1,(20.2448561178 55),(23.4801253374 241),(18.5248579549 437),(21.4837350096 637),(17.0870425946 832),(20.164485478 1021),(20.4426293254 1216),(21.6615315215 1413),(20.5559139942 1598),(20.8749485173 1791),(19.6860660795 1982),(22.400819487 2176),(20.5680870619 2363),(20.2710440477 2556),(20.2307211791 2748),(18.4014823074 2933),
Point0,H2,,(-0.00759789655513 318),(0.700699416619 475),(5.48182428299 667),,,(1.43715798204 1263),(-0.000750360901096 1478),(5.81676755762 1633),(0.107054477834 1871),(1.10362309885 2050),,(-0.00774438057775 2416),(5.14946996204 2589),,,
Point0,H3,,(0.89484672185 343),(0.856107792024 483),(5.75586057344 675),,,(2.05426090627 1277),(1.01600087295 1495),(5.81987194401 1636),(1.46481677019 1898),(1.63415568523 2062),,(1.66137270817 2433),(5.16030033674 2591),,,
Point0,H4,(-4.4408920985e-15 119),(0.766291397452 355),(-1.95399252334e-14 501),(1.7934090439 716),,(0.13020326923 1104),(-4.4408920985e-15 1300),(0.90109533092 1503),(0.716502377695 1678),(7.9936057773e-15 1917),(1.50990331349e-14 2080),(-0.0020370711665 2266),(-0.272749671297 2453),(-0.124308682849 2660),(-0.00596411389549 2804),,
Point0,H5,(0.445748137973 131),(1.47220565803 375),(1.73477230902 542),(2.53800260622 733),,(0.52997848082 1122),(5.77494974615 1342),(1.45710775461 1518),(3.47863896708 1702),(2.46243981222 1937),(3.30481242549 2105),(2.35608067927 2295),(3.08654163041 2495),(0.640126319765 2685),(5.25314060899 2867),,
Point0,H6,(-4.4408920985e-15 119),(-0.00759789655513 318),(-1.95399252334e-14 501),(-7.9936057773e-15 763),(-0.00927704048675 954),(-0.00411192578704 1146),(-4.4408920985e-15 1300),(-1.7763568394e-15 1374),(-0.000750360901096 1478),(-8.881784197e-15 1553),(1.7763568394e-15 1732),(7.9936057773e-15 1917),(1.50990331349e-14 2080),(-0.0020370711665 2266),(-0.272749671297 2453),(-0.124308682849 2660),(-0.00596411389549 2804),(1.24344978758e-14 3082),
Point1,H1,(18.0435355504 50),(20.730256761 237),(16.2580311941 433),(18.9656161697 632),(14.9977389401 827),(18.6558915154 1016),(18.3787824704 1212),(18.9675023248 1410),(18.5397140494 1593),(18.3792139455 1786),(16.6398162459 1977),(19.590159845 2171),(19.1951223265 2357),(19.086498054 2552),(19.2102150497 2743),(17.7771277524 2928),(4.30687114086 3036),
Point1,H2,,(-0.0101057711717 317),(0.559334571429 470),,,,(1.02269109773 1260),,,(-6.2172489379e-15 1870),(8.881784197e-16 2046),,(6.2172489379e-15 2415),,,(4.18141785433 2962),,
Point1,H3,,(0.606558497965 334),(0.663427640903 477),,,,(1.33975926106 1272),,,(2.06168566332 1897),(0.750453040143 2061),,(1.22501046602 2439),,,(4.92337111084 2975),,
Point1,H4,(1.09912717158 115),(0.0809140775818 350),(8.881784197e-16 493),,(2.6645352591e-15 925),(0.275892114143 1097),(-4.4408920985e-15 1295),(0.346092800376 1472),(0.649339580074 1672),(0.141029211415 1914),(0.147635422309 2076),(1.7763568394e-15 2246),(-0.294204307883 2465),(-0.00710830887893 2641),(-8.881784197e-16 2803),(3.95435836036 2992),,
