Cycle,0.851464285714
Average Width,0
Width,,11.6155029338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(24.5965657504 35),(24.1478024784 221),(23.3618979918 410),(24.4949078087 588),(22.24978772 778),(21.9550824782 957),(22.5448565105 1146),(25.5663151029 1324),(26.0170778177 1515),(23.5032423468 1692),(22.8147021907 1871),(26.1891263355 2062),(25.4969741185 2235),(24.348990814 2415),(24.9442649632 2603),
Point0,H2,,,,,,,(11.5121251729 1177),,,,(10.6511961941 1914),,,,
Point0,H3,,,,,,,(12.3519688317 1188),,,,(10.8856766672 1922),,,,
Point0,H4,,(2.70986374104 341),(5.54585588034 490),(3.90036191446 711),(1.14614523384 907),,(1.85199213986 1253),(2.1689921632 1446),,,(2.24788728642 1992),(2.80072206068 2170),(3.32357126484 2335),,
Point0,H5,,(2.88067339194 350),(5.79733766625 499),(3.9168450395 715),(1.16288925939 911),,(2.22916464153 1265),(2.54897970379 1456),,,(2.44047757167 2000),(2.80084953967 2171),(3.37957555946 2341),,
Point0,H6,(-8.881784197e-15 180),(-1.42108547152e-14 370),(-0.00238263299528 547),(-1.95399252334e-14 737),(-1.24344978758e-14 925),(-1.7763568394e-15 1103),(-5.3290705182e-15 1284),(3.5527136788e-15 1474),(-0.0104508256245 1651),(7.1054273576e-15 1836),(0.0 2017),(-7.1054273576e-15 2193),(7.1054273576e-15 2381),(1.42108547152e-14 2562),
Point1,H1,(28.3810898429 34),(27.8112325821 222),(26.3374023484 411),(27.866195012 588),(25.7109892108 778),(24.8547902938 957),(25.7579958154 1144),(28.4093206457 1324),(28.934528543 1516),(27.1273034943 1691),(24.8619459631 1871),(28.6279016928 2061),(28.7120659543 2235),(27.079054273 2416),(27.963541552 2603),
Point1,H2,,,,,,,(13.7423676976 1178),,,,(10.5046419987 1917),,,,
Point1,H3,,,,,,,(14.1163479452 1186),,,,(10.5481221003 1921),,,,
Point1,H4,,(2.95433725588 340),,(3.38152488098 710),(0.964260460062 903),(5.19120282551 1053),(2.4118948026 1253),(1.85101764498 1446),,,(1.36680010163 1989),(2.96139016605 2167),,,
Point1,H5,,(3.34130168636 351),,(3.84988953043 720),(1.20251019323 912),(5.20847620337 1058),(3.21578299786 1266),(2.32816744959 1457),,,(1.84936342919 2001),(3.18980677615 2175),,,
Point1,H6,(5.3290705182e-15 180),(7.1054273576e-15 370),(-7.1054273576e-15 548),(0.0 738),(0.0 925),(1.95399252334e-14 1103),(1.06581410364e-14 1285),(1.95399252334e-14 1473),(1.24344978758e-14 1651),(8.881784197e-15 1837),(-4.4502282659e-06 2016),(7.1054273576e-15 2194),(-5.3290705182e-15 2381),(-7.1054273576e-15 2562),
Point2,H1,(25.9619843988 36),(25.2843671906 221),(24.5884744499 410),(24.5700215572 588),(23.0803989418 777),(22.3018085508 957),(23.0790967167 1148),(25.7618848629 1323),(25.9555765787 1516),(23.2693162472 1691),(22.0035367629 1869),(25.0799776662 2060),(25.36964046 2235),(23.0503414393 2415),(23.2022358831 2603),
