Cycle,0.746590909091
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0
Point0,H1,(11.3667794363 131),(9.22680441544 296),(8.10080819367 459),(10.9034753856 597),(8.99358409802 761),(10.2912498747 952),(9.23044753937 1126),(11.1358441024 1297),(7.50941902981 1380),(8.1788607069 1469),(11.5728421372 1637),(8.47055472714 1819),(8.39691229272 1994),(8.41423713035 2165),(11.2183976585 2324),(10.9310603497 2504),(5.37473607047 2589),(7.78020362551 2680),(10.213798864 2839),(11.90783918 3014),(8.29206877794 3189),(8.29624573856 3354),(7.76633360736 3461),
Point0,H2,,(6.2172489379e-15 327),,,(8.15323951402 779),,,,,,(-0.00173087043627 1687),,(-5.3290705182e-15 2024),(-0.00740734417595 2193),(-1.7763568394e-15 2372),,,(-0.00668664201737 2706),,,
Point0,H3,,(0.202857089953 337),,,(8.67182663131 791),,,,,,(7.29282271241 1743),,(5.71641431523 2094),(7.03373605139 2239),(6.16817585392 2418),,,(7.79058887874 2754),,,
Point0,H4,,(0.189835505922 341),(-8.881784197e-16 506),(-1.7763568394e-15 663),(-2.6645352591e-15 821),(1.24344978758e-14 993),,,(6.40725145608 1407),(-0.00164527418729 1506),(6.48935834452 1758),,(5.32078646145 2106),(6.08726202588 2252),(6.01138681201 2428),,,(7.06499934285 2768),(0.0 2882),,
Point0,H5,,(8.03913987092 426),(4.96868999363 534),(8.91031847984 742),(5.43247593289 869),(9.09723151426 1102),,,(7.5957770285 1435),(10.1442447607 1601),(7.61177478261 1778),,(8.02262874143 2138),(9.58917229567 2279),(9.66767397773 2482),,,(7.64098879957 2785),(8.50923067602 2931),,
Point0,H6,(-0.00419088650873 190),(6.2172489379e-15 327),(-8.881784197e-16 506),(-1.7763568394e-15 663),(-2.6645352591e-15 821),(1.24344978758e-14 993),(1.42108547152e-14 1156),(1.06581410364e-14 1332),(-0.00164527418729 1506),(-0.00173087043627 1687),(8.881784197e-16 1863),(-5.3290705182e-15 2024),(-0.00740734417595 2193),(-1.7763568394e-15 2372),(-0.00106592659034 2552),(-0.00668664201737 2706),(0.0 2882),(-8.881784197e-16 3059),(-7.9936057773e-15 3219),(-8.881784197e-16 3394),
Point1,H1,(6.45832394521 38),(6.26786022386 196),(7.72811470243 358),(6.6033475048 519),(5.6366553576 691),(6.19840428015 889),(6.76571459319 1056),(5.37115068297 1219),(6.32970221255 1394),(7.32221633518 1574),(6.84785308557 1746),(9.4411322326 1889),(7.16373925293 2098),(8.45704458923 2255),(6.11753312191 2402),(6.84290556443 2610),(8.87893322872 2772),(8.2982474996 2918),(5.41915573489 3077),(5.28677018271 3134),(8.08045314151 3252),(8.85580645955 3457),(8.59068886568 3601),
Point1,H2,(5.95497703407 52),,(6.81254653706 372),(4.95695651668 538),,(1.29102798121 957),(5.37804900877 1078),(1.34195973987 1275),(0.782307668631 1474),,,,(0.468630904314 2185),,(4.08712267713 2419),,,,,,(6.71091167663 3267),,
Point1,H3,(6.12547433922 62),,(7.57428402596 388),(6.34368933874 562),,(1.9323733098 972),(5.45498141528 1086),(1.34368529684 1278),(0.899950157223 1483),,,,(0.469051772374 2186),,(5.56406325938 2436),,,,,,(7.86877689214 3283),,
Point1,H4,,,(2.16215279867 466),(2.50100395432 623),,(-3.10862446895e-15 990),(-0.00270322583683 1159),(-1.37667655054e-14 1327),(-4.4408920985e-15 1502),(1.7763568394e-15 1678),,(-5.3290705182e-15 2018),(-6.2172489379e-15 2201),,(-2.22044604925e-15 2540),(-0.00324652846249 2709),,(0.844415947555 3024),,,(-4.4408920985e-15 3391),,
Point1,H5,,,(2.32030260559 474),(2.59329039692 632),,(5.54230983025 1021),(5.19028832859 1188),(4.92443542185 1365),(6.87857648591 1538),(5.9986711239 1707),,(6.80586703842 2057),(8.30242834231 2233),,(6.24827490454 2574),(7.79081069081 2742),,(1.44808254567 3037),,,(8.79849016254 3430),,
Point1,H6,(-0.0105783404314 1),(8.881784197e-16 169),(-0.00715194168413 330),(5.3290705182e-15 494),(-4.4408920985e-16 656),(2.22044604925e-15 823),(-3.10862446895e-15 990),(-0.00270322583683 1159),(-1.37667655054e-14 1327),(-4.4408920985e-15 1502),(1.7763568394e-15 1678),(-3.5527136788e-15 1851),(-5.3290705182e-15 2018),(-6.2172489379e-15 2201),(-3.5527136788e-15 2370),(-2.22044604925e-15 2540),(-0.00324652846249 2709),(-2.6645352591e-15 2879),(0.0 3053),(0.0 3220),(-4.4408920985e-15 3391),(1.7763568394e-15 3565),
