Cycle,0.745775862069
Average Width,0.0
Width,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(6.13242344356 24),(10.0474553118 194),(9.58479559253 336),(9.95012057611 478),(11.3321242535 621),(9.37439043874 782),(9.14117958078 924),(10.8362657017 1080),(8.71556477788 1242),(7.99269557698 1409),(8.4110554398 1542),(9.50566847978 1704),(9.20746807348 1853),(7.93570571155 2034),(8.35875482363 2170),(8.15740795554 2358),(9.72290508427 2499),(9.00040564353 2659),(7.28195181847 2822),(9.95016602511 2977),(15.3661165967 3125),(7.24312687713 3280),(8.29414570708 3415),(9.6838450561 3578),(10.2026472168 3740),(11.0087494621 3903),(8.92163166869 4043),(10.6221221889 4202),(7.40054600908 4359),(10.0466962422 4506),
Point0,H2,,,,(3.84049703014 507),,,,,(1.30287686616 1332),,(5.07963236522 1563),(5.2593833839 1751),(8.88235609192 1865),(6.43359602341 2052),(3.92217331983 2214),,,(1.17423072048 2727),(0.33273579467 2890),,,(2.87243558278 3305),(6.62077950248 3432),,,,(8.06277831236 4058),,,
Point0,H3,,,,(3.96162183492 514),,,,,(1.6606486856 1343),,(5.55523951794 1576),(5.36518081555 1758),(8.89371009167 1870),(6.9787220003 2064),(4.38030968943 2227),,,(1.18170786026 2731),(0.33812573823 2893),,,(3.13058312544 3315),(6.90433665254 3442),,,,(8.07343897018 4061),,,
Point0,H4,,(7.9936057773e-15 288),(0.690097765149 394),,,,,,(2.6645352591e-15 1359),,,,(7.1054273576e-15 1980),,(1.20518028702 2263),(3.5527136788e-15 2449),(1.86614706499 2583),(-0.00683344061543 2759),(-0.0386024382302 2907),,(-8.881784197e-15 3234),(0.605567553876 3345),,(1.75870391877 3672),,,(1.09532202953 4130),,,
Point0,H5,,(9.30902118083 315),(1.76585807028 415),,,,,,(7.94560627929 1386),,,,(7.86105384791 2010),,(1.24066789603 2270),(9.14203558538 2477),(1.93673287418 2590),(7.23462140356 2793),(9.73864145231 2949),,(6.47404174157 3259),(1.00739632021 3361),,(1.77034448698 3676),,,(1.21954248502 4140),,,
Point0,H6,(-0.00183279433971 140),(7.9936057773e-15 288),(-0.00268335161207 433),(-0.0143426909896 572),(1.50990331349e-14 736),(1.90958360236e-14 868),(-0.00350491265041 1032),(-0.00307271452344 1199),(2.6645352591e-15 1359),(8.43769498715e-15 1514),(1.06581410364e-14 1673),(1.15463194561e-14 1822),(7.1054273576e-15 1980),(0.0 2140),(2.6645352591e-15 2291),(3.5527136788e-15 2449),(-0.00368651443166 2609),(-0.00683344061543 2759),(-0.0386024382302 2907),(0.0 3067),(-8.881784197e-15 3234),(-2.22044604925e-15 3381),(-0.00885796768956 3543),(1.7763568394e-15 3697),(-1.7763568394e-15 3856),(-5.3290705182e-15 4016),(-7.1054273576e-15 4161),(2.6645352591e-15 4320),(4.4408920985e-15 4479),
Point1,H1,(8.5337365587 26),(8.93367619364 172),(10.9327823161 319),(12.5043521529 466),(14.704219506 624),(13.2661558052 785),(14.1795578089 925),(14.9796387977 1083),(13.8205267285 1244),(12.6210658628 1390),(11.2963896193 1546),(12.3080191595 1708),(10.6102491978 1857),(10.3945520069 2013),(11.6378695658 2173),(9.33230812908 2337),(11.8243649164 2500),(10.5815017558 2662),(9.89398141032 2797),(13.2935496059 2961),(15.8397886949 3123),(9.64047402809 3285),(12.7811455599 3421),(12.8082840042 3581),(12.9438782026 3741),(14.0153896115 3907),(13.1654534701 4046),(13.7553089528 4206),(12.0719956021 4367),(12.70362837 4511),
Point1,H2,,(7.18762595841 188),,(12.2729169833 475),,,(12.2289287807 941),,,(10.9519416705 1406),(6.93236818499 1570),,,(9.18325158601 2028),,,,,,,,,,,(2.91686166258 3832),,(11.6780527912 4062),,,,
Point1,H3,,(7.52875578197 198),,(12.2766294425 478),,,(12.3227050928 947),,,(10.9782211324 1410),(7.0484293764 1578),,,(9.45448840546 2037),,,,,,,,,,,(3.18517054551 3841),,(11.6873118981 4064),,,,
Point1,H4,(1.77821796635 75),(5.62714036353 219),,(1.82242924273 551),(2.87630960162 714),,,(2.92051320472 1175),,,(1.79303121684 1641),,(7.15177503611 1902),(7.46042292584 2058),(2.18584533931 2266),(-0.00987149969214 2451),(-7.1054273576e-15 2611),,(1.63951603077 2886),,(1.24344978758e-14 3236),,,(2.26715694761 3671),(7.1054273576e-15 3860),,(2.18897974413 4137),(2.53054141199 4295),(2.14736068973 4460),,
Point1,H5,(2.3413160767 104),(5.84262114503 228),,(2.49479326664 563),(3.03904805487 722),,,(2.99926475907 1182),,,(2.08457575983 1652),,(7.22338209178 1910),(7.80512383883 2069),(2.25872625508 2273),(11.3324282094 2482),(10.29423485 2640),,(1.71109685216 2894),,(9.31008294079 3262),,,(2.69317162819 3683),(13.6089148841 3892),,(2.20117898038 4141),(2.90733334853 4306),(2.14843127438 4462),,
Point1,H6,(-0.0256208481074 1),(-8.881784197e-15 143),(-1.7763568394e-15 290),(7.1054273576e-15 435),(-0.0039088812147 581),(-1.33226762955e-14 740),(-1.15463194561e-14 896),(-0.00299434774695 1045),(-2.13162820728e-14 1205),(-1.42108547152e-14 1362),(-0.00451914418778 1517),(8.881784197e-16 1675),(6.2172489379e-15 1827),(8.881784197e-15 1983),(-0.00538467655387 2142),(-3.5527136788e-15 2294),(-0.00987149969214 2451),(-7.1054273576e-15 2611),(-1.42108547152e-14 2759),(-0.0103166744238 2914),(-0.00705670154169 3075),(1.24344978758e-14 3236),(1.33226762955e-14 3384),(1.24344978758e-14 3544),(1.33226762955e-14 3701),(7.1054273576e-15 3860),(-0.00664117880007 4020),(2.6645352591e-15 4166),(0.0 4325),(3.5527136788e-15 4482),
