Cycle,0.798234180036
Average Width,4.3742857379
Width,,3.91287822713,3.41650120528,4.28570428952,4.45928849007,4.12884513952,3.91961319109,4.99301267296,4.18589372889,4.78218803972,5.44690642767,3.93670754186,4.18490884877,4.41797914277,4.60563282267,4.26337882249,4.66294086488,4.72983924419,4.12258190852,4.32830444216,5.48198247095,3.89813779358,7.52410523272,4.28338851077,3.93634602762,4.64096042231,4.30317948583,5.14632050626,4.27189244526,4.64853539266,5.49244602556,4.03855431631,4.37138788716,5.06079606404,4.55332851864
Point1,H5,(2.05308075093 173),(10.5364045581 276),,(10.1460224716 627),(1.47440012961 881),(13.1248504168 980),(3.77314638678 1194),(3.24106300631 1375),(12.2021704933 1473),,(1.50450006023 1856),,(10.6536866058 2127),(2.69104779637 2351),(3.92224084364 2525),(12.6317100721 2624),(10.8713383951 2801),(11.8851055829 2962),(3.40269598322 3198),(3.03263063023 3358),(2.69139979423 3535),(3.65281259548 3695),(2.78925085776 3857),,,(8.57896642647 4291),(8.87356488995 4437),(2.74323054397 4656),(8.87554729961 4756),(2.77067992572 4961),(2.9084818005 5119),,,
Point1,H6,(-1.24344978758e-14 191),(-1.95399252334e-14 371),(-1.06581410364e-14 541),(-1.15463194561e-14 719),(-3.5527136788e-15 895),(7.1054273576e-15 1057),(1.06581410364e-14 1219),(0.0 1393),(2.6645352591e-15 1554),(-3.5527136788e-15 1698),(7.1054273576e-15 1871),(-5.3290705182e-15 2043),(5.3290705182e-15 2206),(-3.5527136788e-15 2368),(7.1054273576e-15 2545),(-8.881784197e-15 2716),(1.7763568394e-15 2876),(0.0 3045),(5.3290705182e-15 3217),(-1.7763568394e-15 3378),(-9.7699626167e-15 3553),(1.7763568394e-15 3715),(1.42108547152e-14 3874),(-0.00323040797967 4035),(5.3290705182e-15 4203),(3.10862446895e-14 4353),(-0.00115201045262 4511),(-6.2172489379e-15 4673),(8.881784197e-15 4830),(3.5527136788e-15 4978),(-7.1054273576e-15 5139),(-0.00330171532151 5312),(-1.15463194561e-14 5469),
Point2,H1,(12.1847529466 26),(15.5681116697 221),(15.407230613 408),(14.4199083286 571),(14.7726961928 752),(18.3313081614 928),(17.39778928 1087),(19.7710793274 1257),(17.4663522697 1427),(13.5650593005 1586),(16.3941134342 1737),(17.6627275328 1899),(17.4116784088 2075),(17.1654343668 2235),(18.3941473421 2400),(17.4884210154 2575),(15.6138753072 2746),(17.910452786 2906),(17.657323097 3081),(14.1243548038 3247),(17.1916317997 3415),(12.6730062853 3582),(12.484777073 3750),(15.570014656 3910),(13.8508052899 4072),(14.769365978 4234),(12.4073759102 4385),(13.9279350715 4541),(13.1834205868 4701),(10.1572698544 4858),(11.916300979 5013),(11.8680291183 5176),(10.094133546 5340),(10.4587741065 5501),
Point2,H2,,,,(8.46972415093 614),,,,(11.6327763822 1306),(11.160846866 1466),,,,(9.93133637453 2121),(9.30534887624 2278),,,,,,,(7.98549145572 3459),(6.5927702851 3629),(6.14205151892 3783),,,,,(9.02097914772 4585),,(4.74317298829 4899),(6.99827109446 5048),,,
Point2,H3,,,,(9.5577954771 628),,,,(11.6809926991 1312),(11.2922798186 1474),,,,(10.1116301804 2130),(10.0987053145 2291),,,,,,,(8.05307228899 3468),(6.61134157246 3634),(7.23946808924 3800),,,,,(9.02790114203 4589),,(5.8903656381 4914),(7.51327502121 5062),,,
Point2,H4,(6.94366733206 67),(10.0302761386 260),,(1.77002133756 699),(0.781220591614 871),(3.13363066734 1032),,(3.55131696015 1365),(3.00789317816 1526),,,(11.010181356 1946),(1.87540278625 2183),(2.28669616473 2342),(12.1226551085 2444),(11.1717377356 2617),(9.60419355225 2788),(10.6224558714 2951),(8.48352108304 3130),(7.92386294187 3284),(2.47485465861 3524),(2.34388348686 3683),(2.20425976128 3844),(2.77043211371 4008),,(6.86827415384 4276),(6.61460285466 4425),(2.65949391195 4645),(8.2178382878 4742),(1.98168854675 4945),(1.92036187864 5109),,,
Point2,H5,(7.80996638591 84),(10.480994939 273),,(1.78950895074 703),(1.08073889045 881),(3.16551732204 1037),,(3.68585858976 1373),(3.52236277531 1537),,,(11.0692946789 1952),(2.02026410253 2191),(2.47883092841 2351),(12.1295345193 2447),(11.5643663145 2628),(10.0096164264 2801),(10.7496302589 2960),(8.75870417976 3139),(8.83080089085 3299),(2.49732393037 3530),(2.68909039759 3694),(2.78294226793 3856),(2.83411333213 4014),,(7.71544371711 4291),(7.65236515713 4441),(2.98454161096 4655),(8.25895975962 4748),(2.18520496116 4956),(2.67442741494 5122),,,
Point2,H6,(-7.9936057773e-15 190),(5.3290705182e-15 372),(8.881784197e-15 541),(1.24344978758e-14 720),(1.06581410364e-14 894),(3.5527136788e-15 1057),(5.3290705182e-15 1218),(-7.1054273576e-15 1393),(1.33226762955e-14 1555),(1.7763568394e-14 1698),(1.24344978758e-14 1870),(-0.00238960584996 2043),(2.48689957516e-14 2207),(1.7763568394e-14 2368),(1.06581410364e-14 2544),(1.7763568394e-15 2715),(2.6645352591e-15 2876),(4.4408920985e-15 3045),(-1.33226762955e-14 3215),(-0.00230502733976 3376),(1.7763568394e-15 3552),(-1.06581410364e-14 3715),(-7.1054273576e-15 3874),(8.881784197e-16 4035),(1.7763568394e-15 4203),(-0.000155344336455 4353),(-2.6645352591e-15 4511),(-3.5527136788e-15 4673),(-7.9936057773e-15 4829),(0.0 4977),(8.881784197e-15 5140),(-2.6645352591e-15 5311),(4.4408920985e-15 5468),
Point3,H1,(5.96612715567 23),(4.31748675141 85),(8.87855276743 219),(8.90529132523 409),(8.20906937701 571),(8.20087471419 753),(12.1170254095 947),(9.91696511454 1086),(10.9833779214 1257),(9.1877344839 1424),(7.09990564084 1586),(9.131612129 1738),(10.8772513315 1900),(10.5149659705 2075),(10.2301470397 2237),(11.2154914349 2401),(10.613836674 2577),(9.21796362844 2749),(10.398405022 2907),(10.7082974322 3082),(7.59791662245 3249),(11.1231914656 3416),(7.45029176518 3583),(7.32868876798 3752),(9.38861285416 3914),(8.14552078979 4078),(8.75452970878 4235),(7.65584611219 4389),(7.70051711169 4540),(7.37156209265 4700),(5.24788603209 4860),(6.68279190199 5022),(6.91334514976 5180),(5.70854689617 5343),(6.8569024787 5504),
Point3,H2,(1.83958020964 44),,,,(5.23383896966 613),,,,(6.5069335037 1305),(6.16339929133 1464),(4.50814693242 1618),,,(5.75176912965 2122),,(3.71758829259 2495),,(6.38718176874 2787),,,,(3.63582058557 3462),(4.82468880194 3628),(2.90386318462 3786),,,(4.18620546751 4273),(3.65074450165 4430),,(5.04542550888 4743),(2.21143724037 4893),(4.29762298464 5052),,
Point3,H3,(2.53586518451 59),,,,(6.18080150393 629),,,,(6.71402371794 1315),(6.45630636674 1475),(4.63686189319 1628),,,(5.85323059227 2129),,(3.71783144897 2496),,(6.45311319323 2796),,,,(4.09227999976 3476),(4.82862277939 3631),(3.30576917489 3800),,,(4.4814377467 4287),(3.88385373259 4443),,(5.31775709177 4754),(3.05222338955 4912),(4.6327125776 5067),,
Point3,H4,,(0.546415159103 169),(6.54326950027 257),,(0.449326761275 696),(-0.00672935794459 869),,(5.82821589829 1131),(1.44787238186 1363),(1.78384936323 1524),,(1.97463970361 1828),,(0.644961777306 2183),(5.64386313487 2279),(1.84965286135 2521),(7.26880256032 2618),(0.13229445184 2860),(6.85998915045 2953),(5.42066815211 3131),(4.46397054292 3287),(0.721398060541 3523),(1.48461247808 3686),(0.475723147634 3844),(1.49705696237 4006),(0.387864437907 4177),(0.833095371994 4332),(0.936441328667 4485),,(0.229581435424 4810),(0.492523529582 4942),(1.03470883453 5106),,
Point3,H5,,(0.550277341501 173),(6.88336797437 274),,(0.771537400442 707),(12.0269745213 927),,(5.87194463416 1138),(1.9249590421 1376),(2.41904227817 1537),,(1.98001815282 1831),,(0.951909363085 2194),(5.8450468866 2289),(1.90661751033 2527),(7.4015048038 2628),(0.188766775848 2866),(6.87095100866 2958),(5.49490768138 3139),(4.62842752218 3298),(1.32307311263 3537),(1.49493328406 3691),(1.13853896017 3859),(1.77883769587 4017),(0.439231866364 4187),(0.852467027836 4336),(0.965258620276 4492),,(0.318674478424 4818),(0.904942270949 4959),(1.8677621027 5122),,
Point3,H6,(-1.7763568394e-15 189),(-0.0022423583918 371),(-8.881784197e-16 540),(-0.00677439604653 720),(-0.00672935794459 869),(-7.1054273576e-15 1057),(-4.4408920985e-15 1218),(3.5527136788e-15 1394),(-1.24344978758e-14 1556),(-8.881784197e-16 1698),(-4.4408920985e-15 1869),(-3.5527136788e-15 2044),(-7.9936057773e-15 2207),(-5.3290705182e-15 2367),(-7.1054273576e-15 2545),(8.881784197e-16 2713),(7.1054273576e-15 2875),(2.6645352591e-15 3043),(-4.71869352561e-05 3215),(-3.99680288865e-15 3376),(-6.2172489379e-15 3553),(4.4408920985e-16 3715),(-2.6645352591e-15 3874),(-2.22044604925e-15 4035),(-0.00216924916413 4203),(4.4408920985e-16 4352),(1.02140518266e-14 4511),(-1.33226762955e-15 4672),(-2.22044604925e-15 4830),(-0.00378486625038 4976),(8.43769498715e-15 5141),(6.2172489379e-15 5310),(-0.00449535924063 5467),
