Cycle,0.791555555556
Average Width,4.56514783935
Width,,0,0,0,6.02920387575,5.47942026104,6.96409786681,5.00876542556,4.15572306908,5.46323267126,4.48538139351,3.99475145701,3.81682427328,3.99822922006,3.61695624445,3.83516630541,3.71438284236
Point0,H1,(13.9922090023 125),(14.6206419905 291),(13.2107595667 466),(13.5466894658 626),(12.3098281458 800),(12.179770183 964),(13.0205173192 1130),(13.5953499875 1301),(11.9280043479 1448),(13.4111248327 1638),(12.6819171559 1811),(13.7439540906 1984),(13.9675572596 2151),(11.4031285828 2319),(14.1334808821 2486),(13.5954662407 2660),
Point0,H2,,,,,,,,,,,,,(-5.3290705182e-15 2189),(-4.4408920985e-15 2350),,,
Point0,H3,,,,,,,,,,,,,(8.75738392631 2237),(11.5857148608 2428),,,
Point0,H4,(0.269415305418 162),,(7.1054273576e-15 500),(8.881784197e-15 670),,(-4.4408920985e-15 1004),(-1.7763568394e-15 1168),,,(-1.42108547152e-14 1678),(-7.9936057773e-15 1841),(5.3290705182e-15 2014),(8.50295361737 2249),(11.3496645285 2438),(-7.1054273576e-15 2525),,
Point0,H5,(0.398310164411 169),,(12.1671551949 587),(12.1702112601 774),,(10.5905973367 1087),(10.9122964232 1241),,,(12.2914043466 1760),(9.03135185974 1903),(7.65373212636 2062),(11.028585254 2304),(12.7015681152 2460),(12.1205873185 2631),,
Point0,H6,(-0.00673265296965 1),(4.4408920985e-15 180),(1.06581410364e-14 335),(7.1054273576e-15 500),(8.881784197e-15 670),(8.881784197e-16 829),(-4.4408920985e-15 1004),(-1.7763568394e-15 1168),(3.5527136788e-15 1345),(-3.5527136788e-15 1502),(-1.42108547152e-14 1678),(-7.9936057773e-15 1841),(5.3290705182e-15 2014),(-5.3290705182e-15 2189),(-4.4408920985e-15 2350),(-7.1054273576e-15 2525),(-6.2172489379e-15 2690),
Point1,H1,(12.2012378271 125),(12.5445087722 287),(11.7713468436 465),(12.4724670305 627),(11.5574929605 800),(12.0178332508 964),(12.6841781205 1130),(12.6229861395 1300),(11.0390556563 1447),(13.1089461811 1637),(12.2370243002 1811),(13.3561102553 1983),(13.7379160563 2150),(11.5760467797 2318),(13.8614686604 2486),(13.5782499094 2657),
Point1,H2,(0.309001348384 163),,(0.0817126978883 502),(8.881784197e-15 668),(-8.881784197e-15 828),,,,(10.6807113039 1460),,,,(-7.9936057773e-15 2189),,,,
Point1,H3,(0.357445874542 168),,(0.0821071058547 503),(10.8438546582 758),(1.96252381129 844),,,,(11.013485929 1470),,,,(8.19240581465 2235),,,,
Point1,H4,,,(5.3290705182e-15 512),(10.8376625747 762),(1.79076370069 851),(-0.00451809850571 1004),(-2.6645352591e-15 1169),,(-7.1054273576e-15 1501),(-3.5527136788e-15 1677),(-9.7699626167e-15 1840),(-1.24344978758e-14 2013),(7.88528181787 2247),(-4.4408920985e-15 2350),,,
Point1,H5,,,(11.012025932 591),(10.9451535447 773),(6.85005532856 878),(9.72088289595 1086),(8.97636282552 1240),,(10.9409653673 1608),(11.5199597407 1757),(8.48822035994 1908),(6.78973760042 2063),(9.28133801022 2270),(11.8239343187 2455),,,
Point1,H6,(-0.0164697987267 1),(-2.6645352591e-15 180),(-1.7763568394e-15 336),(5.3290705182e-15 512),(8.881784197e-15 668),(-8.881784197e-15 828),(-0.00451809850571 1004),(-2.6645352591e-15 1169),(-8.881784197e-16 1343),(-7.1054273576e-15 1501),(-3.5527136788e-15 1677),(-9.7699626167e-15 1840),(-1.24344978758e-14 2013),(-7.9936057773e-15 2189),(-4.4408920985e-15 2350),(-6.2172489379e-15 2524),(-0.00474569676296 2693),
Point2,H1,(7.78400840175 33),(8.55003080774 196),(8.93257994565 369),(8.41047522456 534),(7.49229471533 706),(9.81706272292 869),(8.07493001852 1041),(5.16896218838 1202),(6.93138174355 1372),(7.25480167395 1567),(5.12050597325 1714),(4.97340073629 1878),(6.11126319466 2051),(4.14015961608 2224),(5.41817488362 2415),(5.06700662758 2588),(4.19502279932 2727),(5.90599207578 2899),
Point2,H2,(1.83200057423 112),(6.57560452846 214),,,(6.47675486708 722),(8.45205811959 885),(3.63137940557 1095),(3.55722364664 1218),(1.51814237808 1457),,,,,,,(-1.33226762955e-15 2641),,
Point2,H3,(2.16058705061 126),(6.65778001011 221),,,(7.23446662122 738),(8.69451720174 895),(3.65184658742 1100),(4.93234043686 1239),(2.01710092557 1473),,,,,,,(0.653748525481 2656),,
Point2,H4,(1.07940727282 145),(1.27018829444 300),,,,(1.55096584963 975),(-3.99680288865e-15 1155),(-0.0376940417135 1308),(0.0 1510),,(3.10862446895e-15 1825),,,,(-0.0026872706361 2512),(0.0629804154692 2671),,
Point2,H5,(1.31551369411 155),(1.52390068959 313),,,,(1.66163128192 984),(0.193139508825 1167),(0.700055948154 1325),(6.81016256646 1542),,(0.549816681615 1840),,,,(4.86003924789 2566),(1.00891083028 2689),,
Point2,H6,(1.7763568394e-15 170),(-8.881784197e-16 333),(8.881784197e-16 507),(-4.4408920985e-16 666),(8.881784197e-16 841),(-0.00824294882344 1006),(-3.99680288865e-15 1155),(-0.0376940417135 1308),(0.0 1510),(2.22044604925e-15 1675),(3.10862446895e-15 1825),(-0.0018708155586 2024),(0.0 2165),(-0.00107351145637 2359),(-0.0026872706361 2512),(-1.33226762955e-15 2641),(2.6645352591e-15 2859),
