Cycle,0.758838735178
Average Width,5.8696765023
Width,,5.09717882786,8.2246861914,5.73087395168,24.1031268356,5.15820361206,4.76190532364,6.81137290437,6.54945764017,7.04297895729,4.01601762753,5.34706419165,4.56200384064,7.1247131928,4.62457331354,9.74555701941,6.34241900427,5.42596472359,5.98081478492,7.19396238484,7.44602592348,9.02198499286,6.91769352222,5.5046064587
Point0,H1,(7.68846191884 26),(5.17504498551 111),(11.1468005471 184),(8.66298537022 344),(9.46042857971 503),(6.45721206438 565),(10.9861983258 663),(8.40146801793 840),(8.70836638183 1009),(6.54072746644 1083),(7.53241383183 1165),(7.85050243483 1315),(13.1375096457 1475),(7.05856092437 1607),(14.5089584101 1775),(9.82464388617 1929),(9.83006410042 2092),(10.5357021225 2264),(10.3609602943 2440),(9.9694530164 2628),(11.2927391278 2815),(9.70692734614 3002),(8.95065581443 3165),(10.892922472 3336),(10.6579344814 3504),(8.29991033931 3669),
Point0,H2,,,(-0.0162638737104 226),(4.5381701234 383),,,,,,(2.40965739909 1106),(3.91568623057 1189),,(11.5257327247 1496),,,(3.25648282672 1974),(6.51263187818 2131),,(3.75310763214 2486),(6.61988155377 2661),,(7.70603675412 3027),,(7.07056554547 3378),,,
Point0,H3,,,(3.13417863652 245),(6.37036811755 400),,,,,,(3.76654497698 1119),(6.01897954566 1209),,(12.2822654947 1515),,,(4.38884490887 1996),(6.84017103308 2147),,(4.47894569748 2509),(6.76571111362 2670),,(8.19889277546 3041),,(7.3113281865 3390),,,
Point0,H4,,,(1.94575724094 263),(-0.00813267534679 431),,,,(-0.000400321503063 914),,,(1.63315005663 1235),,(12.2221148903 1523),(-0.0112007817123 1653),(8.14961464797 1815),(0.903459017605 2040),(1.27588217385 2183),(4.4408920985e-15 2388),(0.56861277146 2548),,(-0.0303166257573 2926),,(2.78366416964 3224),(0.963437875328 3428),,,
Point0,H5,,,(1.99144738943 269),(1.81692805644 454),,,,(2.68111812162 954),,,(3.05862609131 1250),,(12.2412724122 1529),(4.08398274147 1702),(8.21258784373 1822),(0.920942568312 2044),(2.07849307044 2197),(0.308039885185 2400),(1.63385047989 2570),,(0.570076033582 2942),,(2.7934445672 3229),(2.19319660312 3446),,,
Point0,H6,(-0.199977961421 2),(-0.0323717206637 65),(-0.00649607171034 156),(-0.0162638737104 226),(-0.137195712917 293),(-0.00813267534679 431),(-3.5527136788e-15 534),(-0.00659222899315 607),(-0.0169846059609 805),(-0.000400321503063 914),(-0.0102890390102 975),(8.43769498715e-15 1138),(-0.0045888505531 1272),(-0.639749025036 1410),(-0.134610511624 1583),(-0.0112007817123 1653),(-0.056880707204 1727),(2.6645352591e-15 1888),(-0.00504503562467 2059),(3.5527136788e-15 2233),(4.4408920985e-15 2388),(8.881784197e-16 2589),(-0.00779462647705 2771),(-0.0303166257573 2926),(-0.00970189677379 3131),(-0.0220907101121 3284),(7.1054273576e-15 3468),(7.54951656745e-15 3628),
Point1,H1,(11.6513365681 27),(3.5116707621 106),(15.3516410429 188),(8.75289762375 348),(13.7712549139 506),(12.144073734 668),(13.1715535395 841),(12.0219958711 1013),(9.65143885228 1171),(11.5076666387 1318),(15.5327264262 1474),(14.0653885425 1613),(13.9795613881 1765),(14.2854078607 1927),(13.3583829659 2093),(13.8334199367 2267),(13.0898697238 2441),(13.5707815166 2629),(13.8960145847 2816),(13.3675991468 2991),(11.0897738575 3162),(13.8129693397 3336),(12.9643941351 3502),(12.2655618678 3672),
Point1,H2,,,,(3.57451939638 385),(5.11522763262 542),(6.60193920691 711),,(5.46772478745 1058),,(3.38370440916 1366),,,(5.99627492872 1811),,(6.48375941982 2134),,(4.46765924768 2486),(5.74742539924 2679),,,,(8.24320749568 3381),,,
Point1,H3,,,,(5.04088975746 403),(7.26950059335 563),(7.09962573228 723),,(7.62975788001 1080),,(4.64577175779 1384),,,(6.58137058568 1825),,(6.81158999829 2146),,(4.98821930247 2500),(5.83657257947 2687),,,,(8.38141776452 3390),,,
Point1,H4,,,(6.23553303763 230),(2.6645352591e-15 436),(6.2172489379e-15 613),(1.82319784335 772),(2.21846691563 942),(3.51014743108 1109),,(1.15463194561e-14 1412),,(7.35318766136 1669),(3.48719673239 1855),(5.46318533996 1976),(2.02137594586 2188),(0.0836326938184 2389),(0.712493324176 2558),(-0.00558641872513 2756),(1.02602150534 2930),(8.67826002425 3029),(4.11373039756 3209),(2.9053822837 3439),(7.71095874388 3540),,
Point1,H5,,,(7.57608519626 244),(2.25489286685 464),(0.733677811138 627),(1.85212233328 777),(2.69569525629 956),(3.79953983841 1118),,(2.35831689896 1429),,(7.54368236268 1680),(3.78407922442 1866),(5.90080242525 1990),(2.16333106458 2198),(0.368984485119 2400),(1.73912108196 2575),(0.571752347106 2772),(1.45985876925 2943),(9.33736828162 3044),(4.46672171969 3221),(3.19154268308 3451),(8.41041124448 3553),,
Point1,H6,(-0.0615619110284 1),(-0.0158221471135 69),(-2.6645352591e-15 156),(-0.00333738850804 310),(2.6645352591e-15 436),(6.2172489379e-15 613),(-1.7763568394e-15 803),(7.9936057773e-15 979),(8.881784197e-16 1139),(5.3290705182e-15 1278),(1.15463194561e-14 1412),(1.7763568394e-15 1582),(-8.881784197e-16 1729),(6.2172489379e-15 1889),(1.50990331349e-14 2059),(-0.00142337233954 2235),(7.9936057773e-15 2410),(-0.00481331673493 2592),(-0.00558641872513 2756),(0.0 2958),(-2.22044604925e-15 3132),(-0.0257058080739 3295),(-0.00224073632215 3472),(-0.00607503565332 3631),
Point2,H1,(10.903450264 28),(14.6617648066 190),(8.7628915897 349),(12.9776652402 508),(12.1618919388 672),(13.6092053817 841),(11.9603810569 1014),(9.26468400661 1173),(9.82964724064 1320),(16.1159014938 1475),(13.4266245543 1614),(13.3702253921 1765),(13.9009293154 1926),(12.8183260684 2094),(13.7597902748 2268),(13.1096669967 2442),(13.9072189176 2629),(13.5540736271 2817),(13.2691553673 2993),(11.7421056214 3163),(13.1032473944 3336),(12.3473765752 3503),(12.6895900202 3672),
Point2,H2,(-0.00617941420955 69),(7.57921034633 233),(3.67831030459 387),(5.630432289 546),(6.90264633045 712),(5.63570957948 886),(5.78120499274 1059),(7.32346168714 1191),,,,(5.24888367601 1812),,(6.4534962272 2137),,(4.48232165246 2486),(5.60000417781 2678),,(8.92966395462 3031),(4.57592577294 3214),(7.1613443387 3381),(7.35384165649 3541),,
Point2,H3,(2.32983492966 113),(7.70958492174 241),(4.4782207302 403),(6.91052101202 563),(7.33649624024 723),(5.92306314108 898),(8.18213546206 1079),(8.20077967961 1204),,,,(6.06126801762 1826),,(6.55524277985 2145),,(4.83517109718 2499),(6.00534731552 2690),,(9.27406777 3045),(4.57916180351 3216),(7.66210447041 3393),(7.85201663181 3554),,
Point2,H4,(1.04200095067 138),,(-0.00192587184346 446),(0.615100712644 613),(2.83058880258 774),(1.42474405248 948),(3.12464915577 1115),(2.92013672229 1242),(3.87285440867 1366),,,(2.54738760257 1857),(5.52675547339 1979),(2.26992608967 2190),(-8.881784197e-15 2389),(1.22342207502 2555),(0.623121169989 2758),(1.06894618872 2930),,,(3.61834499996 3419),,,
Point2,H5,(1.04577179319 141),,(0.701753086937 464),(0.953317305972 624),(2.88090198607 780),(1.45065510428 954),(3.12526328108 1116),(2.97026189396 1250),(5.25684389538 1382),,,(2.62216864606 1864),(5.63812717817 1988),(2.47838984802 2202),(0.603044167407 2402),(2.1125768436 2575),(0.633761863634 2764),(1.39709235563 2942),,,(3.82138202434 3428),,,
Point2,H6,(-0.0392335962884 1),(-0.00617941420955 69),(-0.0148573468171 157),(2.6645352591e-15 318),(-0.11021477694 477),(-0.0101850391408 638),(-4.4408920985e-15 804),(7.1054273576e-15 976),(2.6645352591e-15 1140),(2.22044604925e-15 1284),(-0.0217948235915 1413),(1.7763568394e-15 1583),(7.1054273576e-15 1729),(-1.7763568394e-15 1889),(-4.4408920985e-15 2060),(-2.6645352591e-15 2236),(-8.881784197e-15 2389),(1.7763568394e-15 2593),(0.0 2780),(-3.5527136788e-15 2958),(-0.011422393485 3134),(-0.0140141760274 3295),(-8.881784197e-16 3472),(7.1054273576e-15 3633),
Point3,H1,(7.64267588605 29),(10.2199181854 191),(6.58581265848 349),(12.6115765171 510),(8.35211188381 674),(9.69506987478 842),(9.69624363882 1013),(8.81835090712 1080),(7.55517463189 1211),(6.46149230556 1347),(12.8971864858 1477),(8.50548624015 1615),(10.2048999689 1767),(9.38689226091 1926),(10.1897493491 2093),(11.6077019093 2267),(9.57319705348 2443),(10.3479521055 2632),(12.497789156 2821),(11.4443545034 2996),(10.4927795167 3165),(11.9653146972 3338),(9.69599567028 3506),(9.59243987675 3674),
Point3,H2,(1.81566991346 69),(6.503971561 231),(2.12585998181 426),(7.52587709381 546),(5.73522130154 717),,,(3.96794780943 1112),,(3.73299627507 1370),,,,(4.81046412208 1975),(5.4932716413 2136),,(2.30429723962 2487),,,(8.95131334745 3030),,,,
Point3,H3,(3.37255069954 86),(6.90286205457 242),(2.1947504143 434),(7.63316562222 555),(5.74259781465 722),,,(4.11084142243 1119),,(3.99726973462 1381),,,,(4.9784856323 1987),(5.87428745343 2148),,(2.93083349103 2504),,,(9.69371807422 3045),,,,
Point3,H4,(1.94630803413 105),(3.85306834719 266),(1.03892408153 457),(2.41330897025 603),,(0.450901914823 950),,(7.9936057773e-15 1142),(8.881784197e-15 1286),(0.0690121879565 1423),(1.24061229624 1559),,(1.29006439262 1862),(0.600189418277 2036),(2.67287193053 2189),,(1.10036405057 2560),(0.451599471421 2743),(0.806654911677 2931),,(2.82886275323 3236),(6.68519017825 3381),,
Point3,H5,(2.59010610593 119),(4.3110035351 278),(1.06621759518 463),(2.91160950192 621),,(1.07081226477 963),,(7.13748363844 1171),(6.15531214805 1321),(0.0710167136213 1426),(1.62775774493 1570),,(1.3111998351 1868),(0.626766791909 2043),(2.91418616976 2201),,(1.97700708452 2577),(1.19656039886 2763),(1.41239595359 2945),,(3.77307061833 3255),(7.4011545994 3395),,
Point3,H6,(1.81566991346 69),(-8.881784197e-16 157),(1.7763568394e-15 322),(-2.6645352591e-15 478),(2.22044604925e-15 643),(-8.881784197e-15 803),(4.4408920985e-15 978),(7.9936057773e-15 1142),(8.881784197e-15 1286),(-0.00452571881947 1434),(8.881784197e-15 1586),(-0.00141768757854 1726),(1.06581410364e-14 1889),(4.4408920985e-15 2060),(3.5527136788e-15 2238),(5.3290705182e-15 2414),(-3.5527136788e-15 2595),(-0.0104258202548 2782),(7.1054273576e-15 2961),(7.1054273576e-15 3136),(-0.00322810757816 3297),(-0.00129319381093 3473),(-8.881784197e-16 3634),
