Cycle,0.80201010101
Average Width,6.16869882859
Width,,0,6.55895079772,7.28015604851,7.68325895861,6.11365410392,6.09012950122,7.01005613702,6.15847308477,6.38171258675,6.08268403761,6.01007639619,6.08486195247,5.97368889078,5.69433389306,6.20966013891,5.95586630533,6.13143367467,6.18677303193,6.00618997115,6.38501593894,6.41300410808,5.74149011963,5.8876012627,6.27316994913,6.00816267661,5.91000027186,6.03534888382,6.08664282159,6.37161813144,5.79389115544,6.34924467309,6.42688296198,5.90879254154,6.13374953854,6.05029413281,5.86638723839,5.70789252679,5.96534015853,6.10117507484,5.71147206935,6.43901498632,6.27927125055,6.33251359974,6.31250531273,6.01697685376
Point0,H1,(14.8753058875 38),(12.3433056578 195),(15.0849285474 365),(15.7234068738 524),(13.4520372247 686),(15.7190940519 845),(18.1859588745 1005),(15.4757898505 1163),(16.9171613766 1322),(16.2020435832 1473),(15.4057674021 1638),(14.8067808091 1802),(14.9023001293 1957),(13.0519244035 2112),(15.5634270063 2277),(15.0136112363 2432),(15.8293081129 2597),(15.6002196876 2762),(15.2594633071 2925),(15.6829038571 3096),(14.5333855138 3261),(11.8337403867 3435),(12.9425588631 3599),(13.6579547286 3770),(11.6889814547 3943),(11.7550530274 4106),(13.7283541867 4266),(13.828775314 4429),(13.9276851004 4596),(11.8435763214 4762),(14.087789277 4923),(13.5048177784 5099),(12.3105578057 5267),(13.8358882717 5436),(14.7014866507 5600),(13.930848269 5771),(14.2972317494 5931),(15.8485822757 6090),(14.9748462636 6263),(14.2544095576 6424),(17.4488898287 6588),(16.1231482756 6758),(16.5500663402 6924),(16.1341341367 7088),(15.0981243634 7259),(17.7994697024 7420),
Point0,H2,(3.10325816481 76),(0.518980819293 235),(1.53608043655 435),(-3.5527136788e-15 594),,(5.25624301653 901),,,,(6.39896880806 1515),(7.10470948856 1675),,,(4.92945122397 2154),(8.06816707457 2318),,(7.27457513569 2636),,(6.39795042271 2968),(0.991735389199 3180),,,(4.50054761206 3645),,,,,(4.23781367152 4473),,(3.17480336155 4797),,(2.83820629969 5172),,,(5.50961197088 5644),,(6.62990275297 5968),(8.09213832116 6137),(6.87150877438 6299),(7.24374882892 6462),,(7.52283786995 6797),(6.49748601053 6969),(7.59802223183 7131),,,
Point0,H3,(3.56990019978 87),(0.86988116507 247),(2.16729612028 450),(1.53088030486 616),,(5.57703502355 913),,,,(6.61530588194 1524),(7.53651145723 1686),,,(5.73824736371 2169),(8.06885347269 2319),,(7.33809023959 2642),,(7.09440188549 2980),(1.22566593891 3191),,,(4.56466544911 3651),,,,,(4.31936218166 4480),,(3.28898067172 4804),,(2.95355145853 5182),,,(5.57688506126 5650),,(6.68803529255 5974),(8.27301180756 6145),(7.20512410173 6310),(7.24663507274 6465),,(7.54216897239 6801),(6.87829433769 6979),(7.693258901 7137),,,
Point0,H4,(1.76644262617 126),(0.237849336782 286),(4.4408920985e-15 468),(1.22370601135 627),(0.748830264778 763),,,(-0.00312445391768 1250),(0.529258964413 1413),(1.82271325158 1571),(2.7835588732 1735),(2.2219452913 1893),(1.66317653656 2050),(2.02394008701 2210),(2.44381722433 2371),(1.56888755614 2532),(2.28168142302 2691),(1.21987248742 2865),(1.58348172535 3026),(0.974995800441 3202),(0.995130754473 3358),,(-0.000451882266979 3702),(0.834549041595 3871),(-0.0049648619417 4036),(-0.00271770540861 4189),(0.997381969313 4370),(0.624702637021 4529),(0.953573001413 4690),(0.171425202299 4845),(1.15463194561e-14 5024),(0.834959799151 5203),(0.551148884111 5355),(0.630228120458 5536),(8.881784197e-15 5697),(0.452225578456 5859),(2.21855786212 6016),(1.38381851831 6194),(2.67609138358 6356),,,,(1.37408634473 7029),,(-0.006637707373 7364),,
Point0,H5,(2.88335023892 143),(0.243655566012 293),(1.64907382822 483),(1.89657466005 640),(1.06940136119 777),,,(1.69671067084 1271),(1.09403135074 1425),(2.56443707535 1584),(2.78383633207 1737),(2.63569709858 1904),(1.87631027064 2061),(2.31713468128 2221),(3.11901621536 2383),(1.83774162217 2543),(2.67352970666 2703),(2.04904748391 2880),(2.24436848879 3039),(1.36744339454 3215),(1.12283544553 3371),,(2.754433985 3731),(2.09335825401 3889),(0.0669085768094 4048),(1.09360311183 4213),(1.42140087993 4383),(1.56479435071 4545),(1.23506038761 4703),(0.676715924024 4864),(1.25191988913 5044),(2.38452367496 5218),(1.31088607883 5374),(1.38210446059 5552),(0.901888034396 5715),(1.24165831179 5874),(2.28699173051 6023),(2.17935140662 6208),(2.83820894584 6365),,,,(1.67115599928 7039),,(0.717100589636 7380),,
Point0,H6,(7.1054273576e-15 162),(-0.00724156598428 315),(4.4408920985e-15 468),(-3.5527136788e-15 594),(-1.06581410364e-14 656),(-0.0069573765773 810),(-1.95399252334e-14 963),(-7.1054273576e-15 1125),(-0.00312445391768 1250),(-1.33226762955e-14 1438),(-6.2172489379e-15 1601),(8.881784197e-16 1762),(-8.881784197e-15 1921),(8.881784197e-15 2079),(-4.4408920985e-15 2240),(-1.42108547152e-14 2401),(8.881784197e-16 2560),(-2.6645352591e-15 2723),(-0.00304842330094 2895),(-3.5527136788e-15 3057),(-1.24344978758e-14 3230),(-2.6645352591e-15 3402),(-4.4408920985e-15 3568),(-0.000451882266979 3702),(-1.06581410364e-14 3907),(-0.187559893768 4069),(-0.00271770540861 4189),(-1.7763568394e-15 4398),(8.881784197e-16 4560),(-8.881784197e-16 4720),(1.06581410364e-14 4890),(1.15463194561e-14 5024),(8.881784197e-15 5234),(8.881784197e-15 5394),(9.7699626167e-15 5567),(8.881784197e-15 5697),(-0.00827622244099 5890),(2.04281036531e-14 6057),(8.881784197e-16 6225),(0.0 6387),(-9.7699626167e-15 6551),(-2.6645352591e-15 6720),(-8.881784197e-16 6888),(-2.6645352591e-15 7055),(-0.000483616468824 7218),(-0.006637707373 7364),
Point1,H1,(13.6037537318 35),(17.4746391972 202),(17.4706517475 362),(16.8416149858 524),(19.666144921 683),(22.1967227351 842),(20.3184276969 1001),(21.0758040859 1161),(21.3714282253 1312),(22.0080553907 1474),(20.6563865488 1639),(20.8970576215 1791),(20.0550592399 1951),(20.935442861 2116),(20.2942069716 2270),(21.8776188822 2434),(21.1762647838 2600),(20.7518511635 2765),(21.6813749885 2934),(19.6808824408 3099),(17.3698288409 3274),(17.796777551 3439),(18.8302246438 3609),(17.6119825942 3780),(17.0201997137 3944),(18.2151074738 4104),(19.1182353945 4267),(20.1400521435 4433),(17.6549194955 4597),(19.5619857878 4762),(18.7690837107 4938),(17.7948184872 5103),(19.8477078846 5274),(19.6208295496 5438),(20.483794618 5609),(21.2547713822 5768),(22.9724670788 5930),(22.2932516901 6099),(19.9505489903 6262),(23.5109771974 6427),(22.3513774233 6595),(22.3076855904 6762),(21.7707504421 6925),(20.8246472965 7097),(23.2113188378 7258),
Point1,H2,(-3.50830475782e-14 75),(0.720806120935 278),,,,,,,(7.4800054769 1352),(8.12113953284 1515),,(7.91480091952 1834),(6.30727963004 1993),(8.78850325135 2154),(7.38511496963 2316),,,(6.58838862318 2807),,(4.22100726277 3148),(4.09075916485 3322),(4.40058645745 3481),,,,,,,,,,,,(6.83007548676 5483),,,(9.3730237319 5977),(8.87276553829 6139),(8.09222071683 6300),,(8.12329735675 6636),(7.98670699503 6807),(8.45946153343 6969),,,
Point1,H3,(0.960638062925 95),(0.922598396757 290),,,,,,,(8.28229549896 1363),(8.48544678596 1524),,(8.40715650242 1846),(7.19765934715 2006),(9.14610867065 2163),(7.46534449409 2322),,,(7.25128535083 2819),,(4.229757088 3151),(4.12419834605 3328),(4.74158850201 3491),,,,,,,,,,,,(6.89222783774 5488),,,(9.47304560595 5984),(9.09670308423 6148),(8.27395119396 6308),,(8.1891316247 6641),(8.13092412214 6816),(8.74557441729 6979),,,
Point1,H4,(0.368107753853 116),(1.15463194561e-14 308),,,(5.98957873948 735),,(5.3290705182e-15 1089),(0.411904613512 1249),(1.91124673414 1409),(2.63785762017 1569),(2.4587706086 1731),(2.70215004146 1891),(2.31466200228 2050),(2.38063429612 2212),(1.42429180515 2370),(2.42520621145 2530),(0.738977264842 2705),(1.02638492913 2864),(0.884421370776 3047),,(-6.2172489379e-14 3376),,(0.880810986622 3711),(0.603171328826 3864),(-3.10862446895e-14 4030),(0.264068603762 4208),(1.02196860525 4368),(1.37317343888 4529),,(-0.00288823525909 4861),(0.877223945047 5042),(1.05122310521 5198),(0.165733269179 5376),(0.724361551739 5533),(1.54381275754 5698),,(1.58911351743 6033),,,(2.00359591639 6533),(-0.00264509029607 6710),(1.31786928877 6866),(2.02844751826 7028),(-0.00745657875007 7206),,
Point1,H5,(1.19866587334 140),(0.655724314194 321),,,(6.8650939697 752),,(1.27273868632 1107),(1.71850748797 1264),(3.01407359328 1423),(2.8719595315 1579),(3.22599783968 1743),(2.95967063387 1900),(2.93496953268 2062),(2.5812604727 2220),(1.99630710022 2382),(2.63689397139 2540),(1.66718496029 2719),(1.90390869902 2879),(0.954540606282 3053),,(1.3643613361 3393),,(2.03925826106 3728),(1.05757992085 3879),(1.08855592065 4051),(0.496269691896 4222),(2.37196178108 4384),(1.93005135536 4542),,(1.58762772188 4882),(2.26307884454 5056),(1.64057139516 5214),(1.02658007845 5392),(1.06243794635 5547),(2.03839353927 5710),,(2.78212854751 6047),,,(2.22199505794 6542),(0.154834197479 6720),(1.88813284523 6879),(2.09863500033 7035),(0.429075728713 7219),,
Point1,H6,(-3.50830475782e-14 75),(1.15463194561e-14 308),(2.75335310107e-14 436),(1.33226762955e-14 494),(-0.00858256055786 601),(-0.00446514969613 799),(-0.0145249042855 961),(5.3290705182e-15 1089),(8.881784197e-15 1278),(3.01980662698e-14 1439),(8.881784197e-15 1600),(1.42108547152e-14 1759),(2.6645352591e-15 1918),(3.5527136788e-15 2079),(-8.881784197e-15 2238),(-2.30926389122e-14 2398),(-0.00668768022615 2561),(-1.59872115546e-14 2733),(-4.61852778244e-14 2895),(-2.57571741713e-14 3067),(-0.00170410591993 3237),(-6.2172489379e-14 3376),(-4.26325641456e-14 3540),(-3.64153152077e-14 3743),(-0.00489896354387 3902),(-3.10862446895e-14 4030),(-1.7763568394e-14 4233),(8.881784197e-16 4399),(1.7763568394e-15 4559),(-3.5527136788e-15 4708),(-0.00288823525909 4861),(6.2172489379e-15 5071),(1.7763568394e-15 5232),(6.2172489379e-15 5404),(-1.7763568394e-15 5566),(6.2172489379e-15 5728),(-1.24344978758e-14 5892),(-1.24344978758e-14 6063),(-2.30926389122e-14 6223),(-8.881784197e-15 6387),(5.3290705182e-15 6558),(-0.00264509029607 6710),(1.7763568394e-15 6893),(-8.881784197e-16 7056),(-0.00745657875007 7206),
Point2,H1,(12.3744764919 35),(16.2824101718 202),(15.9959641335 364),(15.5872218018 525),(18.8397272261 684),(22.3825987628 843),(20.56658405 1003),(22.3585431003 1161),(22.4178303623 1313),(23.1686689449 1476),(21.7509968278 1639),(21.6896158423 1792),(21.2850068739 1951),(22.7165997949 2116),(22.0474244583 2271),(23.3364834879 2434),(23.2835260699 2600),(22.8413525751 2764),(23.4040302672 2935),(20.6268873336 3101),(19.2762074328 3275),(19.5451374406 3439),(20.127872458 3610),(19.2535257743 3780),(17.9378708497 3944),(19.4119181561 4105),(20.5488320981 4268),(20.732946792 4434),(19.03418015 4597),(20.8538320116 4762),(20.1904003774 4938),(18.9083258047 5104),(20.8999601101 5275),(20.962479111 5439),(22.2720322736 5610),(22.6183924038 5770),(24.7048752178 5931),(23.0656862457 6100),(21.690690183 6262),(23.8140678232 6428),(23.3776667789 6595),(23.1721642677 6763),(22.4599550818 6926),(21.4093482331 7098),(24.3555405629 7259),
Point2,H2,(-8.881784197e-15 73),(0.659574742953 282),,(1.41744837132 568),,,,,(7.13460765816 1354),(7.40252929268 1518),(7.67437508725 1678),(7.52167326001 1834),(6.08504405544 1994),(8.42118377053 2158),,(8.23673656334 2479),,(6.44777618569 2808),(1.50625594323 3018),(4.26687163778 3148),(4.63894304092 3322),(4.41992090137 3482),,,,(0.0838648446067 4192),(1.10519713536 4347),(6.66309682321 4477),(4.00472543083 4634),,,,,(6.6189837133 5483),(7.05006842241 5648),(8.4363714556 5804),,(8.43933446753 6138),(7.84490140008 6301),,(8.42371929737 6635),(7.57879402835 6808),(7.89948711938 6970),,,
Point2,H3,(1.02556230807 89),(0.690242641095 289),,(1.93119553656 580),,,,,(7.67074765381 1364),(7.54777605116 1525),(7.73476964401 1683),(8.34426074232 1847),(6.99711276981 2006),(8.47202551664 2163),,(8.24291006812 2481),,(7.61968631747 2821),(1.60893060098 3026),(4.3009446432 3153),(4.6571895817 3327),(4.8120657046 3492),,,,(0.137079508561 4200),(1.42224908691 4358),(6.73433114674 4483),(4.58761741142 4644),,,,,(6.81792172378 5490),(7.13062306227 5654),(8.75947871405 5813),,(9.03502706388 6149),(8.03107416919 6309),,(8.607387151 6643),(7.89934998007 6818),(8.11127588865 6979),,,
Point2,H4,,(-1.7763568394e-15 307),,(-0.195000560979 601),(5.62451335262 728),,(1.24344978758e-14 1090),(0.78604821689 1251),(0.527823017065 1411),(2.02418825361 1570),(2.10057651212 1733),(2.13758568324 1892),(2.09634935321 2051),(1.81361337068 2212),(2.02790089353 2371),(2.08685200855 2531),(0.45974329848 2706),(0.961807922127 2866),(-8.881784197e-16 3045),,(-2.6645352591e-15 3378),(8.881784197e-15 3537),(0.214520899715 3714),(-0.00481385723939 3865),,(0.0768863680718 4208),(1.07215931605 4369),(0.93172298002 4529),(0.366033041424 4690),(-0.00333991705759 4861),(0.119791369012 5042),(0.629222491264 5198),(1.50990331349e-14 5378),(0.646652613448 5535),(1.83468854805 5697),,(1.51960917903 6035),(2.26451980478 6198),,(2.16441004364 6533),(-2.6645352591e-15 6712),(0.974954316972 6867),(2.13728097911 7025),,,
