Cycle,0.815945121951
Average Width,5.4297471755
Width,,7.22217169347,7.2508763828,8.07925750072,6.9331433893,6.3478109711,6.88431313669,6.45982784042,6.329476208,5.82292002677,6.77048692584,6.33870931888,5.59077750651,5.74757969452,5.43102639506,5.61455284973,6.2069394179,5.49058945789,5.79748737573,5.62891197984,5.30461834892,5.07190154972,4.81540835139,5.09319750247,5.20040922319,4.96115892461,5.00089406288,5.06293420348,4.85896579157,5.07106493228,4.97094696039,5.98782934258,5.31745967306,5.49680387005,5.29022274191,4.84970465813,4.74975671814,4.56170945737,4.68965972299,4.59514735067,4.67718075522,4.7303435531,4.64569276398
Point1,H5,,(1.62893370322 291),,,(2.36527330655 802),,(2.42259633837 1139),,,(1.42207654465 1633),(2.06364310943 1798),(1.95037016122 1946),(2.33277362963 2130),,(2.43777586574 2466),,(2.90963903988 2798),(3.3113032137 2952),(5.75513904989 3079),,,(1.79912706996 3636),(2.70506120839 3794),,(3.99396467258 4106),,(3.23104790443 4439),(2.49757464798 4640),,(2.09784227694 4972),,,(2.32122562031 5487),,(1.78131401313 5825),,(5.29397303685 6105),(1.76008410495 6332),(1.86101060884 6495),,,
Point1,H6,(-1.7763568394e-15 164),(0.0 321),(1.7763568394e-15 485),(9.7699626167e-15 654),(1.7763568394e-15 823),(-0.00109583661862 992),(-8.881784197e-16 1160),(-0.00160383570123 1332),(-3.5527136788e-15 1480),(1.7763568394e-15 1652),(4.4408920985e-15 1815),(-0.00158283933149 1979),(-5.3290705182e-15 2153),(-1.50990331349e-14 2323),(-1.59872115546e-14 2489),(2.6645352591e-15 2659),(1.7763568394e-15 2823),(-1.24344978758e-14 2997),(-2.22044604925e-15 3157),(6.2172489379e-15 3319),(-0.0079684301909 3490),(6.66133814775e-15 3653),(1.24344978758e-14 3815),(5.3290705182e-15 3983),(-3.5527136788e-15 4152),(4.4408920985e-15 4324),(4.4408920985e-15 4489),(-1.7763568394e-15 4663),(-6.2172489379e-15 4833),(-3.5527136788e-15 5006),(-0.00474497888364 5174),(5.3290705182e-15 5348),(3.10862446895e-15 5522),(5.3290705182e-15 5688),(2.6645352591e-15 5849),(-2.6645352591e-15 6023),(2.22044604925e-15 6188),(1.7763568394e-15 6356),(-2.6645352591e-15 6522),(-4.4408920985e-16 6691),(5.3290705182e-15 6854),
Point2,H1,(14.0478092877 32),(12.9394285561 192),(14.5437574067 351),(14.3623475279 515),(15.3655687403 687),(15.3208529966 855),(16.8719749624 1024),(15.8408475192 1197),(14.9213496093 1361),(15.9129632658 1518),(15.7981967122 1681),(13.1314045754 1846),(16.2137514524 2016),(14.2169780745 2190),(15.1988535514 2352),(15.5760960468 2526),(14.6871808212 2688),(16.3392286357 2861),(15.1179256076 3025),(13.9990705061 3187),(15.6062014471 3353),(15.3171741588 3520),(14.0689458783 3680),(15.1897568468 3845),(15.0835046317 4016),(15.0065233909 4188),(15.6220722615 4352),(15.1351780829 4527),(14.632212561 4700),(15.6444076979 4864),(17.2337110222 5039),(14.5911479746 5211),(15.6968473039 5379),(14.4110758504 5551),(12.6415267989 5722),(12.2440132141 5886),(11.4497346866 6055),(11.9889158459 6223),(13.1353461715 6385),(12.5635548494 6560),(12.1874153924 6721),(13.2036283386 6884),
Point2,H2,,,,,,(8.48096718062 893),,,,,(8.29109722822 1729),,,,(8.03180106156 2396),,,,(7.56537833688 3074),(7.1465759791 3228),,,,,,(8.09892816648 4220),(6.64088782309 4400),,(8.14043458093 4733),,(8.0366850588 5086),(8.85975916208 5246),,(5.82640545306 5599),,,,(2.47821633342 6311),,,,
Point2,H3,,,,,,(8.63055649128 901),,,,,(8.32910720114 1734),,,,(8.32396551069 2407),,,,(7.57205666188 3077),(7.42640311198 3239),,,,,,(8.79633924598 4234),(6.83020860866 4408),,(8.69434389658 4746),,(8.44739590519 5097),(9.11186840255 5257),,(6.3031962267 5610),,,,(2.47946495268 6313),,,,
Point2,H4,(2.64453604525 117),(1.95217989165 286),,(7.4262837718 561),(2.59447772272 796),,,,(2.90507516259 1451),,(2.33877270414 1787),(7.17911571615 1886),(2.4976602213 2124),,(3.73659018113 2457),,,,(2.46894066909 3133),(4.56895571772 3267),,(1.74623068417 3629),(2.3889454423 3789),,(3.45595918577 4124),(3.15841442791 4285),(2.00008437512 4461),,,(7.56577641925 4913),(3.13954930231 5146),,(8.86538491273 5424),(1.9090431987 5659),(2.18183734122 5815),(2.60224695058 5997),(6.52587131382 6095),(1.80119208892 6332),(5.8900527994 6430),,,
Point2,H5,(2.76134565372 126),(1.99142744581 292),,(7.43572953069 564),(2.92346148411 805),,,,(3.07777939063 1460),,(2.61150624053 1797),(7.38698226947 1895),(2.54142573346 2130),,(4.06785301084 2468),,,,(2.65250266028 3141),(4.59128888063 3272),,(1.85735736314 3637),(2.54734023644 3797),,(3.53085079025 4130),(3.15972499556 4287),(2.08263413076 4468),,,(7.5928162983 4917),(3.30581914648 5155),,(9.02048301454 5431),(2.11104021128 5669),(2.54368870817 5828),(2.73251210671 6005),(6.77490653159 6105),(1.88428620328 6340),(6.24257566941 6440),,,
Point2,H6,(-7.9936057773e-15 165),(-7.9936057773e-15 322),(-1.42108547152e-14 487),(-2.30926389122e-14 653),(-1.15463194561e-14 824),(-2.30359643245e-05 992),(-8.881784197e-16 1161),(1.15463194561e-14 1331),(1.86517468137e-14 1482),(1.59872115546e-14 1654),(7.1054273576e-15 1815),(-0.00256419011727 1981),(-5.3290705182e-15 2154),(9.7699626167e-15 2322),(7.1054273576e-15 2490),(7.1054273576e-15 2660),(1.7763568394e-15 2823),(-8.881784197e-16 2998),(1.24344978758e-14 3159),(-0.00250104992364 3319),(-2.6645352591e-15 3490),(-1.24344978758e-14 3653),(-3.5527136788e-15 3815),(3.5527136788e-15 3982),(-1.24344978758e-14 4153),(7.1054273576e-15 4322),(-2.6645352591e-15 4492),(-2.6645352591e-15 4664),(1.7763568394e-15 4836),(1.68753899743e-14 5007),(7.1054273576e-15 5176),(4.4408920985e-15 5350),(2.6645352591e-15 5522),(-9.52428440755e-05 5688),(-3.5527136788e-15 5851),(-3.5527136788e-15 6024),(-0.00405285019239 6187),(-0.00146411724129 6357),(-4.4408920985e-15 6525),(-7.1054273576e-15 6691),(-9.7699626167e-15 6853),
Point3,H1,(13.6557407736 32),(12.7056773536 193),(14.2695799091 353),(13.839807516 515),(14.1329129665 688),(14.507331604 855),(15.4185541306 1024),(14.4274984929 1198),(13.2183213923 1362),(14.4081136964 1520),(13.7729380883 1682),(10.8423632614 1846),(13.4699942065 2016),(11.2308361167 2191),(12.2228450852 2354),(13.5628704253 2526),(12.2152318227 2690),(13.7764837314 2861),(11.8387219548 3026),(10.5517873714 3189),(10.821713235 3355),(10.5876451067 3522),(10.2886618007 3681),(11.2765551304 3846),(10.6235364632 4018),(10.6499120499 4190),(11.2909881413 4354),(10.196901931 4528),(10.0261763424 4701),(10.9958936333 4866),(14.29562471 5040),(10.863890812 5214),(12.0764615909 5379),(10.7730388567 5553),(8.04912474685 5721),(7.62854971916 5889),(7.17039323125 6056),(7.42588056763 6225),(7.69831184313 6386),(7.55566856689 6561),(8.00811326513 6722),(7.94955836868 6884),
Point3,H2,,,,,,,,,,,,,,,(7.10320959198 2399),,(6.39927286087 2739),,,(5.33744693407 3229),,(5.41145968944 3566),(5.42083737348 3728),,,,(5.12593106159 4399),,,(6.24609313874 4913),(7.16549710697 5089),(6.78648342305 5245),,,(3.80470209707 5761),,,,(3.37490453928 6435),,,
Point3,H3,,,,,,,,,,,,,,,(7.19022936649 2407),,(6.41932742738 2744),,,(5.4496660471 3239),,(5.565507665 3576),(5.47866967393 3735),,,,(5.38733955033 4410),,,(6.3113751441 4920),(7.25243403863 5096),(7.13862155983 5258),,,(3.87040650704 5769),,,,(3.40878675199 6441),,,
Point3,H4,(3.14696061784 117),(2.0490138426 284),(2.23367894508 458),(7.29854332431 562),(2.12601647336 796),(7.93412621356 893),,,,,(2.33731126217 1790),(6.4443737058 1889),(1.98060664044 2127),(2.31740092068 2277),(2.9315878509 2460),,(2.68427189205 2795),,(6.48449331615 3075),(1.97761502845 3294),,(1.26703739514 3629),(2.3580402457 3785),,(2.21205761416 4128),(6.5027697367 4224),(2.24767774097 4460),(5.92312679456 4579),(5.85998185231 4736),(2.85332765943 4966),(2.73939326996 5146),,(7.31769646048 5424),(0.940935405798 5661),(1.95829883073 5818),(4.49232962365 5921),(4.41354062036 6095),(0.542202339538 6325),(1.06245201924 6490),,,
Point3,H5,(3.19622372606 123),(2.29436965911 296),(2.53387622592 470),(7.30391472187 565),(2.65234944142 807),(8.38296337317 905),,,,,(2.37305465727 1796),(6.55321228714 1896),(1.98723697871 2130),(2.38352479102 2284),(3.05669233197 2468),,(2.81487229995 2803),,(6.50032051252 3080),(2.02978634986 3301),,(1.6727202395 3640),(2.69623936641 3797),,(2.23871271608 4133),(6.67422936528 4237),(2.34599955797 4468),(5.93188941215 4583),(6.02258781983 4748),(3.08094318822 4978),(2.94218210484 5156),,(7.43594942348 5432),(1.43042712467 5673),(2.17858774865 5830),(4.73864288063 5939),(4.7392313942 6106),(1.09524597399 6343),(1.10865618509 6498),,,
Point3,H6,(-3.5527136788e-15 166),(-0.00200207193143 322),(-8.881784197e-16 487),(-0.000637751691472 655),(-1.24344978758e-14 825),(-7.1054273576e-15 993),(-4.4408920985e-15 1162),(7.1054273576e-15 1332),(-1.7763568394e-15 1482),(2.6645352591e-15 1655),(0.0 1816),(2.6645352591e-15 1983),(-1.7763568394e-15 2155),(-0.00745270131994 2323),(-8.881784197e-16 2491),(8.881784197e-16 2660),(8.881784197e-16 2825),(-1.06581410364e-14 2999),(-5.3290705182e-15 3159),(3.5527136788e-15 3321),(1.24344978758e-14 3493),(6.2172489379e-15 3655),(1.33226762955e-14 3817),(8.881784197e-16 3985),(3.5527136788e-15 4154),(8.881784197e-16 4322),(6.2172489379e-15 4493),(1.7763568394e-15 4664),(1.7763568394e-15 4836),(8.881784197e-15 5008),(1.95399252334e-14 5178),(2.22044604925e-14 5351),(1.06581410364e-14 5523),(6.2172489379e-15 5689),(9.32587340685e-15 5853),(3.5527136788e-15 6025),(-0.00127141496052 6191),(4.88498130835e-15 6359),(1.55431223448e-14 6526),(6.66133814775e-15 6691),(5.3290705182e-15 6856),
