Cycle,0.775142857143
Average Width,18.3051612089
Width,,6.25208536086,6.72928991252,6.96527447116,6.18443153968,6.4766486998,6.3595494559,6.48085199207,6.66275510598,6.39526923618,6.65168547797,6.70443951646,6.64463282826,6.18050430166,6.64783276306,7.05790155888,6.63794895181,6.72964626048,6.30767153275,6.24626708274,6.73900103783,5.90177069021,5.88288626768,6.12273439021,6.23777971884,6.35018344277,5.98947638588,6.33947671767,5.90767107056,6.36252958298
Point2,H1,(15.4255871287 29),(14.2459504101 203),(12.5627189276 367),(12.5302157169 536),(13.6858885575 703),(12.0448356612 870),(14.5450628505 1023),(13.3802923657 1187),(13.7953273232 1353),(13.1050107452 1504),(15.7671021705 1665),(15.2905754621 1836),(14.3201101325 2003),(13.8794698485 2174),(14.0169138285 2339),(14.9160386009 2494),(16.6136804971 2652),(15.3850232113 2797),(11.7299406416 2955),(16.2379503063 3102),(12.1312767385 3259),(11.6558531443 3419),(11.9362533143 3578),(13.2068557671 3739),(13.626193212 3900),(12.3140739702 4062),(13.1095104948 4220),(12.7812141154 4380),(14.4257042173 4543),
Point2,H2,(7.16367761305 77),,,,,,,(8.98008878959 1232),,,,,,,(7.32517318994 2377),,,(4.93705997255 2841),(3.44450952711 2999),(14.6462189042 3117),,(3.11065827539 3469),,,,,(10.9340188942 4235),,
Point2,H3,(7.22403022019 82),,,,,,,(8.98095327317 1233),,,,,,,(7.70110845296 2389),,,(6.26119722359 2859),(3.67468507345 3009),(14.7303945781 3122),,(3.24405857626 3478),,,,,(11.3767943515 4245),,
Point2,H4,(2.14739391299 133),(-0.000897596450363 300),(2.52517265906 473),(7.63582367674 571),,,,(1.77680656599 1287),(1.75071930609 1449),(2.05366854052 1607),(2.73986904839 1758),(3.35414010655 1941),(5.175645481 2094),(2.03774962729 2273),(1.70213671388 2443),,,(1.88437255778 2891),(-0.00877092163525 3043),,,(1.28886638281 3509),,(0.79102622933 3849),,(0.0920771372151 4173),(7.71349200567 4269),,
Point2,H5,(2.28846703864 142),(1.56416955532 323),(2.66047248072 481),(7.65227780094 577),,,,(2.45580881784 1299),(1.84795431548 1457),(2.36768902668 1617),(3.22295877143 1771),(4.18369398548 1954),(5.25384002988 2101),(2.9318999158 2290),(1.72461870752 2448),,,(2.07335400948 2900),(0.415992627577 3062),,,(1.98849291215 3523),,(0.980527242203 3858),,(0.186293973728 4180),(7.93481543587 4277),,
Point2,H6,(-0.00490382069286 171),(-0.000897596450363 300),(-1.7763568394e-14 501),(-4.4408920985e-15 674),(-3.5527136788e-15 836),(-7.1054273576e-15 993),(-1.06581410364e-14 1153),(-0.00361268508199 1317),(-1.7763568394e-15 1474),(-4.4408920985e-15 1634),(-1.15463194561e-14 1799),(-7.1054273576e-15 1973),(-6.2172489379e-15 2145),(-8.881784197e-15 2308),(-5.3290705182e-15 2465),(-8.881784197e-15 2614),(-0.00475114424984 2770),(-4.4408920985e-15 2918),(-0.00877092163525 3043),(-0.0104520695516 3225),(-4.4408920985e-15 3386),(-1.06581410364e-14 3542),(-1.24344978758e-14 3701),(-8.881784197e-15 3872),(-7.1054273576e-15 4034),(-3.5527136788e-15 4189),(-7.1054273576e-15 4352),(0.0 4513),
Point3,H1,(19.0899464178 28),(17.5792885298 202),(16.4497585212 365),(16.1554507087 533),(17.2670872434 699),(15.6881355449 868),(18.7326550327 1021),(18.3003580894 1182),(18.279962108 1349),(17.3364772556 1503),(21.6121414423 1662),(21.2659508448 1834),(19.1295382147 2001),(19.1943441928 2172),(17.9433268024 2337),(19.3059852867 2493),(19.2670901637 2650),(18.7135745622 2794),(16.0594300182 2953),(19.4679146892 3099),(16.9156513811 3257),(16.3567720925 3417),(16.1906140546 3575),(17.6060137918 3737),(17.9461591155 3899),(15.0123042927 4060),(16.7193949111 4219),(15.7066147696 4378),(17.0950260264 4541),
Point3,H2,,,,,,,,,,,,(10.0077844671 1884),,,(9.69514501477 2376),,,,,(17.0250416626 3115),,,,,(7.92979144493 3946),(6.69875478892 4103),,,
Point3,H3,,,,,,,,,,,,(10.0838110211 1891),,,(9.80594294562 2384),,,,,(17.1046970246 3120),,,,,(8.00735065754 3953),(7.19367750654 4114),,,
Point3,H4,(3.57556877548 122),(1.25674060247 293),,(2.55187882562 649),,,(2.37937014089 1126),,(2.04387425871 1447),(2.38803986183 1608),(3.62951011296 1767),(4.35213283094 1941),,(2.49629300396 2276),(2.39775196374 2439),,,,(1.48586725248 3033),,(7.12131887363 3307),(1.95401633265 3510),(3.1011557715 3670),,(0.687573192556 4004),(0.313353074875 4168),,,
Point3,H5,(3.87584382988 133),(2.44724604033 320),,(2.58338160337 654),,,(3.13058788285 1137),,(2.15798589858 1455),(2.48539032241 1615),(3.64789735161 1771),(4.67854372757 1950),,(3.81897059929 2289),(2.70897830134 2448),,,,(1.50594225311 3039),,(7.24933367663 3314),(2.26113238819 3520),(3.1668131195 3676),,(1.71698367263 4018),(0.737934771919 4178),,,
Point3,H6,(-0.0210793662713 172),(6.2172489379e-15 336),(-0.00359492698559 497),(-9.7699626167e-15 672),(-1.06581410364e-14 835),(7.1054273576e-15 992),(1.06581410364e-14 1153),(3.5527136788e-15 1314),(-8.881784197e-16 1472),(-1.7763568394e-15 1631),(0.0 1796),(1.06581410364e-14 1970),(1.7763568394e-15 2143),(-8.881784197e-15 2306),(-1.06581410364e-14 2464),(-1.06581410364e-14 2611),(-0.00978538080201 2768),(6.2172489379e-15 2916),(-1.7763568394e-15 3068),(-1.24344978758e-14 3221),(-2.48689957516e-14 3382),(-2.48689957516e-14 3538),(-0.00252141547448 3699),(-7.9936057773e-15 3869),(-9.7699626167e-15 4032),(-0.00167373345448 4189),(-9.7699626167e-15 4349),(-7.1054273576e-15 4511),
Point4,H1,(9.53385522766 28),(8.9967323562 201),(9.7419900751 367),(7.3147399269 532),(8.80798902924 698),(7.49592657635 869),(9.92098527515 1023),(9.47367325345 1202),(9.27854177563 1347),(9.43394757986 1505),(12.1344348125 1660),(10.9777158359 1834),(9.79708359764 2002),(10.3951165494 2170),(10.4987772639 2338),(10.5248429796 2492),(11.0472474231 2652),(9.74860743668 2793),(7.56905730899 2953),(10.611217829 3122),(7.53948717438 3258),(6.73356399626 3416),(7.59781358742 3578),(8.4879145577 3738),(8.96033564899 3898),(6.894409899 4060),(7.96905127201 4244),(6.87229455277 4379),(7.8821799675 4542),
Point4,H2,,,,,(7.72739521939 711),(5.96886959747 898),(1.38733693281 1126),(7.38351533824 1228),,,,(6.43850026318 1884),,(8.60771828282 2188),(6.25352394635 2379),,,(4.34349092581 2837),(0.124912573392 3028),,,,(6.04560092756 3607),,(4.28585467677 3939),(3.63267594188 4101),(6.01371548623 4263),,
Point4,H3,,,,,(8.49398876764 724),(6.1226692053 911),(1.75837981226 1137),(7.38680314868 1231),,,,(6.45165100508 1888),,(8.62474498582 2193),(6.25960194005 2383),,,(5.08907864758 2853),(0.721671110805 3045),,,,(6.06637705003 3614),,(4.88561142046 3954),(4.00270162693 4114),(6.46078458405 4275),,
Point4,H4,(1.1502446101 117),(3.5527136788e-15 287),(2.67362442973 468),(4.61159251781 595),(6.91912394636 743),,(4.4408920985e-15 1153),(2.42576803304 1284),,,(3.03419904461 1766),(2.62561980583 1943),(5.94676036574 2065),(1.43650063716 2274),(1.63767466917 2438),,,,(-0.00411101849681 3064),,,(0.56434409392 3507),(2.15125802965 3669),(1.17827940574 3829),(-0.00157756709088 4000),(0.0 4188),(4.88498130835e-15 4331),,
Point4,H5,(2.35161840723 135),(2.64568130949 322),(2.69996743406 474),(4.98233595077 610),(7.32654661547 754),,(8.81961667376 1185),(2.60825620526 1294),,,(3.0361656578 1768),(2.665039394 1948),(6.11981449448 2076),(2.62211076779 2289),(1.74373543087 2446),,,,(10.5204667043 3100),,,(1.05964261556 3522),(2.20085457497 3675),(1.53551494506 3844),(0.716498078478 4018),(7.81090720197 4218),(0.196018230748 4340),,
Point4,H6,(-0.030095205497 169),(3.5527136788e-15 287),(2.6645352591e-15 499),(4.4408920985e-15 671),(8.881784197e-15 835),(-0.00144980960752 990),(4.4408920985e-15 1153),(-9.7699626167e-15 1314),(-1.06581410364e-14 1469),(-1.42108547152e-14 1631),(-7.9936057773e-15 1797),(-8.881784197e-16 1969),(7.1054273576e-15 2143),(2.6645352591e-15 2306),(-0.00237593035727 2463),(5.3290705182e-15 2609),(5.3290705182e-15 2768),(-1.33226762955e-15 2915),(-0.00411101849681 3064),(6.2172489379e-15 3221),(-0.00260837975421 3382),(6.66133814775e-15 3539),(3.5527136788e-15 3700),(2.22044604925e-15 3867),(-0.00157756709088 4000),(0.0 4188),(4.88498130835e-15 4331),(-0.00457621188009 4509),
