Cycle,0.892385
Average Width,5.64032660424
Width,,5.23768922013,5.48638520341,4.99502112933,5.16738649261,5.62049592374,5.28090012609,5.58207366664,5.4716728974,5.2791716864,5.61294450981,5.69285623488,5.47676183402,5.99122686845,5.84499620313,5.64275625318,5.69020602199,5.74560633275,5.74976181665,5.75446500005,6.04366392824,6.16621315004,5.72842530851,5.91981266624,6.2903149579,6.12847190222
Point2,H1,(24.1437763145 145),(18.3791828859 335),(22.8730026353 520),(25.6471957998 712),(24.2173744388 899),(27.8716634532 1089),(29.9769359588 1273),(33.9555458408 1464),(40.8887670994 1652),(41.37358761 1844),(35.0721683388 2035),(35.7334280333 2227),(33.0112690055 2418),(31.5041695518 2608),(33.4506675358 2792),(31.7749236195 2982),(31.9050954544 3171),(30.4553005318 3364),(38.4899628752 3542),(34.3382097394 3731),(27.8767692035 3920),(36.7271834806 4098),(39.7410975651 4278),(33.6799240775 4467),(33.32497387 4654),
Point2,H2,(-0.0679791064447 195),,,(-0.022990586381 794),,(-0.0137851677816 1158),,,,,,(4.21661321312 2275),(-0.00198704043851 2508),(3.22759127791 2684),(1.64648789721 2896),(3.17657129645 3092),(-0.00874250524951 3253),,,,,(3.91820278101 4187),,(3.3636104892 4564),,
Point2,H3,(0.960324176308 228),,,(0.509437302902 813),,(3.01271459359 1194),,,,,,(4.73640312136 2284),(0.892590025087 2526),(4.64374367942 2716),(2.44633735129 2910),(3.70954394803 3106),(2.04950436802 3291),,,,,(5.36076015252 4206),,(3.56886725018 4573),,
Point2,H4,(0.68782655743 242),,,(0.505301386048 816),,(1.87115020161 1211),,,,,,(-0.0133461438053 2310),(0.466298406183 2537),(2.74407349865 2732),(1.21397155629 2924),(3.10604816672 3119),(-0.298047253757 3310),,,(1.68753899743e-14 3818),(2.34619746986 3986),(3.1378289209 4222),(1.4500258069 4413),(3.20072547311 4585),,
Point2,H5,(2.49102642916 281),,,(3.07233157311 857),,(4.02887288689 1227),,,,,,(1.65848201936 2354),(3.65572107304 2556),(5.05835562531 2747),(4.07498256331 2939),(3.31213588632 3127),(1.42633839125 3324),,,(3.32226921949 3866),(3.39291260695 4005),(4.17730943291 4234),(2.72230805403 4426),(4.45123451725 4600),,
Point2,H6,(3.39642064744 117),(-0.0679791064447 195),(4.4408920985e-15 300),(-0.0471623689806 381),(-7.1054273576e-15 491),(-9.7699626167e-15 594),(-2.6645352591e-15 682),(-0.022990586381 794),(-0.496533884361 1013),(-0.0137851677816 1158),(0.0 1242),(6.2172489379e-15 1351),(-1.7763568394e-15 1434),(-0.00398906961253 1568),(-2.30926389122e-14 1623),(-3.90798504668e-14 1814),(-4.08562073062e-14 1951),(-1.7763568394e-15 2006),(-0.0014713491823 2201),(-0.0133461438053 2310),(-1.86517468137e-14 2378),(-0.00198704043851 2508),(-0.00451058044577 2571),(-1.24344978758e-14 2762),(-1.7763568394e-14 2954),(-5.3290705182e-15 3143),(-0.00874250524951 3253),(-0.298047253757 3310),(-7.1054273576e-15 3514),(1.42108547152e-14 3702),(1.68753899743e-14 3818),(1.07548739106 3884),(-0.010497979681 4031),(7.1054273576e-15 4249),(7.1054273576e-15 4439),(1.24344978758e-14 4618),
Point3,H1,(16.8659933487 146),(13.2435472997 336),(14.8165986522 522),(17.5944573354 714),(16.2331810396 901),(18.0003363792 1091),(18.9690931005 1275),(19.0244193376 1466),(22.26283821 1653),(23.1254963971 1845),(18.7093722167 2036),(19.502501025 2229),(15.1157010894 2418),(15.0684510472 2610),(17.2825530759 2798),(16.5012583238 2985),(15.7709393649 3172),(15.6142512937 3366),(18.187745158 3544),(16.454186234 3733),(13.8519755015 3923),(17.1166505856 4100),(18.6137299366 4281),(15.6661169149 4469),(13.7831311183 4657),
Point3,H2,(-0.0311624140867 195),,,,(0.539206301461 947),(-0.0162439800948 1156),,,,,,,(-0.0354225054015 2512),,(1.03390894723 2895),,,,(3.79941790461 3648),,,(1.69010744419 4178),,,,
Point3,H3,(1.12467734211 228),,,,(1.16099421203 962),(2.69920807059 1188),,,,,,,(0.199250495591 2525),,(1.81940027708 2910),,,,(4.17516925547 3661),,,(3.72428489299 4206),,,,
Point3,H4,(0.936358195535 241),,,(-0.0186713499582 796),(-0.121441832977 1012),(1.16801576793 1212),,,,,,,(-0.00676659377279 2536),,(0.595738197148 2925),,,,(1.98011899482 3685),(-0.00599663275533 3818),(1.37720554369 3980),(1.64395506269 4225),(1.90511588712 4413),(3.08095346045 4590),,
Point3,H5,(2.68281325877 280),,,(3.27175834438 858),(1.44345602319 1036),(2.90760709946 1228),,,,,,,(2.54748455869 2558),,(2.76634128055 2941),,,,(1.99589197162 3689),(2.37097653513 3867),(2.72301369194 4001),(2.02777781671 4235),(2.57691426005 4426),(3.08962328408 4594),,
Point3,H6,(1.64556327383 120),(-0.0311624140867 195),(-0.00702618565555 301),(-0.0163234318835 382),(-1.33226762955e-14 493),(-0.00032307725205 593),(-7.9936057773e-15 683),(-0.0186713499582 796),(0.660408424697 874),(-0.121441832977 1012),(-0.0162439800948 1156),(-0.0090379408562 1244),(-0.0046542136738 1355),(-1.24344978758e-14 1436),(-4.4408920985e-15 1566),(-0.0456047820453 1754),(-0.0094110563639 1816),(7.1054273576e-15 1951),(-4.4408920985e-15 2009),(-9.7699626167e-15 2203),(-0.00800087187154 2307),(-0.00141123241264 2370),(-0.0354225054015 2512),(2.39808173319e-14 2764),(-4.4408920985e-15 2956),(-0.0280706070029 3146),(-0.0294857981458 3226),(-0.20669972687 3310),(3.5527136788e-15 3516),(1.95399252334e-14 3705),(-0.00599663275533 3818),(0.851039076773 3889),(-0.0373160186022 4031),(7.1054273576e-15 4250),(7.1054273576e-15 4442),(1.7763568394e-15 4620),(-0.00711026117432 4733),
Point4,H1,(9.79050047058 148),(8.72611261868 339),(4.02646879494 451),(8.7723716118 530),(11.7776047888 717),(10.9009832724 901),(11.2266370791 1093),(11.8820271354 1284),(9.32987495647 1476),(14.0073723171 1656),(11.2624376135 1848),(9.61105420308 2038),(10.2429796377 2232),(6.27273890116 2419),(8.15863587477 2614),(10.0307360934 2803),(9.18549802159 2992),(8.03702972206 3174),(9.28939384812 3373),(10.0916579821 3566),(8.24285452174 3736),(7.35306401063 3926),(7.95911254789 4103),(8.97049396199 4285),(8.67474065393 4473),(6.56806726821 4658),
Point4,H2,,,(3.28093027834 465),,,(0.815984365223 951),(8.881784197e-16 1153),(0.914042698837 1323),,,,,,,(1.95640292123 2692),(0.326942687989 2898),(4.8611507273 3044),(-0.0374887797549 3224),,,(-0.00841687853519 3820),,(1.05039764449 4177),(4.84448312522 4320),,,
Point4,H3,,,(3.61828705722 475),,,(1.98663293548 974),(1.59638608767 1180),(1.15540305035 1334),,,,,,,(2.04302623792 2706),(0.832744601175 2912),(5.24438286814 3057),(2.14168895145 3287),,,(0.994309965568 3842),,(2.80019300922 4204),(5.0628091021 4337),,,
Point4,H4,(-0.0182530387412 197),(-0.00461882979965 384),,,(-1.33226762955e-15 797),(1.33226762955e-15 1001),(0.342351745608 1209),(-5.3290705182e-15 1360),,,,,,,(0.948023723076 2735),(0.166872513649 2925),(3.71049454396 3099),(0.613672441166 3311),,(3.85397305962 3643),(0.743631864261 3854),,(1.00271565815 4227),(1.71417263964 4413),(4.87385583857 4516),,
Point4,H5,(1.66870686551 280),(2.43274539837 415),,,(4.04551335419 861),(2.42816976722 1038),(1.61832275322 1229),(2.89974163751 1419),,,,,,,(1.43815968921 2749),(2.26652545632 2943),(4.41494061449 3119),(1.79093719553 3326),,(4.37344376873 3664),(1.69419122881 3874),,(1.17755086888 4236),(3.11517439106 4429),(5.33805506032 4531),,
Point4,H6,(-0.0298492215884 124),(-0.0182530387412 197),(-0.00828501490027 303),(-0.00461882979965 384),(9.7699626167e-15 496),(0.799162163355 596),(-8.881784197e-16 686),(-1.33226762955e-15 797),(1.33226762955e-15 1001),(1.33226762955e-15 1060),(8.881784197e-16 1153),(2.22044604925e-15 1246),(-5.3290705182e-15 1360),(-3.10862446895e-15 1439),(-0.00177533325297 1565),(-0.0164329470707 1821),(-0.00465207827748 1948),(-2.22044604925e-15 2013),(-0.0146940970345 2128),(-4.4408920985e-15 2206),(-0.0265203411548 2306),(-0.145390882821 2370),(-3.77475828373e-15 2499),(-1.7763568394e-15 2766),(-7.1054273576e-15 2959),(-0.0240938265879 3149),(-0.0374887797549 3224),(1.33226762955e-15 3342),(-2.6645352591e-15 3518),(1.7763568394e-15 3707),(-0.00841687853519 3820),(5.55111512313e-15 3897),(0.0532231159654 3970),(-0.00290201905381 4044),(-8.881784197e-16 4252),(-8.881784197e-16 4447),(-0.0114013647591 4623),(-0.0151203305295 4735),
