Cycle,0.80565
Average Width,4.49551642833
Width,,4.88698099365,4.60826268443,4.51509647265,5.11065854248,4.20378916502,4.93693145857,4.57717981395,4.39940330829,4.39381133281,4.48735271717,4.25119615518,4.50601827436,4.45089421329,4.85685257751,4.4147317012,4.29647909485,4.55356725429,4.73835350247,4.37261343884,4.97922648354,4.17554082185,4.44355297204,4.5337432146,4.35458291026,4.42461924532,4.10557169883
Point2,H2,,(3.36623957061 283),,(7.55095689063 587),,,(2.73603843779 1129),(11.1980740768 1223),,,,(7.23748548361 1943),,,(6.54483034544 2441),(6.71221799123 2598),(6.768625336 2761),,(7.57058908897 3096),(12.7897027734 3240),(9.34836854851 3449),,(8.89107781837 3804),,(9.13321272671 4119),,
Point2,H3,,(3.41607655637 292),,(7.61620124813 595),,,(3.19034554675 1140),(11.2568587126 1230),,,,(7.49703285869 1953),,,(6.74451166523 2451),(6.76103836402 2605),(6.99347737816 2770),,(7.69185608804 3104),(12.9048362038 3247),(9.47616767439 3456),,(8.90481146637 3809),,(9.26750888028 4128),,
Point2,H4,,(3.15921701931 307),,,(4.82959393633 795),,(1.34868742976 1162),,,(2.35549164282 1669),(2.53982605065 1847),(2.56750993503 2007),(2.24879018179 2166),,(0.842003291024 2506),,,(6.27355917324 2937),(3.94632186143 3144),(8.88137951617 3272),,(3.96858572124 3679),,,,,
Point2,H5,,(3.18115929875 312),,,(4.85997695548 801),,(1.3711581682 1166),,,(2.38151048571 1674),(2.56694280052 1852),(2.66905565901 2014),(2.26561736032 2171),,(0.873715882057 2511),,,(6.54490424256 2948),(4.01716645371 3152),(9.2563805224 3282),,(4.14804758863 3689),,,,,
Point2,H6,(-0.0288568251612 1),(-0.00252500114781 168),(-8.881784197e-16 338),(-4.4408920985e-15 512),(0.0 675),(1.33226762955e-14 849),(6.2172489379e-15 1013),(7.9936057773e-15 1183),(-1.7763568394e-15 1352),(5.3290705182e-15 1528),(2.6645352591e-15 1700),(6.2172489379e-15 1873),(7.1054273576e-15 2036),(-3.5527136788e-15 2193),(-2.6645352591e-15 2355),(0.0 2525),(-3.5527136788e-15 2684),(-1.06581410364e-14 2852),(-5.3290705182e-15 3024),(-0.00182752933392 3198),(2.6645352591e-15 3376),(-2.6645352591e-15 3551),(8.881784197e-16 3724),(-3.5527136788e-15 3888),(-8.881784197e-16 4047),(-0.00710323257084 4195),
Point3,H1,(5.92866452226 92),(4.25118532056 262),(6.32958924266 431),(6.76314036946 577),(4.21613912727 764),(7.27587378169 938),(3.7938671961 1092),(4.35764468044 1272),(5.50044782568 1439),(6.18086105309 1620),(4.6588285964 1786),(5.10886595933 1963),(5.47005234191 2130),(6.48803062716 2286),(5.44340627391 2452),(4.72696564801 2614),(5.5160900445 2779),(6.48435801893 2944),(4.83668319809 3118),(7.88388655578 3286),(4.69273260365 3468),(5.76760397547 3614),(7.33961894057 3790),(5.83167789999 3982),(6.13732047512 4139),(4.49439540126 4288),
Point3,H2,,,(2.22044604925e-15 465),,,(-2.22044604925e-16 979),(6.66133814775e-15 1144),,,(-4.4408920985e-16 1653),,,(-5.3290705182e-15 2162),,,,,,(-0.0052282043668 3151),(-0.000144278646759 3338),(3.10862446895e-15 3504),(4.64459790405 3636),(7.08900857162 3806),,(-2.6645352591e-15 4168),,
Point3,H3,,,(2.64482530337 492),,,(0.823605911566 1000),(2.57609106855 1215),,,(1.39238465194 1676),,,(3.27241391765 2193),,,,,,(3.11745600723 3184),(1.57996970401 3360),(2.15260938123 3537),(4.64526718452 3638),(7.12416106412 3812),,(2.80644511406 4208),,
Point3,H4,(1.33226762955e-15 137),,(2.61845118179 498),,(-3.10862446895e-15 802),(0.475319171498 1017),(1.93462897948 1230),,,,(-0.0076724826124 1835),(-0.0104546019324 2003),(3.07217228008 2210),(-6.66133814775e-15 2324),(-4.4408920985e-15 2490),,,(-1.33226762955e-15 2983),,(0.94603734859 3374),(2.10203653033 3544),,,(-2.6645352591e-15 4016),(2.57035177467 4224),,
Point3,H5,(1.91896778739 166),,(6.0370943411 545),,(7.22667789054 910),(2.08912576415 1053),(4.24514572961 1257),,,,(4.27445681384 1933),(4.40347256734 2096),(4.82403107128 2241),(2.50476563858 2360),(4.59627753352 2599),,,(1.20408229188 3026),,(4.38769868153 3441),(4.32035664344 3575),,,(2.23709584582 4064),(3.80317217128 4258),,
Point3,H6,(1.33226762955e-15 137),(-0.00110803054802 304),(2.22044604925e-15 465),(0.0 632),(-3.10862446895e-15 802),(-2.22044604925e-16 979),(6.66133814775e-15 1144),(-0.00113544595576 1325),(-0.0243732689504 1483),(-4.4408920985e-16 1653),(-0.0076724826124 1835),(-0.0104546019324 2003),(-5.3290705182e-15 2162),(-6.66133814775e-15 2324),(-4.4408920985e-15 2490),(-0.00395376413421 2649),(-0.00337856197384 2806),(-1.33226762955e-15 2983),(-0.0052282043668 3151),(-0.000144278646759 3338),(3.10862446895e-15 3504),(-0.00170285804268 3672),(-0.00871290572518 3870),(-2.6645352591e-15 4016),(-2.6645352591e-15 4168),(-0.00719079405291 4328),
