Cycle,0.763270329301
Average Width,8.01560675504
Width,,7.77896503683,6.36304254733,8.59746318167,8.24794914827,8.34807248994,8.09801293808,8.40445794516,8.45421329332,8.09352652054,8.57549576157,8.70012169712,7.99328960226,8.52704105772,7.55262125174,9.19506209087,7.44836774336,7.84171177265,7.61229114656,8.7288828151,7.67872988444,8.16612414542,8.31763524839,8.309579373,8.09072994624,8.22469936925,8.91808966737,7.89675733353,7.36754995625,7.85162115254,7.70562475227,7.969555228,7.15099504771
Point0,H1,(2.83339780674 85),(1.36532535407 160),(7.07538931922 246),(7.41017158647 414),(7.13670321072 583),(7.72902317569 739),(8.29583889729 894),(7.85918496958 1062),(7.82950574174 1246),(8.80963564396 1411),(9.89759090179 1573),(8.41638774208 1738),(8.68801566548 1905),(6.55869459459 2069),(10.1903798188 2247),(6.10292610885 2389),(7.89648980572 2555),(7.77270045647 2713),(10.0306415992 2865),(8.3275818422 3004),(10.8907085819 3156),(11.0296289565 3321),(9.98989419151 3491),(10.1134298573 3649),(10.5285964756 3810),(9.79905631786 3976),(8.01621026141 4131),(7.52386242893 4263),(9.24173892767 4406),(8.49377009616 4536),(9.37214892393 4693),(7.21512775775 4835),(9.83019989219 5003),
Point0,H2,,,(1.64820638952 298),,,(1.26775754216 784),(4.05837389792 928),(3.18035431001 1107),(1.89367381549 1321),(3.05551724285 1443),,,,(2.47563800505 2111),(4.19350238493 2283),,,,,,(6.05104317525 3206),(7.23312038328 3367),(4.04078427028 3540),,,(4.568626526 4016),,,,(5.13805255872 4569),(3.9783698026 4727),(4.55258085648 4870),,
Point0,H3,,,(1.89723371888 313),,,(1.8286543878 800),(4.30701501211 942),(3.30814052464 1117),(1.94671475349 1331),(4.0725960615 1459),,,,(3.06916188373 2126),(4.37915798454 2294),,,,,,(6.06128558772 3210),(7.30369643271 3375),(4.26499996746 3549),,,(5.03427356731 4028),,,,(5.64892158799 4586),(4.04856894408 4734),(4.57942588098 4879),,
Point0,H4,,,(0.355371334199 339),(1.25895158126 515),(0.693689157216 651),(0.444987243043 828),(1.42321687745 985),(1.08850187326 1170),(1.93343769568 1337),(8.881784197e-16 1493),(3.12451777324 1636),,(0.333627544639 2014),,,,(1.31311817096 2637),(0.215896711541 2790),(2.072879524 2947),,,,,,(4.9623296523 3857),(1.34201791106 4059),,,,,(2.68507323021 4759),,,
Point0,H5,,,(0.904106132711 356),(1.33960970806 524),(0.9446429862 676),(0.939229604565 844),(2.43117222744 1005),(1.1478062892 1179),(2.27876438317 1353),(2.77134817853 1535),(3.664447201 1653),,(0.907967812685 2029),,,,(1.35974022266 2645),(1.27738261631 2811),(2.18199676715 2954),,,,,,(5.40821751825 3871),(1.53048873248 4070),,,,,(2.69814024569 4764),,,
Point0,H6,(-2.133019476 42),(-0.00318889477632 122),(-0.0252930886399 189),(-2.6645352591e-15 376),(2.22044604925e-15 546),(3.10862446895e-15 700),(-7.1054273576e-15 860),(1.7763568394e-15 1029),(3.5527136788e-15 1203),(4.4408920985e-16 1375),(8.881784197e-16 1493),(4.4408920985e-15 1705),(-6.2172489379e-15 1867),(4.88498130835e-15 2043),(-0.00541049681755 2169),(2.6645352591e-15 2359),(8.881784197e-16 2523),(-5.3290705182e-15 2679),(-1.7763568394e-15 2829),(7.1054273576e-15 2973),(-3.5527136788e-15 3104),(-0.00619658240548 3284),(-5.3290705182e-15 3458),(-5.77315972805e-15 3606),(3.5527136788e-15 3764),(-0.000901425373559 3928),(2.6645352591e-15 4092),(-8.881784197e-16 4228),(-0.00150294787074 4358),(-1.7763568394e-15 4508),(-0.00762587236223 4656),(-3.99680288865e-15 4796),(-0.00316889544319 4951),
Point1,H1,(5.07251741914 89),(8.81441900285 250),(9.24229777123 421),(8.47190500346 587),(9.54236683191 743),(10.248735192 900),(10.693163799 1066),(10.4210933451 1245),(10.2660730486 1414),(11.3403689353 1577),(11.0841557303 1741),(11.8617282561 1910),(9.86035293558 2074),(11.8699398952 2249),(9.58730304086 2394),(10.6212384611 2557),(10.6685225988 2717),(12.3267445537 2870),(11.0672164723 3008),(13.2329321352 3160),(13.3140384068 3326),(13.062316309 3496),(12.637222662 3653),(13.160233593 3815),(11.9098413604 3978),(9.51630261846 4133),(9.97189507129 4266),(11.3345358234 4403),(11.5668453383 4540),(12.3655196104 4695),(9.32417700037 4839),(11.4320381839 4993),
Point1,H2,(0.652657163405 138),(1.904006126 306),,,(1.74269366949 784),(4.13790569531 937),(3.79423025489 1113),,(3.75456359623 1447),,,,,(4.73661607724 2294),(2.40846618825 2439),,,,,,(7.61720034891 3370),,,(5.73249435809 3861),(4.99868516693 4022),,,,(6.53264691664 4576),,(4.75436535099 4870),,
Point1,H3,(1.41996632276 164),(1.90817251525 311),,,(1.8195862131 793),(4.39466552311 949),(3.99612615753 1122),,(4.52684916966 1461),,,,,(4.77729561567 2300),(3.73809356493 2456),,,,,,(7.70313547978 3378),,,(5.91830084345 3872),(5.22308411692 4031),,,,(7.01575118053 4590),,(4.95364461066 4882),,
Point1,H4,(-0.00936027144523 194),(0.00439379361659 343),(1.2601834665 518),(0.693034024749 669),(0.422100811585 831),(1.30678805063 990),(1.65395885326 1172),(1.67207230813 1345),(8.881784197e-15 1499),(3.29463924735 1641),(2.51234770236 1820),(0.459661352619 2022),(2.93321830771 2119),,(0.92072033871 2498),,(0.937285106428 2798),(2.77498760973 2951),,(5.93095909082 3209),(2.65990558668 3431),,,(-0.000867204699218 3931),(1.28329912573 4066),,(0.548941087139 4344),(2.31515706343 4487),,,(0.725205657993 4938),,
Point1,H5,(1.22396606029 213),(0.761792009736 363),(1.38153903787 528),(0.781656491745 682),(0.869919295807 847),(2.10391213095 1008),(1.65408427473 1173),(1.99553947336 1358),(2.04530639654 1538),(3.50567003605 1654),(2.55312950863 1826),(0.691473057221 2032),(3.22593848802 2129),,(1.38916309763 2511),,(1.54136707412 2814),(2.77507376601 2953),,(6.06359645805 3218),(2.7202561472 3437),,,(0.0707318902767 3939),(1.39353175655 4075),,(0.696680011046 4353),(2.3886220088 4494),,,(0.758939323433 4943),,
Point1,H6,(-1.98335456418 49),(-0.00936027144523 194),(-8.881784197e-16 381),(-7.1054273576e-15 551),(-0.000255303300148 704),(-1.55431223448e-14 863),(-0.00279069490638 1032),(-1.11022302463e-14 1206),(4.4408920985e-15 1379),(8.881784197e-15 1499),(-0.00342945162537 1707),(0.0 1871),(-2.35367281221e-14 2045),(-0.00210803594697 2177),(-1.7763568394e-15 2364),(9.7699626167e-15 2527),(7.9936057773e-15 2685),(1.7763568394e-15 2833),(9.7699626167e-15 2977),(6.2172489379e-15 3111),(-0.00493888343749 3288),(2.6645352591e-15 3462),(-9.7699626167e-15 3614),(-2.6645352591e-15 3768),(-0.000867204699218 3931),(-6.2172489379e-15 4096),(9.7699626167e-15 4233),(8.881784197e-15 4366),(3.5527136788e-15 4512),(-7.1054273576e-15 4660),(-1.1990408666e-14 4801),(-0.00633433111823 4957),
Point2,H1,(6.66024984471 87),(10.7511921458 249),(11.7675377935 422),(10.8659982637 584),(11.6511875035 743),(12.5731544766 899),(12.5047300508 1065),(12.5271221582 1242),(12.9863563297 1412),(13.988934265 1577),(13.7826362924 1739),(14.8561099617 1908),(12.8575617561 2074),(15.0983549069 2247),(11.9644261683 2394),(13.4570435213 2557),(13.5781252391 2715),(15.6404568719 2869),(13.8208865237 3007),(16.627662936 3160),(17.116700182 3322),(16.5876007862 3496),(14.8968718824 3651),(15.4951458279 3814),(15.5975608241 3976),(13.1219744451 4131),(13.3731103278 4264),(14.8879381593 4399),(15.1949736333 4539),(15.3182813877 4695),(12.4251467302 4837),(14.9594451217 4990),
Point2,H2,(-0.112372583696 135),(1.88627437235 296),,,(2.01979896916 784),(4.21623064143 951),,(5.01165513672 1288),(4.6331657904 1452),(4.68863064821 1627),,,,,(3.68161640237 2438),(5.71523587118 2598),,,,,(9.55350408813 3366),(6.84504218952 3543),(7.97645864252 3689),,(6.37180167879 4020),(6.22219647635 4166),,,,(6.43810463994 4729),(6.21211262677 4865),,
Point2,H3,(2.01657733949 161),(2.42162906755 310),,,(2.08990697746 792),(4.21960903 954),,(5.07580883577 1294),(4.66813685817 1458),(4.72375123785 1634),,,,,(4.62125460363 2453),(6.22039467814 2610),,,,,(9.90193360596 3376),(6.86562720904 3547),(7.998492188 3694),,(6.97625985246 4032),(6.62531276138 4179),,,,(6.57928219658 4737),(6.55191947192 4879),,
Point2,H4,(-0.00912590740926 189),(-0.0932041163984 342),(1.4775261838 519),,(0.569759911531 829),(1.4498697636 984),,(1.80186245209 1327),(5.3290705182e-15 1499),(1.30893271383 1686),,(-2.6645352591e-15 2015),(4.34661983085 2116),,(1.46673961397 2488),(0.683469324616 2659),(1.38831516104 2802),(2.34438980127 2952),,(0.725696515751 3271),(3.68674654393 3427),,,(9.7699626167e-15 3927),(1.73541924664 4066),,(1.45047241398 4344),(3.02780487811 4486),(7.0746979055 4579),,(1.3752323628 4935),,
