Cycle,0.754071428571
Average Width,7.95215595438
Width,,7.58701489807,9.29486744679,9.0901749959,8.24778606385,8.10455700484,7.39492067476,8.24775413268,7.65951490584,8.09435290592,7.99857506812,8.39747664825,7.59378325146,7.60708981507,8.3306762462,7.71519828049,7.04945893258,7.7094607703,7.64358114858,8.0182274043,8.15695276048,7.78842731114,7.86330919764,7.31896729866,7.88371476619,7.99186677728,8.64425308175,8.84052581961,7.62588642158,7.85851263916
Point1,H5,(1.12790569617 126),(7.87264531123 230),(1.71160128433 437),(1.99661785251 595),(2.74848686473 752),(7.36513622718 852),(2.0123009223 1075),(6.06530149557 1170),(1.05013544557 1387),(1.73617960624 1555),(3.32669724148 1714),(2.27612926365 1851),(6.65348959813 1955),(2.85652537087 2190),(1.88050071403 2335),(7.54064883681 2443),(1.56534578631 2656),(8.64577162329 2754),(7.14053774881 2908),(0.448905622236 3137),(1.74680045024 3281),(2.03066461591 3441),(0.532091914559 3603),(7.07672011741 3694),(2.26505808225 3907),(7.6571129979 4005),(2.69418689422 4190),(7.0209703421 4296),,
Point1,H6,(-0.00500493568598 1),(9.7699626167e-15 145),(-0.00244383037006 300),(1.7763568394e-15 451),(-1.7763568394e-15 610),(-1.7763568394e-15 771),(-0.0102557355089 936),(8.881784197e-15 1090),(1.50990331349e-14 1241),(5.3290705182e-15 1406),(-8.881784197e-16 1570),(-3.5527136788e-15 1731),(-1.15463194561e-14 1878),(-7.1054273576e-15 2023),(2.6645352591e-15 2211),(-2.6645352591e-15 2365),(-2.04194761562e-05 2513),(7.9936057773e-15 2674),(5.3290705182e-15 2829),(0.0 2989),(-5.3290705182e-15 3149),(8.881784197e-16 3300),(-8.881784197e-16 3458),(-5.3290705182e-15 3614),(-5.3290705182e-15 3772),(-7.9936057773e-15 3923),(-4.4408920985e-15 4066),(-1.7763568394e-15 4221),(0.0 4370),
Point2,H1,(13.6497583398 27),(14.5899052443 184),(14.3188709574 330),(14.9548023191 481),(16.3867615158 638),(14.4575988388 801),(14.2012324135 969),(12.8922505638 1117),(16.2332220882 1274),(15.0611232045 1435),(14.3175792822 1600),(14.3881216456 1757),(14.9293153707 1913),(17.3626858223 2075),(15.6597233802 2239),(14.9000369358 2394),(15.174747588 2553),(14.6495927134 2710),(15.1985270836 2859),(15.1650258964 3019),(15.0943004353 3179),(14.1099173288 3335),(15.506412228 3485),(16.2603492632 3644),(14.9294359436 3803),(14.1819412811 3953),(15.8120486163 4102),(15.1708045456 4251),(16.5151059691 4406),
Point2,H2,(4.79333081555 54),,(5.86052192926 357),(6.89825267117 514),(8.73827295926 673),,(4.92698910945 992),(3.91986846042 1147),(6.53054995546 1299),(7.24383155565 1460),(6.03243729513 1630),(5.97166388177 1787),,,,,(5.98218215048 2577),(6.26362048372 2735),(5.55716203933 2888),,(5.98023858379 3206),(5.39361513695 3361),,,(5.16194502806 3831),,,(6.98695479977 4278),,
Point2,H3,(5.78025514816 78),,(6.76322866334 376),(7.57343970826 529),(9.14063114 687),,(7.37428493829 1013),(6.55822049653 1168),(7.88725469343 1319),(7.7638981189 1480),(7.57104795469 1649),(8.08686834202 1808),,,,,(7.08126764684 2594),(8.83081772312 2755),(7.22222761132 2909),,(7.15319701352 3228),(7.42816336193 3385),,,(7.42166960457 3855),,,(7.17214957389 4297),,
Point2,H4,(1.04991249644 116),(5.12858807192 209),(1.09589707107 424),(1.47928810005 584),(2.56682444574 745),(5.82085373262 833),(1.94283764984 1065),(0.865167640436 1206),(0.607916510925 1386),(1.20454491931 1542),(2.4785931957 1700),(1.66777735127 1844),(5.56090621452 1938),(8.60147921889 2101),(6.94572423013 2270),(5.68892865337 2420),(1.74230365417 2644),(0.614016121004 2814),(0.0903216751067 2972),(5.61370977779 3045),(1.40816292339 3273),(2.19940269354 3433),(5.6311624662 3525),(6.25413540723 3673),(2.06389291312 3898),(5.0192932543 3982),(5.79955088755 4131),(3.05985470753 4342),,
Point2,H5,(1.27998204307 127),(7.95626941402 231),(2.05556005686 437),(1.90632014717 595),(2.79508086032 754),(7.33302334734 852),(2.11245772416 1074),(1.17188876851 1217),(0.92076793544 1396),(2.05827100874 1556),(3.12101440249 1714),(2.18228628991 1857),(6.67761353213 1955),(9.83175745835 2124),(8.55879706913 2287),(7.80868395387 2445),(1.99351311922 2656),(0.645824084749 2819),(0.22390574877 2981),(7.63036365076 3067),(1.65032748574 3283),(2.48433405228 3443),(6.28464335337 3540),(7.77052931031 3694),(2.13429316819 3905),(8.30340020077 4005),(7.23869291529 4151),(3.14770861463 4349),,
Point2,H6,(-0.0488552677572 1),(1.42108547152e-14 147),(-0.00641893011064 300),(1.95399252334e-14 452),(1.68753899743e-14 610),(1.42108547152e-14 772),(1.7763568394e-15 936),(1.7763568394e-14 1091),(1.86517468137e-14 1242),(1.50990331349e-14 1408),(3.5527136788e-15 1571),(3.5527136788e-15 1732),(-2.6645352591e-15 1880),(8.881784197e-16 2025),(3.5527136788e-15 2211),(-0.0106894165853 2366),(-0.0073949661267 2515),(6.2172489379e-15 2675),(2.6645352591e-15 2831),(-3.5527136788e-15 2989),(-8.881784197e-16 3151),(-5.3290705182e-15 3301),(-9.7699626167e-15 3459),(-8.881784197e-15 3615),(-0.00179494789727 3774),(-1.7763568394e-14 3923),(-1.7763568394e-14 4067),(-7.1054273576e-15 4220),(-2.6645352591e-15 4372),
Point3,H1,(13.6918387649 26),(15.4819965191 183),(15.1249276381 330),(14.8475296075 480),(17.2645768304 637),(14.3252530672 801),(15.0975731795 968),(13.8696075593 1116),(16.9193278438 1273),(16.4777298527 1434),(15.7056250704 1599),(14.2821835863 1756),(14.8242895125 1912),(19.1975801784 2074),(16.2857751274 2238),(15.2169255272 2394),(16.6260368991 2552),(15.3813036092 2709),(15.7277772597 2859),(16.6919295166 3017),(16.0861930903 3178),(14.6117274769 3334),(16.3575846686 3484),(16.7677836987 3642),(16.1762156715 3802),(15.1109693622 3952),(16.5720459257 4101),(16.551261865 4251),(17.4883791821 4405),
Point3,H2,(4.04944952307 55),,(6.09194545788 358),(7.11900544094 514),(9.98248522321 668),(5.2504414959 832),(5.37551411651 991),,(6.63603488229 1298),,(7.14502582346 1630),(6.1778342911 1789),,(10.2107860185 2103),,,(5.95191944251 2577),(6.10626803127 2733),,,(5.76263213454 3205),(5.24860069094 3360),(5.72649910385 3525),,(5.6580735424 3829),,,(6.90156064443 4283),,
Point3,H3,(5.29167842669 74),,(6.46410183107 375),(7.42246954334 525),(10.4542284805 682),(7.48927923768 853),(8.41956993864 1014),,(7.80089556426 1320),,(8.39397662902 1646),(7.0145578043 1806),,(11.1533102272 2125),,,(8.15080131656 2599),(8.92073125886 2753),,,(7.37893389017 3230),(8.03539218777 3385),(6.31040115114 3539),,(8.14997286148 3852),,,(7.59338559886 4300),,
Point3,H4,(0.103480718233 120),(5.23268358598 209),(1.65500836522 422),(2.09707877391 588),(2.8116343321 744),(4.79731901786 886),(2.42739869595 1063),(4.42691384901 1148),(0.776014327275 1385),,(2.28531115349 1703),(0.745044414808 1846),(5.47475772516 1936),(3.99010013904 2187),(6.70221942891 2268),(6.15318094231 2419),(1.68500079563 2643),(0.868906278342 2808),(5.87153735857 2888),(6.37949305524 3043),(1.64246030927 3270),(2.05474365548 3432),(0.747486057566 3594),(6.06680506219 3669),(2.20583702285 3898),(5.28333893864 3981),(5.95612304399 4129),(2.56012137492 4342),,
Point3,H5,(0.469672724302 133),(8.48245856135 232),(2.38763761887 435),(2.09938230394 590),(3.07425097056 753),(4.92773620345 897),(2.927025152 1074),(6.41594576203 1168),(1.12216492014 1395),,(2.6739394594 1714),(0.945847884832 1856),(6.65080821549 1952),(3.99358019494 2190),(8.65921154607 2286),(8.06644975728 2445),(2.07428753154 2656),(1.28491061473 2819),(8.15147636859 2910),(8.08634671257 3067),(1.8232117795 3279),(2.54859674172 3442),(0.895102049287 3602),(8.51364396586 3696),(2.35896229442 3905),(8.29742400483 4004),(7.71795955395 4150),(2.82642497952 4352),,
Point3,H6,(-0.0674380041382 2),(-0.0113124326464 146),(-9.19102495889e-05 300),(-0.0073769564607 451),(-8.881784197e-15 609),(-8.881784197e-15 772),(-0.00492291495451 935),(-4.4408920985e-15 1091),(-7.1054273576e-15 1240),(-4.4408920985e-15 1408),(-7.9936057773e-15 1571),(-5.3290705182e-15 1730),(-8.881784197e-16 1879),(1.15463194561e-14 2020),(8.881784197e-15 2211),(-0.00975242903131 2365),(8.881784197e-16 2512),(-4.4408920985e-15 2674),(8.881784197e-16 2832),(-0.00039538910591 2989),(7.1054273576e-15 3150),(4.4408920985e-15 3299),(2.6645352591e-15 3458),(6.2172489379e-15 3615),(2.6645352591e-15 3772),(-3.5527136788e-15 3922),(5.3290705182e-15 4065),(-8.881784197e-16 4221),(-8.881784197e-16 4371),
Point4,H1,(10.446526902 27),(12.4607140377 183),(11.9836295405 329),(11.584519348 480),(13.5018683514 637),(11.2711890685 801),(12.103366159 967),(10.6320181915 1116),(13.6123966907 1272),(12.6812005722 1434),(12.1381992796 1600),(10.8742489359 1756),(11.1811580215 1911),(15.5594022022 2074),(12.9740914469 2238),(11.6880900814 2393),(12.931555704 2552),(11.5838423491 2708),(12.8324911287 2858),(13.4559720092 3017),(12.6777199337 3177),(11.6613695439 3334),(12.4889999333 3484),(13.9368916677 3642),(13.1545119241 3801),(12.3465755207 3952),(13.8119941625 4101),(13.2639006774 4249),(14.4844094667 4405),
Point4,H2,,(4.67567810054 209),(5.44605102547 355),(5.96759870996 515),(8.76743512053 668),(4.85911565249 833),(4.53113721364 989),,(5.61505574231 1297),,(5.74216908192 1629),,,,(5.66003899077 2269),,(5.20605548438 2578),(5.12425262948 2733),,,(4.86214998611 3207),(4.77833384205 3359),(4.15495641103 3524),,(4.91098141133 3830),,,(5.96467804962 4286),,
Point4,H3,,(6.54182705738 232),(5.49328903975 360),(6.01745357371 522),(9.05895900898 681),(6.93572138597 855),(6.42930186525 1012),,(6.39061760972 1318),,(6.53848051053 1643),,,,(6.75543201631 2285),,(6.3802549514 2600),(6.75901412666 2752),,,(5.96602565387 3230),(6.17680733806 3382),(5.20341668055 3541),,(6.6868650925 3852),,,(6.20196142396 4299),,
Point4,H4,(3.27569236191 59),(0.632216595181 286),(1.50396763126 421),(1.93773156698 584),(2.52141446548 744),(4.92339510457 887),(2.206288363 1061),(2.76534695835 1147),(0.869678137079 1387),,(2.55379858904 1698),(4.83842192325 1790),(3.79672217308 1936),(9.52453911824 2102),(0.580278242273 2348),(5.31035088163 2419),(0.800570407332 2640),(0.579742634197 2807),(4.69260897458 2888),(5.04130005705 3044),(1.41631510177 3270),(1.48745079055 3430),(0.721335223329 3593),(5.63797145011 3672),(1.96171188877 3896),(4.58437482 3981),(5.13327469975 4130),(2.45608914532 4340),,
Point4,H5,(3.77432218817 73),(0.637961366341 288),(1.95660491335 433),(1.97532826524 590),(2.67434142526 752),(4.94534654743 894),(2.63572564716 1073),(4.87318418239 1170),(0.916078099733 1392),,(2.90455792115 1711),(5.68892571143 1807),(4.97566623042 1955),(9.94265423235 2122),(0.581027179559 2350),(6.6341353572 2445),(1.29527439468 2655),(1.02707847799 2819),(6.81113263341 2910),(6.85037430867 3066),(1.48047127578 3277),(2.04543104838 3442),(0.784758283901 3600),(6.92733297887 3694),(2.18820128104 3905),(6.90371189223 4004),(6.44338001365 4152),(2.66138969095 4349),,
Point4,H6,(-0.0375470567139 1),(-0.0143642765001 143),(-0.000827437412992 301),(-2.6645352591e-15 450),(-0.0072515335613 608),(8.881784197e-16 771),(1.33226762955e-15 936),(-4.4408920985e-15 1090),(-5.77315972805e-15 1228),(-1.06581410364e-14 1407),(0.0 1570),(-5.3290705182e-15 1730),(-0.00186134443066 1871),(-0.00705755172177 2018),(-7.9936057773e-15 2211),(-0.0102589835286 2365),(-0.00245835243124 2510),(2.6645352591e-15 2673),(8.881784197e-16 2831),(1.7763568394e-15 2989),(9.7699626167e-15 3150),(7.1054273576e-15 3298),(5.3290705182e-15 3457),(-0.00240311573784 3613),(-0.00362459177602 3772),(1.33226762955e-14 3922),(9.7699626167e-15 4065),(7.1054273576e-15 4221),(1.06581410364e-14 4371),
