Cycle,0.796178661616
Average Width,0.0
Width,,6.04358035783,6.97238932532,6.18289081353,5.96923247181,6.6106671614,6.64082793912,5.97739163305,5.05784144255,4.40694332479,6.28986543926,6.31883295355,5.240040988,22.1065918326,6.65195548138,18.7170638392,0.0,9.27373481924,10.2573504566,7.84982097727,0.0,0.0,6.39850679778,0.0,0.0,6.4446603708,0.0,0.0,0.0,43.3184647993,16.5096723062,0.0,15.9419992006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
Point1,H5,,(2.01327076215 295),(2.24657724898 447),,(1.97667304938 792),(1.41884314008 942),(0.966389817257 1124),(3.52123240424 1302),(1.96231927257 1448),(1.92080236965 1607),(1.40479563646 1761),(1.19243663858 1944),,(2.25172305713 2289),,,(2.26065041029 2839),(3.73236543871 2986),(1.99227046945 3175),,,,,(3.74801567791 3981),(3.61963599432 4156),(7.05926808597 4400),,,(2.91520464217 4878),(3.0623486451 5028),,(2.11274624598 5356),(0.475555846399 5542),(2.71112192871 5682),(3.43961547859 5833),,,(2.11492839433 6326),(2.29437507865 6473),,(2.26089670663 6753),,,,,
Point1,H6,(2.6645352591e-15 152),(-6.2172489379e-15 312),(-1.15463194561e-14 483),(-0.00811513816009 632),(-1.15463194561e-14 807),(-0.00487565623619 966),(-0.00583494817946 1146),(7.1054273576e-15 1321),(-1.1990408666e-14 1465),(1.7763568394e-15 1624),(-0.00499917205233 1780),(-6.2172489379e-15 1958),(-1.24344978758e-14 2134),(-8.881784197e-16 2316),(4.4408920985e-15 2512),(-0.00206565765061 2680),(-4.4408920985e-16 2856),(-8.881784197e-16 3024),(8.881784197e-16 3194),(-2.22044604925e-15 3341),(-1.7763568394e-15 3510),(-3.5527136788e-15 3693),(-1.33226762955e-15 3856),(1.7763568394e-15 4024),(4.4408920985e-15 4201),(6.2172489379e-15 4363),(-0.00730787116122 4540),(9.7699626167e-15 4657),(-0.000684065182864 4729),(6.2172489379e-15 4912),(4.4408920985e-15 5060),(-5.3290705182e-15 5225),(-8.881784197e-16 5389),(-1.7763568394e-15 5556),(1.7763568394e-15 5705),(-0.00354872608158 5858),(-7.1054273576e-15 6025),(-0.00057311628317 6195),(-0.00477497963683 6346),(-0.00117039903309 6497),(-2.6645352591e-15 6633),(0.0 6777),(-1.33226762955e-15 6917),(-0.0122260557162 7054),(-5.3290705182e-15 7208),(-0.0458916780564 7311),
Point2,H1,(12.7441318163 29),(11.4113147082 187),(12.0622490553 345),(11.836818813 509),(12.4971917115 668),(11.8847278445 831),(12.7125357331 1003),(10.7182582901 1179),(11.4789713277 1347),(11.4067246101 1496),(12.0223156116 1656),(15.8226980102 1809),(12.2437533619 1982),(13.9338908414 2160),(12.7099240266 2348),(9.68390011375 2542),(10.9725687744 2706),(11.533873509 2881),(13.7869484475 3054),(10.7110401711 3224),(9.46085655331 3372),(15.1674175366 3539),(6.05101786443 3712),(8.92732837804 3885),(14.0709733252 4053),(10.9052074481 4235),(9.39021683063 4396),(9.40024868281 4573),(11.4761558644 4757),(12.1937420372 4942),(10.5656065864 5087),(12.3257586983 5260),(10.1255008727 5421),(10.3891142309 5584),(11.2684012085 5738),(10.612257535 5888),(12.3938151148 6049),(10.8703105403 6225),(9.60388586024 6375),(11.0439940411 6525),(10.9747611588 6665),(10.824209741 6806),(11.0715322262 6942),(12.9840899878 7085),(10.9459167289 7230),
Point2,H2,(7.13119598373 54),(4.69953191362 213),,(4.46651761469 536),(7.13974536084 691),(3.77796694953 877),(2.19010994619 1082),,,,(4.69716049967 1697),(4.58581557245 1856),(4.4726203258 2052),(5.55011981484 2207),(3.01363254489 2444),(6.54602245314 2567),,(5.01512127087 2922),,(4.21160709741 3260),,(9.96987640277 3581),(3.13867678923 3747),(2.68870269928 3961),(7.84675167354 4096),(5.56818792148 4273),(6.46381737546 4424),,(6.14466431183 4797),(4.32555193195 4989),(4.79555935174 5132),,(1.24357312124 5503),(4.73485095141 5630),,(5.74005093599 5935),(10.3323295359 6066),,(4.6859930954 6412),(5.74674544504 6551),,,,,,
Point2,H3,(7.15300433122 58),(5.28240300298 232),,(4.47344004376 539),(7.44431393489 700),(4.16376285052 887),(2.51564354374 1094),,,,(4.73707504645 1703),(4.59049212337 1859),(4.64941219746 2063),(5.81861147571 2217),(3.38036048908 2458),(7.07074416382 2582),,(5.11269391434 2929),,(4.89064933589 3274),,(10.2057425039 3591),(4.75951428964 3772),(4.08132490347 3980),(8.51144269144 4111),(5.59777156585 4280),(6.98060942621 4446),,(6.22006522685 4805),(4.48584219022 4997),(4.97481646106 5142),,(1.38909994201 5513),(4.74981325604 5634),,(6.08886927615 5949),(10.4145888606 6072),,(4.86692850522 6423),(5.75025678001 6554),,,,,,
Point2,H4,,(1.16780511195 282),(1.77918879903 430),(1.10649401471 588),(1.11319071626 777),(0.951945965533 922),(0.803241295785 1117),,(1.27815595252 1432),(0.437208714171 1593),(0.54506586354 1744),(0.509847583751 1929),(2.67220468879 2107),(1.8090912619 2284),(3.07409522139 2471),(2.96724885546 2650),,(2.13642925021 2959),,(2.38802035038 3303),,(8.47777825954 3625),(1.55056178757 3812),(3.0180754561 3998),(3.20086846488 4149),(2.71507504809 4317),(1.92376062751 4500),,,(2.27534481767 5021),,(1.99407950766 5350),(0.46131452784 5535),(2.1888393459 5668),(2.42910422534 5812),(3.94412347362 5994),(2.67829589389 6148),(2.32176151604 6312),(2.35527573491 6454),,(2.46346426831 6747),,,,,
Point2,H5,,(1.69828904887 294),(2.23055792729 446),(1.19417977302 604),(2.06319315358 791),(1.02746208815 937),(0.917892035215 1126),,(1.86987213416 1445),(1.85798353401 1608),(1.24792834622 1764),(1.52856086533 1943),(2.674566383 2109),(1.96811513932 2293),(3.49725551271 2484),(3.0963989693 2658),,(3.82361465185 2985),,(2.71411121303 3315),,(8.69663094933 3637),(1.96714425186 3827),(3.02523066429 4002),(3.31487016761 4159),(3.25103770974 4336),(1.93810201991 4505),,,(2.57983816243 5035),,(2.27560863092 5363),(0.498277907285 5541),(2.84429590364 5684),(2.68136432153 5825),(4.07380029097 6002),(2.68570215833 6152),(2.67959764083 6324),(2.56212553354 6464),,(2.60633191712 6755),,,,,
Point2,H6,(-0.00104519618631 150),(1.7763568394e-15 311),(1.50990331349e-14 483),(-0.00846498931505 630),(4.4408920985e-15 806),(-0.00562587963437 961),(-6.2172489379e-15 1146),(0.0 1320),(3.5527136788e-15 1463),(8.881784197e-16 1623),(-9.7699626167e-15 1779),(-4.4408920985e-15 1957),(-1.7763568394e-15 2133),(-8.881784197e-16 2314),(2.6645352591e-15 2509),(-3.5527136788e-15 2679),(6.66133814775e-15 2855),(-3.5527136788e-15 3024),(3.5527136788e-15 3192),(8.881784197e-16 3338),(-1.7763568394e-15 3510),(-4.4408920985e-15 3690),(-8.881784197e-16 3852),(-0.0071479402386 4022),(7.1054273576e-15 4199),(0.0 4361),(-0.00485466003432 4537),(3.10862446895e-15 4656),(4.88498130835e-15 4728),(-2.6645352591e-15 4911),(-8.881784197e-15 5060),(-8.881784197e-16 5223),(2.6645352591e-15 5390),(-6.2172489379e-15 5554),(8.881784197e-16 5704),(-3.5527136788e-15 5858),(-6.2172489379e-15 6023),(-0.0106044224038 6188),(-2.6645352591e-15 6344),(-5.3290705182e-15 6496),(-2.6645352591e-15 6631),(1.7763568394e-15 6775),(-0.0135287025157 6913),(-0.0207763470806 7047),(-3.5527136788e-15 7204),(-0.0142377179739 7310),
Point3,H1,(9.65549067339 24),(10.5585984792 182),(9.65250224151 340),(9.66833610021 504),(11.3153050743 663),(11.0003483016 825),(10.4952543944 999),(7.37777008998 1175),(4.55004252411 1270),(9.79882446921 1343),(9.59643539324 1492),(11.5364685265 1651),(15.8779193978 1805),(12.1328398335 1978),(14.8608861114 2155),(12.3250922433 2343),(9.77283061593 2536),(11.5185780737 2700),(12.3232732767 2875),(15.6388181461 3048),(11.8173995743 3216),(11.3124525989 3365),(18.2895250903 3535),(10.1422454357 3707),(11.3811654848 3879),(17.333471266 4047),(13.3334222978 4229),(12.2363314431 4389),(12.8393235474 4568),(12.3917932418 4753),(12.9858728226 4937),(11.3341972855 5082),(13.0942048507 5255),(11.2469437477 5415),(11.962516312 5578),(13.8409519781 5733),(14.7968322347 5882),(17.3854835373 6044),(15.4994814727 6219),(13.3225329193 6369),(13.0472737464 6519),(13.9401833757 6660),(13.5454974499 6800),(15.1177005624 6937),(16.2137845462 7079),(14.9169460612 7225),
Point3,H2,(5.1863274075 46),(4.13804347874 204),(3.47390906931 369),,(6.35755693232 684),,,(2.19820269219 1197),(3.9399543975 1284),(1.35845454081 1378),,(3.65236053149 1693),(1.36868770679 1880),,,(-0.00100307205982 2437),,(3.03737983863 2769),(3.27185140265 2917),(7.26649097015 3090),(3.71305624985 3253),(0.245791629521 3450),,(4.39221570405 3746),(2.53058548986 3954),(8.61063461092 4094),(5.63007247233 4265),(6.09276109478 4421),,(4.80118553378 4791),,(4.35339959897 5123),,,,,(6.16476964144 5931),,,,(4.91939315155 6546),(4.95005406974 6694),(4.02186623573 6837),,,,
Point3,H3,(5.25770508464 51),(5.25012648898 220),(3.50149559797 373),,(6.97478492376 695),,,(4.11872682533 1227),(4.54750720005 1296),(1.70074432288 1391),,(3.72757193283 1701),(1.41022200404 1888),,,(1.74059358985 2457),,(4.06821734536 2788),(3.74925675368 2929),(8.12308965847 3106),(4.64454338406 3269),(0.76956261919 3467),,(4.97679078285 3761),(4.37556844177 3974),(8.95139953022 4108),(5.80353421519 4275),(6.37166014833 4437),,(5.28068911198 4805),,(4.61287192199 5135),,,,,(6.53537819158 5946),,,,(4.94431976198 6550),(5.08279150229 6703),(4.31212486581 6848),,,,
Point3,H4,,(5.1254160817 230),(-0.00818828102777 419),(-0.00669971530234 577),(1.097844377 770),,,,,(0.537415963494 1421),,(0.127055712381 1733),(0.356840875102 1922),,(2.3384556924 2276),(1.61699845878 2465),,(2.01547473593 2818),(1.63319896308 2952),(2.5703346057 3157),(2.1464827878 3299),(0.742787271101 3472),,(1.23624271678 3807),(3.03841189346 3991),(2.5123462082 4166),(1.92900709194 4321),(1.03664508263 4497),,(3.18193379241 4863),(2.93917952654 5010),(2.98174851925 5159),(1.00279022589 5343),,(1.81239194888 5666),(2.74083321065 5804),(4.47945700096 5989),(3.18317378929 6134),(3.09644091502 6305),(1.1416665198 6454),(1.20882125757 6598),(1.81750939695 6739),,(0.924149791664 7014),,,
Point3,H5,,(5.14936365035 236),(2.28819373274 464),(0.490004143558 602),(2.59835656835 786),,,,,(1.54335175171 1440),,(1.43490200012 1755),(2.02800752853 1938),,(2.53970515056 2286),(2.75637671514 2483),,(3.03235047274 2833),(3.46452849602 2980),(2.85709299124 3167),(2.20446808976 3306),(1.52390894636 3489),,(1.84590239076 3824),(3.25407791979 3999),(2.5548722782 4171),(2.58135296916 4336),(1.08305946626 4504),,(3.22002210357 4870),(3.01940125781 5019),(3.20779911543 5171),(1.41854578423 5358),,(2.77735524781 5681),(3.59486713683 5821),(4.80919443505 5998),(3.93404230948 6150),(3.61677691428 6318),(1.1952906549 6461),(1.62457408904 6609),(2.6568607907 6753),,(1.46050379484 7026),,,
Point3,H6,(-0.291294745896 138),(-0.0252548944069 307),(-0.00818828102777 419),(1.33226762955e-15 481),(-0.0625748149863 621),(4.4408920985e-15 802),(-0.0426326911589 923),(-0.00465339673904 1150),(-2.6645352591e-15 1316),(1.33226762955e-15 1458),(-0.244127165967 1587),(0.0 1773),(-1.33226762955e-14 1953),(-0.00282897064076 2128),(-0.00557667609728 2312),(-0.00100307205982 2437),(-0.0267567801857 2506),(-4.4408920985e-15 2675),(2.6645352591e-15 2850),(-0.00384876959068 3020),(0.0 3186),(1.06581410364e-14 3330),(0.245791629521 3450),(1.24344978758e-14 3503),(7.9936057773e-15 3684),(-2.22044604925e-15 3846),(2.53058548986 3954),(1.15463194561e-14 4017),(2.6645352591e-15 4194),(5.3290705182e-15 4355),(0.0 4531),(8.881784197e-15 4651),(0.0 4723),(1.7763568394e-15 4909),(8.881784197e-16 5056),(-0.0041848953283 5221),(5.3290705182e-15 5385),(0.188823225065 5495),(-2.6645352591e-15 5550),(7.1054273576e-15 5699),(1.15463194561e-14 5852),(1.42108547152e-14 6018),(-0.00456106445546 6181),(-3.5527136788e-15 6338),(-4.4408920985e-15 6489),(-0.00314409122168 6625),(1.42108547152e-14 6770),(1.06581410364e-14 6907),(-8.881784197e-16 7043),(1.15463194561e-14 7199),
