Cycle,0.822152777778
Average Width,4.08592513895
Width,,0.0,0.0,0,2.58336857818,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(26.872084735 35),(28.4032900284 216),(26.5633651668 393),(27.5449548595 566),(27.7044868167 744),(29.0109214986 921),(28.5971096296 1098),(28.1458380944 1274),(30.2459835603 1448),(29.627925911 1623),(29.7313450452 1799),(30.2707063404 1976),(28.9691168372 2139),(27.7444064435 2300),(29.0289066954 2472),(28.052329342 2642),(29.0239218911 2815),(29.8599511231 2994),(29.013752417 3171),(29.2898189331 3338),(29.3978078283 3516),(29.1854675891 3692),(29.2167361743 3874),(26.3287392787 4043),(28.5047022481 4221),
Point0,H2,,,,,,,,,,,,,,,,,(5.88845894943 2910),,,(11.6108696603 3387),,,,,
Point0,H3,,,,,,,,,,,,,,,,,(5.88942516872 2911),,,(11.6652365738 3392),,,,,
Point0,H4,,(10.7540032845 266),(4.19232936011 500),(3.89204635725 678),(3.48937390707 855),,(10.0906632765 1147),(2.52574668013 1381),(3.29898454533 1555),(3.11982420338 1734),(2.7680100281 1911),(2.76932147609 2086),,,(4.69697168167 2583),(3.98074339661 2756),(3.89916559156 2931),(2.40182926047 3107),(1.54854413973 3287),(2.03188550228 3461),,(4.15057859604 3813),,,
Point0,H5,,(10.7851057496 271),(4.51146517443 509),(3.96243940147 683),(3.48955441186 856),,(10.3383238102 1154),(2.61537309905 1388),(4.23167234254 1567),(3.15669822365 1739),(2.77943118911 1914),(2.89595236395 2093),,,(4.7059079822 2586),(4.38638750515 2766),(4.8510915727 2943),(3.89305704369 3120),(1.90807289821 3296),(2.73256367511 3472),,(4.53918503339 3822),,,
Point0,H6,(-1.7763568394e-14 178),(-2.48689957516e-14 359),(-2.84217094304e-14 529),(-1.06581410364e-14 705),(3.5527136788e-15 884),(1.24344978758e-14 1068),(5.3290705182e-15 1242),(1.06581410364e-14 1409),(1.24344978758e-14 1585),(0.0 1761),(1.7763568394e-15 1939),(-1.42108547152e-14 2110),(1.7763568394e-15 2269),(-0.000144075438197 2434),(2.84217094304e-14 2608),(2.13162820728e-14 2783),(0.0 2960),(7.1054273576e-15 3136),(2.13162820728e-14 3309),(1.59872115546e-14 3486),(0.0 3661),(-5.3290705182e-15 3840),(-7.1054273576e-15 4012),(0.0 4190),
Point1,H1,(14.9186991657 31),(17.1562048828 216),(17.2797614314 393),(18.7361485752 566),(17.2171890901 743),(19.8412299218 920),(20.419850003 1099),(19.6584447967 1274),(22.3425552689 1448),(20.6363738861 1622),(21.5918928921 1799),(20.9769217003 1976),(21.7519091218 2138),(20.7808821957 2299),(20.6652217831 2472),(20.4542060354 2641),(21.7538270584 2814),(22.355138125 2995),(22.6217002469 3169),(21.8594511072 3339),(22.9915782911 3515),(21.0800411786 3690),(21.4914507684 3872),(19.246406726 4043),(21.700720609 4220),
Point1,H2,,,,,,,,,(9.19600630457 1501),,,,(8.10769172838 2190),,,,(5.03074103956 2907),,,(9.18023639441 3385),(4.48624164538 3613),(10.2631915187 3737),,,
Point1,H3,,,,,,,,,(9.20214090126 1503),,,,(8.17197383907 2196),,,,(5.04421784988 2911),,,(9.34316352625 3393),(4.49962873796 3616),(10.6141072324 3746),,,
Point1,H4,(1.47832911651 150),,(2.66037116064 500),(2.41182363398 677),,(8.19881061551 969),,(2.27726443613 1376),(2.98992276679 1556),(2.64392042594 1732),(2.08410337013 1909),,(1.39386203493 2246),(8.03039902234 2348),(2.29875780093 2580),(3.20285992481 2758),(2.43238968752 2935),(3.14478168065 3111),,(2.31823219151 3461),(2.05914744959 3638),(3.14753782472 3812),(9.88183161682 3918),,
Point1,H5,(1.74787858323 160),,(3.03453074017 510),(2.57427556233 685),,(8.56680810775 978),,(2.56810509907 1387),(3.68622349366 1567),(3.11262326031 1743),(2.11012676066 1913),,(1.48191702398 2254),(8.15459740847 2354),(2.90892325742 2591),(3.4004951705 2766),(2.66624355982 2943),(3.19639006097 3116),,(2.59790887027 3470),(2.43898127338 3648),(3.711605222 3823),(9.88248343235 3919),,
