Cycle,0.81275625
Average Width,4.35572991149
Width,,0.0,0.0,0.0,11.3306448584,0.0,10.1708592818,16.7569008398,25.0074821963,9.52209822254,10.913486165,11.4782909224,9.55911163081,10.4426597626,12.6474933532,40.0414427267,7.7040192543,9.6883845175,8.09552694235,9.70721951303,9.3223367151,10.6950847798,8.08399115642,8.26028341363,13.0062694459,0.0
Point0,H1,(8.29701032034 71),(7.90340323472 233),(8.83316848666 409),(8.18530099235 574),(8.64142021943 748),(7.79407170299 919),(7.49074455967 1103),(9.50145915683 1258),(9.19838795976 1437),(7.66546144309 1595),(8.9885664578 1768),(8.38524157082 1930),(7.82137598292 2107),(8.03427072089 2285),(9.0782476422 2441),(8.70536513974 2617),(8.00699852163 2781),(8.31732249859 2952),(8.04633110531 3135),(8.04080821941 3288),(8.14912650761 3453),(7.93285960109 3629),(7.55713835581 3789),(7.17079093432 3964),(7.6008632945 4122),(7.81336799353 4302),
Point0,H2,,,(2.25231091292 487),(8.04037792652 582),(3.09656714949 794),,(2.88219929265 1156),,,,,,(3.20767377724 2154),(4.848044645 2315),,,,(1.26093118484 3059),(4.44387446907 3163),,,(2.28590789865 3699),(3.56657132197 3833),(3.19981556426 4003),,
Point0,H3,,,(2.40680068204 496),(8.11152501499 590),(3.22765683259 802),,(3.46475833978 1170),,,,,,(3.35816764964 2163),(4.86716120062 2320),,,,(1.47304882256 3070),(4.53024676456 3170),,,(2.45406486599 3709),(3.73039087022 3843),(4.09049439522 4021),,
Point0,H4,,,(0.643493255073 518),(0.926058196997 677),(1.00926261631 845),,(2.26870630616 1189),(4.7950936384 1305),(1.34083468476 1525),(0.863288996514 1701),,,(1.114726873 2211),,,(2.55528388567 2691),,(1.7763568394e-15 3087),,(1.17925140324 3382),(1.08610949887 3554),(1.33226762955e-15 3733),(1.58509805184 3891),(2.99458695714 4040),,
Point0,H5,,,(0.969103494495 528),(1.01323123086 687),(1.25746429674 859),,(2.43540164989 1198),(5.04451916491 1317),(1.37547282163 1532),(0.957500933458 1709),,,(1.59292598489 2223),,,(2.63812398806 2701),,(7.92382415996 3117),,(1.29753481005 3394),(1.08696748798 3556),(1.12288982536 3749),(1.63391172279 3899),(3.27517300014 4052),,
Point0,H6,(-0.000711216426741 206),(-7.9936057773e-15 371),(-0.00100388797991 543),(0.0 710),(1.33226762955e-15 880),(-2.22044604925e-15 1055),(-3.5527136788e-15 1220),(-8.881784197e-16 1390),(3.5527136788e-15 1560),(5.3290705182e-15 1727),(3.10862446895e-15 1901),(4.4408920985e-16 2066),(3.5527136788e-15 2240),(3.5527136788e-15 2401),(-3.5527136788e-15 2577),(-1.7763568394e-15 2749),(-4.4408920985e-16 2909),(1.7763568394e-15 3087),(1.7763568394e-15 3249),(-0.00159773107227 3419),(-0.000620747422746 3583),(1.33226762955e-15 3733),(4.4408920985e-16 3923),(1.7763568394e-15 4095),(-3.10862446895e-15 4263),
Point1,H1,(12.6152917389 39),(13.3872338919 201),(14.4464633384 377),(13.4534616205 558),(14.1595823964 714),(13.6104490521 889),(12.9402947481 1069),(14.5456627351 1224),(14.8118994435 1405),(13.2338871855 1561),(13.9889196649 1738),(13.574203954 1899),(13.6513476632 2074),(12.8938822231 2252),(13.4845562022 2409),(14.228154257 2584),(13.0973690365 2749),(13.9355014966 2920),(13.0361351414 3083),(13.6122153784 3256),(13.2486638333 3420),(13.1346273398 3595),(11.7826441894 3758),(13.480741961 3929),(12.2132610308 4111),(13.3037951721 4267),
Point1,H2,,(12.3550916766 212),(2.68911098835 454),,(5.88786977631 759),,,(6.74892418548 1274),,,,(6.73537064727 1946),,,,,(2.72825846144 2824),,(12.7064715885 3092),,,,(11.7034251312 3764),,,
Point1,H3,,(12.9998400547 223),(3.02730017785 464),,(6.28393993379 768),,,(6.92947742309 1283),,,,(6.76287233379 1950),,,,,(2.82845222957 2832),,(12.9462312794 3101),,,,(11.7638922992 3770),,,
Point1,H4,(0.77909117363 148),(6.82436919292 250),(0.143098783236 484),,(2.85917362467 793),(1.24344978758e-14 1021),,(2.57044916901 1332),,(1.03700929543 1666),,,,,,(1.24650443446 2693),(1.97603396342 2851),(1.94611821437 3025),(6.60776986348 3129),,,(0.941564660914 3699),(5.63117632227 3804),,,
Point1,H5,(1.38215997344 160),(6.91046512183 256),(1.26782641115 497),,(2.92967288081 800),(12.8930297573 1052),,(2.6062402695 1337),,(1.52138426011 1679),,,,,,(1.3542165935 2701),(2.03512722875 2858),(2.12265424875 3035),(6.83522664086 3137),,,(1.53995441447 3711),(5.70951085351 3811),,,
Point1,H6,(8.881784197e-16 173),(-3.5527136788e-15 336),(7.1054273576e-15 510),(-4.4408920985e-15 676),(4.4408920985e-15 846),(1.24344978758e-14 1021),(1.06581410364e-14 1185),(0.0 1358),(1.7763568394e-15 1530),(-7.9936057773e-15 1695),(-1.7763568394e-15 1868),(1.7763568394e-15 2033),(5.3290705182e-15 2206),(0.0 2372),(-3.5527136788e-15 2544),(0.0 2717),(0.0 2880),(1.7763568394e-15 3053),(-2.6645352591e-15 3216),(4.4408920985e-15 3386),(-0.000631152004006 3552),(4.4408920985e-15 3726),(0.0 3889),(-2.6645352591e-15 4061),(8.881784197e-16 4231),
Point2,H1,(3.92773559217 48),(4.9006061095 210),(5.83404345567 398),(5.58203711732 569),(5.79210304965 728),(6.41078461584 896),(5.93076678466 1075),(7.29229138367 1233),(7.17871565408 1412),(6.45280320627 1571),(6.66616545122 1761),(6.70850008611 1907),(6.08692411473 2081),(6.24389253972 2256),(7.44414143658 2422),(8.06385193964 2595),(7.31664478342 2763),(8.08532518347 2931),(7.69715969327 3096),(7.48366475191 3270),(7.74908152455 3445),(7.73351438916 3603),(7.50125002619 3784),(5.84399005333 3934),(5.11091737926 4128),(4.87585510975 4277),
Point2,H2,,(4.41140819026 224),(3.35878997955 437),(4.01528969853 595),,,(3.09632595389 1105),(6.56436605838 1249),,(1.57055366069 1657),,(6.2944059578 1918),,,,,(2.88414964613 2830),,,,,(1.48957125705 3704),,(-8.881784197e-16 3979),,,
Point2,H3,,(4.54508812841 234),(3.44947361281 448),(4.052654518 602),,,(3.3004999085 1116),(6.60803465563 1255),,(1.57886029105 1663),,(6.62655795319 1929),,,,,(2.96270023035 2838),,,,,(1.63207302507 3715),,(1.57079095672 4000),,,
Point2,H4,(0.978957475145 153),(1.06294177229 316),,(2.04334258735 652),(1.89373331097 801),(0.597202279146 1003),,(0.760574754456 1340),,(4.4408920985e-16 1701),,,(0.663945309555 2176),,(1.75076351697 2524),,(0.651287536334 2860),(1.25945620338 3037),(1.31148152899 3198),(-3.5527136788e-15 3397),,(-8.881784197e-16 3735),,(0.514352113174 4025),,,
Point2,H5,(1.08425780416 164),(1.1264232447 325),,(2.28616270755 663),(1.95086570072 809),(0.657583692002 1013),,(0.951033076042 1351),,(6.65760356409 1749),,,(1.4631707363 2198),,(1.78450939789 2531),,(1.47967174192 2874),(1.36096949982 3046),(1.40472683899 3207),(7.65848539301 3431),,(7.16403215603 3766),,(0.918394818804 4042),,,
Point2,H6,(-4.4408920985e-15 183),(-8.881784197e-16 346),(0.0 518),(2.6645352591e-15 685),(4.88498130835e-15 857),(1.7763568394e-15 1030),(8.881784197e-16 1197),(4.4408920985e-15 1368),(6.2172489379e-15 1540),(4.4408920985e-16 1701),(5.3290705182e-15 1876),(4.88498130835e-15 2045),(8.881784197e-15 2216),(-0.00213829550807 2379),(0.0 2554),(2.22044604925e-15 2724),(2.22044604925e-15 2891),(-3.10862446895e-15 3063),(-5.77315972805e-15 3228),(-3.5527136788e-15 3397),(-2.22044604925e-15 3561),(-8.881784197e-16 3735),(-0.0137022904496 3901),(-8.881784197e-16 3979),(-0.0041899238798 4064),(-0.00525851888576 4246),
Point3,H1,(10.0754825409 127),(11.0532909441 298),(11.6605841868 467),(9.64197619113 635),(11.8471532938 808),(10.6617463358 979),(10.8312961176 1147),(12.0565337096 1316),(10.8234257279 1490),(10.6825007401 1654),(10.3934531929 1801),(10.099142488 1987),(10.4553511701 2165),(10.1402340634 2333),(11.742434842 2503),(10.5299974586 2674),(10.6439797848 2837),(10.9698011692 3012),(10.8979360143 3175),(11.0820477765 3318),(11.3512055726 3510),(10.3378396829 3683),(9.4303009812 3846),(11.2141665437 4020),(10.1778718106 4189),
Point3,H2,,,,(5.3290705182e-15 673),,(0.230151412984 1012),,,(1.95399252334e-14 1521),,(9.42967394357 1817),(1.06581410364e-14 2033),,,(8.881784197e-16 2544),,(8.881784197e-16 2878),(9.7699626167e-15 3046),,,(1.15463194561e-14 3552),,,,,
Point3,H3,,,,(7.23763562677 722),,(0.277535927974 1017),,,(8.80064143716 1601),,(9.89621624184 1827),(6.09923222156 2083),,,(9.86522625663 2623),,(6.37558900932 2928),(6.17919148529 3091),,,(7.28352247791 3605),,,,,
Point3,H4,(-0.00153054798368 171),,(1.50990331349e-14 513),(7.08469799227 730),,(8.881784197e-15 1028),,(1.06581410364e-14 1362),(8.79323888443 1605),(-9.05613282782e-05 1695),(1.06581410364e-14 1856),(6.00536568255 2091),(-8.23916248054e-05 2209),,(9.48491941132 2638),(0.0 2709),(6.321087553 2934),(6.15293897278 3096),,,(7.28062984953 3608),,,,,
Point3,H5,(7.3555254565 237),,(8.51804062875 600),(10.5025406442 775),,(4.76316612867 1056),,(10.8169735872 1466),(9.42932540228 1625),(9.02167296519 1760),(8.36522661632 1951),(7.88690858599 2123),(4.91836979669 2240),,(9.65158810866 2650),(9.57324934301 2800),(8.10726264407 2957),(9.29274232822 3145),,,(9.55403270659 3641),,,,,
Point3,H6,(-0.00153054798368 171),(4.4408920985e-15 335),(1.50990331349e-14 513),(5.3290705182e-15 673),(8.881784197e-15 852),(8.881784197e-15 1028),(-0.00161123273089 1186),(1.06581410364e-14 1362),(1.95399252334e-14 1521),(-9.05613282782e-05 1695),(1.06581410364e-14 1856),(1.06581410364e-14 2033),(-8.23916248054e-05 2209),(-6.2172489379e-15 2368),(8.881784197e-16 2544),(0.0 2709),(8.881784197e-16 2878),(9.7699626167e-15 3046),(8.881784197e-15 3216),(8.881784197e-15 3377),(1.15463194561e-14 3552),(5.3290705182e-15 3733),(-0.00180807181111 3890),(8.881784197e-15 4070),(-0.00285468890906 4228),
