Cycle,0.930444078947
Average Width,5.20885793738
Width,,4.25754785923,4.52396119372,4.69564888649,6.72832734498,5.72211272222,5.61528270345,4.74564243348,7.19420918179,5.24182283773,5.38607019615,5.5538649744,8.52215418756,4.89872789631,4.33491812378,10.0148901025,4.25169254861,5.34705494162,8.07200835575,4.28787772275,5.32290009313
Point0,H1,(4.99607480428 58),(6.04007938805 172),(7.61129145955 363),(9.17116288506 555),(8.04752072565 761),(7.67029535623 950),(7.60192151892 1144),(9.51257648044 1339),(7.32950430206 1551),(6.75801137445 1732),(7.93369677559 1927),(8.67690237361 2143),(5.8434952629 2326),(6.09020932708 2520),(7.91983821319 2711),(4.97427456614 2923),(8.05002397166 3113),(8.09709128517 3305),(5.17441010009 3509),(5.11682816067 3699),(6.60881157388 3893),
Point0,H2,(0.537165910997 94),(2.23430628228 234),(4.75903957307 385),,(2.76961569398 829),,,(7.96748138054 1377),,,,,,(0.272633188748 2592),,(2.42195149596 2948),,(2.83508465099 3375),,(2.6556593619 3752),,
Point0,H3,(1.1424394649 108),(2.60496861558 261),(5.61410804819 400),,(2.77153555838 833),,,(7.99734234166 1383),,,,,,(0.765420639174 2609),,(2.83392048638 2962),,(3.77317471772 3393),,(3.12007082963 3778),,
Point0,H4,(-0.0016785703276 123),(0.783522057455 289),(0.168030385742 474),(1.72610371061 661),(1.30207514279 879),,(1.42778372617 1248),(5.58532491612 1420),(2.68833324359 1623),,,,,(-0.0143871398251 2632),(4.11971223646 2797),(1.05935046052 3004),,(-0.00477437505354 3424),,(3.02435619961 3791),,
Point0,H5,(5.58918947463 152),(0.972091757714 299),(0.587976357487 491),(1.81296167354 674),(1.31751140194 884),,(1.67255108137 1261),(5.58671555102 1422),(2.77444680918 1632),,,,,(2.08929129551 2670),(4.71980536449 2813),(2.06564335248 3023),,(1.76320936974 3446),,(3.1106480119 3803),,
Point0,H6,(-0.0016785703276 123),(-8.881784197e-15 314),(-6.2172489379e-15 505),(-7.1054273576e-15 712),(-6.2172489379e-15 908),(-2.6645352591e-15 1102),(-0.00695465064203 1291),(-8.881784197e-16 1499),(-0.00280474408132 1695),(-0.00635747973807 1869),(8.881784197e-16 2089),(-0.00697944926227 2280),(5.77315972805e-15 2482),(-0.0143871398251 2632),(-0.00464067338571 2876),(1.33226762955e-15 3060),(2.6645352591e-15 3271),(-0.167283907167 3469),(8.881784197e-16 3653),(2.6556593619 3752),(-0.00194496454117 3860),(-0.0397956782171 4059),
Point1,H1,(11.6649100502 29),(14.1674985271 237),(15.9939348809 430),(14.2709518816 639),(14.365114656 828),(13.7599050298 1019),(15.4976046794 1213),(13.4841991361 1424),(13.6111097849 1610),(13.4543065647 1803),(14.2571949741 2019),(12.0992948051 2203),(12.5804117542 2396),(13.7395742021 2588),(10.9622757945 2800),(13.3600793911 2989),(13.6844705498 3182),(11.1695408454 3391),(11.368558799 3578),(11.9453030564 3771),
Point1,H2,(11.088661061 42),(8.88749106373 265),,,,,(10.8814551999 1258),,(0.834016165088 1725),(12.5345199169 1815),,(6.54540230646 2249),(1.48173216234 2475),,,(6.53273236855 3029),(5.20577358044 3256),(6.36869903393 3421),,,
Point1,H3,(11.0946361633 44),(9.24861119966 276),,,,,(10.9137034612 1263),,(0.841788261075 1729),(12.8056819413 1824),,(6.69431041387 2257),(1.75003609273 2488),,,(7.37364662833 3043),(5.50716325152 3270),(6.51725989572 3430),,,
Point1,H4,(1.26727548637 164),(1.22667815195 353),(-6.2172489379e-15 589),(2.47990288401 751),,(6.99825610999 1067),(2.37421614981 1352),,(-0.00500709973089 1747),(5.28467517587 1895),,(1.53077505364 2324),(-0.00439342400706 2524),(8.22676100564 2635),(2.18829127041 2884),(3.08645325895 3096),(1.530886862 3304),(1.53612157602 3500),,,
Point1,H5,(1.99602687301 177),(1.4821392943 365),(14.184756148 622),(2.62084869993 761),,(7.00374719346 1070),(2.46081477649 1358),,(1.18976250149 1764),(5.32566097968 1902),,(1.8591258206 2337),(1.76183213114 2547),(8.30284781153 2643),(2.83558226021 2900),(3.15097745712 3105),(2.74363350039 3325),(1.6837432533 3510),,,
Point1,H6,(-0.0283943955763 1),(-0.00252222011273 192),(2.6645352591e-15 384),(-6.2172489379e-15 589),(-1.7763568394e-15 786),(1.7763568394e-15 978),(-0.00470815593382 1171),(-2.6645352591e-15 1377),(-0.00567660513109 1572),(-0.00500709973089 1747),(-6.2172489379e-15 1967),(8.881784197e-16 2160),(7.9936057773e-15 2358),(-0.00439342400706 2524),(8.881784197e-15 2753),(-0.00431166563182 2940),(4.4408920985e-15 3147),(-0.00902108361814 3346),(8.881784197e-16 3537),(2.6645352591e-15 3738),
Point2,H1,(13.906148479 30),(16.909269649 237),(19.6635980158 428),(18.0469342618 641),(17.3442628891 828),(16.3632314068 1019),(19.4457207473 1210),(17.7426105232 1424),(17.2480969297 1612),(17.2335574869 1805),(17.7864534375 2018),(15.242560944 2203),(14.7566963322 2394),(17.7019694461 2589),(14.5075345182 2800),(16.970749032 2991),(16.7906826037 3180),(14.4680423054 3389),(15.7682483428 3578),(14.1690326021 3773),
Point2,H2,(13.4648134789 40),,,(10.0098618198 668),,,,,,,,,,,,,,(5.41936635741 3465),(7.3566543811 3626),,
Point2,H3,(13.6480914309 48),,,(10.3143793506 676),,,,,,,,,,,,,,(5.64232734602 3475),(7.59775945884 3635),,
Point2,H4,(1.7145711204 166),(1.12892316887 355),(3.5527136788e-15 591),(3.87309507227 729),(1.6313755929 953),,,(5.22965075602 1507),(7.35028094217 1656),,(2.29100208271 2133),(2.6747707227 2314),,,(4.04545881638 2885),(8.03008259002 3038),,(2.86392663188 3505),(5.60614371093 3659),,
