Cycle,0.823572984749
Average Width,4.60937481928
Width,,4.95337700553,5.05762177405,3.99757375267,5.4648998053,4.45102065254,3.90825068134,5.3960056485,4.96197956002,3.97106413704,6.75107281524,4.21540317945,5.33545109212,5.24902203282,3.69557112033,6.24789849828,5.07333443181,3.84989611378,4.30394850799
Point0,H1,(8.72643516824 32),(9.15049431398 214),(7.51604422322 376),(9.57192329292 536),(8.23443608666 714),(7.5331669546 871),(8.88302637239 1044),(8.0456123586 1227),(6.45966883314 1404),(9.95500020754 1594),(8.1233701758 1783),(9.01185389924 1947),(8.66105759584 2131),(7.34199832236 2299),(10.3051112902 2472),(9.39613798442 2661),(9.09590475058 2813),(10.1827236957 2988),(10.4316446409 3176),
Point0,H2,,,(4.8865516815 398),(6.42337888513 559),(3.20962717389 758),(4.38484938911 899),,(3.87888827722 1273),(4.03507876387 1435),,,,(4.28710566906 2169),,(6.78065853651 2493),(5.97688594719 2686),(5.68271970383 2851),,
Point0,H3,,,(6.20212635958 421),(6.5852478731 568),(3.71273586935 772),(5.59084940301 919),,(3.98361542714 1281),(4.85454585896 1455),,,,(4.69664353154 2182),,(7.07024212471 2502),(6.15887754391 2696),(5.70869424603 2858),,
Point0,H4,(5.79565144074 62),(0.954298939488 309),(1.9904294884 457),(2.48087098782 637),(0.264451148443 804),(1.92842918908 954),(6.25595662625 1071),(1.49780830398 1320),(1.8475529471 1486),(1.41637122729 1686),,(5.19664919004 1986),(0.201466519009 2235),(5.02272246018 2324),(6.13220749838 2520),(0.816307831002 2757),(1.61023380583 2931),,
Point0,H5,(6.14622114109 75),(1.4893657124 323),(2.15240744777 467),(2.86432193053 652),(1.46378839798 820),(2.35600873895 969),(6.4554637625 1083),(1.58223547908 1330),(2.303642127 1503),(1.76642000659 1702),,(6.86942287737 2005),(0.611429929415 2250),(5.97431694868 2350),(6.34833769282 2531),(0.840055298162 2764),(2.21351125177 2944),,
Point0,H6,(-1.33226762955e-15 178),(8.881784197e-16 342),(8.881784197e-16 490),(1.33226762955e-15 683),(-1.7763568394e-15 837),(0.0 1009),(-5.3290705182e-15 1200),(-5.3290705182e-15 1357),(-0.000814461717578 1562),(-0.00144717332416 1740),(0.0 1918),(-0.00483416766517 2098),(-1.7763568394e-15 2267),(8.881784197e-16 2441),(0.0 2622),(-8.881784197e-16 2782),(3.5527136788e-15 2961),(-1.7763568394e-15 3141),
Point1,H1,(12.8821840005 35),(12.6622932165 197),(14.0604037894 359),(12.9760621661 536),(12.6473273987 693),(14.552690862 863),(12.5817887503 1050),(12.1283610209 1224),(15.0391663335 1416),(13.0187934993 1607),(13.4677230611 1771),(13.0289627115 1956),(12.1051498429 2120),(15.7298770603 2296),(12.8193587968 2481),(12.4872439221 2635),(15.8400595262 2812),(15.1446258302 2999),
Point1,H2,(6.10497892191 66),,(9.19250600827 385),(4.8259233465 581),,,(6.50623286857 1092),(6.58513719388 1255),,,,(6.71333508394 1989),,(10.4170439845 2319),(7.4570837845 2514),(7.01048289066 2675),,,
Point1,H3,(6.18217136504 74),,(9.20462468431 388),(5.17019146564 593),,,(6.74515306038 1103),(7.82346415664 1277),,,,(6.89038323851 2002),,(10.4408964587 2322),(7.67109462395 2526),(7.48233634666 2691),,,
Point1,H4,(1.78321149164 130),(6.87623998919 224),(8.55578967643 407),(1.36450821125 627),,(10.098312913 897),(2.41276761672 1155),(3.9326941282 1314),(7.68151036729 1461),,(8.28027641595 1810),(1.1377758252 2053),(6.98436958362 2143),(9.01949494164 2340),(1.35696518322 2585),(2.38209941308 2754),,,
Point1,H5,(2.41208202277 144),(8.72692732618 244),(8.58359991832 412),(1.99678268826 640),,(10.1867361053 904),(2.43619113636 1160),(4.41718472572 1331),(7.75321959947 1468),,(9.62059519524 1827),(1.65218488669 2067),(8.52235181204 2173),(9.83279213586 2353),(1.37494276173 2589),(3.14358441963 2767),,,
