Cycle,0.588141025641
Average Width,8.46269737292
Width,,11.365728392,7.21366673776,7.42255225416,7.8862161344,8.14279348858,8.41531907249,7.65230012396,56.0222848296,7.72627240686,8.73346763283,8.17860023926,8.11759006708,7.13236952293,7.54492946323,12.0682614194,8.49991233982,9.11617524781,10.9255889252,7.7987831034,8.30827220416,0,10.0399464551,8.49123019355,11.2103412485,8.28808432176,8.0450354493,9.25125081385,9.22323249879,0,10.8655981911,0,9.09399119685,9.39997315757,7.48267640203,0,0,0,0.0,6.03362919791,3.66369382148
Point1,H5,,(3.71389785822 188),(4.16255378896 289),,,(7.44446178911 689),(0.723501028332 847),,(5.6102398218 1055),(5.32776715489 1185),,(6.91269853079 1424),(7.83816080771 1547),(5.02131841766 1689),(1.94251963445 1870),(2.71269661778 1997),(4.97305457475 2093),,(1.8714100892 2363),,(4.30343866908 2594),(2.25557044624 2711),(3.20252635605 2828),(3.03333788097 2936),(3.98110229931 3046),(2.01153041801 3182),(4.53817132223 3278),(1.70794010676 3420),(3.19259092115 3527),(2.96812685898 3643),(2.59678422842 3758),(1.41774050485 3885),(3.91656830836 3974),,(2.26546826954 4222),(2.26354084055 4330),(0.203469674143 4463),(0.148981991582 4573),,
Point1,H6,(-6.2172489379e-15 107),(2.13162820728e-14 207),(-3.5527136788e-15 319),(-0.000156353774454 463),(-0.0149606469309 605),(-0.015718809191 739),(1.42108547152e-14 858),(1.24344978758e-14 974),(1.86517468137e-14 1102),(-0.00200406520698 1224),(7.1054273576e-15 1341),(-0.000618926763952 1468),(-1.15463194561e-14 1602),(1.42108547152e-14 1741),(-5.3290705182e-15 1884),(-7.1054273576e-15 2012),(1.7763568394e-15 2127),(8.881784197e-15 2253),(-0.0375043403168 2384),(-2.6645352591e-15 2452),(-8.881784197e-16 2631),(-0.00601434566162 2736),(-1.24344978758e-14 2846),(-1.42108547152e-14 2956),(9.7699626167e-15 3070),(7.9936057773e-15 3197),(-0.00351200508228 3324),(-8.881784197e-16 3436),(1.50990331349e-14 3548),(1.33226762955e-15 3661),(-6.2172489379e-15 3775),(0.0 3843),(-0.00689059577329 3898),(-1.06581410364e-14 4012),(-0.00571245703342 4125),(-0.0119864220388 4237),(-3.5527136788e-15 4350),(-0.760410429783 4475),(-1.24354278784 4537),
Point2,H1,(11.3255812447 32),(13.1560255291 132),(16.7189823022 241),(19.561825596 355),(18.6943880247 499),(18.6396162103 643),(16.3578966201 771),(17.585091361 888),(17.6960381609 1008),(17.4249213675 1136),(19.0994048718 1253),(18.6252238576 1369),(19.2595917405 1495),(16.6064944728 1635),(15.1715098819 1778),(14.4574341615 1911),(16.3666053625 2038),(17.3268321301 2163),(16.6131193423 2284),(11.1170546915 2416),(14.9522103425 2547),(12.879094492 2659),(12.8086043756 2770),(12.4030356806 2875),(14.9778435586 2985),(15.3596438496 3103),(13.7453815609 3228),(12.5878072835 3349),(11.1902649921 3464),(11.9988514826 3575),(10.2993037987 3689),(11.4876827439 3807),(13.7133276513 3924),(14.3828319551 4039),(10.1309488098 4152),(11.453955401 4267),(8.94590299588 4383),(7.5314966658 4500),(9.90581465127 4612),(16.026235261 4721),
Point2,H2,(2.24696373185 66),,,(6.02987252694 393),,(6.06152794712 675),(1.66649012057 811),,,,(5.02939317875 1291),(5.62959513413 1412),,(2.26719979333 1680),(3.69559559752 1812),(3.0442956474 1951),,(6.69992022421 2197),(2.78475008657 2324),,,,,,,(3.59984242081 3143),(2.97446243332 3264),(1.89940538562 3390),(2.53887316025 3499),(2.02182910828 3612),,(7.54951656745e-15 3844),,,,,(-0.0291461329235 4420),,,
Point2,H3,(2.26570791647 71),,,(6.15625016966 401),,(6.59200258547 689),(1.67915861363 814),,,,(5.14513496344 1298),(6.04115452024 1423),,(2.61779398038 1692),(4.22100478137 1826),(3.99813962767 1967),,(6.92933549467 2209),(2.91113961092 2332),,,,,,,(3.61967252773 3147),(3.72369347043 3280),(1.91099117953 3394),(2.86375174584 3509),(2.17559379475 3620),,(1.20239487171 3862),,,,,(0.468977686067 4434),,,
Point2,H4,(2.20283951091 79),(1.82456665602 175),(3.58928919119 280),,,,(-1.7763568394e-15 834),,(4.56539395407 1046),(4.57322254961 1175),,(3.20579481314 1447),(5.05435670897 1536),(0.403443800958 1715),(-5.3290705182e-15 1856),(1.51472525422 1987),(3.8958598135 2083),,(-0.0492298249792 2356),(-0.480266258398 2451),,(0.979234144207 2693),(1.84389927468 2810),(1.99528773406 2928),(3.80023384352 3039),(0.958511396365 3170),(2.0332189273 3303),(1.066036283 3415),(2.34487410572 3525),(1.79305978534 3633),(0.809502851312 3742),(0.694180659132 3876),(3.11984616217 3965),,(0.296917006211 4205),(1.43174173043 4316),(-0.0652545785741 4448),(-1.28681800482 4541),,
Point2,H5,(2.23105542173 86),(2.68646034087 188),(3.98896121412 292),,,,(1.64245137295 851),,(4.87682944959 1056),(4.80059888689 1185),,(3.21094570518 1449),(5.82583433149 1548),(0.665735011034 1726),(1.80034086996 1872),(2.07005528146 1997),(3.96299140837 2091),,(0.285559538646 2367),(0.183587432857 2468),,(1.91575616621 2710),(2.79375021737 2827),(2.42166395305 2940),(3.81551687083 3044),(1.6563277356 3182),(2.03631275994 3306),(1.08656746286 3419),(2.35307704632 3528),(2.15519187933 3644),(1.5665379405 3757),(0.926838326763 3885),(3.53565194098 3979),,(1.77175155281 4223),(1.58501181593 4328),(0.965541266734 4464),(-0.0226876093751 4576),,
Point2,H6,(1.7763568394e-15 107),(-0.0183469509103 206),(3.5527136788e-15 320),(-0.0133117584679 460),(-0.00930641723836 604),(-0.0119209378227 738),(-1.7763568394e-15 834),(0.0 974),(8.881784197e-16 1102),(5.3290705182e-15 1224),(1.06581410364e-14 1340),(-4.4408920985e-15 1468),(-8.881784197e-16 1601),(-0.00392968557151 1740),(-5.3290705182e-15 1856),(8.881784197e-16 2012),(-0.0152352645711 2127),(1.42108547152e-14 2253),(-0.758286480912 2383),(-0.480266258398 2451),(-0.000687851930383 2630),(-0.024420689273 2732),(7.1054273576e-15 2845),(-0.0161545216022 2956),(7.9936057773e-15 3070),(-3.5527136788e-15 3197),(8.881784197e-15 3324),(6.2172489379e-15 3435),(8.881784197e-16 3548),(1.7763568394e-15 3661),(6.2172489379e-15 3774),(7.54951656745e-15 3844),(7.1054273576e-15 3898),(4.4408920985e-15 4012),(-0.0162895914845 4125),(-0.00312033856266 4237),(0.0 4349),(-0.0665712264351 4477),(-1.28681800482 4541),
Point3,H1,(10.4094532709 34),(11.4905002023 135),(14.7494034185 242),(17.4964947716 358),(17.540037346 501),(17.1530621798 645),(15.0452659576 773),(19.8858709391 892),(15.9567189534 1010),(16.6334944267 1139),(17.2709988466 1255),(17.8115242453 1371),(16.5072367726 1496),(14.8242901912 1636),(13.9075013697 1781),(12.5990818473 1912),(14.7813745196 2040),(17.0339587587 2165),(14.636212479 2285),(9.36104544461 2418),(14.299598151 2549),(12.4382269419 2661),(11.5350744183 2772),(11.5827874926 2875),(13.7850545906 2986),(13.1147561401 3104),(11.8579040346 3229),(11.2735091554 3352),(10.6359929226 3466),(11.2074199563 3578),(9.16260953236 3693),(9.38016482565 3809),(12.233568803 3926),(11.9613452419 4041),(8.9186714878 4152),(11.0087361087 4269),(7.44786342538 4386),(7.31121216041 4502),(6.65538907188 4613),(4.7141379396 4721),
Point3,H2,(1.89578043964 66),,,(6.1115806322 392),,(6.06613771118 676),,,(4.19052466806 1049),,,,,,(2.91235372012 1813),(1.9175454515 1953),,,(-0.148088476622 2329),,,,,,,,,,,(2.17098217087 3615),,(-0.220311068165 3852),,(2.93935429507 4081),,,(-0.0212153865433 4421),(0.0852166523764 4544),,
Point3,H3,(1.93434236135 72),,,(6.42950821424 403),,(6.64103392706 690),,,(4.25479152225 1056),,,,,,(4.35612855051 1828),(3.00626508769 1969),,,(-0.0728076398679 2336),,,,,,,,,,,(2.38992807515 3626),,(-0.0403245489591 3864),,(2.9627061278 4086),,,(0.712664801644 4442),(0.189079791081 4554),,
Point3,H4,(1.86059315268 80),(1.57865814907 176),(2.22540663968 280),,(5.59935170219 541),,,,,(3.97675714484 1177),(3.26669083415 1298),(6.31627798963 1415),(2.97393377476 1538),(1.06581410364e-14 1680),(-0.00387919285665 1856),(0.53852196582 1989),(3.34026651034 2085),(6.75509770408 2198),(-1.58295364797 2356),(-1.29615679588 2454),,(1.49025291167 2699),(1.82115318072 2816),(1.5066882056 2934),,(-0.0197186178755 3171),(2.11172320928 3267),(1.44433950294 3391),(2.9743015165 3503),(2.35047029511 3632),(-0.095107476062 3746),(-0.180831845274 3873),(2.59561237065 3967),,(-0.0720942370164 4204),(1.10233172538 4326),(0.680080111274 4448),(-8.881784197e-16 4567),,
Point3,H5,(1.97934813054 90),(2.45741688342 190),(3.40746676248 297),,(5.66063951461 549),,,,,(4.42461795216 1188),(3.43966442395 1308),(6.66532872349 1424),(4.15422166747 1552),(0.929344053256 1697),(2.1207020034 1875),(1.08871588594 2000),(3.4136102129 2094),(7.55805476809 2213),(-0.944114141886 2369),(-0.0111396706574 2483),,(1.67975268993 2709),(2.84931032504 2831),(1.56719418386 2940),,(1.07303764487 3186),(2.52077076398 3282),(1.72713909358 3403),(3.2446562792 3514),(2.55518429966 3644),(0.711114730423 3762),(0.508015325893 3889),(2.69324527555 3975),,(1.82250219357 4227),(1.14118005779 4332),(1.45918327574 4467),(0.0761753422951 4576),,
Point3,H6,(-2.6645352591e-15 109),(1.7763568394e-15 208),(-0.00632465785228 322),(1.42108547152e-14 463),(1.42108547152e-14 605),(-0.00180373994299 741),(9.7699626167e-15 834),(3.5527136788e-15 977),(-3.5527136788e-15 1102),(-1.06581410364e-14 1225),(-1.06581410364e-14 1342),(8.881784197e-16 1470),(-8.881784197e-16 1590),(-0.189965663305 1724),(-0.00387919285665 1856),(-1.15463194561e-14 2013),(-0.0180764583567 2128),(-0.034971607359 2256),(-1.97059340441 2384),(-1.29615679588 2454),(-4.4408920985e-15 2632),(-0.0147834947495 2732),(-4.88498130835e-15 2848),(-0.0212177643467 2957),(-0.00100819568796 3072),(-0.0628134518052 3199),(-2.22044604925e-15 3324),(-0.00893724028991 3437),(-1.68753899743e-14 3549),(-6.66133814775e-15 3664),(-0.095107476062 3746),(-0.220311068165 3852),(-0.0142291528321 4013),(-0.0140591142559 4126),(-0.0720942370164 4204),(-0.0473032974043 4352),(-0.0212153865433 4421),(-0.117191640411 4586),(-0.131178691469 4655),
