Cycle,0.8179375
Average Width,0.0
Width,,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Point0,H1,(13.3637367575 40),(13.1203120417 203),(14.0989385342 377),(13.0360293967 558),(13.0749730019 730),(14.6972749285 906),(11.8144652564 1082),(11.560253686 1242),(10.3099456999 1402),(10.7405268416 1562),(12.8919576734 1722),(13.993581625 1866),(12.3727477913 2017),(13.0780071134 2175),(13.1162586159 2348),(13.838727024 2512),(13.9053909493 2699),(13.2137384187 2875),(12.8583957989 3063),(11.5161387196 3230),(15.0741139543 3404),(11.7292758101 3567),(11.2116959115 3740),(11.1835063541 3903),(9.61579892394 4062),(9.6028824966 4235),(11.6824448556 4412),(10.8535951026 4581),(12.5557637992 4746),(13.7300656861 4921),(13.2748656505 5100),(12.5290322422 5270),(13.5739806927 5437),(12.3948142936 5611),(11.5307637972 5786),(10.993202135 5946),(8.13598585979 6107),(10.2048367027 6253),(9.31247361756 6415),(9.19540380309 6576),(12.4454671579 6747),
Point0,H2,,(7.18723042235 245),(11.8226373926 392),,,,,,,,,,,,,(9.52018295828 2553),,(8.25762753554 2918),,(6.05286039198 3269),(9.39047779563 3449),,,,,,(7.93897838269 4457),(6.59864011989 4618),,,(7.73393479257 5143),(8.95809001923 5305),,,,,,(9.6924092967 6264),,(6.14813160471 6613),,
Point0,H3,,(7.8936860779 258),(12.4894659988 402),,,,,,,,,,,,,(9.58512464408 2558),,(8.54751731902 2928),,(6.14471336729 3277),(9.47452899144 3456),,,,,,(8.02335682036 4465),(6.79138180914 4629),,,(8.21695403754 5154),(8.99362122579 5311),,,,,,(9.78894391236 6271),,(6.51613714309 6626),,
Point0,H4,(2.50599185267 121),(5.26716562304 282),(7.76521194924 426),(8.27707229445 604),(2.68121776301 831),,,(2.42610620537 1333),(2.79719424941 1481),(2.20567206519 1655),,(1.51422616553 1959),,(8.12533463129 2218),(3.47089624581 2450),,(3.704614753 2793),(2.62574274589 2997),(1.62527191981 3171),(3.97517779805 3305),(2.77754267402 3509),(7.80030159994 3608),(1.97254126617 3827),,,(5.68186549365 4278),(2.15235344371 4518),(2.10038227041 4676),,,(2.12428491127 5208),,,(7.5153296463 5657),,(1.36856766772 6037),(1.36744893761 6197),,(1.80664619389 6519),(1.29817018819 6677),,
Point0,H5,(4.94147279809 144),(5.31424749123 287),(7.90022487437 434),(8.28537950931 608),(2.72333119406 837),,,(2.64761980145 1344),(3.00254549898 1492),(2.25623330802 1661),,(1.65049186245 1967),,(8.20039318406 2225),(3.52743396038 2457),,(4.04193999457 2810),(2.73159071878 3004),(2.62693934101 3185),(4.04808186641 3314),(2.95012406411 3518),(8.00336000054 3617),(2.00240263481 3833),,,(6.34028425114 4291),(2.29949711383 4526),(2.19930629295 4684),,,(2.12711389577 5211),,,(7.58103154613 5664),,(1.94074681022 6049),(1.7106682682 6208),,(1.85021322662 6525),(1.53907897583 6688),,
Point0,H6,(-0.0310390989474 1),(8.881784197e-15 170),(-1.15463194561e-14 346),(-0.00168567905513 525),(1.15463194561e-14 694),(1.24344978758e-14 871),(2.6645352591e-15 1041),(2.6645352591e-15 1205),(-0.000220703436709 1371),(-0.00164110781453 1531),(0.0 1683),(1.7763568394e-15 1835),(-0.00569534707824 1983),(-7.1054273576e-15 2143),(-0.00146722095557 2306),(1.7763568394e-15 2480),(-2.6645352591e-15 2659),(1.7763568394e-15 2845),(1.7763568394e-15 3026),(7.1054273576e-15 3201),(2.13162820728e-14 3373),(1.59872115546e-14 3537),(4.4408920985e-15 3695),(9.7699626167e-15 3858),(5.3290705182e-15 4030),(4.4408920985e-15 4204),(8.881784197e-16 4375),(5.3290705182e-15 4545),(-1.7763568394e-15 4707),(8.881784197e-16 4883),(-7.1054273576e-15 5069),(-2.6645352591e-15 5232),(1.15463194561e-14 5405),(-0.00397158540575 5573),(-0.00102422482886 5749),(-0.00305694663979 5915),(1.50990331349e-14 6066),(1.95399252334e-14 6224),(-0.00286070125776 6383),(1.7763568394e-15 6545),(-7.9936057773e-15 6709),
Point1,H1,(11.2427119049 44),(10.1434849973 204),(11.4836679635 378),(11.7434409635 560),(11.8734410086 731),(13.295285281 907),(11.3553569899 1082),(10.3451301658 1241),(11.2656890005 1403),(12.0204635408 1562),(12.8632747075 1723),(14.3344909319 1868),(11.2435903104 2015),(12.5401372108 2176),(12.2219510681 2346),(12.0983809057 2529),(13.5761043001 2699),(12.4975044831 2876),(13.0904987914 3066),(11.7252046611 3229),(13.5263910926 3404),(12.4670972468 3568),(12.0894365375 3728),(11.3336662631 3900),(10.17762881 4063),(11.0952092674 4237),(12.1758104749 4412),(12.0342435274 4579),(12.2247859165 4746),(14.1123556459 4925),(12.8578972951 5101),(12.4315355565 5271),(13.1634630951 5436),(12.7808922218 5611),(12.3810388385 5786),(11.0843466964 5948),(9.37177361804 6103),(11.5328698059 6254),(10.1077493743 6414),(9.79924910711 6575),(11.9564755474 6747),
Point1,H2,(7.7675320691 76),,,,,,,,,(6.0899942633 1611),,,(10.875198306 2026),,,,,,,,,,,,,,,,,,,(7.36577297933 5307),(11.8607885982 5449),,,,,,,,
Point1,H3,(7.80851431139 83),,,,,,,,,(6.09119853333 1613),,,(10.8890240145 2030),,,,,,,,,,,,,,,,,,,(7.47914551309 5314),(12.2636727424 5458),,,,,,,,
Point1,H4,(3.89005443685 122),(0.297053274623 334),,(6.74073516677 602),,(2.05237009854 1013),,,,(2.5247585285 1655),,(5.73011242058 1913),(6.90641337466 2059),(2.38550550331 2277),(-7.1054273576e-15 2480),,(2.8354244452 2791),(7.92498224529 2921),(1.11156806442 3173),,(1.83034611966 3511),(7.64409643775 3606),,,(5.9569072827 4104),(5.77881339158 4280),,(1.69710175695 4678),,(1.0913309905 5047),(1.86854553226 5205),,(7.22677036178 5484),(6.23095178024 5658),,(0.804549270987 6036),(5.74190924515 6137),(1.79635608617 6356),(5.86642501108 6460),,
