Cycle,0.771892857143
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(33.4278790927 36),(24.1655211017 247),(12.5681852269 435),(10.710097783 632),(12.8115396015 759),(11.7446432854 944),(11.4691147616 1134),(9.74955626979 1297),(9.99745349217 1425),(13.2225005046 1619),(11.4887145133 1738),(9.76188484681 1937),(14.1320245572 2098),(13.8527402339 2214),(9.04769718624 2414),(10.5062362784 2554),(11.1089805698 2708),(7.61297462517 2908),(10.6328545026 3044),(10.5736180521 3188),(9.60553640128 3348),(7.19529295774 3466),
Point0,H2,(18.9434675365 67),,(10.6792099044 459),,(7.59340561055 787),,,,(9.06048644816 1441),,,(-1.33226762955e-14 1973),,,,(-5.3290705182e-15 2621),,,,(10.0992142917 3205),,
Point0,H3,(19.5122987318 80),,(12.0021624054 477),,(9.70441352215 808),,,,(9.55980948327 1452),,,(3.8692737985 2001),,,,(6.61295448181 2651),,,,(10.2007805337 3216),,
Point0,H4,(6.08725742737 135),(5.77505438715 295),(-1.7763568394e-15 516),,(7.9936057773e-15 842),,(-0.00531870198483 1180),(1.59872115546e-14 1333),(-0.000698377556517 1488),,(-0.00648704416671 1819),(2.71274641832 2018),,,,(6.5585349448 2656),,,,,,
Point0,H5,(7.89235481457 151),(8.54456374784 311),(8.6034503655 599),,(8.35016569514 895),,(8.27293424796 1255),(3.61359764982 1360),(12.7758074117 1578),,(8.13775293401 1907),(13.2164038298 2060),,,,(9.07536221544 2679),,,,,,
Point0,H6,(-0.00987586616809 186),(-1.7763568394e-14 340),(-1.7763568394e-15 516),(1.7763568394e-14 682),(7.9936057773e-15 842),(2.6645352591e-15 1004),(-0.00531870198483 1180),(1.59872115546e-14 1333),(-0.000698377556517 1488),(8.881784197e-16 1662),(-0.00648704416671 1819),(-1.33226762955e-14 1973),(-0.00854379377751 2134),(-0.00555258652519 2297),(-1.06581410364e-14 2458),(-5.3290705182e-15 2621),(-6.2172489379e-15 2779),(-0.00477517416218 2939),(-1.42108547152e-14 3094),(-7.9936057773e-15 3258),(-1.7763568394e-15 3414),
Point1,H1,(15.425301917 35),(14.4734180257 246),(7.7765525767 434),(6.20358362712 629),(8.00823467516 758),(7.02130351649 943),(7.06168748094 1135),(5.71976949029 1295),(5.65357187097 1423),(8.37997449251 1619),(7.4115572756 1741),(5.44281335351 1937),(9.21165243591 2099),(8.84076259108 2218),(5.55006133682 2412),(7.16416737131 2561),(7.10117005712 2706),(4.42135218959 2909),(6.59631939164 3046),(6.76273921835 3190),(6.10937945373 3348),
Point1,H2,(10.2506298919 63),,,(5.85993550979 643),(4.85085650182 788),,,,(5.1271011129 1440),,(-0.00620470784871 1818),(-0.000544453643733 1972),,(6.99331293666 2248),,(7.9936057773e-15 2621),(6.07536305038 2725),,,(6.33051533745 3213),,
Point1,H3,(11.0059100494 91),,,(5.91110566926 649),(5.80932207542 808),,,,(5.56951652295 1453),,(0.247317900924 1831),(2.22856663665 1998),,(7.46666841665 2263),,(4.15599680603 2648),(6.96503128533 2745),,,(6.39681008673 3222),,
Point1,H4,(4.71834481584 136),(4.69921946145 294),,,(1.7763568394e-15 843),,(-3.5527136788e-15 1182),(3.10862446895e-15 1335),(-0.00435672576721 1488),(5.3290705182e-15 1664),(0.231964581615 1836),(1.24693739692 2019),,(7.9936057773e-15 2296),(-0.00181420776695 2458),(3.81325869334 2658),(-0.0146465993489 2783),,,(-4.4408920985e-15 3260),,
Point1,H5,(5.42780276252 150),(6.18272883718 309),,,(5.70579237773 897),,(4.81176559749 1255),(2.24681810862 1361),(8.07538714504 1574),(3.17746770264 1691),(4.84820252361 1909),(8.44124881393 2056),,(3.80724577472 2357),(6.70355635079 2527),(5.910129387 2680),(3.79458526976 2877),,,(5.21268533104 3319),,
Point1,H6,(-0.00348450835669 189),(7.1054273576e-15 342),(1.7763568394e-15 517),(4.88498130835e-15 682),(1.7763568394e-15 843),(-2.22044604925e-15 1004),(-3.5527136788e-15 1182),(3.10862446895e-15 1335),(-0.00435672576721 1488),(5.3290705182e-15 1664),(-0.00620470784871 1818),(-0.000544453643733 1972),(-6.87491756564e-05 2134),(7.9936057773e-15 2296),(-0.00181420776695 2458),(7.9936057773e-15 2621),(-0.0146465993489 2783),(2.6645352591e-15 2939),(-8.881784197e-16 3094),(-4.4408920985e-15 3260),(-5.77315972805e-15 3414),
Point2,H1,(11.6465572536 39),(12.1207679389 247),(6.71164591457 437),(5.09606594822 631),(6.48839390032 757),(5.90728513573 975),(6.24433773356 1132),(4.6823946252 1299),(4.56647868899 1442),(6.7316383405 1622),(6.93450649782 1739),(5.31641767398 1938),(7.4297579571 2102),(7.53078113198 2210),(5.06942536564 2418),(6.48612771399 2546),(6.26251230569 2717),(4.65270607108 2910),(6.0881353389 3058),(6.74262378837 3192),(5.34557794613 3342),
