Cycle,0.628610013175
Average Width,6.68326124571
Width,,0.0,6.11384635751,4.76504555288,4.83312962285,14.0240473676,0.0,5.91849409011,4.64784780805,5.03544782317,5.49848856667,6.96978448485,5.536628338,4.60365318301,4.712362367,5.46526539005,4.61562669594,9.44115294705,0.0,8.02386035373,0.0,4.13802084231,3.98406815114,5.35180902932
Point0,H1,(7.47649859624 87),(7.04089221977 225),(6.6015301426 358),(6.77256548939 489),(5.87241794681 632),(6.22385905478 759),(7.09658007836 883),(6.06275718721 1024),(4.8537464281 1159),(6.93650876265 1291),(8.27255356611 1431),(6.17107168628 1504),(6.66563551139 1570),(6.20811265387 1705),(6.0069708344 1832),(6.9470756691 1961),(6.33042848726 2087),(5.64765041833 2167),(7.19975879552 2363),(7.27575791549 2519),(6.94564754023 2654),(6.69400850488 2807),(7.93124292814 2965),
Point0,H2,,,,,(1.38260880203 656),,,(-1.7763568394e-15 1058),(2.22044604925e-15 1185),,,,,(-6.66133814775e-15 1736),,,,,,(-2.6645352591e-15 2545),(-8.881784197e-15 2693),,
Point0,H3,,,,,(2.01223228988 668),,,(3.88879585296 1106),(1.00998088299 1200),,,,,(4.21792364344 1777),,,,,,(5.14991031304 2590),(3.8358435789 2732),,
Point0,H4,(-0.00141060821339 126),(4.88498130835e-15 260),(2.22044604925e-15 386),(2.22044604925e-15 534),,,,(3.80057956852 1114),(0.895726548759 1208),(8.881784197e-16 1329),,,(2.6645352591e-15 1602),(4.08363293811 1786),(4.4408920985e-16 1869),(2.22044604925e-15 1999),,,(3.99680288865e-15 2401),(4.6323972697 2603),(3.19004920652 2746),,
Point0,H5,(5.44917156632 189),(4.08138822832 300),(5.78410408777 461),(3.45493781887 569),,,,(4.7867313388 1134),(4.07082551234 1233),(4.35754407948 1376),,,(6.0840387329 1676),(5.31561198936 1811),(6.08421600506 1935),(4.42433379494 2033),,,(5.59507835133 2465),(6.32066873718 2627),(5.59064325154 2776),,
Point0,H6,(-0.00141060821339 126),(4.88498130835e-15 260),(2.22044604925e-15 386),(2.22044604925e-15 534),(2.22044604925e-15 688),(-3.10862446895e-15 789),(-0.000234893928647 922),(-1.7763568394e-15 1058),(2.22044604925e-15 1185),(8.881784197e-16 1329),(7.1054273576e-15 1464),(2.6645352591e-15 1602),(-6.66133814775e-15 1736),(4.4408920985e-16 1869),(2.22044604925e-15 1999),(-1.7763568394e-15 2128),(-3.10862446895e-15 2257),(3.99680288865e-15 2401),(-2.6645352591e-15 2545),(-8.881784197e-15 2693),(-6.2172489379e-15 2841),(-0.00201303824377 2996),
Point1,H1,(6.9035071766 95),(7.73249080109 227),(7.84114576754 359),(7.89726627738 493),(6.59117185324 634),(6.71606452179 763),(8.51718173676 874),(7.76135482268 1022),(7.45962505074 1162),(8.52129810121 1297),(7.92475702358 1436),(6.87604909655 1508),(7.97184976525 1574),(7.20552461665 1708),(6.82699349026 1838),(7.44928957867 1942),(6.85832286504 2091),(6.63862360295 2179),(7.6571324905 2367),(7.02521679162 2521),(8.45413557435 2662),(8.4843333727 2810),(8.75610197983 2965),(3.80608465452 3041),
Point1,H2,(-0.00246683616829 138),,,,(0.671868801704 660),,,,,,,,(8.881784197e-16 1606),(-0.00675517482651 1738),,(7.26561206371 1953),,,,,,,
Point1,H3,(5.14474789267 165),,,,(1.66653712476 673),,,,,,,,(5.5819077399 1651),(4.98410212227 1779),,(7.36640693763 1962),,,,,,,
Point1,H4,(4.71482003202 176),(-1.7763568394e-15 263),(1.7763568394e-15 393),(-0.0102384191195 536),(-8.881784197e-15 690),(-6.64423567525e-05 793),(2.6645352591e-15 932),(-0.000833373578545 1065),,(7.9936057773e-15 1333),,,(5.54959634226 1657),(4.57009646709 1791),,(-4.4408920985e-15 2004),,,,,,,
Point1,H5,(6.46117792647 197),(4.48750615345 298),(5.22121683453 440),(3.36949379991 575),(1.32148666992 706),(4.94985246487 836),(4.97608078768 967),(6.89036692593 1139),,(5.13669211204 1381),,,(6.97774254512 1680),(6.08691439208 1811),,(5.29372242603 2039),,,,,,,
Point1,H6,(-0.00246683616829 138),(-1.7763568394e-15 263),(1.7763568394e-15 393),(-0.0102384191195 536),(-8.881784197e-15 690),(-6.64423567525e-05 793),(2.6645352591e-15 932),(-0.000833373578545 1065),(4.4408920985e-15 1191),(7.9936057773e-15 1333),(1.7763568394e-15 1466),(8.881784197e-16 1606),(-0.00675517482651 1738),(-1.7763568394e-15 1874),(-4.4408920985e-15 2004),(-0.000597520207424 2132),(1.33226762955e-15 2263),(-0.00451842394687 2405),(0.0 2549),(8.881784197e-16 2696),(-0.000324834675706 2843),(0.0 3004),
Point2,H1,(7.08837048556 59),(6.76795321506 201),(6.31675857517 328),(6.31400015881 462),(7.01886040543 599),(9.69636232353 728),(7.98116984792 862),(6.58138242993 999),(7.592318167 1127),(7.83938655568 1263),(6.20778203754 1403),(5.78382621271 1532),(6.26641664701 1674),(5.60071014144 1805),(5.81785310809 1937),(5.09792877878 2063),(6.76721720494 2199),(8.68588220123 2327),(7.16302659085 2471),(7.25761843633 2618),(5.99964714469 2760),(5.99123156491 2908),(7.1260608405 3067),
Point2,H2,,,,(1.52298917804 502),,(1.3356024117 777),,,,,,,,,,,,,,,,,
Point2,H3,,,,(1.58199922188 510),,(1.34050693084 780),,,,,,,,,,,,,,,,,
Point2,H4,(-8.881784197e-16 130),(2.94340036661 230),(-0.0014305402288 400),(0.682967775358 536),(2.78324791055 628),(4.88498130835e-15 800),(2.28554774855 927),(1.94203750244 1035),(2.97786757189 1163),(1.12842663693 1331),(0.224762538774 1472),(0.00815772803697 1609),,(2.01869080847 1864),(1.30330011255 2006),(-0.147384261957 2130),(4.61932822271 2226),(-0.0105750211575 2403),(2.39742668365 2505),(0.953634827858 2692),,,
