Cycle,0.894696428571
Average Width,0.0
Width,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Point0,H1,(5.8298633879 65),(1.99794142348 174),(9.45853517704 279),(9.43908784148 481),(7.75880693049 679),(9.07460356325 892),(7.7972376542 1080),(9.29178681674 1266),(6.57102849293 1461),(7.74508571446 1662),(7.40405271582 1866),(6.06568534454 2052),(6.47427535273 2244),(10.160453384 2431),(6.98824181355 2652),(5.33803640782 2820),
Point0,H2,(4.18383540099 83),,(5.4516544868 323),(5.63830287624 528),,(7.36445216786 915),,,(1.73004699441 1551),,(2.17140120854 1951),,,,(2.78763651502 2716),,
Point0,H3,(4.44682118013 94),,(5.46555468518 328),(6.40226476894 545),,(7.37554955038 919),,,(1.74518789226 1558),,(2.40733682704 1963),,,,(2.85807031344 2725),,
Point0,H4,,(1.12077195901 202),(2.92355983838 382),(1.66659328018 607),,(4.05093211374 976),(-7.9936057773e-15 1170),(1.20713300497 1384),(0.34953709702 1596),(0.233557939695 1799),(1.66570318611 1982),(0.964950264285 2158),(0.212208688994 2368),(3.02337967977 2514),(0.83200763416 2752),,
Point0,H5,,(1.61929394256 217),(3.35870252718 397),(1.79961640001 615),,(4.09257871399 983),(1.80967087448 1212),(1.22450256936 1390),(0.848707804902 1610),(0.233699253675 1800),(1.8666912405 1994),(1.520313745 2177),(0.350339386074 2378),(3.15531898963 2527),(0.98440198256 2762),,
Point0,H6,(-1.99150152844 35),(8.881784197e-16 141),(5.77315972805e-15 237),(-2.6645352591e-15 442),(-0.0013549342633 634),(-3.5527136788e-15 792),(-0.011880714114 1033),(-7.9936057773e-15 1170),(-0.00357788971793 1235),(2.22044604925e-15 1421),(-8.881784197e-16 1624),(-1.33226762955e-15 1816),(2.6645352591e-15 2020),(0.0 2201),(1.33226762955e-15 2390),(4.4408920985e-16 2596),(3.5527136788e-15 2782),
Point1,H1,(6.92461562505 66),(1.79947042505 180),(11.2333119498 278),(10.7062395748 484),(8.97414360162 669),(10.48125676 868),(9.46326306925 1081),(10.3050546488 1266),(7.93175537527 1459),(8.97405109021 1657),(8.26288151807 1866),(7.27480777506 2053),(8.31030511412 2246),(11.320721267 2431),(7.77031815718 2650),(6.56245572825 2820),
Point1,H2,(5.23144261123 83),(1.1535780536 202),,(6.01721948905 532),,(9.83532194817 882),,(3.67779987244 1318),,,(1.80028892579 1952),,(2.24732334108 2329),,(2.91012745982 2721),,
Point1,H3,(5.50658505968 92),(1.70677894621 217),,(6.25978246804 545),,(9.96536335028 890),,(3.80006509108 1327),,,(2.08186891729 1964),,(2.59415397216 2343),,(2.93332415267 2727),,
Point1,H4,,,,(3.15642437823 581),(0.218571185193 794),,(1.03593044087 1190),(1.15230467268 1390),,(5.85656454032 1700),(1.12489988396 1982),(0.859651395172 2158),(0.0668251194065 2369),,(1.34825702177 2755),,
Point1,H5,,,,(3.2537600276 589),(1.53953858802 812),,(1.78422576988 1210),(1.15693762607 1393),,(5.9439003783 1709),(1.51075581723 1996),(1.53872717168 2179),(0.332326377258 2380),,(1.36119528893 2759),,
Point1,H6,(-2.19755635669 35),(-0.00296106455264 143),(-8.881784197e-15 237),(-4.4408920985e-15 443),(-5.3290705182e-15 633),(3.5527136788e-15 830),(-0.00399331901608 1034),(3.5527136788e-15 1234),(-2.22044604925e-15 1421),(-4.4408920985e-16 1624),(-7.1054273576e-15 1815),(-5.3290705182e-15 2019),(-4.4408920985e-15 2201),(-8.881784197e-16 2391),(-1.7763568394e-15 2592),(-0.00591526985134 2782),
Point2,H1,(16.2685890735 32),(18.9355218406 241),(20.4795022681 451),(18.6299650476 639),(19.9139621477 833),(17.9132934039 1041),(19.2911390728 1233),(17.717637617 1424),(18.6797301975 1636),(17.1492024859 1826),(16.8488380835 2017),(17.7408667116 2210),(20.3317389538 2399),(16.3336563799 2594),(16.5911473256 2784),
Point2,H2,(3.0403428729 111),(4.00948308718 353),,,(12.3261766911 878),,,,,,(8.49350702165 2064),,(8.76921666969 2451),,,
Point2,H3,(3.99799000404 135),(4.01614336783 357),,,(12.7101524727 888),,,,,,(8.59192961265 2071),,(8.78473923779 2454),,,
Point2,H4,(2.26738028978 169),(3.06171577914 379),(3.19063073936 573),(2.39017098188 761),(6.12047228658 940),(1.08795129804 1153),(2.19426451041 1353),(2.264121874 1547),(2.70075058842 1755),,(2.85728531897 2137),(1.28390363284 2332),,(2.32242312682 2716),,
Point2,H5,(2.50399735263 179),(3.13166882126 386),(3.32493916082 580),(2.83433811054 773),(6.29262610156 949),(2.20774715327 1174),(2.44887910109 1364),(2.34138628134 1556),(2.81228859507 1763),,(3.05110861575 2146),(1.60540810127 2342),,(2.42125421653 2724),,
Point2,H6,(-0.0439811160069 2),(9.7699626167e-15 202),(-0.00357641950872 406),(8.881784197e-15 599),(1.7763568394e-15 795),(-1.06581410364e-14 999),(-2.13162820728e-14 1197),(-0.000119559484848 1387),(-5.3290705182e-15 1586),(-1.06581410364e-14 1784),(-5.3290705182e-15 1985),(1.24344978758e-14 2167),(1.24344978758e-14 2359),(7.1054273576e-15 2556),(0.0 2746),
Point3,H1,(18.4004924647 31),(22.5589079805 239),(25.0297595269 447),(23.6950690602 639),(24.5462819557 831),(22.3461226268 1038),(24.1432726888 1231),(22.4619478169 1422),(23.9939672079 1633),(22.5417184431 1822),(21.6822088563 2015),(23.1063425424 2207),(24.3450149473 2398),(21.4186192507 2592),(21.9888155211 2783),
Point3,H2,,(9.90456993482 287),,,,,,,,,(10.794539204 2064),,,,,
Point3,H3,,(9.9873705918 294),,,,,,,,,(10.8590524421 2069),,,,,
Point3,H4,,(2.93368572925 377),(3.99523925459 572),(2.36173835115 760),(13.921533421 878),(1.62196707449 1152),(10.5808437555 1281),(9.10222876451 1472),(3.18037947337 1753),,(3.40800160589 2135),(2.13343147063 2330),,(11.2149781798 2640),,
Point3,H5,,(2.99297037171 383),(4.01523193159 576),(2.92578402995 772),(14.3684606539 887),(2.23856722547 1168),(10.6236050333 1285),(9.20426284891 1478),(3.4312022921 1762),,(3.71234470502 2145),(2.33902624883 2339),,(11.2581785356 2644),,
Point3,H6,(-0.0366374740868 1),(-1.7763568394e-15 200),(1.42108547152e-14 404),(-1.06581410364e-14 597),(0.0 794),(1.59872115546e-14 997),(1.7763568394e-14 1195),(8.881784197e-15 1386),(-7.1054273576e-15 1584),(-0.00867534186583 1783),(1.50990331349e-14 1982),(-5.3290705182e-15 2165),(1.06581410364e-14 2357),(8.881784197e-15 2555),(1.06581410364e-14 2744),
