Cycle,0.76
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(4.19116690119 67),(5.62020420823 241),(7.2279525123 410),(4.72959902101 486),(7.89349422686 583),(5.83698921061 740),(6.10649738457 916),(9.90816192677 1079),(8.71310124128 1258),(7.61495773113 1429),(7.18700820737 1600),(8.19119765807 1786),(9.36850240667 1942),(9.57566709372 2120),(10.2613777675 2284),(11.8669362157 2455),(12.924387493 2621),(14.3333832512 2793),(13.3674587814 2959),(15.9447977038 3129),
Point0,H2,(2.3395603875 97),(2.57221792404 273),,,,,,(4.91854422607 1128),(3.54222248414 1315),,,,,(4.63014835828 2153),,,(6.9247577327 2657),,,
Point0,H3,(3.12231062003 115),(2.92415936126 289),,,,,,(4.93682951002 1132),(3.71280419099 1325),,,,,(4.65307480083 2158),,,(8.01464835854 2672),,,
Point0,H4,(1.68998437774 145),(1.9121232125 315),,,(-0.0654934088172 685),,,(0.307585196055 1185),(0.872546534127 1356),(0.11452349255 1541),(4.53943293092 1637),,,(1.55829675008 2209),(-8.881784197e-16 2385),(4.48755453938 2518),(2.80846469497 2723),,,
Point0,H5,(1.75250858135 154),(2.01363514219 326),,,(0.110471272016 701),,,(0.577395942784 1198),(0.885767098818 1360),(0.157454260067 1549),(4.74681990918 1649),,,(1.90589224962 2223),(1.80873700384 2403),(4.50990443712 2523),(2.85121505394 2729),,,
Point0,H6,(3.5527136788e-15 187),(-0.00491544461048 362),(-0.00560477684766 538),(-0.0654934088172 685),(-2.22044604925e-15 852),(1.8313170306 978),(1.33226762955e-15 1046),(-5.3290705182e-15 1213),(-0.00156437169255 1383),(-0.00331175312534 1560),(-2.6645352591e-15 1722),(-9.7699626167e-15 1901),(-4.4408920985e-15 2078),(-8.881784197e-16 2247),(-8.881784197e-16 2385),(-0.00448671323091 2585),(2.6645352591e-15 2753),(-0.00203523565604 2924),(8.881784197e-16 3085),
